mark_display	k119ub_signal_decile	group	n	median	mean	q25	q75
H3K27ac	5	Other	609	0.0249084185126853	-0.0428535960010001	-0.14781716144271	0.141874589546255
H3K27ac	6	Neuronal	205	0.0252109952968239	-0.00795208274040288	-0.200951533061877	0.191580497801269
H3K27ac	6	Other	644	0.0141340734665848	-0.0652091963554716	-0.174494183484008	0.150615609118007
H3K27ac	7	Neuronal	281	0.0533659591578865	-0.0177771477538009	-0.144419364525391	0.200265067394846
H3K27ac	7	Other	635	-0.0124607895772822	-0.113895109921705	-0.268751473593236	0.147770769937095
H3K27ac	8	Neuronal	270	0.0426555191399238	-0.0372150758360723	-0.220348874924378	0.238714962378516
H3K27ac	8	Other	682	-0.0203472479004317	-0.0993118831352803	-0.279516262134219	0.147215434914341
H3K27ac	9	Neuronal	275	0.0144704393864284	-0.0186426728760159	-0.251156449435778	0.275542131860584
H3K27ac	9	Other	613	-0.0340582132098835	-0.13759316446788	-0.374970369751888	0.167459086225434
H3K27ac	10	Neuronal	260	0.0699320843633461	0.0792858201837236	-0.215922528819774	0.384024643062771
H3K27ac	10	Other	410	0.00226650745541424	-0.0492652417491028	-0.359418150473324	0.277518252569717
H3K27me3	1	Neuronal	20	-0.466736856777869	-0.432534247599711	-0.56593526425442	-0.249768355096658
H3K27me3	1	Other	65	-0.0636441497025275	-0.0824117582892374	-0.476225876232042	0.141756426120213
H3K27me3	2	Neuronal	22	-0.0790858676973984	-0.0466271041829869	-0.355295884229158	0.0954643563620759
H3K27me3	2	Other	107	-0.101659485997527	-0.0640375864367327	-0.299706206275936	0.0781895080475647
H3K27me3	3	Neuronal	42	-0.15870487242385	-0.138215697554592	-0.355311563756154	0.0376615732170603
H3K27me3	3	Other	148	-0.0467686437080863	0.00167984111072459	-0.272836112962804	0.219879819744502
H3K27me3	4	Neuronal	77	-0.135986688144981	-0.0715075854935186	-0.404207776783124	0.127281542275046
H3K27me3	4	Other	189	-0.058000787460025	0.0689064079825892	-0.32851246732239	0.263225450615178
H3K27me3	5	Neuronal	88	-0.189384736702327	-0.157848753045517	-0.366519970641641	0.00105877485753853
H3K27me3	5	Other	255	-0.0218140968108876	0.0940307084831144	-0.262238148583908	0.212084158248208
H3K27me3	6	Neuronal	111	-0.105351591656506	0.138315212518517	-0.295805418795337	0.224758827962475
H3K27me3	6	Other	326	-0.0782666574526811	0.0741406085036358	-0.325769126016442	0.200687648984143
H3K27me3	7	Neuronal	147	-0.0950767126368779	0.0607827592348437	-0.305256435326148	0.137239796950477
H3K27me3	7	Other	313	-0.0340296160057569	0.175920216980456	-0.254731130194081	0.269283893004199
H3K27me3	8	Neuronal	191	-0.0763860367567111	0.192245659257738	-0.25420603967219	0.294411902937344
H3K27me3	8	Other	362	-0.0564865964623287	0.0590044715999088	-0.253364675115732	0.187876727752647
H3K27me3	9	Neuronal	235	-0.063327116625146	0.0479101343598263	-0.266110821124256	0.241294215791368
H3K27me3	9	Other	444	-0.0372020239530899	0.0718934427483008	-0.244874005078735	0.222448781492391
H3K27me3	10	Neuronal	493	-0.0960224992344171	-0.045023566047823	-0.223245359596264	0.0323875300390161
H3K27me3	10	Other	589	-0.0953940407795717	-0.00431057999209682	-0.281862132376665	0.113875381221384
H2AK119ub	1	Neuronal	47	0.393762886	0.390028281425532	0.062210685	0.775931557
H2AK119ub	1	Other	148	0.3261021855	0.414862187236486	0.061154383	0.70840593625
H2AK119ub	2	Neuronal	79	0.252360778	0.291015017544304	-0.0257587105	0.636353659
H2AK119ub	2	Other	267	0.370843705	0.405498023213483	-0.0037354075	0.7730505905
H2AK119ub	3	Neuronal	101	0.289728578	0.344805645861386	0.04389633	0.599793109
H2AK119ub	3	Other	373	0.38561162	0.405867846335121	0.074417842	0.75789133
H2AK119ub	4	Neuronal	170	0.230386956	0.273917809258824	0.0118830495	0.583598928
H2AK119ub	4	Other	435	0.320209676	0.358727803763218	0.0219173865	0.6682265435
H2AK119ub	5	Neuronal	218	0.255516143	0.279664262211009	-0.03846879875	0.60830450925
H2AK119ub	5	Other	538	0.264740739	0.287923355410781	-0.045833151	0.62792801625
H2AK119ub	6	Neuronal	244	0.1419716255	0.170110676741803	-0.1784316045	0.51090719275
H2AK119ub	6	Other	727	0.236606158	0.271671950499312	-0.0568558845	0.5802618535
H2AK119ub	7	Neuronal	331	0.084271885	0.123794146323263	-0.177638971	0.3916364855
H2AK119ub	7	Other	803	0.223912187	0.24056762732005	-0.0624588775	0.557953878
H2AK119ub	8	Neuronal	381	0.037520917	0.0678765187427822	-0.251792712	0.369226717
H2AK119ub	8	Other	908	0.118118007	0.145886815932819	-0.16148045625	0.43191439875
H2AK119ub	9	Neuronal	447	-0.050756312	-0.00583546698881432	-0.280932175	0.2315178115
H2AK119ub	9	Other	1011	0.031005894	0.0583166609188922	-0.2175326715	0.320093183
H2AK119ub	10	Neuronal	658	-0.153087208	-0.116265543802432	-0.36490871325	0.09579360575
H2AK119ub	10	Other	960	-0.08129739	-0.04238631933125	-0.29167928925	0.1831950335
