set_label	mark	length_quintile	group	reference_group	n_group	n_reference	median_group	median_reference	location_shift	ci_lower	ci_upper	p_value	untested_reason	q_value
Synapse gene set	ATAC-seq	5	MeCP2-up only	Neither	165	2834	0.0631595762749097	0.128733047300337	-0.0893844066766174	-0.129285287550658	-0.0511885886623474	5.79473016315329e-06	NA	1.86259183815641e-05
Synapse gene set	H3K27ac	1	Both	Neither	3	880	-0.188717067410853	0.0465586988254112	NA	NA	NA	NA	fewer than 10 genes in an arm (group n = 3, reference n = 880)	NA
Synapse gene set	H3K27ac	1	Gene set only	Neither	90	880	0.108924582742443	0.0465586988254112	0.0868961923921649	0.0362767970037734	0.142547283210009	0.000814008692764813	NA	0.00170373912439147
Synapse gene set	H3K27ac	1	MeCP2-up only	Neither	23	880	-0.798082438279794	0.0465586988254112	-0.776411562984954	-1.0787779353132	-0.512777371233155	8.3291246316103e-07	NA	3.12342173685386e-06
Synapse gene set	H3K27ac	2	Both	Neither	2	1123	-0.22826493277047	0.0371259974425274	NA	NA	NA	NA	fewer than 10 genes in an arm (group n = 2, reference n = 1123)	NA
Synapse gene set	H3K27ac	2	Gene set only	Neither	117	1123	0.0315022073550343	0.0371259974425274	-0.0156390122294071	-0.0655834345086514	0.0347331563613494	0.546828964211834	NA	0.600178131452013
Synapse gene set	H3K27ac	2	MeCP2-up only	Neither	15	1123	-0.657301537237324	0.0371259974425274	-0.666779515821409	-0.91146874275262	-0.314317299001755	0.00165522818721079	NA	0.00316958589040363
Synapse gene set	H3K27ac	3	Both	Neither	3	1552	-0.11627922465245	0.0466657873616167	NA	NA	NA	NA	fewer than 10 genes in an arm (group n = 3, reference n = 1552)	NA
Synapse gene set	H3K27ac	3	Gene set only	Neither	164	1552	0.00708808024912631	0.0466657873616167	-0.0404461814149438	-0.0813656650062838	0.000239560326224383	0.0517584366687934	NA	0.0789535474608713
Synapse gene set	H3K27ac	3	MeCP2-up only	Neither	29	1552	-0.550787568550031	0.0466657873616167	-0.576026707919966	-0.863332003805814	-0.35254838710059	4.04733822989479e-09	NA	2.27662775431582e-08
Synapse gene set	H3K27ac	4	Both	Neither	11	1706	-0.284626163510651	0.0505837595610999	-0.354752904310188	-0.722621627614574	-0.15136640440162	0.000273830838140364	NA	0.000631917318785455
Synapse gene set	H3K27ac	4	Gene set only	Neither	291	1706	0.0638515933740288	0.0505837595610999	0.0180809312028179	-0.0118231379427046	0.0484421681055599	0.237548065499774	NA	0.29286747801342
Synapse gene set	H3K27ac	4	MeCP2-up only	Neither	46	1706	-0.523344911111085	0.0505837595610999	-0.550560143128278	-0.725768249184589	-0.372350624990474	1.52692615576651e-10	NA	1.05710272322297e-09
Synapse gene set	H3K27ac	5	Both	Neither	39	1801	-0.101706823375699	0.057872221854768	-0.140642825083296	-0.329846000720681	0.0247474917555922	0.0976650174906045	NA	0.131191814539618
Synapse gene set	H3K27ac	5	Gene set only	Neither	566	1801	0.0824431173449395	0.057872221854768	0.0452516806737313	0.0112172173686375	0.0798281732151011	0.00896484003231903	NA	0.0149414000538651
Synapse gene set	H3K27ac	5	MeCP2-up only	Neither	138	1801	-0.279266014764426	0.057872221854768	-0.381094028355724	-0.505385247271259	-0.274037710395766	4.36417389262121e-15	NA	9.81939125839773e-14
Synapse gene set	H3K27me3	1	Both	Neither	2	482	0.145711822137841	-0.0534859980002111	NA	NA	NA	NA	fewer than 10 genes in an arm (group n = 2, reference n = 482)	NA
Synapse gene set	H3K27me3	1	Gene set only	Neither	80	482	-0.103019400717077	-0.0534859980002111	-0.0619971056011677	-0.128664127587376	0.00355116607457114	0.0634404552893026	NA	0.0920909834844715
Synapse gene set	H3K27me3	1	MeCP2-up only	Neither	13	482	1.13402961158799	-0.0534859980002111	1.07568173782712	0.487429531007605	1.75732645542179	0.000131924786467905	NA	0.000337096303679525
Synapse gene set	H3K27me3	2	Both	Neither	0	514	NA	-0.0590575618353607	NA	NA	NA	NA	fewer than 10 genes in an arm (group n = 0, reference n = 514)	NA
Synapse gene set	H3K27me3	2	Gene set only	Neither	78	514	-0.0383310511639222	-0.0590575618353607	-0.00470447757067256	-0.0776995110077032	0.0716166088820254	0.894027579185296	NA	0.917697000281444
Synapse gene set	H3K27me3	2	MeCP2-up only	Neither	7	514	0.145228526759406	-0.0590575618353607	NA	NA	NA	NA	fewer than 10 genes in an arm (group n = 7, reference n = 514)	NA
Synapse gene set	H3K27me3	3	Both	Neither	1	613	2.9864586855909	-0.0385187684774278	NA	NA	NA	NA	fewer than 10 genes in an arm (group n = 1, reference n = 613)	NA
Synapse gene set	H3K27me3	3	Gene set only	Neither	89	613	-0.105313151406955	-0.0385187684774278	-0.0885095774242385	-0.15729235933382	-0.0233737125485485	0.00805714210876301	NA	0.0136819394299749
Synapse gene set	H3K27me3	3	MeCP2-up only	Neither	9	613	0.923504941049202	-0.0385187684774278	NA	NA	NA	NA	fewer than 10 genes in an arm (group n = 9, reference n = 613)	NA
Synapse gene set	H3K27me3	4	Both	Neither	3	739	0.0500119846577217	-0.0787695887788156	NA	NA	NA	NA	fewer than 10 genes in an arm (group n = 3, reference n = 739)	NA
Synapse gene set	H3K27me3	4	Gene set only	Neither	99	739	-0.102749370465708	-0.0787695887788156	-0.0299130012386964	-0.106916564900895	0.0491963724444101	0.451195200459991	NA	0.520609846684605
Synapse gene set	H3K27me3	4	MeCP2-up only	Neither	19	739	0.884184842540796	-0.0787695887788156	0.857089754927549	0.429846178011425	1.34362542986307	1.8198036728929e-05	NA	5.64766657104693e-05
Synapse gene set	H3K27me3	5	Both	Neither	26	1088	-0.0498039344503019	-0.107878138431049	0.0573232787969252	-0.148853711170506	0.29010759172588	0.587059553418725	NA	0.621592468325709
Synapse gene set	H3K27me3	5	Gene set only	Neither	320	1088	-0.179841968184904	-0.107878138431049	-0.0650278866588708	-0.123280966358535	-0.00773825418766089	0.0264249385846133	NA	0.0432408085930036
Synapse gene set	H3K27me3	5	MeCP2-up only	Neither	62	1088	-0.0340627472218856	-0.107878138431049	0.137167936834003	-0.00566179434520093	0.299699170360766	0.0603529063427608	NA	0.0905293595141412
Synapse gene set	H2AK119ub	1	Both	Neither	3	985	0.067489576	0.019715494	NA	NA	NA	NA	fewer than 10 genes in an arm (group n = 3, reference n = 985)	NA
Synapse gene set	H2AK119ub	1	Gene set only	Neither	126	985	-0.1193690195	0.019715494	-0.12048363399291	-0.194831918421606	-0.0469966517513036	0.00156493667223155	NA	0.00308168777317402
Synapse gene set	H2AK119ub	1	MeCP2-up only	Neither	30	985	0.7045028105	0.019715494	0.663810148586787	0.510570656438465	0.81390940296224	1.17932251167633e-11	NA	1.17932251167633e-10
Synapse gene set	H2AK119ub	2	Both	Neither	2	1098	0.627593549	0.0431450255	NA	NA	NA	NA	fewer than 10 genes in an arm (group n = 2, reference n = 1098)	NA
Synapse gene set	H2AK119ub	2	Gene set only	Neither	149	1098	-0.048213173	0.0431450255	-0.0796323385471677	-0.150284285027768	-0.00797621435087074	0.0300708625585829	NA	0.048328171969151
Synapse gene set	H2AK119ub	2	MeCP2-up only	Neither	24	1098	0.615052597	0.0431450255	0.601146517353968	0.424518157607664	0.779846235491147	2.28699289296663e-08	NA	1.21076094333527e-07
Synapse gene set	H2AK119ub	3	Both	Neither	3	1404	0.914951841	0.112659645	NA	NA	NA	NA	fewer than 10 genes in an arm (group n = 3, reference n = 1404)	NA
Synapse gene set	H2AK119ub	3	Gene set only	Neither	178	1404	-0.0513970445	0.112659645	-0.142109437793478	-0.209280797490516	-0.0748550895736328	3.83904601300315e-05	NA	0.000111456174571059
Synapse gene set	H2AK119ub	3	MeCP2-up only	Neither	37	1404	0.749713796	0.112659645	0.633063890478496	0.472218058413042	0.799598139995502	1.45522679170987e-11	NA	1.30970411253888e-10
Synapse gene set	H2AK119ub	4	Both	Neither	12	1595	0.669390198	0.142881125	0.57954365836373	0.324782451679641	0.831717713585422	8.21967457007988e-05	NA	0.000228714876153194
Synapse gene set	H2AK119ub	4	Gene set only	Neither	265	1595	-0.032864342	0.142881125	-0.157345435805681	-0.215709478031235	-0.0991524002808548	1.76388623685962e-07	NA	7.9374880658683e-07
Synapse gene set	H2AK119ub	4	MeCP2-up only	Neither	60	1595	0.7668474455	0.142881125	0.578105688519249	0.454364599906737	0.700668026817238	2.09560752251941e-15	NA	6.28682256755824e-14
Synapse gene set	H2AK119ub	5	Both	Neither	48	2071	0.576159508	0.156857201	0.359974639913453	0.226309777032056	0.493307126370135	5.55873555972999e-07	NA	2.17515739293782e-06
Synapse gene set	H2AK119ub	5	Gene set only	Neither	637	2071	0.12438779	0.156857201	-0.0317520205056349	-0.0696570289971621	0.00598174091531773	0.0971731751408648	NA	0.131191814539618
Synapse gene set	H2AK119ub	5	MeCP2-up only	Neither	158	2071	0.5912706115	0.156857201	0.386121742873081	0.309521159029774	0.461462229626727	3.4274274022625e-20	NA	3.08468466203625e-18
