gene_name	gene_id	chr	start	end	gene_length	length_quintile	mch_diff	edger_logFC	edger_fdr	mch_sig	mch_direction	mecp2_fold	mecp2_fdr	mecp2_n_peaks	is_mecp2_up	is_neuronal	is_synapse	k119ub_decile	atac_fold	k27ac_fold	k27me3_fold	k119ub_fold	atac_fdr	k27ac_fdr	k27me3_fdr	k119ub_fdr	atac_remodeled	k27ac_remodeled	k27me3_remodeled	k119ub_remodeled	neuronal_group	synapse_group
1110017D15Rik	ENSMUSG00000028441.12	chr4	41505008	41517333	12325	2	0.000467866285483329	-0.0322393723815989	0.884175594277989	FALSE	Hypomethylated	NA	NA	NA	FALSE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Neither	Neither
1110025L11Rik	ENSMUSG00000068073.2	chr16	89063411	89064002	591	1	0.0180101278358154	1.3735574402245	0.117197904946606	FALSE	Hypermethylated	NA	NA	NA	FALSE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Neither	Neither
1110032A03Rik	ENSMUSG00000037971.10	chr9	50762827	50775520	12693	2	-0.00018652748810298	-0.37632040675512	0.101807792536467	FALSE	Hypomethylated	NA	NA	NA	FALSE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Neither	Neither
1110032F04Rik	ENSMUSG00000046999.2	chr3	68869585	68872163	2578	1	-0.000149395956790144	-0.103124864548497	0.784506602820814	FALSE	Hypomethylated	-0.200654244	0.368911059	2	FALSE	FALSE	FALSE	5	0.864107446971459	NA	-0.575301440001346	0.094485154	0.00123938996801396	NA	0.000231533088449145	0.322348997	TRUE	NA	TRUE	FALSE	Neither	Neither
1110038F14Rik	ENSMUSG00000063236.6	chr15	76948505	76950979	2474	1	0.0051854485326168	0.667004143916866	0.270442276425365	FALSE	Hypermethylated	NA	NA	NA	FALSE	FALSE	FALSE	NA	0.124059553383488	0.138396265285007	NA	NA	0.469662787858959	0.42191493200666	NA	NA	FALSE	FALSE	NA	NA	Neither	Neither
1110051M20Rik	ENSMUSG00000040591.18	chr2	91275067	91444704	169637	5	-0.00185240867323059	-0.26243939993383	2.9007918091627e-05	TRUE	Hypomethylated	NA	NA	NA	FALSE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Neither	Neither
1110057P08Rik	ENSMUSG00000068067.2	chr16	89174734	89175199	465	1	0.00469958177300907	0.716544723489459	0.594643563316637	FALSE	Hypermethylated	NA	NA	NA	FALSE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Neither	Neither
1110059E24Rik	ENSMUSG00000035171.9	chr19	21581201	21652976	71775	5	-0.00117002602565385	-0.233591102115754	0.00257027754835116	TRUE	Hypomethylated	0.007578168	0.984225184	1	FALSE	FALSE	FALSE	10	0.324380759976678	-0.0783955393133351	NA	0.781668341	0.164490294125561	0.637825670614449	NA	0.004904951	FALSE	FALSE	NA	TRUE	Neither	Neither
1110059G10Rik	ENSMUSG00000032551.7	chr9	122945088	122951000	5912	2	0.000101728733775418	-0.166788674313329	0.704312665865314	FALSE	Hypomethylated	NA	NA	NA	FALSE	FALSE	FALSE	NA	NA	0.0285841048293303	NA	NA	NA	0.868948527318807	NA	NA	NA	FALSE	NA	NA	Neither	Neither
1110065P20Rik	ENSMUSG00000078570.10	chr4	124849079	124851196	2117	1	-0.00520858531492473	-0.448852380344054	0.378707231177673	FALSE	Hypomethylated	NA	NA	NA	FALSE	FALSE	FALSE	NA	0.119276174244376	-0.0342738033712083	NA	NA	0.551162318878791	0.828429013204371	NA	NA	FALSE	FALSE	NA	NA	Neither	Neither
1190005I06Rik	ENSMUSG00000043687.15	chr8	120608601	120647632	39031	4	-0.00290613287028031	-0.254910386480851	0.00280522714070067	TRUE	Hypomethylated	NA	NA	NA	FALSE	FALSE	FALSE	1	0.194751539875239	NA	NA	-0.421239092	0.357054007316717	NA	NA	0.007479353	FALSE	NA	NA	TRUE	Neither	Neither
1190007I07Rik	ENSMUSG00000063320.11	chr10	82619850	82623228	3378	1	-0.000331581414145533	-0.557481433398972	0.300299702468434	FALSE	Hypomethylated	NA	NA	NA	FALSE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Neither	Neither
1300017J02Rik	ENSMUSG00000033688.10	chr9	103250520	103305082	54562	4	-0.00131712339330135	-0.376123740630659	0.00173665872619916	TRUE	Hypomethylated	NA	NA	NA	FALSE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Neither	Neither
1500009C09Rik	ENSMUSG00000068099.5	chr15	82252396	82260753	8357	2	-0.000417827762092732	-0.166360934778603	0.362231036507717	FALSE	Hypomethylated	NA	NA	NA	FALSE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Neither	Neither
1500009L16Rik	ENSMUSG00000087651.3	chr10	83722864	83762762	39898	4	0.00159809358516335	-0.0256972753108609	0.787872045603735	FALSE	Hypomethylated	-0.047796458	0.849752085	3	FALSE	FALSE	FALSE	6	0.373461158573921	NA	-0.675179909636752	0.147670371	0.0558686029059114	NA	0.000147990419718244	0.242696141	FALSE	NA	TRUE	FALSE	Neither	Neither
1500011B03Rik	ENSMUSG00000072694.8	chr5	114808195	114823468	15273	3	0.00140329226402543	-0.0131691679319044	0.958896686045851	FALSE	Hypomethylated	NA	NA	NA	FALSE	FALSE	FALSE	NA	0.0742618120343539	NA	NA	NA	0.680635379117983	NA	NA	NA	FALSE	NA	NA	NA	Neither	Neither
1520401A03Rik	ENSMUSG00000043747.12	chr17	23704487	23722783	18296	3	0.000578660055385375	-0.103244499773276	0.612941183679725	FALSE	Hypomethylated	NA	NA	NA	FALSE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Neither	Neither
1600012H06Rik	ENSMUSG00000050088.9	chr17	14943183	14959570	16387	3	0.00120666456852792	-0.0809247147137699	0.718427521663709	FALSE	Hypomethylated	NA	NA	NA	FALSE	FALSE	FALSE	NA	0.00311527103974632	NA	NA	NA	0.989760811594044	NA	NA	NA	FALSE	NA	NA	NA	Neither	Neither
1600014C10Rik	ENSMUSG00000054676.15	chr7	38183216	38197568	14352	3	0.00103332570369812	-0.197914076540245	0.376965948990387	FALSE	Hypomethylated	0.038819184	0.886270827	3	FALSE	FALSE	FALSE	9	0.101331002469682	-0.160758072756794	0.0308387709462711	0.631493529	0.567845897573519	0.220676238800073	0.902365165459915	5.09e-05	FALSE	FALSE	FALSE	TRUE	Neither	Neither
1600014C23Rik	ENSMUSG00000094690.2	chr17	45732863	45733844	981	1	0.00777697342700304	0.289408211892943	0.68710628303863	FALSE	Hypermethylated	NA	NA	NA	FALSE	FALSE	FALSE	5	0.132054852818658	NA	NA	0.040131483	0.473038981984045	NA	NA	0.668897987	FALSE	NA	NA	FALSE	Neither	Neither
1700001C19Rik	ENSMUSG00000047150.8	chr17	47412733	47437376	24643	3	0.00219344614589714	0.102939729011121	0.489596702259204	FALSE	Hypermethylated	NA	NA	NA	FALSE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Neither	Neither
1700001F09Rik	ENSMUSG00000095384.1	chr14	43342382	43347811	5429	1	-0.000767055030986574	-0.377321536842056	0.281530447946029	FALSE	Hypomethylated	NA	NA	NA	FALSE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Neither	Neither
1700001J03Rik	ENSMUSG00000095040.2	chr5	146182440	146185304	2864	1	-0.00378158029906991	-0.325595749068216	0.416117394035053	FALSE	Hypomethylated	-0.051513606	0.833914922	1	FALSE	FALSE	FALSE	NA	-0.0846766629490606	-0.292190684440934	NA	NA	0.705695575516627	0.0905864322359972	NA	NA	FALSE	FALSE	NA	NA	Neither	Neither
1700001K19Rik	ENSMUSG00000056508.6	chr12	110667687	110682619	14932	3	0.00129916718662966	-0.0857718029360609	0.698263741145334	FALSE	Hypomethylated	NA	NA	NA	FALSE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Neither	Neither
1700001L19Rik	ENSMUSG00000021534.8	chr13	68597420	68614231	16811	3	-0.0013307007259952	-0.353184865430511	0.0743371394763817	FALSE	Hypomethylated	NA	NA	NA	FALSE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Neither	Neither
1700001O22Rik	ENSMUSG00000044320.14	chr2	30794768	30803661	8893	2	-0.00335078306505211	-0.233534123597785	0.169586776115962	FALSE	Hypomethylated	0.030010231	0.91578628	1	FALSE	FALSE	FALSE	7	0.718605534523642	NA	NA	0.249529006	9.03710461711926e-05	NA	NA	0.073243888	TRUE	NA	NA	FALSE	Neither	Neither
1700001P01Rik	ENSMUSG00000018543.8	chr11	97771480	97775918	4438	1	-0.000509664872326385	-0.201591466523369	0.597325953429083	FALSE	Hypomethylated	NA	NA	NA	FALSE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Neither	Neither
1700003E16Rik	ENSMUSG00000030030.5	chr6	83156403	83162945	6542	2	0.00172814900594489	0.0215917487225898	0.943198238339686	FALSE	Hypermethylated	NA	NA	NA	FALSE	FALSE	FALSE	NA	0.177235969047698	NA	NA	NA	0.367834532816002	NA	NA	NA	FALSE	NA	NA	NA	Neither	Neither
1700003F12Rik	ENSMUSG00000038523.10	chr2	154547084	154550003	2919	1	0.00663173236411763	0.040428795128617	0.885802309275467	FALSE	Hypermethylated	0.052794805	0.835675728	1	FALSE	FALSE	FALSE	6	NA	NA	1.3873443319655	0.133189468	NA	NA	1.83200742247326e-07	0.307004406	NA	NA	TRUE	FALSE	Neither	Neither
1700003H04Rik	ENSMUSG00000039174.14	chr3	124556351	124581101	24750	3	0.00444566884310071	0.258431407597675	0.081834072719879	FALSE	Hypermethylated	NA	NA	NA	FALSE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Neither	Neither
1700006A11Rik	ENSMUSG00000027973.11	chr3	124400988	124426040	25052	3	-0.000665779654319586	-0.347678268309971	0.0291963320152366	TRUE	Hypomethylated	NA	NA	NA	FALSE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Neither	Neither
1700007K13Rik	ENSMUSG00000026831.16	chr2	28462000	28466332	4332	1	-0.00426023671055767	-0.250528642175001	0.453945471809517	FALSE	Hypomethylated	NA	NA	NA	FALSE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Neither	Neither
1700008O03Rik	ENSMUSG00000008028.15	chr7	44360042	44385820	25778	3	0.000691525087148304	-0.190228586962298	0.192837954358969	FALSE	Hypomethylated	-0.026924793	0.9270933	1	FALSE	FALSE	FALSE	NA	0.078284894511789	0.0737889721891657	NA	NA	0.696141075910546	0.619106568281097	NA	NA	FALSE	FALSE	NA	NA	Neither	Neither
1700008P02Rik	ENSMUSG00000069118.3	chr3	6615417	6620443	5026	1	-0.000229932245310443	-0.398774289246633	0.39310195407094	FALSE	Hypomethylated	-0.021639294	0.943962942	1	FALSE	FALSE	FALSE	NA	0.182911272681414	NA	NA	NA	0.4834656774996	NA	NA	NA	FALSE	NA	NA	NA	Neither	Neither
1700009N14Rik	ENSMUSG00000028287.4	chr4	39450294	39451776	1482	1	-0.000139489253125777	-0.148286751372523	0.857657045440881	FALSE	Hypomethylated	1.213268677	6.26e-07	4	TRUE	FALSE	FALSE	10	0.316788415099352	0.157888763652656	NA	1.273147379	0.0803689878888085	0.546298353522223	NA	2.28e-16	FALSE	FALSE	NA	TRUE	MeCP2-up only	MeCP2-up only
1700010B08Rik	ENSMUSG00000057047.5	chr2	173719414	173722089	2675	1	-0.00264539420540688	-0.439748819734171	0.481799658221286	FALSE	Hypomethylated	NA	NA	NA	FALSE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Neither	Neither
1700010I14Rik	ENSMUSG00000023873.13	chr17	8988332	9011949	23617	3	-0.00151133221302549	-0.271180602068704	0.0323160600295501	TRUE	Hypomethylated	-0.105622067	0.62600857	8	FALSE	FALSE	FALSE	3	-0.206264709550539	0.176575985059526	2.53553248930825	-0.134847986	0.301361129816125	0.295006741022002	3.05116993957206e-37	0.309401418	FALSE	FALSE	TRUE	FALSE	Neither	Neither
1700011L22Rik	ENSMUSG00000031682.5	chr8	79210430	79248570	38140	4	0.0118399019644853	0.421206899088932	8.50591305139449e-06	TRUE	Hypermethylated	0.018444912	0.952909973	2	FALSE	FALSE	FALSE	10	-0.304284668691058	-1.08252532539726	NA	1.071475122	0.0801845853132049	4.46479464107767e-08	NA	7.14e-30	FALSE	TRUE	NA	TRUE	Neither	Neither
1700012A03Rik	ENSMUSG00000029766.7	chr6	32050245	32058921	8676	2	0.00111917284076848	-0.0570735507819067	0.814492068926549	FALSE	Hypomethylated	0.020181675	0.947861776	10	FALSE	FALSE	FALSE	8	0.322481692746566	0.385096342545582	-0.723699024985998	0.425599228	0.12455422552179	0.0575017280675769	0.000105177722808004	0.001567816	FALSE	FALSE	TRUE	TRUE	Neither	Neither
1700012B07Rik	ENSMUSG00000020617.13	chr11	109787650	109828046	40396	4	-0.00130612060013759	-0.315072921238441	0.0124145062322914	TRUE	Hypomethylated	NA	NA	NA	FALSE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Neither	Neither
1700012B09Rik	ENSMUSG00000031927.9	chr9	14756586	14771030	14444	3	-0.00101258291421189	-0.442852494490988	0.0248518001951608	TRUE	Hypomethylated	NA	NA	NA	FALSE	FALSE	FALSE	NA	NA	NA	0.0173434882984248	NA	NA	NA	0.939834021016534	NA	NA	NA	FALSE	NA	Neither	Neither
1700012P22Rik	ENSMUSG00000028589.2	chr4	144418188	144438772	20584	3	0.00101884420731394	-0.0962578486832901	0.720968943124656	FALSE	Hypomethylated	NA	NA	NA	FALSE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Neither	Neither
1700013F07Rik	ENSMUSG00000027886.7	chr3	108534149	108544723	10574	2	-6.57048198204023e-05	-0.0608647148297038	0.742553039493255	FALSE	Hypomethylated	NA	NA	NA	FALSE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Neither	Neither
1700013G24Rik	ENSMUSG00000041399.3	chr4	137453283	137455461	2178	1	0.00268009688557662	0.0600183699831416	0.907497210687897	FALSE	Hypermethylated	NA	NA	NA	FALSE	FALSE	FALSE	1	-0.320202112086953	NA	NA	-0.483722754	0.161670006263941	NA	NA	0.006716751	FALSE	NA	NA	TRUE	Neither	Neither
1700013H16Rik	ENSMUSG00000054727.2	chrX	53742900	53757831	14931	3	0.00276976003866046	-0.0461650975437617	0.903965530230612	FALSE	Hypomethylated	0.025361944	0.938791902	2	FALSE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Neither	Neither
1700014D04Rik	ENSMUSG00000051054.4	chr13	59740841	59746752	5911	2	-0.000691708460679659	-0.305867875552389	0.32434469971435	FALSE	Hypomethylated	NA	NA	NA	FALSE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Neither	Neither
1700015F17Rik	ENSMUSG00000079666.8	chr5	5437826	5479143	41317	4	0.000296412843771762	-0.21290702073167	0.139404708335125	FALSE	Hypomethylated	NA	NA	NA	FALSE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Neither	Neither
1700015G11Rik	ENSMUSG00000094445.7	chr7	52011682	52015728	4046	1	-0.0019047421697851	-0.30436863214262	0.446732997160413	FALSE	Hypomethylated	NA	NA	NA	FALSE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Neither	Neither
1700016C15Rik	ENSMUSG00000015962.5	chr1	177729813	177753324	23511	3	-0.00031518531683138	-0.37963998885773	0.0325380757952191	TRUE	Hypomethylated	NA	NA	NA	FALSE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Neither	Neither
1700016D06Rik	ENSMUSG00000031509.10	chr8	11654923	11701063	46140	4	0.00308029449315681	0.116771817521717	0.181621468645276	FALSE	Hypermethylated	NA	NA	NA	FALSE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Neither	Neither
1700016H13Rik	ENSMUSG00000029320.11	chr5	103648038	103656010	7972	2	-0.00320596036975916	-0.391713055984134	0.0907315992594841	FALSE	Hypomethylated	NA	NA	NA	FALSE	FALSE	FALSE	5	0.218678877646451	NA	-0.0513478327668231	0.065846476	0.274731044929598	NA	0.870534261852826	0.741810181	FALSE	NA	FALSE	FALSE	Neither	Neither
1700016K19Rik	ENSMUSG00000053783.5	chr11	75999911	76003569	3658	1	-0.0010904542074225	-0.374547031698208	0.283238129988288	FALSE	Hypomethylated	NA	NA	NA	FALSE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Neither	Neither
1700017B05Rik	ENSMUSG00000032300.7	chr9	57253116	57262612	9496	2	-0.000663602125895165	-0.20962546047344	0.287977292280011	FALSE	Hypomethylated	0.030151405	0.919048946	4	FALSE	FALSE	FALSE	4	0.144696372536393	-0.213043436746457	NA	-0.013918484	0.347591253859213	0.233230181102475	NA	0.930733612	FALSE	FALSE	NA	FALSE	Neither	Neither
1700017N19Rik	ENSMUSG00000056912.12	chr10	100590483	100618401	27918	4	0.00982721890069667	0.612567615582011	9.23008735088504e-06	TRUE	Hypermethylated	1.620847188	5.26e-11	1	TRUE	FALSE	FALSE	10	-0.0672252665022688	-0.815080843292502	NA	1.725490883	0.760115415424398	0.00694256987403843	NA	1.69e-22	FALSE	TRUE	NA	TRUE	MeCP2-up only	MeCP2-up only
1700018B08Rik	ENSMUSG00000031809.10	chr8	121530779	121544320	13541	3	-0.00138429099629323	-0.305631094599236	0.172054013514767	FALSE	Hypomethylated	-0.021101112	0.945182306	11	FALSE	FALSE	FALSE	1	0.0745989816919141	NA	0.0267543256789061	-0.652071007	0.68508840112311	NA	0.924245546354559	2.78e-05	FALSE	NA	FALSE	TRUE	Neither	Neither
1700018F24Rik	ENSMUSG00000029620.4	chr5	145042989	145045681	2692	1	-0.00481678298919757	-0.563629123524056	0.370149630612821	FALSE	Hypomethylated	NA	NA	NA	FALSE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Neither	Neither
1700019A02Rik	ENSMUSG00000060715.9	chr1	53158576	53187636	29060	4	0.000967584979176404	-0.131834260193663	0.417465801832313	FALSE	Hypomethylated	1.17973055	0.00041711	1	TRUE	FALSE	FALSE	10	0.00124275373098517	-1.09241795679999	NA	1.632337825	0.99529628386268	4.06347652965659e-09	NA	6.36e-24	FALSE	TRUE	NA	TRUE	MeCP2-up only	MeCP2-up only
1700019D03Rik	ENSMUSG00000043629.12	chr1	52922323	53020179	97856	5	0.00877236611354963	0.382254878699619	6.42037464818792e-07	TRUE	Hypermethylated	1.36255742	1.48e-05	1	TRUE	FALSE	FALSE	7	0.535030494568212	0.0894123701084707	NA	0.342595641	0.00289475197436597	0.547481180687443	NA	0.0016229	TRUE	FALSE	NA	TRUE	MeCP2-up only	MeCP2-up only
1700019N19Rik	ENSMUSG00000026931.10	chr19	58785802	58794461	8659	2	-0.00108233413630375	-0.124821425858392	0.487223636945937	FALSE	Hypomethylated	NA	NA	NA	FALSE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Neither	Neither
1700020A23Rik	ENSMUSG00000027409.5	chr2	130405258	130406074	816	1	-0.00470252635859119	-0.169865274816046	0.880700728175113	FALSE	Hypomethylated	NA	NA	NA	FALSE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Neither	Neither
1700020D05Rik	ENSMUSG00000100937.1	chr19	5502766	5503787	1021	1	-0.0034538302003496	-0.791557298657369	0.297589674806547	FALSE	Hypomethylated	NA	NA	NA	FALSE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Neither	Neither
1700020L24Rik	ENSMUSG00000035085.5	chr11	83437676	83441233	3557	1	0.0013661747062855	-0.0855587856814673	0.843369546714157	FALSE	Hypomethylated	-0.142916622	0.522085048	2	FALSE	FALSE	FALSE	5	0.0866954026931887	NA	1.27799224061825	0.057065918	0.603401863521374	NA	7.09933062725566e-10	0.61085038	FALSE	NA	TRUE	FALSE	Neither	Neither
1700020N01Rik	ENSMUSG00000050844.5	chr10	21593144	21622376	29232	4	-0.00167058778217552	-0.258460460461597	0.0336113802409045	TRUE	Hypomethylated	NA	NA	NA	FALSE	FALSE	FALSE	6	0.0769496548753046	NA	NA	0.147780471	0.736196074651331	NA	NA	0.2359104	FALSE	NA	NA	FALSE	Neither	Neither
1700021F07Rik	ENSMUSG00000027518.3	chr2	173522585	173528501	5916	2	-0.0035291183208574	-0.485212166264952	0.0509806478645906	FALSE	Hypomethylated	NA	NA	NA	FALSE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Neither	Neither
1700022I11Rik	ENSMUSG00000028451.12	chr4	42969603	42983640	14037	3	0.00042315526332521	-0.221853590733793	0.306351358217044	FALSE	Hypomethylated	NA	NA	NA	FALSE	FALSE	FALSE	NA	0.119522619326197	NA	NA	NA	0.61597593945617	NA	NA	NA	FALSE	NA	NA	NA	Neither	Neither
1700024B05Rik	ENSMUSG00000052334.11	chr14	41943994	42003821	59827	4	0.00081791799964287	-0.305314385168766	0.0350973983908246	TRUE	Hypomethylated	NA	NA	NA	FALSE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Neither	Neither
1700024G13Rik	ENSMUSG00000072473.4	chr14	32376067	32388391	12324	2	0.00214418605998436	-0.0190491749548025	0.906256119636612	FALSE	Hypomethylated	-0.013938381	0.966823515	4	FALSE	FALSE	FALSE	4	0.218928113136823	0.748003034745817	0.0393160456119146	-0.017711419	0.260250345538835	0.00198728491293493	0.867240645183821	0.884655133	FALSE	TRUE	FALSE	FALSE	Neither	Neither
1700025B11Rik	ENSMUSG00000101113.1	chr15	77558238	77561892	3654	1	-0.0011750184440343	-0.351073371395028	0.559757922495925	FALSE	Hypomethylated	NA	NA	NA	FALSE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Neither	Neither
1700025C18Rik	ENSMUSG00000078935.1	chr2	165078692	165090750	12058	2	-0.00139703597930968	-0.128525931233918	0.401394719384432	FALSE	Hypomethylated	-0.12474739	0.531798559	4	FALSE	FALSE	FALSE	2	0.0587741735568158	NA	-0.460796651921171	-0.312911476	0.800444760222677	NA	0.0245516817264288	0.004972654	FALSE	NA	TRUE	TRUE	Neither	Neither
1700025G04Rik	ENSMUSG00000032666.16	chr1	151852402	152090125	237723	5	0.000890211366202025	-0.0441341262407454	0.327255281480602	FALSE	Hypomethylated	0.004922095	0.990205127	12	FALSE	FALSE	FALSE	7	0.221561838563829	-0.121642607377991	0.267292060247399	0.269424833	0.225398710139147	0.426134486398803	0.162339533175128	0.019854904	FALSE	FALSE	FALSE	TRUE	Neither	Neither
