gene_name	chr	in_mecp2_no_mch	k119ub_signal_gain
Yjefn3	chr8	TRUE	FALSE
Cpa3	chr3	FALSE	FALSE
Wdr19	chr5	FALSE	TRUE
AA467197	chr2	FALSE	TRUE
Slc36a1	chr11	FALSE	FALSE
Dkk4	chr8	FALSE	FALSE
Bnip2	chr9	FALSE	FALSE
Spon1	chr7	FALSE	TRUE
Lnp1	chr16	FALSE	FALSE
Slc9b1	chr3	FALSE	FALSE
Sh2d3c	chr2	FALSE	FALSE
Smo	chr6	FALSE	TRUE
Ago4	chr4	FALSE	FALSE
Siglech	chr7	FALSE	TRUE
Btnl4	chr17	FALSE	FALSE
Aco1	chr4	FALSE	TRUE
Nfkb1	chr3	FALSE	FALSE
Ctsa	chr2	FALSE	FALSE
Mybphl	chr3	FALSE	TRUE
Zfp286	chr11	FALSE	TRUE
Ttll10	chr4	FALSE	FALSE
Zdbf2	chr1	FALSE	FALSE
Letm2	chr8	FALSE	FALSE
Ecscr	chr18	FALSE	FALSE
Fscn1	chr5	FALSE	FALSE
Bscl2	chr19	FALSE	TRUE
Aasdh	chr5	FALSE	TRUE
Klhl5	chr5	FALSE	TRUE
H6pd	chr4	FALSE	TRUE
Phpt1	chr2	FALSE	FALSE
Abo	chr2	FALSE	FALSE
Casp6	chr3	FALSE	TRUE
Tcea3	chr4	FALSE	FALSE
Ptpn12	chr5	FALSE	TRUE
Pdzd11	chrX	FALSE	TRUE
Lysmd4	chr7	FALSE	TRUE
Mmp9	chr2	FALSE	FALSE
Zbtb25	chr12	FALSE	TRUE
Cib1	chr7	FALSE	TRUE
Trpc5os	chrX	FALSE	TRUE
Hdac6	chrX	FALSE	FALSE
Sart3	chr5	FALSE	FALSE
Ppid	chr3	FALSE	TRUE
Usp5	chr6	FALSE	FALSE
Vav1	chr17	FALSE	FALSE
Prkx	chrX	FALSE	FALSE
Traf4	chr11	FALSE	FALSE
Cemip2	chr19	FALSE	TRUE
Fkbp1a	chr2	FALSE	FALSE
Slc28a2b	chr2	FALSE	FALSE
Gypa	chr8	FALSE	TRUE
Nceh1	chr3	FALSE	FALSE
Pcdhac2	chr18	FALSE	TRUE
Pofut1	chr2	FALSE	FALSE
Fam171a2	chr11	FALSE	FALSE
Ppp2r2d	chr7	FALSE	FALSE
Lypd5	chr7	FALSE	FALSE
Washc4	chr10	FALSE	FALSE
Dtx4	chr19	FALSE	TRUE
Cstdc2	chr2	FALSE	FALSE
Kat6b	chr14	FALSE	TRUE
Espn	chr4	FALSE	FALSE
Xpnpep2	chrX	FALSE	TRUE
Pgm5	chr19	FALSE	FALSE
Gipc3	chr10	FALSE	FALSE
Pnpla8	chr12	FALSE	TRUE
2810459M11Rik	chr1	TRUE	FALSE
Aimp1	chr3	FALSE	FALSE
Gnl2	chr4	FALSE	FALSE
Eed	chr7	FALSE	TRUE
Igdcc3	chr9	FALSE	FALSE
Gsdmc	chr15	FALSE	FALSE
Cbr3	chr16	FALSE	TRUE
Ube2l3	chr16	FALSE	FALSE
Guca2b	chr4	FALSE	FALSE
Apol11a	chr15	FALSE	FALSE
Nudt4	chr10	FALSE	TRUE
Vti1b	chr12	FALSE	FALSE
Smco4	chr9	FALSE	TRUE
Kpna6	chr4	FALSE	FALSE
Zbtb38	chr9	FALSE	TRUE
Sumo2	chr11	FALSE	FALSE
Trim63	chr4	FALSE	FALSE
Rnf8	chr17	FALSE	FALSE
Jrk	chr15	FALSE	TRUE
Scn3b	chr9	FALSE	FALSE
Slc43a1	chr2	FALSE	FALSE
Eif3e	chr15	FALSE	FALSE
Zfr	chr15	FALSE	FALSE
Pex11b	chr3	FALSE	TRUE
Nlrp1a	chr11	FALSE	FALSE
Cenpu	chr8	FALSE	TRUE
Carm1	chr9	FALSE	FALSE
Scml4	chr10	FALSE	TRUE
Wfdc3	chr2	FALSE	TRUE
Arfgef1	chr1	FALSE	FALSE
Gmpr	chr13	FALSE	TRUE
Vamp1	chr6	FALSE	TRUE
Anapc10	chr8	FALSE	TRUE
Crygn	chr5	FALSE	TRUE
Sec14l3	chr11	FALSE	FALSE
Pja2	chr17	FALSE	TRUE
Pnliprp2	chr19	FALSE	FALSE
Hid1	chr11	FALSE	FALSE
Cwc25	chr11	FALSE	FALSE
Hacd3	chr9	FALSE	FALSE
Adig	chr2	FALSE	FALSE
Hpgds	chr6	FALSE	TRUE
Rbm47	chr5	FALSE	FALSE
Cnot6	chr11	FALSE	FALSE
Ccdc38	chr10	FALSE	TRUE
Cpsf7	chr19	FALSE	FALSE
Calm4	chr13	FALSE	FALSE
Mab21l4	chr1	FALSE	FALSE
Cd300lg	chr11	TRUE	FALSE
Gpr152	chr19	FALSE	TRUE
Pid1	chr1	FALSE	TRUE
Sgsh	chr11	FALSE	FALSE
St13	chr15	FALSE	FALSE
Esr2	chr12	TRUE	TRUE
Zfr2	chr10	FALSE	FALSE
C1qtnf2	chr11	FALSE	TRUE
Thsd1	chr8	FALSE	FALSE
Pvr	chr7	FALSE	FALSE
Fam124a	chr14	FALSE	TRUE
Ip6k3	chr17	FALSE	FALSE
Sim2	chr16	FALSE	FALSE
Slc7a6	chr8	FALSE	FALSE
Traf3ip3	chr1	FALSE	TRUE
Tm4sf5	chr11	FALSE	TRUE
Morn3	chr5	FALSE	FALSE
Gfra3	chr18	FALSE	FALSE
Nectin3	chr16	FALSE	TRUE
Fasl	chr1	FALSE	FALSE
Tmco3	chr8	FALSE	FALSE
Nt5dc3	chr10	FALSE	TRUE
Kcnk6	chr7	FALSE	FALSE
Amz1	chr5	FALSE	FALSE
Defb12	chr8	FALSE	FALSE
Bclaf3	chrX	FALSE	FALSE
Rab11fip1	chr8	FALSE	FALSE
Nup160	chr2	FALSE	FALSE
Hoxb13	chr11	FALSE	FALSE
Eif4e	chr3	FALSE	TRUE
Ces4a	chr8	FALSE	FALSE
Pou6f2	chr13	FALSE	FALSE
Slc2a2	chr3	FALSE	FALSE
Stx17	chr4	FALSE	TRUE
Chmp1a	chr8	FALSE	FALSE
Kcnn4	chr7	FALSE	TRUE
Grm6	chr11	FALSE	FALSE
Grin1	chr2	FALSE	FALSE
Tacr1	chr6	FALSE	FALSE
Zfp54	chr17	FALSE	TRUE
Knstrn	chr2	FALSE	TRUE
Manf	chr9	FALSE	FALSE
Zan	chr5	FALSE	FALSE
Gna15	chr10	FALSE	FALSE
Mfsd6	chr1	FALSE	TRUE
Fbxo21	chr5	FALSE	FALSE
Ttc41	chr10	FALSE	TRUE
Asb10	chr5	FALSE	FALSE
Rxfp1	chr3	FALSE	TRUE
Map4k2	chr19	FALSE	FALSE
Acvr2b	chr9	FALSE	FALSE
Tmem185b	chr1	FALSE	TRUE
Prm1	chr16	FALSE	FALSE
Serinc1	chr10	FALSE	TRUE
Map3k21	chr8	FALSE	TRUE
Gpr183	chr14	FALSE	FALSE
Psmd13	chr7	FALSE	FALSE
Cyb5d1	chr11	FALSE	TRUE
Acyp2	chr11	FALSE	TRUE
Bmi1	chr2	FALSE	TRUE
E230025N22Rik	chr18	FALSE	FALSE
Nlgn2	chr11	FALSE	FALSE
Thumpd3	chr6	FALSE	TRUE
Flcn	chr11	FALSE	FALSE
Socs5	chr17	FALSE	TRUE
Col5a3	chr9	FALSE	FALSE
Cenpb	chr2	FALSE	TRUE
Wdfy2	chr14	FALSE	TRUE
Dcst1	chr3	FALSE	TRUE
Yju2	chr17	FALSE	TRUE
Snrnp40	chr4	FALSE	FALSE
Bcan	chr3	FALSE	FALSE
Eef1d	chr15	FALSE	FALSE
Pou3f2	chr4	FALSE	TRUE
Tlr1	chr5	FALSE	FALSE
Csf1	chr3	FALSE	TRUE
Rbl2	chr8	FALSE	FALSE
Bmp4	chr14	FALSE	TRUE
Cldn5	chr16	FALSE	FALSE
Txnrd2	chr16	FALSE	TRUE
Shkbp1	chr7	FALSE	FALSE
Mbd6	chr10	FALSE	FALSE
Usf1	chr1	FALSE	TRUE
Zbtb37	chr1	FALSE	TRUE
Wfdc16	chr2	FALSE	FALSE
Tspan7	chrX	TRUE	FALSE
Cd101	chr3	FALSE	FALSE
Inka2	chr3	FALSE	TRUE
Pfkfb3	chr2	FALSE	TRUE
Nbeal2	chr9	FALSE	FALSE
Cluap1	chr16	FALSE	FALSE
Sycp2l	chr13	FALSE	FALSE
Dpp8	chr9	FALSE	FALSE
Zbtb42	chr12	FALSE	TRUE
Ptpn20	chr14	FALSE	FALSE
Alad	chr4	FALSE	TRUE
Serpina1e	chr12	FALSE	FALSE
Fem1b	chr9	FALSE	FALSE
Lrrc4b	chr7	FALSE	FALSE
Hsd17b6	chr10	FALSE	FALSE
Gabbr1	chr17	FALSE	FALSE
Spidr	chr16	FALSE	FALSE
Pus7	chr5	FALSE	TRUE
Kcnq3	chr15	FALSE	TRUE
Fam151b	chr13	FALSE	TRUE
Pcdhb9	chr18	FALSE	FALSE
Draxin	chr4	FALSE	TRUE
Diaph2	chrX	FALSE	TRUE
Txnrd3	chr6	FALSE	TRUE
Atf6	chr1	FALSE	TRUE
Nhsl2	chrX	FALSE	TRUE
Samsn1	chr16	FALSE	FALSE
Flii	chr11	FALSE	FALSE
Mid2	chrX	FALSE	TRUE
Adam8	chr7	FALSE	FALSE
Plin5	chr17	FALSE	FALSE
Maea	chr5	FALSE	FALSE
Defb47	chr14	FALSE	FALSE
Wdr11	chr7	FALSE	FALSE
Krt86	chr15	FALSE	FALSE
Kcna10	chr3	FALSE	TRUE
Dzank1	chr2	FALSE	FALSE
Ccdc122	chr14	FALSE	FALSE
Sv2a	chr3	FALSE	FALSE
Vrk3	chr7	FALSE	FALSE
Tnip1	chr11	FALSE	FALSE
Gm826	chr2	FALSE	FALSE
Sbk1	chr7	FALSE	FALSE
Gp5	chr16	FALSE	FALSE
Tollip	chr7	FALSE	FALSE
Uba2	chr7	FALSE	FALSE
Creb3l2	chr6	FALSE	TRUE
Zfp646	chr7	FALSE	FALSE
Rassf2	chr2	FALSE	TRUE
Enpp6	chr8	FALSE	FALSE
Kcnh5	chr12	FALSE	FALSE
Hps3	chr3	FALSE	TRUE
Slc6a15	chr10	FALSE	TRUE
Pcdhb4	chr18	FALSE	FALSE
Plekhm1	chr11	FALSE	FALSE
Smarcc1	chr9	FALSE	TRUE
Has3	chr8	FALSE	FALSE
Scrn1	chr6	FALSE	TRUE
Sec1	chr7	FALSE	TRUE
Tbx4	chr11	FALSE	FALSE
Hsf4	chr8	FALSE	TRUE
Hhatl	chr9	FALSE	FALSE
Arhgap30	chr1	FALSE	TRUE
Gm11733	chr11	TRUE	TRUE
Tspan33	chr6	FALSE	TRUE
Kcnc3	chr7	FALSE	FALSE
Lipa	chr19	FALSE	TRUE
Dnajc21	chr15	FALSE	TRUE
Kcnk15	chr2	FALSE	FALSE
Slc5a1	chr5	FALSE	TRUE
Gulp1	chr1	FALSE	FALSE
Inppl1	chr7	FALSE	TRUE
Ccdc24	chr4	FALSE	FALSE
Eif2d	chr1	FALSE	FALSE
Tmem178	chr17	TRUE	FALSE
Afap1l1	chr18	FALSE	TRUE
Zbtb18	chr1	FALSE	FALSE
Rgsl1	chr1	FALSE	FALSE
Pltp	chr2	FALSE	FALSE
Eppk1	chr15	FALSE	FALSE
Pxn	chr5	FALSE	FALSE
Asb4	chr6	FALSE	FALSE
Lcn5	chr2	FALSE	TRUE
Ano1	chr7	FALSE	FALSE
Utp6	chr11	FALSE	FALSE
Plxna4	chr6	FALSE	TRUE
Rint1	chr5	FALSE	TRUE
Igf2	chr7	FALSE	FALSE
Ocln	chr13	FALSE	TRUE
Stard8	chrX	FALSE	FALSE
Fstl1	chr16	FALSE	TRUE
Arhgef28	chr13	FALSE	FALSE
Hoxd12	chr2	FALSE	FALSE
Adgrl4	chr3	FALSE	TRUE
Vdac3	chr8	FALSE	FALSE
Imp3	chr9	FALSE	TRUE
Ccm2	chr11	FALSE	TRUE
Hs6st2	chrX	FALSE	TRUE
Sdr42e1	chr8	FALSE	FALSE
Vgll3	chr16	FALSE	FALSE
Clasrp	chr7	FALSE	FALSE
Klhl8	chr5	FALSE	FALSE
Agfg1	chr1	FALSE	FALSE
Esam	chr9	FALSE	TRUE
Vwa3b	chr1	FALSE	FALSE
Mterf4	chr1	FALSE	TRUE
Pxmp4	chr2	FALSE	TRUE
Sag	chr1	FALSE	FALSE
Pmaip1	chr18	FALSE	TRUE
Ap2a1	chr7	FALSE	FALSE
Klc2	chr19	FALSE	FALSE
Prm2	chr16	FALSE	FALSE
Adgrg1	chr8	FALSE	TRUE
Mllt11	chr3	FALSE	TRUE
Fabp5	chr3	FALSE	TRUE
Slf2	chr19	FALSE	FALSE
Pank4	chr4	FALSE	FALSE
Mfsd4b5	chr10	FALSE	TRUE
Zfp771	chr7	FALSE	TRUE
Vegfc	chr8	FALSE	TRUE
Cltc	chr11	FALSE	FALSE
Nrap	chr19	FALSE	TRUE
Parp9	chr16	FALSE	TRUE
Cap1	chr4	FALSE	FALSE
Ppp1r16a	chr15	FALSE	TRUE
Crb3	chr17	FALSE	TRUE
Bsdc1	chr4	FALSE	FALSE
Agk	chr6	FALSE	TRUE
Fkbp6	chr5	FALSE	FALSE
Lzts3	chr2	FALSE	TRUE
Ramp1	chr1	FALSE	TRUE
Pnldc1	chr17	FALSE	FALSE
Sufu	chr19	FALSE	FALSE
Cyb561	chr11	FALSE	FALSE
Tbc1d13	chr2	FALSE	FALSE
Acsm1	chr7	FALSE	FALSE
Cilk1	chr9	FALSE	TRUE
Cxcl12	chr6	FALSE	FALSE
Klhdc7a	chr4	FALSE	FALSE
Fcnb	chr2	FALSE	FALSE
Bmp3	chr5	FALSE	FALSE
Shisa5	chr9	FALSE	TRUE
Vmn2r8	chr5	FALSE	FALSE
Ccdc172	chr19	FALSE	FALSE
Hgsnat	chr8	FALSE	FALSE
Ccnd2	chr6	FALSE	TRUE
Zscan20	chr4	FALSE	FALSE
Zfp944	chr17	FALSE	TRUE
Dhcr24	chr4	FALSE	TRUE
Ly6g6g	chr15	FALSE	FALSE
Slc30a2	chr4	FALSE	FALSE
Polr3e	chr7	FALSE	FALSE
Sec31a	chr5	FALSE	FALSE
Galntl5	chr5	FALSE	TRUE
Ndel1	chr11	FALSE	FALSE
H2-K1	chr17	FALSE	FALSE
Ndufs6	chr13	FALSE	TRUE
C1ql4	chr15	FALSE	FALSE
Nkapd1	chr9	FALSE	FALSE
2310030G06Rik	chr9	FALSE	TRUE
Oasl2	chr5	FALSE	FALSE
Lin54	chr5	FALSE	TRUE
Fbxw24	chr9	FALSE	FALSE
Atp13a4	chr16	FALSE	FALSE
Krt4	chr15	FALSE	FALSE
Zfp131	chr13	FALSE	TRUE
Iars2	chr1	FALSE	FALSE
Ssbp4	chr8	FALSE	TRUE
Smco2	chr6	FALSE	FALSE
Tpcn1	chr5	FALSE	FALSE
Slc26a2	chr18	FALSE	TRUE
Arg2	chr12	FALSE	TRUE
Mdp1	chr14	FALSE	TRUE
Brdt	chr5	FALSE	TRUE
Tmem119	chr5	FALSE	FALSE
Txn2	chr15	FALSE	FALSE
Plekhh3	chr11	FALSE	FALSE
Lif	chr11	FALSE	FALSE
Cd200	chr16	FALSE	TRUE
Steap1	chr5	FALSE	TRUE
Gjb4	chr4	FALSE	FALSE
Il1rapl1	chrX	TRUE	TRUE
Plin1	chr7	FALSE	TRUE
Hbp1	chr12	FALSE	TRUE
Rnd3	chr2	FALSE	TRUE
Aqp12	chr1	FALSE	FALSE
Lpar1	chr4	FALSE	FALSE
Recql4	chr15	FALSE	TRUE
Larp1b	chr3	FALSE	TRUE
Afap1l2	chr19	FALSE	TRUE
Fndc11	chr2	FALSE	FALSE
Pik3c3	chr18	FALSE	FALSE
B4galt5	chr2	FALSE	FALSE
Nck2	chr1	FALSE	TRUE
Brd1	chr15	FALSE	FALSE
Tk2	chr8	FALSE	TRUE
Dapl1	chr2	FALSE	TRUE
Zfp791	chr8	FALSE	TRUE
Nmt2	chr2	FALSE	TRUE
Tnfaip8l3	chr9	FALSE	FALSE
Wdsub1	chr2	FALSE	TRUE
Zfp672	chr11	FALSE	TRUE
Wdr91	chr6	FALSE	TRUE
Ppp1r10	chr17	FALSE	FALSE
Blzf1	chr1	FALSE	TRUE
Mc4r	chr18	FALSE	FALSE
Sdr9c7	chr10	FALSE	FALSE
G3bp2	chr5	FALSE	FALSE
Dnajc28	chr16	FALSE	TRUE
Stn1	chr19	FALSE	TRUE
Pomt1	chr2	FALSE	FALSE
Vxn	chr1	FALSE	TRUE
Zfp503	chr14	FALSE	TRUE
Copa	chr1	FALSE	FALSE
Tgfb1i1	chr7	FALSE	TRUE
Onecut1	chr9	FALSE	FALSE
Zwint	chr10	FALSE	TRUE
Esyt1	chr10	FALSE	FALSE
Poglut1	chr16	FALSE	TRUE
Phf6	chrX	FALSE	FALSE
Cdk5r2	chr1	FALSE	TRUE
Chrnb4	chr9	FALSE	TRUE
Tmem202	chr9	FALSE	TRUE
Stmn4	chr14	FALSE	TRUE
Trim7	chr11	FALSE	TRUE
Cmklr1	chr5	FALSE	FALSE
Il4i1	chr7	FALSE	FALSE
F9	chrX	FALSE	TRUE
Zfp287	chr11	FALSE	FALSE
Ercc4	chr16	FALSE	FALSE
Dennd2c	chr3	FALSE	TRUE
Dhx57	chr17	FALSE	FALSE
Taf15	chr11	FALSE	FALSE
Fstl3	chr10	FALSE	TRUE
Il34	chr8	FALSE	FALSE
3425401B19Rik	chr14	FALSE	TRUE
Glrx2	chr1	FALSE	TRUE
Cbx7	chr15	FALSE	TRUE
Fah	chr7	FALSE	FALSE
Cyp17a1	chr19	FALSE	FALSE
Rmdn1	chr4	FALSE	FALSE
Slc22a18	chr7	FALSE	FALSE
Adtrp	chr13	FALSE	FALSE
Ice2	chr9	FALSE	FALSE
Hat1	chr2	FALSE	TRUE
Ssbp3	chr4	FALSE	TRUE
Lrrk2	chr15	FALSE	TRUE
Fbxo31	chr8	FALSE	FALSE
Mrps22	chr9	FALSE	TRUE
Pacsin1	chr17	FALSE	FALSE
Gpr155	chr2	FALSE	TRUE
Wnt9a	chr11	FALSE	FALSE
Zbtb48	chr4	FALSE	FALSE
Gcm2	chr13	FALSE	FALSE
Necap1	chr6	FALSE	FALSE
