"seqnames","start","end","width","strand","peak_id","Fold","FDR","annotation","geneChr","geneStart","geneEnd","geneLength","geneStrand","geneId","transcriptId","distanceToTSS","ENSEMBL","SYMBOL","GENENAME","h2a_Fold","h2a_FDR"
"chr1",90772351,90774422,2072,"*","h2a_peak_53",-0.407862542,0.042269869,"Promoter (<=1kb)",1,90767389,90773215,5827,2,"12835","ENSMUST00000150769.1",0,"ENSMUSG00000048126","Col6a3","collagen, type VI, alpha 3",-0.407862542,0.042269869
"chr1",19233731,19235238,1508,"*","h2a_peak_54",-0.496131334,0.09015127,"3' UTR",1,19213879,19219253,5375,1,"21419","ENSMUST00000186972.1",19852,"ENSMUSG00000025927","Tfap2b","transcription factor AP-2 beta",-0.496131334,0.09015127
"chr1",132928349,132929634,1286,"*","h2a_peak_55",-0.717403232,7.55e-05,"Intron (ENSMUST00000027706.3/16980, intron 1 of 1)",1,132880355,132937150,56796,1,"16980","ENSMUST00000159088.1",47994,"ENSMUSG00000026443","Lrrn2","leucine rich repeat protein 2, neuronal",-0.717403232,7.55e-05
"chr1",88622793,88624209,1417,"*","h2a_peak_56",0.127236609,0.544517863,"Distal Intergenic",1,88551517,88562167,10651,1,"100503197","ENSMUST00000189394.1",71276,"ENSMUSG00000100798","Gm19589","predicted gene, 19589",0.127236609,0.544517863
"chr1",175880172,175881337,1166,"*","h2a_peak_57",1.13879656,1.43e-08,"Promoter (<=1kb)",1,175880581,175913489,32909,1,"26909","ENSMUST00000039725.11",0,"ENSMUSG00000039748","Exo1","exonuclease 1",1.13879656,1.43e-08
"chr1",133157283,133158782,1500,"*","h2a_peak_58",-0.65012178,0.000236031,"Distal Intergenic",1,133164210,133272280,108071,1,"240753","ENSMUST00000212252.1",-5428,"ENSMUSG00000041757","Plekha6","pleckstrin homology domain containing, family A member 6",-0.65012178,0.000236031
"chr1",132582727,132584496,1770,"*","h2a_peak_59",-0.369455823,0.055629611,"Exon (ENSMUST00000094569.10/269116, exon 26 of 30)",1,132576324,132587140,10817,2,"269116","ENSMUST00000186330.1",2644,"ENSMUSG00000026442","Nfasc","neurofascin",-0.369455823,0.055629611
"chr1",155441666,155443095,1430,"*","h2a_peak_60",0.163947683,0.434419307,"Distal Intergenic",1,155282668,155417415,134748,2,"19775","ENSMUST00000111774.1",-24251,"ENSMUSG00000026469","Xpr1","xenotropic and polytropic retrovirus receptor 1",0.163947683,0.434419307
"chr1",52008197,52009496,1300,"*","h2a_peak_61",-0.459826686,0.025720556,"Promoter (<=1kb)",1,52008243,52107184,98942,1,"20849","ENSMUST00000027277.6",0,"ENSMUSG00000062939","Stat4","signal transducer and activator of transcription 4",-0.459826686,0.025720556
"chr1",75399493,75401505,2013,"*","h2a_peak_62",-0.250691437,0.18569451,"Promoter (<=1kb)",1,75400085,75403990,3906,1,"11790","ENSMUST00000113589.7",0,"ENSMUSG00000026207","Speg","SPEG complex locus",-0.250691437,0.18569451
"chr1",109104615,109106110,1496,"*","h2a_peak_63",0.781569561,0.000157068,"Distal Intergenic",1,109982431,109995955,13525,1,"241201","ENSMUST00000137092.7",-876321,"ENSMUSG00000026312","Cdh7","cadherin 7, type 2",0.781569561,0.000157068
"chr1",190581441,190582917,1477,"*","h2a_peak_64",-0.462528995,0.017028866,"Distal Intergenic",1,190403645,190417145,13501,1,"433390","ENSMUST00000193966.1",177796,"ENSMUSG00000103644","Gm29678","predicted gene, 29678",-0.462528995,0.017028866
"chr1",152611846,152613643,1798,"*","h2a_peak_65",-0.605819007,0.001673467,"3' UTR",1,152557543,152625029,67487,2,"19731","ENSMUST00000149536.2",11386,"ENSMUSG00000026482","Rgl1","ral guanine nucleotide dissociation stimulator,-like 1",-0.605819007,0.001673467
"chr1",91336198,91338112,1915,"*","h2a_peak_66",-0.221968258,0.288804464,"Intron (ENSMUST00000088904.9/227357, intron 5 of 8)",1,91351016,91362416,11401,1,"70788","ENSMUST00000027533.8",-12904,"ENSMUSG00000026308","Klhl30","kelch-like 30",-0.221968258,0.288804464
"chr1",68290002,68292018,2017,"*","h2a_peak_67",1.446226051,8.33e-12,"Exon (ENSMUST00000119142.7/13869, exon 16 of 28)",1,68290155,68298318,8164,2,"13869","ENSMUST00000131148.1",6300,"ENSMUSG00000062209","Erbb4","erb-b2 receptor tyrosine kinase 4",1.446226051,8.33e-12
"chr1",65050244,65051672,1429,"*","h2a_peak_68",0.011474007,0.956107873,"Promoter (<=1kb)",1,65048554,65051149,2596,2,"12968","ENSMUST00000087359.5",0,"ENSMUSG00000070870","Cryge","crystallin, gamma E",0.011474007,0.956107873
"chr1",140660842,140662377,1536,"*","h2a_peak_69",-0.115562698,0.577691175,"Distal Intergenic",1,140570176,140656404,86229,2,"75910","ENSMUST00000193820.1",-4438,"ENSMUSG00000102368","4930590L20Rik","RIKEN cDNA 4930590L20 gene",-0.115562698,0.577691175
"chr1",193966842,193968824,1983,"*","h2a_peak_70",-0.289087153,0.118239182,"Distal Intergenic",1,194212187,194222759,10573,2,"74942","ENSMUST00000193395.1",253935,"ENSMUSG00000103692","4930503O07Rik","RIKEN cDNA 4930503O07 gene",-0.289087153,0.118239182
"chr1",26054040,26055178,1139,"*","h2a_peak_71",2.326188315,2.37e-29,"Distal Intergenic",1,25067550,25829707,762158,2,"210933","ENSMUST00000151309.7",-224333,"ENSMUSG00000033569","Adgrb3","adhesion G protein-coupled receptor B3",2.326188315,2.37e-29
"chr1",51098192,51099854,1663,"*","h2a_peak_72",1.598963308,1.94e-17,"Intron (ENSMUST00000081851.3/56363, intron 5 of 9)",1,50927519,51187270,259752,1,"56363","ENSMUST00000081851.3",170673,"ENSMUSG00000026109","Tmeff2","transmembrane protein with EGF-like and two follistatin-like domains 2",1.598963308,1.94e-17
"chr1",188200536,188202495,1960,"*","h2a_peak_73",-0.076583235,0.725998923,"Intron (ENSMUST00000110939.7/26381, intron 7 of 7)",1,188262023,188357520,95498,1,"22283","ENSMUST00000142189.7",-59528,"ENSMUSG00000026609","Ush2a","usherin",-0.076583235,0.725998923
"chr1",70810290,70811393,1104,"*","h2a_peak_74",1.773233053,5.82e-19,"Intron (ENSMUST00000053922.11/320460, intron 3 of 3)",1,70725923,70882489,156567,1,"320460","ENSMUST00000162182.1",84367,"ENSMUSG00000045648","Vwc2l","von Willebrand factor C domain-containing protein 2-like",1.773233053,5.82e-19
"chr1",50920481,50921997,1517,"*","h2a_peak_75",1.188584939,2.17e-10,"Intron (ENSMUST00000114565.7/56363, intron 3 of 9)",1,50927519,51187270,259752,1,"56363","ENSMUST00000081851.3",-5522,"ENSMUSG00000026109","Tmeff2","transmembrane protein with EGF-like and two follistatin-like domains 2",1.188584939,2.17e-10
"chr1",33334450,33336071,1622,"*","h2a_peak_76",0.949180348,3.08e-06,"Distal Intergenic",1,33478942,33622142,143201,2,"19076","ENSMUST00000189552.1",286071,"ENSMUSG00000026134","Prim2","DNA primase, p58 subunit",0.949180348,3.08e-06
"chr1",165813717,165815261,1545,"*","h2a_peak_77",-0.58946086,0.000499754,"Intron (ENSMUST00000161971.7/12503, intron 1 of 7)",1,165788765,165870249,81485,1,"12503","ENSMUST00000161559.2",24952,"ENSMUSG00000005763","Cd247","CD247 antigen",-0.58946086,0.000499754
"chr1",194698242,194700217,1976,"*","h2a_peak_78",0.008806444,0.966419899,"Intron (ENSMUST00000027952.11/18845, intron 3 of 31)",1,194644856,194660012,15157,1,"18845","ENSMUST00000125381.1",53386,"ENSMUSG00000026640","Plxna2","plexin A2",0.008806444,0.966419899
"chr1",28222666,28224393,1728,"*","h2a_peak_79",1.22881389,1.1e-08,"Distal Intergenic",1,27884046,27902396,18351,1,"433281","ENSMUST00000185409.1",338620,NA,"Gm5524","predicted gene 5524",1.22881389,1.1e-08
"chr1",190383223,190385718,2496,"*","h2a_peak_80",-0.542377853,0.002867138,"Distal Intergenic",1,190403645,190417145,13501,1,"433390","ENSMUST00000193966.1",-17927,"ENSMUSG00000103644","Gm29678","predicted gene, 29678",-0.542377853,0.002867138
"chr1",159549834,159551479,1646,"*","h2a_peak_81",-0.427237983,0.027224681,"Intron (ENSMUST00000192069.5/21960, intron 1 of 22)",1,159523841,159737795,213955,1,"21960","ENSMUST00000195199.1",25993,"ENSMUSG00000015829","Tnr","tenascin R",-0.427237983,0.027224681
"chr1",69130191,69132121,1931,"*","h2a_peak_82",-0.043141302,0.843164178,"Exon (ENSMUST00000122454.1/ENSMUST00000122454.1, exon 1 of 1)",1,68032186,69108059,1075874,2,"13869","ENSMUST00000121473.7",-22132,"ENSMUSG00000062209","Erbb4","erb-b2 receptor tyrosine kinase 4",-0.043141302,0.843164178
"chr1",68949733,68951416,1684,"*","h2a_peak_83",0.560923977,0.002346094,"Intron (ENSMUST00000119142.7/13869, intron 1 of 27)",1,68032186,69107756,1075571,2,"13869","ENSMUST00000119142.7",156340,"ENSMUSG00000062209","Erbb4","erb-b2 receptor tyrosine kinase 4",0.560923977,0.002346094
"chr1",64830687,64833084,2398,"*","h2a_peak_84",-0.342095835,0.063731017,"Intron (ENSMUST00000139649.7/241075, intron 6 of 8)",1,64793809,64836764,42956,2,"241075","ENSMUST00000187188.1",3680,"ENSMUSG00000051344","Plekhm3","pleckstrin homology domain containing, family M, member 3",-0.342095835,0.063731017
"chr1",39255997,39257604,1608,"*","h2a_peak_85",-0.172727719,0.349243884,"Intron (ENSMUST00000173050.7/18143, intron 1 of 2)",1,39194212,39363236,169025,1,"18143","ENSMUST00000056815.8",61785,"ENSMUSG00000026077","Npas2","neuronal PAS domain protein 2",-0.172727719,0.349243884
"chr1",92973442,92975242,1801,"*","h2a_peak_86",-0.566783509,0.002304938,"Promoter (<=1kb)",1,92975347,92985864,10518,1,"64095","ENSMUST00000064480.6",-105,"ENSMUSG00000026271","Gpr35","G protein-coupled receptor 35",-0.566783509,0.002304938
"chr1",129534429,129535894,1466,"*","h2a_peak_87",0.999604108,3.6e-09,"Promoter (1-2kb)",1,129537511,129629046,91536,1,"210417","ENSMUST00000152305.2",-1617,"ENSMUSG00000042581","Thsd7b","thrombospondin, type I, domain containing 7B",0.999604108,3.6e-09
"chr1",138495705,138498229,2525,"*","h2a_peak_88",-0.709758031,0.000274529,"Intron (ENSMUST00000186017.6/59125, intron 9 of 9)",1,138484112,138619674,135563,2,"59125","ENSMUST00000027642.4",121445,"ENSMUSG00000026393","Nek7","NIMA (never in mitosis gene a)-related expressed kinase 7",-0.709758031,0.000274529
"chr1",192138136,192139233,1098,"*","h2a_peak_89",0.010209328,0.962055934,"Promoter (<=1kb)",1,192100787,192138062,37276,2,"214742","ENSMUST00000192866.5",-74,"ENSMUSG00000037395","Rcor3","REST corepressor 3",0.010209328,0.962055934
"chr1",134727433,134729196,1764,"*","h2a_peak_90",-0.504427791,0.006144436,"Intron (ENSMUST00000187725.6/20980, intron 1 of 2)",1,134709300,134753149,43850,1,"20980","ENSMUST00000121990.1",18133,"ENSMUSG00000026452","Syt2","synaptotagmin II",-0.504427791,0.006144436
"chr1",38666065,38667310,1246,"*","h2a_peak_91",-0.135779784,0.487855592,"Promoter (1-2kb)",1,38535159,38664955,129797,2,"16764","ENSMUST00000134963.1",-1110,"ENSMUSG00000037138","Aff3","AF4/FMR2 family, member 3",-0.135779784,0.487855592
"chr1",114319850,114321012,1163,"*","h2a_peak_92",1.117784556,1.19e-08,"Distal Intergenic",1,115684756,116587323,902568,1,"636808","ENSMUST00000043725.8",-1363744,"ENSMUSG00000070695","Cntnap5a","contactin associated protein-like 5A",1.117784556,1.19e-08
"chr1",151500799,151501775,977,"*","h2a_peak_93",0.704595828,0.000150357,"Promoter (<=1kb)",1,151469405,151500811,31407,2,"19821","ENSMUST00000187048.6",0,"ENSMUSG00000026484","Rnf2","ring finger protein 2",0.704595828,0.000150357
"chr1",56897570,56899868,2299,"*","h2a_peak_94",0.018392856,0.931081813,"Exon (ENSMUST00000042857.13/212712, exon 3 of 10)",1,56948134,56969840,21707,2,"212712","ENSMUST00000176759.1",69972,"ENSMUSG00000038331","Satb2","special AT-rich sequence binding protein 2",0.018392856,0.931081813
"chr1",120337577,120339386,1810,"*","h2a_peak_95",-0.66289365,0.001298076,"Promoter (1-2kb)",1,120340582,120343174,2593,1,"226359","ENSMUST00000037286.9",-1196,"ENSMUSG00000036907","C1ql2","complement component 1, q subcomponent-like 2",-0.66289365,0.001298076
"chr1",118803864,118805247,1384,"*","h2a_peak_96",-0.360948682,0.063060785,"Distal Intergenic",1,118954220,118954300,81,1,"102465176","ENSMUST00000183982.1",-148973,"ENSMUSG00000098273","Mir6346","microRNA 6346",-0.360948682,0.063060785
