bin	n_genes	mean_mch_ctrl	se_mch_ctrl	mean_mch_mut	se_mch_mut	mean_delta_mch	median_delta_mch	se_delta_mch	pooled_mch_ctrl	pooled_mch_mut	pooled_delta_mch
17	21484	0.0176472408654688	5.86827989541812e-05	0.0184949201024652	5.75266283620235e-05	0.000847679236996448	0.000695793570597588	3.7141235985002e-05	0.0204103917752359	0.0213182407751941	0.000907848999958261
18	21488	0.0176129244260582	5.85272417582988e-05	0.0184743948563215	5.73129619845684e-05	0.000861470430263337	0.000675277531917244	3.69430578017683e-05	0.0204600570266227	0.0213467551478473	0.000886698121224591
19	21488	0.0175572350736094	5.80120188565042e-05	0.0184215007869127	5.69729952570006e-05	0.000864265713303309	0.000703317219051796	3.6738086114786e-05	0.0203611079718247	0.0212660771468285	0.000904969175003805
20	21491	0.0175549367349095	5.80689308907872e-05	0.0183970694833295	5.72102888516631e-05	0.000842132748419955	0.000711857372358661	3.64797466534854e-05	0.0205037724385244	0.0214422990892587	0.000938526650734336
21	21493	0.0175523869793212	5.82285233917896e-05	0.0183705547757557	5.73479542081138e-05	0.000818167796434525	0.000704919860046734	3.65981926137848e-05	0.0205367414558421	0.0214448137517207	0.000908072295878564
22	21495	0.0175373534279646	5.81680045109708e-05	0.0183153300973036	5.67539181875307e-05	0.000777976669339019	0.000684933118357146	3.67568417379584e-05	0.0204871634607938	0.0213283047165497	0.000841141255755951
23	21496	0.017529504493036	5.83528897112671e-05	0.0182589716596436	5.67615766889772e-05	0.000729467166607563	0.000667688684260993	3.67898801648494e-05	0.0204156871546144	0.021222646425494	0.000806959270879589
24	21493	0.0175084496136841	5.84251147432949e-05	0.0182340714961539	5.67011424221333e-05	0.000725621882469813	0.000664828423791865	3.69278302409832e-05	0.0204596749475456	0.0212876073129458	0.000827932365400227
25	21490	0.017496459807698	5.90065587049449e-05	0.0182129641438396	5.70933732067983e-05	0.000716504336141599	0.000662695570752075	3.74462827963175e-05	0.0205498312802437	0.0213733821611851	0.000823550880941409
26	21490	0.0174576746565827	5.86219370885453e-05	0.0182079027025892	5.71870330601378e-05	0.000750228046006506	0.000691429340453797	3.67288652900683e-05	0.0206299482080332	0.0214726661491511	0.000842717941117864
27	21492	0.0174218697477299	5.84604637041572e-05	0.0181797840513589	5.71745612358445e-05	0.000757914303629031	0.000698887109967392	3.64582149051234e-05	0.0205102559505548	0.0213286351102778	0.000818379159722906
28	21490	0.0173630093398444	5.88034986525131e-05	0.0181174228829927	5.61563808766209e-05	0.000754413543148349	0.000697116132284761	3.81538615927267e-05	0.0204798738668648	0.0212977164331538	0.000817842566289015
29	21487	0.0173126656196713	5.73038773147481e-05	0.0180643553894621	5.60920911487377e-05	0.000751689769790868	0.00067221891466585	3.62789875555171e-05	0.0204088869363223	0.0212651726482707	0.000856285711948408
30	21489	0.0172652861019966	5.77115247429972e-05	0.0180146557579847	5.64010400999628e-05	0.000749369655988112	0.00069512876553977	3.71900719730907e-05	0.0203513326186675	0.0211197486968682	0.000768416078200714
31	21497	0.0172354452534379	5.7137812362761e-05	0.0179876365066471	5.6125851218261e-05	0.000752191253209223	0.000698588748227499	3.71872816481737e-05	0.0203621512257774	0.0211208910605517	0.000758739834774327
32	21485	0.0172241320342881	5.75248211977339e-05	0.0179538832915735	5.58290471941302e-05	0.00072975125728545	0.000681052768686147	3.60239857878373e-05	0.0202624883528919	0.0210572851694104	0.000794796816518506
33	21485	0.0172128942383467	5.755888210913e-05	0.0179153490669058	5.55034384038019e-05	0.000702454828559143	0.000663036686298574	3.66170793478491e-05	0.0201927899332791	0.020951520401977	0.000758730468697972
34	21481	0.0171841662585942	5.76187512833975e-05	0.017874694030129	5.55834782491922e-05	0.000690527771534768	0.000662268883782577	3.69800228370118e-05	0.0200908828796075	0.0208522409814648	0.000761358101857283
35	21486	0.0171516092020275	5.75088711478738e-05	0.0178386855843231	5.54679579383871e-05	0.000687076382295612	0.000660408336472362	3.73411375210746e-05	0.0199951914876367	0.0207455952192105	0.000750403731573732
36	21486	0.0171757830598917	5.80904838235922e-05	0.0178572484246381	5.63807339065936e-05	0.000681465364746458	0.00064565623713555	3.77539066458281e-05	0.0200595901428129	0.0208544513549554	0.000794861212142516
37	21488	0.0171546539479398	5.75282743401514e-05	0.0178098108295765	5.57246570175514e-05	0.000655156881636683	0.000615852433645765	3.83200221129412e-05	0.0199568474903957	0.0207777144138263	0.00082086692343054
38	21488	0.0171166193711249	5.72733644153136e-05	0.0177690777240041	5.53084193407495e-05	0.000652458352879241	0.00063556707502132	3.72527594684841e-05	0.019921742018927	0.0206746434614168	0.00075290144248976
39	21487	0.0171397612289391	5.7651530972298e-05	0.0177605547253909	5.53068403191465e-05	0.000620793496451791	0.000632322979974301	3.75297940185933e-05	0.019844814989137	0.0206163505954912	0.000771535606354193
40	21498	0.0170843780535327	5.7921018935754e-05	0.0177192282202983	5.54964168939463e-05	0.000634850166765545	0.000646093880029112	3.82614357539212e-05	0.0197586497211369	0.0204947124919787	0.000736062770841702
41	21500	0.0170377988790255	5.78632675418837e-05	0.0176669948985135	5.53607999000916e-05	0.000629196019488001	0.000633076230768634	3.84441551877447e-05	0.0196812644002343	0.0203491069537049	0.000667842553470667
42	21502	0.0169976549547877	5.72485872721603e-05	0.0176488577878619	5.52871365064859e-05	0.000651202833074119	0.000646899937021148	3.78451449046891e-05	0.019672136176887	0.0203732802872908	0.000701144110403767
43	21505	0.0169357654111001	5.69374343728978e-05	0.0176043869580011	5.54885826117912e-05	0.000668621546901003	0.000642843941207123	3.74225861098982e-05	0.0196573780263679	0.0203466478741674	0.00068926984779951
44	21504	0.0168841667626896	5.70972413788858e-05	0.0175519276652293	5.51855002324753e-05	0.000667760902539692	0.000637165968341692	3.90036668804252e-05	0.0195091441326075	0.020242063501066	0.000732919368458582
45	21504	0.0168487896434152	5.72690956587755e-05	0.0175596714706559	5.70738965396932e-05	0.000710881827240702	0.000666920921374633	4.27483645762576e-05	0.0193985325941195	0.0202395832732325	0.000841050679113046
46	21505	0.0168122729906541	5.60798899474724e-05	0.0175264621996141	5.68585612778367e-05	0.000714189208959999	0.000663210054233559	4.16759621629366e-05	0.0192855009283273	0.0199941816829863	0.000708680754659002
47	21511	0.0167940630211114	5.71850526759679e-05	0.0175090353626031	5.53022807227482e-05	0.000714972341491708	0.000687097422000698	3.8863365534115e-05	0.0194303931504782	0.020214213427913	0.000783820277434861
48	21511	0.0167252265694002	6.03467905168892e-05	0.0174473127162923	5.52403518314276e-05	0.000722086146892081	0.000703524103085442	4.21718229914705e-05	0.0192735285900064	0.0200240007307749	0.000750472140768555
49	21512	0.0166863001063589	6.12018789068407e-05	0.0173805584261861	5.55328060110354e-05	0.000694258319827177	0.000661261947582133	4.34580163338377e-05	0.0189401221168466	0.0196473658454794	0.000707243728632817
50	21516	0.0165035795191606	6.16615506230302e-05	0.0172431763017862	5.62620602524615e-05	0.000739596782625625	0.000710397560626217	4.55270757118089e-05	0.0184386627689594	0.0192556500476201	0.000816987278660725
