gene_name	feature_type	chr	strand	n_intervals	total_bases	n_enhancer_intervals	ctrl_coverage	ctrl_methylated	mut_coverage	mut_methylated	mch_ctrl	mch_mut	delta_mch	has_enhancer
0610010K14Rik	Exon	chr11	-	7	1896	0	42825	546	72786	1026	0.0127495621716287	0.0140961173852114	0.00134655521358272	FALSE
0610010K14Rik	SpliceSite_Donor	chr11	-	6	126	0	2708	74	4631	99	0.0273264401772526	0.0213776722090261	-0.00594876796822646	FALSE
0610010K14Rik	SpliceSite_Acceptor	chr11	-	6	126	0	2846	25	4503	96	0.00878425860857344	0.0213191205862758	0.0125348619777024	FALSE
0610010K14Rik	Intron	chr11	-	6	813	0	16637	397	26290	575	0.0238624752058664	0.0218714340053252	-0.00199104120054122	FALSE
0610010K14Rik	3UTR	chr11	-	4	590	0	12393	181	20734	235	0.0146050189623174	0.0113340407060866	-0.00327097825623082	FALSE
0610012G03Rik	5UTR	chr16	-	1	46	0	719	18	1242	10	0.0250347705146036	0.00805152979066022	-0.0169832407239434	FALSE
0610012G03Rik	Exon	chr16	-	1	1445	0	37573	640	61479	936	0.0170335081042238	0.0152247108768848	-0.00180879722733899	FALSE
0610012G03Rik	3UTR	chr16	-	1	1114	0	31359	502	51399	679	0.0160081635256226	0.0132103737426798	-0.00279778978294281	FALSE
0610030E20Rik	5UTR	chr6	+	1	75	0	1247	3	2262	80	0.00240577385725742	0.0353669319186561	0.0329611580613986	FALSE
0610030E20Rik	Exon	chr6	+	1	5832	0	146373	2091	251361	3612	0.0142854214916685	0.0143697709668564	8.43494751878882e-05	FALSE
0610030E20Rik	3UTR	chr6	+	1	4032	0	104384	1476	177462	2111	0.0141400980993256	0.0118955043896722	-0.00224459370965341	FALSE
0610040J01Rik	5UTR	chr5	+	5	700	0	17709	270	28690	600	0.0152464848382179	0.0209132101777623	0.00566672533954443	FALSE
0610040J01Rik	Exon	chr5	+	6	2403	0	70950	1205	111583	1658	0.0169837914023961	0.0148588942760098	-0.00212489712638626	FALSE
0610040J01Rik	SpliceSite_Donor	chr5	+	5	105	0	2837	32	4076	83	0.0112795206203736	0.0203631010794897	0.00908358045911606	FALSE
0610040J01Rik	SpliceSite_Acceptor	chr5	+	5	105	0	2882	33	4329	52	0.0114503816793893	0.012012012012012	0.000561630332622699	FALSE
0610040J01Rik	Intron	chr5	+	5	84860	0	2128953	35340	3408836	55352	0.0165997088709802	0.0162378008211601	-0.000361908049820177	FALSE
0610040J01Rik	3UTR	chr5	+	1	764	0	25187	266	39334	447	0.010561003692381	0.0113642141658616	0.000803210473480606	FALSE
1110002E22Rik	Exon	chr3	+	3	9998	1	311573	10298	504439	20711	0.0330516443979421	0.0410574915896669	0.00800584719172488	TRUE
1110002E22Rik	SpliceSite_Donor	chr3	+	2	42	0	1666	46	2573	36	0.0276110444177671	0.0139914496696463	-0.0136195947481208	FALSE
1110002E22Rik	SpliceSite_Acceptor	chr3	+	2	42	0	1152	12	1941	44	0.0104166666666667	0.0226687274600721	0.0122520607934055	FALSE
1110002E22Rik	Intron	chr3	+	2	6457	0	153894	5505	255647	11843	0.0357713751023432	0.0463255974057978	0.0105542223034547	FALSE
1110002E22Rik	3UTR	chr3	+	2	4383	1	129570	4103	217985	12646	0.0316662807748707	0.0580131660435351	0.0263468852686644	TRUE
1110004F10Rik	5UTR	chr7	+	8	1279	0	31071	502	48736	762	0.0161565446879727	0.0156352593565332	-0.000521285331439549	FALSE
1110004F10Rik	Exon	chr7	+	10	2490	0	64597	1003	100802	1478	0.0155270368592969	0.0146624074919148	-0.000864629367382028	FALSE
1110004F10Rik	SpliceSite_Donor	chr7	+	9	189	0	4956	87	7538	92	0.0175544794188862	0.0122048288670735	-0.0053496505518127	FALSE
1110004F10Rik	SpliceSite_Acceptor	chr7	+	9	189	0	4762	91	7445	112	0.0191096178076438	0.0150436534586971	-0.00406596434894673	FALSE
1110004F10Rik	Intron	chr7	+	9	63324	0	1580107	26610	2531579	45464	0.0168406316787407	0.0179587522253898	0.00111812054664902	FALSE
1110004F10Rik	3UTR	chr7	+	2	1090	0	30987	486	48217	696	0.0156839965146674	0.0144347429329904	-0.001249253581677	FALSE
1110008P14Rik	5UTR	chr2	-	1	168	0	2051	75	4318	179	0.0365675280351048	0.0414543770264011	0.00488684899129629	FALSE
1110008P14Rik	Exon	chr2	-	2	2694	0	77778	1403	127893	1909	0.0180385198899432	0.0149265401546605	-0.00311197973528263	FALSE
1110008P14Rik	SpliceSite_Donor	chr2	-	1	21	0	521	24	783	2	0.0460652591170825	0.00255427841634738	-0.0435109807007352	FALSE
1110008P14Rik	SpliceSite_Acceptor	chr2	-	1	21	0	552	12	954	18	0.0217391304347826	0.0188679245283019	-0.00287120590648072	FALSE
1110008P14Rik	Intron	chr2	-	1	2148	0	61658	1027	105129	1322	0.0166563949528042	0.012575026871748	-0.00408136808105613	FALSE
1110008P14Rik	3UTR	chr2	-	1	2370	0	72374	1191	117835	1672	0.0164561859231216	0.0141893325412653	-0.00226685338185624	FALSE
1110012L19Rik	5UTR	chrX	+	2	295	0	6043	102	9388	181	0.0168790335925865	0.0192799318278654	0.0024008982352789	FALSE
1110012L19Rik	Exon	chrX	+	3	1094	0	22492	350	38031	457	0.015561088386982	0.0120165128447845	-0.00354457554219752	FALSE
1110012L19Rik	SpliceSite_Donor	chrX	+	2	42	0	678	5	1056	10	0.00737463126843658	0.00946969696969697	0.00209506570126039	FALSE
1110012L19Rik	SpliceSite_Acceptor	chrX	+	2	42	0	1115	3	1871	20	0.00269058295964126	0.0106894708711919	0.00799888791155062	FALSE
1110012L19Rik	Intron	chrX	+	2	2447	0	57014	306	90003	995	0.005367102816852	0.0110551870493206	0.00568808423246858	FALSE
1110012L19Rik	3UTR	chrX	+	1	328	0	5962	169	11680	131	0.0283461925528346	0.0112157534246575	-0.0171304391281771	FALSE
1110017D15Rik	5UTR	chr4	-	1	171	0	3246	31	7014	76	0.00955021565003081	0.0108354719133162	0.00128525626328542	FALSE
1110017D15Rik	Exon	chr4	-	8	1421	0	37800	900	60903	1345	0.0238095238095238	0.022084297982037	-0.0017252258274868	FALSE
1110017D15Rik	SpliceSite_Donor	chr4	-	7	147	0	4449	83	6528	122	0.0186558777253315	0.0186887254901961	3.28477648645423e-05	FALSE
1110017D15Rik	SpliceSite_Acceptor	chr4	-	7	147	0	4948	112	7574	182	0.0226354082457559	0.0240295748613678	0.00139416661561198	FALSE
1110017D15Rik	Intron	chr4	-	7	10904	0	279252	6988	431416	11824	0.0250239926661224	0.0274074211433976	0.0023834284772752	FALSE
1110017D15Rik	3UTR	chr4	-	2	163	0	4907	61	7415	129	0.0124312207051151	0.0173971679028995	0.00496594719778439	FALSE
1110025L11Rik	5UTR	chr16	-	1	58	0	1881	13	2717	21	0.00691121743753323	0.00772911299227089	0.000817895554737659	FALSE
1110025L11Rik	Exon	chr16	-	1	591	0	16843	160	27598	581	0.0094994953393101	0.0210522501630553	0.0115527548237452	FALSE
1110025L11Rik	3UTR	chr16	-	1	299	0	7978	35	13919	212	0.00438706442717473	0.0152309792370142	0.0108439148098394	FALSE
1110032A03Rik	5UTR	chr9	-	2	866	0	22110	138	35600	565	0.0062415196743555	0.0158707865168539	0.00962926684249844	FALSE
1110032A03Rik	Exon	chr9	-	10	5293	0	134545	1973	224352	3550	0.0146642387305363	0.0158233490229639	0.00115911029242766	FALSE
1110032A03Rik	SpliceSite_Donor	chr9	-	9	189	0	5149	87	8700	207	0.0168964847543212	0.0237931034482759	0.00689661869395463	FALSE
1110032A03Rik	SpliceSite_Acceptor	chr9	-	9	189	0	4446	44	7253	88	0.00989653621232569	0.0121329105197849	0.00223637430745923	FALSE
1110032A03Rik	Intron	chr9	-	9	7400	0	181110	2960	295964	4912	0.0163436585500525	0.0165966131015934	0.000252954551540983	FALSE
1110032A03Rik	3UTR	chr9	-	1	1031	0	22966	456	37253	741	0.0198554384742663	0.0198910154886855	3.55770144191692e-05	FALSE
1110032F04Rik	5UTR	chr3	+	1	122	0	1605	91	3106	67	0.0566978193146417	0.0215711526078558	-0.035126666706786	FALSE
1110032F04Rik	Exon	chr3	+	1	2578	0	64701	2184	108756	3735	0.0337552742616034	0.0343429328037074	0.000587658542104012	FALSE
1110032F04Rik	3UTR	chr3	+	1	1715	0	49002	1788	80644	2908	0.0364883065997306	0.0360597192599573	-0.00042858733977328	FALSE
1110038F14Rik	5UTR	chr15	+	1	303	0	6081	125	9594	82	0.020555829633284	0.00854700854700855	-0.0120088210862755	FALSE
1110038F14Rik	Exon	chr15	+	2	1916	0	43080	510	68039	1088	0.0118384401114206	0.0159908287893708	0.00415238867795019	FALSE
1110038F14Rik	SpliceSite_Donor	chr15	+	1	21	0	387	11	667	7	0.0284237726098191	0.0104947526236882	-0.017929019986131	FALSE
1110038F14Rik	SpliceSite_Acceptor	chr15	+	1	21	0	401	2	721	13	0.00498753117206983	0.0180305131761442	0.0130429820040744	FALSE
1110038F14Rik	Intron	chr15	+	1	558	0	9701	62	16077	211	0.00639109370168024	0.0131243391179947	0.00673324541631441	FALSE
1110038F14Rik	3UTR	chr15	+	1	594	0	16551	73	25999	471	0.00441060963083802	0.0181160813877457	0.0137054717569077	FALSE
1110051M20Rik	5UTR	chr2	-	3	254	0	5589	142	8995	127	0.0254070495616389	0.0141189549749861	-0.0112880945866528	FALSE
1110051M20Rik	Exon	chr2	-	12	5202	0	142817	2050	231705	3794	0.0143540334834088	0.016374269005848	0.00202023552243912	FALSE
1110051M20Rik	SpliceSite_Donor	chr2	-	11	231	0	6296	94	9674	171	0.0149301143583227	0.0176762456067811	0.00274613124845832	FALSE
1110051M20Rik	SpliceSite_Acceptor	chr2	-	11	231	0	5462	118	8670	166	0.0216038081288905	0.0191464821222607	-0.00245732600662985	FALSE
1110051M20Rik	Intron	chr2	-	11	164435	2	4362965	96234	6873157	141554	0.0220570185642103	0.0205951937370265	-0.00146182482718383	TRUE
1110051M20Rik	3UTR	chr2	-	2	2866	0	75578	908	127967	2283	0.0120140781708963	0.0178405370134488	0.00582645884255249	FALSE
1110057P08Rik	5UTR	chr16	+	1	57	0	1914	8	3364	45	0.00417972831765935	0.0133769322235434	0.00919720390588405	FALSE
1110057P08Rik	Exon	chr16	+	1	465	0	15204	98	24045	302	0.00644567219152855	0.012559783738823	0.0061141115472945	FALSE
1110057P08Rik	3UTR	chr16	+	1	264	0	6909	47	10348	118	0.00680272108843537	0.011403169694627	0.00460044860619161	FALSE
1110059E24Rik	5UTR	chr19	-	1	268	0	5786	94	10919	123	0.0162461113031455	0.0112647678358824	-0.00498134346726312	FALSE
1110059E24Rik	Exon	chr19	-	9	3067	0	110362	1727	188326	2861	0.0156485022018448	0.0151917419793337	-0.00045676022251113	FALSE
1110059E24Rik	SpliceSite_Donor	chr19	-	8	168	0	5804	96	9155	196	0.0165403170227429	0.021409066084107	0.00486874906136411	FALSE
1110059E24Rik	SpliceSite_Acceptor	chr19	-	8	168	0	4211	82	6552	114	0.0194728093089527	0.0173992673992674	-0.00207354190968534	FALSE
1110059E24Rik	Intron	chr19	-	8	68708	2	1914906	37426	3080631	58192	0.0195445625007181	0.0188896365712089	-0.000654925929509102	TRUE
1110059E24Rik	3UTR	chr19	-	7	2369	0	91852	1479	157797	2337	0.0161019901580804	0.0148101674936786	-0.0012918226644018	FALSE
1110059G10Rik	5UTR	chr9	-	1	88	0	1310	18	3260	25	0.0137404580152672	0.00766871165644172	-0.00607174635882546	FALSE
1110059G10Rik	Exon	chr9	-	2	5594	0	137132	1848	216839	2666	0.0134760668552927	0.0122948362610047	-0.001181230594288	FALSE
1110059G10Rik	SpliceSite_Donor	chr9	-	1	21	0	455	8	766	5	0.0175824175824176	0.00652741514360313	-0.0110550024388144	FALSE
1110059G10Rik	SpliceSite_Acceptor	chr9	-	1	21	0	584	17	967	12	0.0291095890410959	0.0124095139607032	-0.0167000750803927	FALSE
1110059G10Rik	Intron	chr9	-	1	318	0	5196	61	9870	161	0.0117397998460354	0.0163120567375887	0.00457225689155324	FALSE
1110059G10Rik	3UTR	chr9	-	1	2990	0	77867	917	121082	1243	0.011776490682831	0.0102657703044218	-0.00151072037840918	FALSE
1110065P20Rik	5UTR	chr4	-	3	816	0	11541	353	20042	739	0.0305866042803916	0.0368725676080232	0.00628596332763151	FALSE
1110065P20Rik	Exon	chr4	-	2	2069	0	37191	1155	65732	1615	0.031055900621118	0.0245694638836488	-0.00648643673746926	FALSE
1110065P20Rik	SpliceSite_Donor	chr4	-	1	21	0	270	1	510	13	0.0037037037037037	0.0254901960784314	0.0217864923747277	FALSE
1110065P20Rik	SpliceSite_Acceptor	chr4	-	1	21	0	172	1	271	17	0.00581395348837209	0.0627306273062731	0.056916673817901	FALSE
1110065P20Rik	Intron	chr4	-	1	48	0	587	20	1002	36	0.0340715502555366	0.0359281437125748	0.00185659345703822	FALSE
1110065P20Rik	3UTR	chr4	-	1	385	0	8995	253	17845	418	0.0281267370761534	0.0234239282712244	-0.00470280880492899	FALSE
1190005I06Rik	5UTR	chr8	-	3	269	0	5133	180	8095	192	0.0350672121566335	0.0237183446571958	-0.0113488674994377	FALSE
1190005I06Rik	Exon	chr8	-	5	1083	0	25574	799	44423	1253	0.0312426683350278	0.0282061094478086	-0.0030365588872192	FALSE
1190005I06Rik	SpliceSite_Donor	chr8	-	4	84	0	1755	54	2812	70	0.0307692307692308	0.0248933143669986	-0.00587591640223219	FALSE
1190005I06Rik	SpliceSite_Acceptor	chr8	-	4	84	0	1588	54	2713	94	0.0340050377833753	0.0346479911537044	0.000642953370329068	FALSE
1190005I06Rik	Intron	chr8	-	4	37948	0	1012821	31917	1662303	48855	0.0315129721836336	0.0293899487638535	-0.00212302341978012	FALSE
1190005I06Rik	3UTR	chr8	-	4	679	0	18986	549	32865	888	0.0289160434004003	0.0270196257416705	-0.00189641765872983	FALSE
1190007I07Rik	5UTR	chr10	-	2	375	0	5168	41	10191	173	0.00793343653250774	0.0169757629280738	0.00904232639556605	FALSE
1190007I07Rik	Exon	chr10	-	3	1197	0	28543	218	47332	531	0.00763759941141436	0.0112186258767853	0.0035810264653709	FALSE
1190007I07Rik	SpliceSite_Donor	chr10	-	2	42	0	1117	8	1944	21	0.00716204118173679	0.0108024691358025	0.00364042795406567	FALSE
1190007I07Rik	SpliceSite_Acceptor	chr10	-	2	42	0	753	4	1178	20	0.00531208499335989	0.0169779286926995	0.0116658436993396	FALSE
1190007I07Rik	Intron	chr10	-	2	2181	0	56175	811	89921	1257	0.0144370271473075	0.013978937066981	-0.000458090080326505	FALSE
1190007I07Rik	3UTR	chr10	-	2	504	0	15103	116	23691	176	0.00768059325961729	0.00742898146975645	-0.000251611789860847	FALSE
1300017J02Rik	5UTR	chr9	-	2	356	0	8170	80	14709	145	0.00979192166462668	0.00985791012305391	6.59884584272297e-05	FALSE
1300017J02Rik	Exon	chr9	-	20	4508	0	127379	1978	202669	2849	0.0155284623054036	0.0140574039443625	-0.00147105836104108	FALSE
1300017J02Rik	SpliceSite_Donor	chr9	-	19	399	0	11690	188	18347	277	0.016082121471343	0.0150978361585	-0.000984285312843001	FALSE
1300017J02Rik	SpliceSite_Acceptor	chr9	-	19	399	0	10325	132	17582	219	0.0127845036319613	0.0124559208281197	-0.000328582803841591	FALSE
1300017J02Rik	Intron	chr9	-	19	50054	0	1290002	18547	2059027	28794	0.0143774970891518	0.0139842750969268	-0.000393221992224951	FALSE
1300017J02Rik	3UTR	chr9	-	1	110	0	2719	56	4642	45	0.020595807282089	0.00969409737182249	-0.0109017099102665	FALSE
1500009C09Rik	5UTR	chr15	+	3	729	0	22760	394	37332	612	0.017311072056239	0.0163934426229508	-0.000917629433288197	FALSE
1500009C09Rik	Exon	chr15	+	3	1904	0	49405	1065	80207	1596	0.0215565226191681	0.019898512598651	-0.00165801002051711	FALSE
1500009C09Rik	SpliceSite_Donor	chr15	+	2	42	0	1784	19	2572	30	0.0106502242152466	0.0116640746500778	0.00101385043483112	FALSE
1500009C09Rik	SpliceSite_Acceptor	chr15	+	2	42	0	1233	18	2024	38	0.0145985401459854	0.0187747035573123	0.00417616341132685	FALSE
1500009C09Rik	Intron	chr15	+	2	6453	0	187201	5536	315894	9390	0.029572491599938	0.0297251609717184	0.000152669371780326	FALSE
1500009C09Rik	3UTR	chr15	+	1	971	0	20299	594	33542	839	0.0292625252475491	0.0250134160157415	-0.00424910923180769	FALSE
1500009L16Rik	5UTR	chr10	+	1	124	0	1411	2	3123	113	0.00141743444365698	0.0361831572206212	0.0347657227769642	FALSE
1500009L16Rik	Exon	chr10	+	6	3465	0	97375	2190	153901	4744	0.0224903722721438	0.03082501088362	0.00833463861147622	FALSE
1500009L16Rik	SpliceSite_Donor	chr10	+	5	105	0	2145	67	3853	168	0.0312354312354312	0.0436023877498053	0.0123669565143741	FALSE
1500009L16Rik	SpliceSite_Acceptor	chr10	+	5	105	0	2995	57	4861	117	0.0190317195325543	0.0240691215799218	0.00503740204736757	FALSE
1500009L16Rik	Intron	chr10	+	5	36433	1	998438	30763	1594498	51793	0.0308111269803433	0.032482323590246	0.00167119660990266	TRUE
1500009L16Rik	3UTR	chr10	+	2	881	0	27137	918	43355	1860	0.0338283524339463	0.0429016261100219	0.00907327367607564	FALSE
1500011B03Rik	5UTR	chr5	-	2	79	0	864	2	1402	9	0.00231481481481481	0.00641940085592011	0.0041045860411053	FALSE
1500011B03Rik	Exon	chr5	-	5	2693	0	75796	1343	122697	1997	0.0177186131194258	0.0162758665656047	-0.00144274655382113	FALSE
1500011B03Rik	SpliceSite_Donor	chr5	-	4	84	0	1922	40	3404	76	0.0208116545265349	0.0223266745005875	0.00151501997405269	FALSE
1500011B03Rik	SpliceSite_Acceptor	chr5	-	4	84	0	1371	18	2377	27	0.0131291028446389	0.0113588557004628	-0.00177024714417618	FALSE
1500011B03Rik	Intron	chr5	-	4	12580	0	327487	4359	547506	8677	0.0133104520179427	0.0158482281472714	0.00253777612932875	FALSE
1500011B03Rik	3UTR	chr5	-	2	1056	0	30183	463	50159	530	0.0153397607924991	0.0105663988516517	-0.00477336194084734	FALSE
1520401A03Rik	5UTR	chr17	-	7	1234	0	33082	429	56281	942	0.0129677770388731	0.0167374424761465	0.00376966543727338	FALSE
1520401A03Rik	Exon	chr17	-	40	4111	0	93694	1766	163033	3700	0.0188485922257562	0.0226947918519564	0.00384619962620017	FALSE
1520401A03Rik	SpliceSite_Donor	chr17	-	39	819	0	17773	303	31300	618	0.0170483317391549	0.0197444089456869	0.002696077206532	FALSE
1520401A03Rik	SpliceSite_Acceptor	chr17	-	39	819	0	15585	288	27739	550	0.0184793070259865	0.0198276794404989	0.00134837241451241	FALSE
1520401A03Rik	Intron	chr17	-	39	14185	0	328286	5937	561258	9807	0.0180848406572318	0.0174732475973616	-0.000611593059870165	FALSE
1520401A03Rik	3UTR	chr17	-	21	1937	0	42762	931	74940	2004	0.0217716664328142	0.0267413931144916	0.00496972668167741	FALSE
1600012H06Rik	5UTR	chr17	+	2	247	0	5587	136	8723	149	0.0243422230177197	0.0170812793763613	-0.00726094364135836	FALSE
1600012H06Rik	Exon	chr17	+	6	3294	0	90674	1093	139111	2024	0.0120541720890222	0.0145495323878054	0.00249536029878321	FALSE
1600012H06Rik	SpliceSite_Donor	chr17	+	5	105	0	4009	45	6448	83	0.0112247443252681	0.0128722084367246	0.00164746411145642	FALSE
1600012H06Rik	SpliceSite_Acceptor	chr17	+	5	105	0	3515	44	5405	93	0.0125177809388336	0.0172062904717854	0.00468850953295181	FALSE
1600012H06Rik	Intron	chr17	+	5	13093	0	350269	4204	569084	7668	0.0120022040203387	0.0134742849913194	0.00147208097098073	FALSE
1600012H06Rik	3UTR	chr17	+	1	1769	0	45719	480	71417	888	0.0104989172991535	0.0124340143103183	0.00193509701116475	FALSE
1600014C10Rik	5UTR	chr7	+	4	744	0	15783	203	27780	548	0.0128619400620921	0.0197264218862491	0.00686448182415698	FALSE
1600014C10Rik	Exon	chr7	+	5	3949	0	113451	1960	184285	2845	0.0172761809062943	0.0154380443335052	-0.00183813657278918	FALSE
1600014C10Rik	SpliceSite_Donor	chr7	+	4	84	0	1985	29	3808	52	0.0146095717884131	0.0136554621848739	-0.000954109603539149	FALSE
1600014C10Rik	SpliceSite_Acceptor	chr7	+	4	84	0	2742	82	4166	170	0.0299051787016776	0.0408065290446471	0.0109013503429695	FALSE
1600014C10Rik	Intron	chr7	+	4	10403	1	280402	4144	459174	8019	0.0147787818917126	0.0174639679075906	0.00268518601587797	TRUE
1600014C10Rik	3UTR	chr7	+	2	2951	0	87999	1518	141773	1964	0.0172501960249548	0.0138531314143031	-0.00339706461065168	FALSE
1600014C23Rik	5UTR	chr17	-	1	51	0	905	30	1262	68	0.0331491712707182	0.0538827258320127	0.0207335545612944	FALSE
1600014C23Rik	Exon	chr17	-	2	518	0	11849	352	18086	634	0.0297071482825555	0.0350547384717461	0.00534759018919061	FALSE
1600014C23Rik	SpliceSite_Donor	chr17	-	1	21	0	409	8	636	19	0.019559902200489	0.029874213836478	0.010314311635989	FALSE
1600014C23Rik	SpliceSite_Acceptor	chr17	-	1	21	0	348	6	578	10	0.0172413793103448	0.0173010380622837	5.96587519389111e-05	FALSE
1600014C23Rik	Intron	chr17	-	1	463	0	9332	189	14170	374	0.0202528932704672	0.026393789696542	0.00614089642607478	FALSE
1600014C23Rik	3UTR	chr17	-	1	164	0	4534	211	6495	210	0.0465372739303044	0.0323325635103926	-0.0142047104199118	FALSE
1700001C19Rik	5UTR	chr17	-	2	246	0	5319	92	8982	177	0.0172964843015604	0.0197060788243153	0.00240959452275485	FALSE
1700001C19Rik	Exon	chr17	-	6	1896	0	49832	787	82265	1486	0.0157930646973832	0.0180635750319091	0.00227051033452587	FALSE
1700001C19Rik	SpliceSite_Donor	chr17	-	5	105	0	1969	42	3012	54	0.02133062468258	0.0179282868525896	-0.00340233782999035	FALSE
1700001C19Rik	SpliceSite_Acceptor	chr17	-	5	105	0	2349	39	3351	76	0.016602809706258	0.0226797970754999	0.00607698736924187	FALSE
1700001C19Rik	Intron	chr17	-	5	22747	0	574084	9950	916049	18031	0.0173319583893646	0.0196834448812236	0.00235148649185898	FALSE
1700001C19Rik	3UTR	chr17	-	1	831	0	26563	332	44309	745	0.012498588261868	0.0168137398722607	0.0043151516103927	FALSE
1700001F09Rik	5UTR	chr14	-	1	45	0	601	0	584	2	0	0.00342465753424658	0.00342465753424658	FALSE
1700001F09Rik	Exon	chr14	-	5	884	0	22744	302	35990	514	0.0132782272247626	0.014281744929147	0.00100351770438441	FALSE
1700001F09Rik	SpliceSite_Donor	chr14	-	4	84	0	2721	40	3938	45	0.0147004777655274	0.0114271203656679	-0.00327335739985953	FALSE
1700001F09Rik	SpliceSite_Acceptor	chr14	-	4	84	0	3470	44	5694	80	0.0126801152737752	0.0140498770635757	0.00136976178980048	FALSE
1700001F09Rik	Intron	chr14	-	4	4545	0	199801	2429	318759	3854	0.0121570963108293	0.0120906390094084	-6.64573014209132e-05	FALSE
1700001F09Rik	3UTR	chr14	-	1	287	0	8574	124	13793	175	0.0144623279682762	0.0126875951569637	-0.00177473281131251	FALSE
1700001J03Rik	5UTR	chr5	-	1	34	0	1171	10	1822	38	0.0085397096498719	0.0208562019758507	0.0123164923259788	FALSE
1700001J03Rik	Exon	chr5	-	5	868	0	26330	497	44811	726	0.0188758070641853	0.0162013791256611	-0.00267442793852423	FALSE
1700001J03Rik	SpliceSite_Donor	chr5	-	4	84	0	2946	72	4784	66	0.0244399185336049	0.0137959866220736	-0.0106439319115313	FALSE
1700001J03Rik	SpliceSite_Acceptor	chr5	-	4	84	0	2124	32	3838	62	0.0150659133709981	0.0161542470036477	0.00108833363264962	FALSE
1700001J03Rik	Intron	chr5	-	4	1996	0	63413	1264	101087	1538	0.0199328213457808	0.0152146171119926	-0.00471820423378819	FALSE
1700001J03Rik	3UTR	chr5	-	1	96	0	2734	47	5331	82	0.0171909290416971	0.0153817295066592	-0.00180919953503798	FALSE
1700001K19Rik	5UTR	chr12	-	3	176	0	4597	48	7671	150	0.0104415923428323	0.0195541650371529	0.00911257269432063	FALSE
1700001K19Rik	Exon	chr12	-	6	955	0	28647	472	48791	863	0.0164764198694453	0.0176876883031707	0.00121126843372535	FALSE
1700001K19Rik	SpliceSite_Donor	chr12	-	5	105	0	2695	54	4291	68	0.0200371057513915	0.015847121883011	-0.00418998386838051	FALSE
1700001K19Rik	SpliceSite_Acceptor	chr12	-	5	105	0	3361	33	5615	67	0.00981850639690568	0.0119323241317898	0.00211381773488417	FALSE
1700001K19Rik	Intron	chr12	-	5	13977	0	396691	5846	661046	10900	0.0147369110970503	0.0164890189185019	0.00175210782145154	FALSE
1700001K19Rik	3UTR	chr12	-	1	122	0	3435	77	6193	194	0.0224163027656477	0.0313256902954949	0.00890938752984717	FALSE
1700001L19Rik	5UTR	chr13	+	1	55	0	1952	11	2727	43	0.00563524590163934	0.0157682434910158	0.0101329975893764	FALSE
1700001L19Rik	Exon	chr13	+	3	1826	0	53502	546	83802	1122	0.0102052259728608	0.0133887019402878	0.00318347596742699	FALSE
1700001L19Rik	SpliceSite_Donor	chr13	+	2	42	0	856	11	1337	10	0.0128504672897196	0.0074794315632012	-0.00537103572651843	FALSE
1700001L19Rik	SpliceSite_Acceptor	chr13	+	2	42	0	1291	22	1997	0	0.0170410534469404	0	-0.0170410534469404	FALSE
1700001L19Rik	Intron	chr13	+	2	14985	0	394000	6653	640687	10469	0.0168857868020305	0.0163402722390184	-0.000545514563012026	FALSE
1700001L19Rik	3UTR	chr13	+	1	1225	0	35991	346	56634	893	0.00961351448973354	0.0157679132676484	0.00615439877791486	FALSE
