gene_name	chr	K119ub_up	mCH_up
Cd80	chr16	TRUE	TRUE
Rbl1	chr2	FALSE	FALSE
Chd1	chr17	FALSE	TRUE
Ranbp3l	chr15	TRUE	TRUE
Fbn1	chr2	FALSE	TRUE
Lgals3	chr14	TRUE	FALSE
Gnb1l	chr16	FALSE	TRUE
Celf5	chr10	FALSE	FALSE
Ptpn18	chr1	TRUE	FALSE
Gmfg	chr7	TRUE	FALSE
Kcnj10	chr1	TRUE	FALSE
Pde5a	chr3	FALSE	TRUE
Hsd17b4	chr18	FALSE	TRUE
Ipo7	chr7	FALSE	FALSE
Nucb1	chr7	TRUE	FALSE
P4ha3	chr7	FALSE	FALSE
Fggy	chr4	TRUE	TRUE
Ywhaq	chr12	FALSE	TRUE
Wdfy4	chr14	FALSE	TRUE
Clec12b	chr6	FALSE	FALSE
Gm5105	chr3	TRUE	TRUE
Atp2a1	chr7	FALSE	FALSE
Vnn1	chr10	FALSE	FALSE
Gucy2d	chr7	TRUE	FALSE
Kat2a	chr11	FALSE	FALSE
Eln	chr5	FALSE	FALSE
Hap1	chr11	FALSE	FALSE
Nos1ap	chr1	TRUE	TRUE
Dot1l	chr10	FALSE	FALSE
C7	chr15	FALSE	TRUE
Tmem67	chr4	TRUE	FALSE
Htra3	chr5	FALSE	FALSE
Triobp	chr15	TRUE	TRUE
Abce1	chr8	TRUE	FALSE
Tmprss5	chr9	FALSE	FALSE
Rrp1b	chr17	FALSE	FALSE
Tubb1	chr2	TRUE	FALSE
Gatb	chr3	TRUE	TRUE
Zfp120	chr2	TRUE	FALSE
Styx	chr14	TRUE	TRUE
Stk36	chr1	FALSE	FALSE
Mad2l1bp	chr17	TRUE	FALSE
Smad4	chr18	FALSE	FALSE
Pck2	chr14	FALSE	FALSE
Sp6	chr11	FALSE	FALSE
Ctbp2	chr7	FALSE	TRUE
Dgcr6	chr16	TRUE	TRUE
Treml2	chr17	FALSE	FALSE
Rgs7bp	chr13	TRUE	TRUE
Nkiras2	chr11	TRUE	FALSE
Cep57	chr9	TRUE	TRUE
Slc9a1	chr4	FALSE	FALSE
Ncl	chr1	FALSE	FALSE
Itga1	chr13	TRUE	TRUE
Cnot3	chr7	FALSE	FALSE
Slc39a8	chr3	TRUE	TRUE
Dapk3	chr10	FALSE	FALSE
Mknk2	chr10	FALSE	FALSE
Irgm2	chr11	TRUE	FALSE
Doc2b	chr11	FALSE	FALSE
Rorc	chr3	FALSE	FALSE
Yjefn3	chr8	FALSE	FALSE
Cpa3	chr3	FALSE	TRUE
Wdr19	chr5	TRUE	FALSE
AA467197	chr2	TRUE	FALSE
Slc36a1	chr11	FALSE	FALSE
Dkk4	chr8	FALSE	FALSE
Hjurp	chr1	TRUE	FALSE
Bnip2	chr9	FALSE	FALSE
Spon1	chr7	TRUE	TRUE
Lnp1	chr16	FALSE	FALSE
Slc9b1	chr3	FALSE	FALSE
Sh2d3c	chr2	FALSE	FALSE
Smo	chr6	TRUE	FALSE
Ago4	chr4	FALSE	FALSE
Siglech	chr7	TRUE	FALSE
Btnl4	chr17	FALSE	FALSE
Aco1	chr4	TRUE	TRUE
Nfkb1	chr3	FALSE	TRUE
Ctsa	chr2	FALSE	FALSE
Mybphl	chr3	TRUE	FALSE
Zfp286	chr11	TRUE	FALSE
Ttll10	chr4	FALSE	FALSE
Zdbf2	chr1	FALSE	FALSE
Letm2	chr8	FALSE	FALSE
Ecscr	chr18	FALSE	FALSE
Fscn1	chr5	FALSE	FALSE
Bscl2	chr19	TRUE	FALSE
Aasdh	chr5	TRUE	TRUE
Klhl5	chr5	TRUE	FALSE
H6pd	chr4	TRUE	TRUE
Phpt1	chr2	FALSE	TRUE
Abo	chr2	FALSE	FALSE
Casp6	chr3	TRUE	FALSE
Tcea3	chr4	FALSE	FALSE
Ptpn12	chr5	TRUE	FALSE
Pdzd11	chrX	TRUE	FALSE
Lysmd4	chr7	TRUE	TRUE
Mmp9	chr2	FALSE	FALSE
Zbtb25	chr12	TRUE	FALSE
Cib1	chr7	TRUE	FALSE
Lcmt2	chr2	TRUE	FALSE
Trpc5os	chrX	TRUE	TRUE
Hdac6	chrX	FALSE	FALSE
Sart3	chr5	FALSE	FALSE
Ppid	chr3	TRUE	FALSE
Usp5	chr6	FALSE	FALSE
Vav1	chr17	FALSE	TRUE
Prkx	chrX	FALSE	TRUE
Traf4	chr11	FALSE	FALSE
Cemip2	chr19	TRUE	TRUE
Fkbp1a	chr2	FALSE	FALSE
Slc28a2b	chr2	FALSE	FALSE
Gypa	chr8	TRUE	FALSE
Nceh1	chr3	FALSE	TRUE
Pcdhac2	chr18	TRUE	FALSE
Pofut1	chr2	FALSE	FALSE
Fam171a2	chr11	FALSE	FALSE
Ppp2r2d	chr7	FALSE	FALSE
Lypd5	chr7	FALSE	FALSE
Washc4	chr10	FALSE	TRUE
Dtx4	chr19	TRUE	FALSE
Cstdc2	chr2	FALSE	FALSE
Kat6b	chr14	TRUE	TRUE
Espn	chr4	FALSE	FALSE
Xpnpep2	chrX	TRUE	TRUE
Pgm5	chr19	FALSE	TRUE
Gipc3	chr10	FALSE	FALSE
Pnpla8	chr12	TRUE	TRUE
2810459M11Rik	chr1	FALSE	FALSE
Aimp1	chr3	FALSE	TRUE
Gnl2	chr4	FALSE	FALSE
Eed	chr7	TRUE	FALSE
Igdcc3	chr9	FALSE	FALSE
Gsdmc	chr15	FALSE	FALSE
Cbr3	chr16	TRUE	FALSE
Ube2l3	chr16	FALSE	TRUE
Guca2b	chr4	FALSE	FALSE
Apol11a	chr15	FALSE	FALSE
Nudt4	chr10	TRUE	FALSE
Vti1b	chr12	FALSE	FALSE
Smco4	chr9	TRUE	FALSE
Tuba1a	chr15	FALSE	FALSE
Kpna6	chr4	FALSE	TRUE
Zbtb38	chr9	TRUE	TRUE
Sumo2	chr11	FALSE	FALSE
Trim63	chr4	FALSE	FALSE
Rnf8	chr17	FALSE	FALSE
Alg5	chr3	TRUE	TRUE
Jrk	chr15	TRUE	FALSE
Scn3b	chr9	FALSE	FALSE
Slc43a1	chr2	FALSE	FALSE
Eif3e	chr15	FALSE	FALSE
Zfr	chr15	FALSE	TRUE
Pex11b	chr3	TRUE	FALSE
Cenpu	chr8	TRUE	FALSE
Carm1	chr9	FALSE	FALSE
Scml4	chr10	TRUE	FALSE
Wfdc3	chr2	TRUE	FALSE
Arfgef1	chr1	FALSE	TRUE
Gmpr	chr13	TRUE	TRUE
Gml2	chr15	TRUE	TRUE
Vamp1	chr6	TRUE	FALSE
Anapc10	chr8	TRUE	TRUE
Crygn	chr5	TRUE	FALSE
Sec14l3	chr11	FALSE	FALSE
Mrpl43	chr19	TRUE	FALSE
Pja2	chr17	TRUE	TRUE
Pnliprp2	chr19	FALSE	FALSE
Hid1	chr11	FALSE	FALSE
Cwc25	chr11	FALSE	FALSE
Hacd3	chr9	FALSE	FALSE
Adig	chr2	FALSE	FALSE
Hpgds	chr6	TRUE	FALSE
Rbm47	chr5	FALSE	TRUE
Cnot6	chr11	FALSE	TRUE
Ccdc38	chr10	TRUE	TRUE
Cpsf7	chr19	FALSE	FALSE
Calm4	chr13	FALSE	TRUE
Mab21l4	chr1	FALSE	FALSE
Cd300lg	chr11	FALSE	FALSE
Gpr152	chr19	TRUE	FALSE
Pid1	chr1	TRUE	TRUE
Sgsh	chr11	FALSE	FALSE
Esr2	chr12	TRUE	FALSE
Zfr2	chr10	FALSE	FALSE
C1qtnf2	chr11	TRUE	FALSE
Thsd1	chr8	FALSE	FALSE
Pvr	chr7	FALSE	FALSE
Fam124a	chr14	TRUE	FALSE
Ip6k3	chr17	FALSE	FALSE
Sim2	chr16	FALSE	FALSE
Slc7a6	chr8	FALSE	FALSE
Traf3ip3	chr1	TRUE	TRUE
Tm4sf5	chr11	TRUE	FALSE
Morn3	chr5	FALSE	FALSE
Gfra3	chr18	FALSE	FALSE
Nectin3	chr16	TRUE	TRUE
Fasl	chr1	FALSE	FALSE
Tmco3	chr8	FALSE	TRUE
Nt5dc3	chr10	TRUE	TRUE
Kcnk6	chr7	FALSE	FALSE
Amz1	chr5	FALSE	FALSE
Defb12	chr8	FALSE	FALSE
Bclaf3	chrX	FALSE	FALSE
Rab11fip1	chr8	FALSE	TRUE
Nup160	chr2	FALSE	TRUE
Hoxb13	chr11	FALSE	FALSE
Eif4e	chr3	TRUE	FALSE
Ces4a	chr8	FALSE	FALSE
Pou6f2	chr13	FALSE	TRUE
Slc2a2	chr3	FALSE	TRUE
Stx17	chr4	TRUE	FALSE
Chmp1a	chr8	FALSE	FALSE
Chrm2	chr6	TRUE	TRUE
Kcnn4	chr7	TRUE	FALSE
Grm6	chr11	FALSE	FALSE
Grin1	chr2	FALSE	FALSE
Tacr1	chr6	FALSE	TRUE
Zfp54	chr17	TRUE	FALSE
Knstrn	chr2	TRUE	TRUE
Manf	chr9	FALSE	TRUE
Zan	chr5	FALSE	TRUE
Gna15	chr10	FALSE	FALSE
Mfsd6	chr1	TRUE	FALSE
Fbxo21	chr5	FALSE	TRUE
Ttc41	chr10	TRUE	TRUE
Asb10	chr5	FALSE	FALSE
Rxfp1	chr3	TRUE	TRUE
Map4k2	chr19	FALSE	FALSE
Acvr2b	chr9	FALSE	FALSE
Tmem185b	chr1	TRUE	TRUE
Vmn1r5	chr6	FALSE	FALSE
Prm1	chr16	FALSE	FALSE
Serinc1	chr10	TRUE	FALSE
Map3k21	chr8	TRUE	FALSE
Loxl2	chr14	TRUE	FALSE
Gpr183	chr14	FALSE	FALSE
Psmd13	chr7	FALSE	FALSE
Cyb5d1	chr11	TRUE	FALSE
Acyp2	chr11	TRUE	TRUE
Bmi1	chr2	TRUE	TRUE
E230025N22Rik	chr18	FALSE	FALSE
Nlgn2	chr11	FALSE	FALSE
Angptl3	chr4	FALSE	FALSE
Thumpd3	chr6	TRUE	FALSE
Flcn	chr11	FALSE	FALSE
Socs5	chr17	TRUE	FALSE
Col5a3	chr9	FALSE	FALSE
Cenpb	chr2	TRUE	FALSE
Wdfy2	chr14	TRUE	TRUE
Dcst1	chr3	TRUE	FALSE
Yju2	chr17	TRUE	FALSE
Snrnp40	chr4	FALSE	FALSE
Bcan	chr3	FALSE	FALSE
Eef1d	chr15	FALSE	FALSE
Pou3f2	chr4	TRUE	FALSE
Nmt1	chr11	FALSE	FALSE
Amd1	chr10	TRUE	FALSE
S100a5	chr3	FALSE	FALSE
Tlr1	chr5	FALSE	FALSE
Csf1	chr3	TRUE	FALSE
Rbl2	chr8	FALSE	TRUE
Bmp4	chr14	TRUE	FALSE
Cldn5	chr16	FALSE	FALSE
Txnrd2	chr16	TRUE	FALSE
Shkbp1	chr7	FALSE	FALSE
Mbd6	chr10	FALSE	FALSE
Usf1	chr1	TRUE	FALSE
Zbtb37	chr1	TRUE	FALSE
Wfdc16	chr2	FALSE	FALSE
Tspan7	chrX	FALSE	FALSE
Cd101	chr3	FALSE	FALSE
Inka2	chr3	TRUE	TRUE
Pfkfb3	chr2	TRUE	TRUE
Nbeal2	chr9	FALSE	FALSE
Cluap1	chr16	FALSE	FALSE
Sycp2l	chr13	FALSE	TRUE
Dpp8	chr9	FALSE	TRUE
Zbtb42	chr12	TRUE	FALSE
Ptpn20	chr14	FALSE	TRUE
Alad	chr4	TRUE	TRUE
Serpina1e	chr12	FALSE	FALSE
Fem1b	chr9	FALSE	FALSE
Lrrc4b	chr7	FALSE	FALSE
Hsd17b6	chr10	FALSE	FALSE
Taar8b	chr10	FALSE	FALSE
Gabbr1	chr17	FALSE	FALSE
Spidr	chr16	FALSE	TRUE
Pus7	chr5	TRUE	TRUE
Kcnq3	chr15	TRUE	TRUE
Fam151b	chr13	TRUE	FALSE
Pcdhb9	chr18	FALSE	FALSE
Lbhd2	chr12	FALSE	FALSE
Draxin	chr4	TRUE	FALSE
Diaph2	chrX	TRUE	TRUE
Txnrd3	chr6	TRUE	FALSE
Atf6	chr1	TRUE	TRUE
Nhsl2	chrX	TRUE	TRUE
Cyp2d11	chr15	FALSE	FALSE
Samsn1	chr16	FALSE	TRUE
Flii	chr11	FALSE	FALSE
Mid2	chrX	TRUE	FALSE
Adam8	chr7	FALSE	FALSE
Zkscan17	chr11	FALSE	TRUE
Plin5	chr17	FALSE	FALSE
Maea	chr5	FALSE	FALSE
Defb47	chr14	FALSE	FALSE
Wdr11	chr7	FALSE	TRUE
Krt86	chr15	FALSE	FALSE
Kcna10	chr3	TRUE	FALSE
Dzank1	chr2	FALSE	TRUE
Ccdc122	chr14	FALSE	TRUE
Sv2a	chr3	FALSE	FALSE
Vrk3	chr7	FALSE	FALSE
Tnip1	chr11	FALSE	FALSE
Gm826	chr2	FALSE	FALSE
Sbk1	chr7	FALSE	TRUE
Gp5	chr16	FALSE	FALSE
Tollip	chr7	FALSE	FALSE
Creb3l2	chr6	TRUE	TRUE
Zfp646	chr7	FALSE	FALSE
Rassf2	chr2	TRUE	FALSE
Enpp6	chr8	FALSE	TRUE
Kcnh5	chr12	FALSE	TRUE
Hps3	chr3	TRUE	TRUE
Slc6a15	chr10	TRUE	FALSE
Pcdhb4	chr18	FALSE	FALSE
Plekhm1	chr11	FALSE	FALSE
Smarcc1	chr9	TRUE	TRUE
Has3	chr8	FALSE	FALSE
Scrn1	chr6	TRUE	TRUE
Sec1	chr7	TRUE	FALSE
Tbx4	chr11	FALSE	FALSE
Hsf4	chr8	TRUE	FALSE
Hhatl	chr9	FALSE	FALSE
Arhgap30	chr1	TRUE	FALSE
Gm11733	chr11	TRUE	FALSE
Tspan33	chr6	TRUE	FALSE
Kcnc3	chr7	FALSE	FALSE
Lipa	chr19	TRUE	FALSE
Dnajc21	chr15	TRUE	FALSE
Kcnk15	chr2	FALSE	FALSE
Slc5a1	chr5	TRUE	FALSE
Gulp1	chr1	FALSE	TRUE
Inppl1	chr7	TRUE	FALSE
Ccdc24	chr4	FALSE	FALSE
Eif2d	chr1	FALSE	FALSE
Tmem178	chr17	FALSE	FALSE
Afap1l1	chr18	TRUE	TRUE
Zbtb18	chr1	FALSE	FALSE
Rgsl1	chr1	FALSE	TRUE
Pltp	chr2	FALSE	FALSE
Eppk1	chr15	FALSE	FALSE
Pxn	chr5	FALSE	FALSE
Asb4	chr6	FALSE	TRUE
Lcn5	chr2	TRUE	FALSE
Ano1	chr7	FALSE	TRUE
Utp6	chr11	FALSE	FALSE
Plxna4	chr6	TRUE	TRUE
Rint1	chr5	TRUE	FALSE
Igf2	chr7	FALSE	FALSE
Ocln	chr13	TRUE	TRUE
Stard8	chrX	FALSE	FALSE
Fstl1	chr16	TRUE	FALSE
Arhgef28	chr13	FALSE	TRUE
Hoxd12	chr2	FALSE	FALSE
Adgrl4	chr3	TRUE	TRUE
Vdac3	chr8	FALSE	FALSE
Imp3	chr9	TRUE	FALSE
Ccm2	chr11	TRUE	FALSE
Hs6st2	chrX	TRUE	TRUE
Sdr42e1	chr8	FALSE	FALSE
Vgll3	chr16	FALSE	TRUE
Clasrp	chr7	FALSE	FALSE
Klhl8	chr5	FALSE	FALSE
Agfg1	chr1	FALSE	TRUE
Esam	chr9	TRUE	FALSE
Vwa3b	chr1	FALSE	TRUE
Mterf4	chr1	TRUE	FALSE
Pxmp4	chr2	TRUE	TRUE
Sag	chr1	FALSE	FALSE
Pmaip1	chr18	TRUE	FALSE
Ap2a1	chr7	FALSE	TRUE
Higd1c	chr15	FALSE	FALSE
Klc2	chr19	FALSE	FALSE
Prm2	chr16	FALSE	FALSE
Adgrg1	chr8	TRUE	FALSE
Mllt11	chr3	TRUE	FALSE
Fabp5	chr3	TRUE	FALSE
Slf2	chr19	FALSE	TRUE
Pank4	chr4	FALSE	FALSE
Mfsd4b5	chr10	TRUE	FALSE
Zfp771	chr7	TRUE	FALSE
Vegfc	chr8	TRUE	TRUE
Cltc	chr11	FALSE	TRUE
Nrap	chr19	TRUE	TRUE
Parp9	chr16	TRUE	FALSE
Cap1	chr4	FALSE	FALSE
Ppp1r16a	chr15	TRUE	FALSE
Crb3	chr17	TRUE	FALSE
Bsdc1	chr4	FALSE	TRUE
Agk	chr6	TRUE	TRUE
Fkbp6	chr5	FALSE	TRUE
Fam228b	chr12	TRUE	FALSE
Maf1	chr15	FALSE	FALSE
Lzts3	chr2	TRUE	FALSE
Ramp1	chr1	TRUE	FALSE
Pnldc1	chr17	FALSE	FALSE
Sufu	chr19	FALSE	TRUE
Cyb561	chr11	FALSE	FALSE
Lce6a	chr3	FALSE	FALSE
Tbc1d13	chr2	FALSE	FALSE
Acsm1	chr7	FALSE	TRUE
Cilk1	chr9	TRUE	TRUE
Cxcl12	chr6	FALSE	FALSE
Klhdc7a	chr4	FALSE	FALSE
Fcnb	chr2	FALSE	FALSE
Bmp3	chr5	FALSE	TRUE
Shisa5	chr9	TRUE	FALSE
Vmn2r8	chr5	FALSE	FALSE
Ccdc172	chr19	FALSE	FALSE
Hgsnat	chr8	FALSE	FALSE
Ccnd2	chr6	TRUE	FALSE
Zscan20	chr4	FALSE	TRUE
Zfp944	chr17	TRUE	TRUE
Dhcr24	chr4	TRUE	FALSE
Ly6g6g	chr15	FALSE	TRUE
Slc30a2	chr4	FALSE	FALSE
Polr3e	chr7	FALSE	TRUE
Sec31a	chr5	FALSE	TRUE
Galntl5	chr5	TRUE	FALSE
Ndel1	chr11	FALSE	FALSE
H2-K1	chr17	FALSE	FALSE
Ndufs6	chr13	TRUE	FALSE
C1ql4	chr15	FALSE	FALSE
Nkapd1	chr9	FALSE	FALSE
2310030G06Rik	chr9	TRUE	TRUE
Oasl2	chr5	FALSE	FALSE
Lin54	chr5	TRUE	TRUE
Atp13a4	chr16	FALSE	TRUE
Krt4	chr15	FALSE	FALSE
Ctdspl2	chr2	FALSE	TRUE
Zfp131	chr13	TRUE	FALSE
Iars2	chr1	FALSE	FALSE
Ssbp4	chr8	TRUE	FALSE
Smco2	chr6	FALSE	FALSE
Tpcn1	chr5	FALSE	FALSE
Slc26a2	chr18	TRUE	FALSE
Jrkl	chr9	TRUE	TRUE
Arg2	chr12	TRUE	TRUE
Mdp1	chr14	TRUE	FALSE
Brdt	chr5	TRUE	TRUE
Tmem119	chr5	FALSE	FALSE
Txn2	chr15	FALSE	TRUE
Plekhh3	chr11	FALSE	FALSE
Lif	chr11	FALSE	FALSE
Cd200	chr16	TRUE	FALSE
Steap1	chr5	TRUE	FALSE
Gjb4	chr4	FALSE	FALSE
Wdr93	chr7	FALSE	TRUE
Il1rapl1	chrX	TRUE	TRUE
Plin1	chr7	TRUE	FALSE
Hbp1	chr12	TRUE	TRUE
Rnd3	chr2	TRUE	FALSE
Aqp12	chr1	FALSE	FALSE
Lpar1	chr4	FALSE	TRUE
Recql4	chr15	TRUE	TRUE
Larp1b	chr3	TRUE	TRUE
Afap1l2	chr19	TRUE	TRUE
Fndc11	chr2	FALSE	FALSE
Pik3c3	chr18	FALSE	TRUE
B4galt5	chr2	FALSE	FALSE
Nck2	chr1	TRUE	TRUE
Brd1	chr15	FALSE	FALSE
Tk2	chr8	TRUE	TRUE
Dapl1	chr2	TRUE	TRUE
Zfp791	chr8	TRUE	FALSE
Nmt2	chr2	TRUE	TRUE
Tnfaip8l3	chr9	FALSE	FALSE
Wdsub1	chr2	TRUE	FALSE
Zfp672	chr11	TRUE	FALSE
Wdr91	chr6	TRUE	TRUE
Ppp1r10	chr17	FALSE	FALSE
Blzf1	chr1	TRUE	FALSE
Mc4r	chr18	FALSE	FALSE
Sdr9c7	chr10	FALSE	FALSE
G3bp2	chr5	FALSE	TRUE
Dnajc28	chr16	TRUE	FALSE
Stn1	chr19	TRUE	FALSE
Pomt1	chr2	FALSE	FALSE
Vxn	chr1	TRUE	FALSE
Zfp503	chr14	TRUE	FALSE
Copa	chr1	FALSE	TRUE
Tgfb1i1	chr7	TRUE	TRUE
Onecut1	chr9	FALSE	FALSE
Zwint	chr10	TRUE	FALSE
Esyt1	chr10	FALSE	FALSE
Poglut1	chr16	TRUE	FALSE
Phf6	chrX	FALSE	TRUE
Cdk5r2	chr1	TRUE	FALSE
Chrnb4	chr9	TRUE	FALSE
Tmem202	chr9	TRUE	TRUE
Stmn4	chr14	TRUE	FALSE
Trim7	chr11	TRUE	FALSE
Cmklr1	chr5	FALSE	FALSE
Il4i1	chr7	FALSE	FALSE
F9	chrX	TRUE	TRUE
Zfp287	chr11	FALSE	FALSE
Ercc4	chr16	FALSE	TRUE
Dennd2c	chr3	TRUE	TRUE
Dhx57	chr17	FALSE	TRUE
Taf15	chr11	FALSE	FALSE
Fstl3	chr10	TRUE	FALSE
Il34	chr8	FALSE	TRUE
3425401B19Rik	chr14	TRUE	FALSE
Icam5	chr9	FALSE	FALSE
Glrx2	chr1	TRUE	FALSE
Cbx7	chr15	TRUE	FALSE
Fah	chr7	FALSE	FALSE
Cyp17a1	chr19	FALSE	FALSE
Rmdn1	chr4	FALSE	FALSE
Slc22a18	chr7	FALSE	FALSE
Adtrp	chr13	FALSE	TRUE
Ice2	chr9	FALSE	FALSE
Hat1	chr2	TRUE	FALSE
Ssbp3	chr4	TRUE	TRUE
Lrrk2	chr15	TRUE	TRUE
Fbxo31	chr8	FALSE	FALSE
Mrps22	chr9	TRUE	FALSE
Pacsin1	chr17	FALSE	TRUE
Gpr155	chr2	TRUE	FALSE
Wnt9a	chr11	FALSE	FALSE
Zbtb48	chr4	FALSE	FALSE
Gcm2	chr13	FALSE	FALSE
Necap1	chr6	FALSE	FALSE
Stard13	chr5	TRUE	TRUE
Zdhhc20	chr14	TRUE	TRUE
Lck	chr4	FALSE	FALSE
Commd6	chr14	TRUE	TRUE
Ropn1l	chr15	TRUE	FALSE
Tsnaxip1	chr8	TRUE	FALSE
Nr1i2	chr16	FALSE	TRUE
Cenpk	chr13	TRUE	FALSE
Ncf2	chr1	TRUE	FALSE
Dhx30	chr9	FALSE	FALSE
Dtymk	chr1	FALSE	FALSE
Epb41	chr4	FALSE	TRUE
Snorc	chr1	FALSE	FALSE
Rasa1	chr13	TRUE	TRUE
Sh3d21	chr4	FALSE	FALSE
Ercc5	chr1	TRUE	FALSE
Mok	chr12	FALSE	FALSE
Slc25a19	chr11	FALSE	FALSE
Rarres1	chr3	FALSE	TRUE
Fras1	chr5	FALSE	TRUE
Defb41	chr1	TRUE	FALSE
Vim	chr2	TRUE	FALSE
Pi4ka	chr16	FALSE	TRUE
Itgb1	chr8	TRUE	TRUE
Myo7b	chr18	FALSE	TRUE
Bpgm	chr6	TRUE	FALSE
Prss54	chr8	FALSE	TRUE
Rnase4	chr14	TRUE	FALSE
Hapln4	chr8	FALSE	FALSE
Bhlhe22	chr3	TRUE	FALSE
Nphs1	chr7	FALSE	FALSE
C2cd2	chr16	TRUE	TRUE
Eif3a	chr19	FALSE	TRUE
Rabl6	chr2	FALSE	FALSE
Col4a4	chr1	FALSE	TRUE
Mcmdc2	chr1	TRUE	FALSE
Pmp22	chr11	FALSE	FALSE
Ylpm1	chr12	FALSE	TRUE
Cib4	chr5	TRUE	FALSE
Chrnb2	chr3	TRUE	FALSE
Mrps24	chr11	FALSE	TRUE
Gm19410	chr8	FALSE	TRUE
Slco1a5	chr6	FALSE	TRUE
Hps6	chr19	TRUE	TRUE
Ldah	chr12	FALSE	TRUE
Dync2h1	chr9	FALSE	TRUE
Cpne1	chr2	FALSE	FALSE
Vps37b	chr5	FALSE	FALSE
Ankrd13b	chr11	FALSE	FALSE
Rnf170	chr8	TRUE	FALSE
Tmem45b	chr9	FALSE	TRUE
Gnas	chr2	TRUE	TRUE
F5	chr1	TRUE	TRUE
Gm7609	chr1	FALSE	FALSE
Chad	chr11	FALSE	FALSE
Tmem181a	chr17	TRUE	FALSE
Prss48	chr3	FALSE	FALSE
Pygm	chr19	FALSE	FALSE
B3galt2	chr1	TRUE	FALSE
Anapc2	chr2	TRUE	FALSE
Col1a1	chr11	FALSE	FALSE
Ednrb	chr14	FALSE	FALSE
Zkscan3	chr13	TRUE	FALSE
Pmel	chr10	TRUE	FALSE
Ift22	chr5	TRUE	FALSE
Naprt	chr15	FALSE	FALSE
Trim44	chr2	TRUE	TRUE
Dok5	chr2	TRUE	TRUE
Wfdc18	chr11	FALSE	TRUE
Shprh	chr10	TRUE	TRUE
Tmem59l	chr8	FALSE	FALSE
Ccr5	chr9	FALSE	TRUE
Ltb4r1	chr14	TRUE	FALSE
Selenof	chr3	TRUE	TRUE
