gene_name	chr	mch_hyper	atac_gained
Unc5a	chr13	FALSE	TRUE
Rin2	chr2	FALSE	TRUE
Tle1	chr4	FALSE	TRUE
Ccdc60	chr5	FALSE	TRUE
Igsf3	chr3	FALSE	TRUE
Ccdc88a	chr11	FALSE	TRUE
Nos2	chr11	FALSE	FALSE
R3hdm2	chr10	FALSE	TRUE
Pacs2	chr12	FALSE	FALSE
Arhgef10l	chr4	FALSE	TRUE
Adgrl2	chr3	FALSE	TRUE
B3galt5	chr16	FALSE	TRUE
Cdcp3	chr7	FALSE	FALSE
Eya1	chr1	TRUE	TRUE
Galnt16	chr12	FALSE	TRUE
Mcc	chr18	FALSE	TRUE
Esr1	chr10	FALSE	TRUE
Ptprs	chr17	FALSE	TRUE
Syt7	chr19	FALSE	TRUE
Kcnip4	chr5	FALSE	TRUE
Shb	chr4	TRUE	TRUE
Fgf5	chr5	FALSE	TRUE
D7Ertd443e	chr7	TRUE	TRUE
Hcn4	chr9	FALSE	TRUE
Csnk1g1	chr9	FALSE	TRUE
Ank2	chr3	FALSE	TRUE
R3hdm1	chr1	FALSE	TRUE
Rai1	chr11	FALSE	TRUE
4930447A16Rik	chr15	TRUE	FALSE
Pitpnm2	chr5	FALSE	TRUE
Casz1	chr4	FALSE	TRUE
Ankef1	chr2	TRUE	FALSE
Vwc2l	chr1	TRUE	TRUE
Sardh	chr2	FALSE	TRUE
Chn1	chr2	FALSE	TRUE
Cst8	chr2	TRUE	FALSE
Caln1	chr5	TRUE	FALSE
Chrdl2	chr7	FALSE	TRUE
Slc1a1	chr19	FALSE	TRUE
Tunar	chr12	FALSE	TRUE
Ablim1	chr19	FALSE	FALSE
Lurap1l	chr4	TRUE	TRUE
St6gal1	chr16	FALSE	TRUE
CK137956	chr4	FALSE	TRUE
Fgd5	chr6	FALSE	TRUE
Lrrfip1	chr1	FALSE	TRUE
Coro2b	chr9	FALSE	TRUE
Ccdc13	chr9	FALSE	TRUE
Adcy7	chr8	FALSE	TRUE
Podn	chr4	FALSE	TRUE
Arhgef17	chr7	FALSE	TRUE
Upp1	chr11	TRUE	TRUE
Kcnj3	chr2	FALSE	TRUE
Rps6kc1	chr1	FALSE	TRUE
Slc9a2	chr1	FALSE	TRUE
Vash2	chr1	FALSE	TRUE
Slc22a14	chr9	FALSE	TRUE
Susd4	chr1	FALSE	TRUE
Setbp1	chr18	FALSE	TRUE
Robo1	chr16	FALSE	FALSE
Camk2b	chr11	FALSE	TRUE
Smg6	chr11	FALSE	FALSE
Bhmt	chr13	TRUE	TRUE
Sorcs2	chr5	FALSE	TRUE
Tmcc3	chr10	FALSE	TRUE
Gabrg1	chr5	TRUE	TRUE
Pawr	chr10	FALSE	TRUE
Osbpl9	chr4	FALSE	TRUE
Ccdc138	chr10	FALSE	TRUE
Scube1	chr15	FALSE	TRUE
Rerg	chr6	TRUE	TRUE
Adamts17	chr7	FALSE	TRUE
Chil5	chr3	TRUE	FALSE
Zic3	chrX	FALSE	FALSE
Thsd7b	chr1	TRUE	TRUE
Kcnb1	chr2	FALSE	TRUE
Helz	chr11	FALSE	TRUE
Homer2	chr7	FALSE	FALSE
Hecw1	chr13	FALSE	TRUE
Nav2	chr7	TRUE	TRUE
Cdh12	chr15	FALSE	TRUE
Prl	chr13	TRUE	TRUE
Camk2a	chr18	FALSE	TRUE
Grip2	chr6	FALSE	TRUE
Phldb1	chr9	FALSE	TRUE
Gzmn	chr14	TRUE	TRUE
Icos	chr1	TRUE	TRUE
Carmil1	chr13	FALSE	TRUE
Lpin1	chr12	FALSE	TRUE
Nin	chr12	FALSE	TRUE
Pax8	chr2	FALSE	TRUE
Rgs17	chr10	FALSE	TRUE
Ccdc88c	chr12	FALSE	FALSE
Prkg1	chr19	FALSE	TRUE
Lhx3	chr2	FALSE	TRUE
Actn1	chr12	FALSE	TRUE
Il20rb	chr9	TRUE	FALSE
Wwc2	chr8	FALSE	TRUE
Fam169a	chr13	TRUE	TRUE
Src	chr2	FALSE	TRUE
Map3k4	chr17	FALSE	TRUE
Nup188	chr2	FALSE	FALSE
Ppm1e	chr11	FALSE	TRUE
Shroom3	chr5	FALSE	TRUE
Sdc3	chr4	FALSE	TRUE
Arhgap44	chr11	FALSE	TRUE
Eda	chrX	FALSE	TRUE
Kcnk13	chr12	FALSE	TRUE
Baiap2	chr11	FALSE	FALSE
Gsap	chr5	FALSE	TRUE
Mdga2	chr12	TRUE	TRUE
Klf3	chr5	FALSE	TRUE
Dgkg	chr16	FALSE	TRUE
Adgrv1	chr13	FALSE	TRUE
Myo1b	chr1	FALSE	FALSE
Scarb1	chr5	FALSE	TRUE
Cers4	chr8	FALSE	TRUE
4930523C07Rik	chr1	TRUE	TRUE
Ly6g6d	chr17	TRUE	FALSE
Il4ra	chr7	FALSE	TRUE
Pde1a	chr2	FALSE	TRUE
Esrrb	chr12	FALSE	TRUE
Myzap	chr9	FALSE	TRUE
Atp2b4	chr1	FALSE	FALSE
Tnfrsf19	chr14	FALSE	TRUE
Lmbr1	chr5	FALSE	TRUE
Smarca2	chr19	FALSE	TRUE
Iqsec3	chr6	FALSE	TRUE
Bcat1	chr6	FALSE	TRUE
Nhs	chrX	FALSE	TRUE
Epb41l3	chr17	FALSE	TRUE
Pcdh15	chr10	FALSE	TRUE
Dnmbp	chr19	FALSE	TRUE
Tmco4	chr4	FALSE	TRUE
Ralyl	chr3	FALSE	TRUE
Pde7b	chr10	FALSE	TRUE
Cobll1	chr2	TRUE	TRUE
Cpeb1	chr7	FALSE	TRUE
Ret	chr6	FALSE	TRUE
Ttc29	chr8	FALSE	TRUE
Fgf12	chr16	FALSE	TRUE
Trim36	chr18	FALSE	TRUE
Agrp	chr8	FALSE	TRUE
Bmerb1	chr16	FALSE	TRUE
Sorl1	chr9	FALSE	TRUE
Ninj2	chr6	FALSE	TRUE
Tenm3	chr8	FALSE	TRUE
Diaph3	chr14	FALSE	TRUE
Colgalt2	chr1	FALSE	TRUE
Sntg1	chr1	FALSE	TRUE
Tenm4	chr7	TRUE	TRUE
Vstm2l	chr2	FALSE	TRUE
Exoc3l	chr8	TRUE	FALSE
Tmtc1	chr6	FALSE	TRUE
Kank1	chr19	FALSE	TRUE
Myo16	chr8	FALSE	TRUE
Kcnh8	chr17	FALSE	FALSE
Greb1l	chr18	FALSE	TRUE
Nfam1	chr15	FALSE	TRUE
Pyroxd2	chr19	FALSE	TRUE
Clip4	chr17	FALSE	TRUE
Kifc3	chr8	FALSE	TRUE
Stox2	chr8	FALSE	TRUE
Hhip	chr8	TRUE	TRUE
Lrfn5	chr12	FALSE	TRUE
Lrrc55	chr2	FALSE	TRUE
Fut10	chr8	FALSE	FALSE
Tmem236	chr2	TRUE	FALSE
Stra6	chr9	FALSE	TRUE
Osbp2	chr11	FALSE	TRUE
Pdgfra	chr5	FALSE	TRUE
Cit	chr5	FALSE	TRUE
Arhgef26	chr3	FALSE	TRUE
Bdnf	chr2	TRUE	FALSE
Ext1	chr15	FALSE	FALSE
Dnah9	chr11	FALSE	TRUE
Tshz3	chr7	FALSE	TRUE
Cecr2	chr6	FALSE	TRUE
Rspo3	chr10	FALSE	TRUE
Wwc1	chr11	FALSE	TRUE
Arhgap31	chr16	FALSE	TRUE
Pde4a	chr9	FALSE	TRUE
Ankfn1	chr11	FALSE	TRUE
Aim2	chr1	TRUE	TRUE
Shtn1	chr19	FALSE	TRUE
Pard3b	chr1	TRUE	TRUE
Rbms1	chr2	FALSE	TRUE
Map2	chr1	FALSE	TRUE
Dmbx1	chr4	TRUE	TRUE
Ctnnbip1	chr4	FALSE	TRUE
Atp7b	chr8	FALSE	FALSE
Tnni1	chr1	FALSE	TRUE
Col11a1	chr3	FALSE	TRUE
Foxp4	chr17	FALSE	TRUE
Slc44a5	chr3	FALSE	TRUE
Iqsec1	chr6	FALSE	TRUE
Trim2	chr3	FALSE	TRUE
Ica1	chr6	FALSE	TRUE
Gprc5b	chr7	FALSE	TRUE
Oas1f	chr5	FALSE	FALSE
Kctd16	chr18	TRUE	TRUE
Dok6	chr18	FALSE	TRUE
Gpc5	chr14	FALSE	TRUE
Npas3	chr12	FALSE	TRUE
Sspo	chr6	FALSE	TRUE
Amer2	chr14	TRUE	FALSE
Abtb2	chr2	TRUE	TRUE
Cdh6	chr15	FALSE	TRUE
Lhfpl3	chr5	TRUE	TRUE
Sorbs2	chr8	FALSE	TRUE
Atp8b1	chr18	FALSE	TRUE
Inpp4b	chr8	FALSE	TRUE
Pvalb	chr15	FALSE	TRUE
Abcb4	chr5	FALSE	TRUE
L3mbtl4	chr17	TRUE	TRUE
Nxph1	chr6	TRUE	TRUE
Prr7	chr13	FALSE	TRUE
Ndp	chrX	TRUE	FALSE
Mgat5b	chr11	FALSE	TRUE
Ptpn3	chr4	FALSE	FALSE
Ap1b1	chr11	FALSE	TRUE
Tekt1	chr11	FALSE	TRUE
Pex5l	chr3	FALSE	TRUE
Trank1	chr9	FALSE	TRUE
Col9a3	chr2	FALSE	TRUE
Gfra1	chr19	FALSE	TRUE
Nacc2	chr2	FALSE	TRUE
Il11ra1	chr4	FALSE	FALSE
Padi1	chr4	FALSE	TRUE
Asic2	chr11	FALSE	TRUE
Lgi2	chr5	FALSE	TRUE
Cdh7	chr1	TRUE	FALSE
Rffl	chr11	FALSE	TRUE
Oxr1	chr15	FALSE	TRUE
Fam78a	chr2	FALSE	TRUE
Flt3	chr5	FALSE	TRUE
Stat5a	chr11	FALSE	TRUE
Myh11	chr16	FALSE	TRUE
Lamc2	chr1	TRUE	TRUE
Prmt8	chr6	FALSE	TRUE
Clic4	chr4	FALSE	TRUE
Morc4	chrX	FALSE	TRUE
Prdm1	chr10	FALSE	TRUE
Itga7	chr10	TRUE	FALSE
Ly75	chr2	FALSE	TRUE
Rbm20	chr19	FALSE	TRUE
Steap3	chr1	FALSE	TRUE
Crcp	chr5	FALSE	TRUE
Il6ra	chr3	FALSE	TRUE
Glb1l2	chr9	FALSE	TRUE
Gli2	chr1	FALSE	TRUE
Grid1	chr14	TRUE	TRUE
Zc3hav1	chr6	FALSE	TRUE
Chst9	chr18	TRUE	TRUE
Pik3cd	chr4	FALSE	TRUE
Frmpd1	chr4	FALSE	TRUE
Plekhf1	chr7	TRUE	FALSE
Rapgef5	chr12	FALSE	TRUE
Laptm4b	chr15	FALSE	TRUE
Myo3a	chr2	FALSE	TRUE
Adcy2	chr13	FALSE	TRUE
Angptl2	chr2	FALSE	TRUE
Dlc1	chr8	TRUE	TRUE
Barhl1	chr2	FALSE	TRUE
Dcdc2a	chr13	FALSE	TRUE
Cdc42ep4	chr11	FALSE	TRUE
Bdkrb2	chr12	FALSE	TRUE
Gas6	chr8	FALSE	TRUE
Lrrc8c	chr5	FALSE	TRUE
Arhgap24	chr5	FALSE	TRUE
Gtf3c3	chr1	FALSE	TRUE
Stk32b	chr5	FALSE	TRUE
Lcp1	chr14	FALSE	TRUE
Sema3e	chr5	TRUE	TRUE
Nkain2	chr10	FALSE	TRUE
Fchsd2	chr7	FALSE	FALSE
Clec2l	chr6	FALSE	TRUE
Col6a5	chr9	FALSE	TRUE
Spsb4	chr9	FALSE	TRUE
Plcb2	chr2	FALSE	TRUE
Plcb3	chr19	FALSE	TRUE
Lin28b	chr10	FALSE	TRUE
Unc5cl	chr17	FALSE	FALSE
Lyn	chr4	TRUE	FALSE
Trib2	chr12	FALSE	TRUE
Ptpn13	chr5	FALSE	TRUE
Pdzd2	chr15	FALSE	TRUE
Rasgrp2	chr19	FALSE	TRUE
Kctd1	chr18	FALSE	TRUE
Nt5e	chr9	FALSE	FALSE
Lep	chr6	TRUE	FALSE
Rufy1	chr11	FALSE	TRUE
Vipr1	chr9	FALSE	TRUE
Cdc14b	chr13	FALSE	TRUE
Tspear	chr10	FALSE	TRUE
D630003M21Rik	chr2	FALSE	TRUE
Stk31	chr6	FALSE	TRUE
Cacna2d3	chr14	FALSE	TRUE
Arhgap20	chr9	FALSE	TRUE
Frmd4b	chr6	FALSE	TRUE
Rgs16	chr1	FALSE	TRUE
Abcg2	chr6	FALSE	TRUE
Chrna4	chr2	FALSE	TRUE
Jag2	chr12	FALSE	TRUE
Tex26	chr5	FALSE	TRUE
Masp1	chr16	FALSE	TRUE
Mylk	chr16	FALSE	TRUE
Pxdn	chr12	FALSE	TRUE
Srcin1	chr11	FALSE	TRUE
Igfbp7	chr5	FALSE	TRUE
Ppp1r14c	chr10	FALSE	TRUE
Slc16a9	chr10	FALSE	TRUE
Arrb1	chr7	FALSE	FALSE
Tbck	chr3	FALSE	TRUE
Ppef1	chrX	TRUE	TRUE
Myrip	chr9	FALSE	TRUE
Plppr5	chr3	FALSE	TRUE
Meis2	chr2	FALSE	TRUE
Rhod	chr19	FALSE	TRUE
Itga9	chr9	FALSE	TRUE
Tm6sf1	chr7	FALSE	TRUE
Tmem154	chr3	FALSE	TRUE
Scn5a	chr9	FALSE	TRUE
Kcnh3	chr15	FALSE	TRUE
Celf1	chr2	FALSE	TRUE
Nfatc1	chr18	FALSE	TRUE
Otx2	chr14	FALSE	FALSE
Stat3	chr11	FALSE	TRUE
Hhla1	chr15	FALSE	TRUE
Cplx1	chr5	FALSE	TRUE
Kcnk3	chr5	FALSE	TRUE
Ass1	chr2	FALSE	TRUE
Slc35f1	chr10	TRUE	TRUE
Ntm	chr9	TRUE	TRUE
Zfp474	chr18	TRUE	TRUE
Acacb	chr5	FALSE	TRUE
Hrh1	chr6	FALSE	TRUE
Ltk	chr2	FALSE	TRUE
Krt80	chr15	FALSE	TRUE
Mrgpre	chr7	FALSE	TRUE
Cttnbp2	chr6	FALSE	TRUE
Asap1	chr15	FALSE	TRUE
Mcf2	chrX	FALSE	TRUE
Gabrr2	chr4	TRUE	FALSE
Popdc3	chr10	FALSE	TRUE
Scn9a	chr2	FALSE	TRUE
Rnf217	chr10	FALSE	TRUE
Rsph6a	chr7	FALSE	TRUE
Kcnk2	chr1	TRUE	TRUE
Vsig10	chr5	FALSE	TRUE
Cd163	chr6	TRUE	TRUE
Kcnk10	chr12	FALSE	TRUE
Ripor2	chr13	FALSE	TRUE
Shc2	chr10	FALSE	TRUE
Jdp2	chr12	FALSE	TRUE
Kcnip1	chr11	TRUE	TRUE
Il27ra	chr8	FALSE	TRUE
F12	chr13	FALSE	TRUE
Sox5	chr6	TRUE	TRUE
Fat3	chr9	FALSE	TRUE
Heyl	chr4	FALSE	FALSE
Grm8	chr6	FALSE	TRUE
Cldn1	chr16	TRUE	TRUE
Gata3	chr2	FALSE	TRUE
Arhgap27	chr11	FALSE	TRUE
Hes3	chr4	FALSE	TRUE
Fam163b	chr2	FALSE	TRUE
Ptprz1	chr6	FALSE	TRUE
Edil3	chr13	FALSE	TRUE
Scn4b	chr9	FALSE	TRUE
Arhgef6	chrX	FALSE	TRUE
Alx4	chr2	FALSE	TRUE
Xylt1	chr7	TRUE	TRUE
Trim55	chr3	FALSE	TRUE
Slc44a3	chr3	FALSE	TRUE
Ankrd55	chr13	FALSE	TRUE
Cpq	chr15	FALSE	TRUE
Col15a1	chr4	TRUE	TRUE
Phldb2	chr16	TRUE	FALSE
Wsb2	chr5	FALSE	TRUE
Pdgfa	chr5	FALSE	TRUE
Ppp1r16b	chr2	FALSE	TRUE
Dapp1	chr3	TRUE	TRUE
Cmas	chr6	FALSE	TRUE
Hhipl1	chr12	FALSE	TRUE
Onecut2	chr18	TRUE	TRUE
Sult2b1	chr7	FALSE	TRUE
Adra1b	chr11	FALSE	TRUE
Slit3	chr11	FALSE	TRUE
Nyx	chrX	TRUE	FALSE
Col8a1	chr16	FALSE	TRUE
Agbl4	chr4	FALSE	TRUE
Cxcr5	chr9	FALSE	TRUE
Klc1	chr12	FALSE	TRUE
Pkd1l3	chr8	FALSE	TRUE
Tut4	chr4	FALSE	TRUE
Spag6l	chr16	FALSE	TRUE
Arhgap18	chr10	FALSE	TRUE
Slc12a6	chr2	FALSE	TRUE
Car8	chr4	FALSE	TRUE
Med25	chr7	FALSE	FALSE
Wnt10a	chr1	FALSE	TRUE
Vcan	chr13	FALSE	TRUE
Rap1gap	chr4	FALSE	TRUE
Tmem132e	chr11	FALSE	TRUE
Cfap45	chr1	FALSE	TRUE
Rab40b	chr11	FALSE	FALSE
Slc4a8	chr15	FALSE	TRUE
Shc3	chr13	FALSE	TRUE
Nfatc2	chr2	FALSE	TRUE
Tmem44	chr16	FALSE	TRUE
Ush1g	chr11	FALSE	FALSE
Rasal1	chr5	FALSE	FALSE
Acss3	chr10	FALSE	TRUE
Col25a1	chr3	FALSE	TRUE
Jcad	chr18	FALSE	TRUE
Ctdp1	chr18	FALSE	TRUE
Zbtb4	chr11	FALSE	TRUE
Tnfsf13	chr11	TRUE	FALSE
Arhgap42	chr9	FALSE	TRUE
Ltbp2	chr12	FALSE	TRUE
Prkcq	chr2	FALSE	TRUE
Sbno2	chr10	FALSE	TRUE
Cpt1a	chr19	FALSE	TRUE
Rhof	chr5	FALSE	TRUE
Pam	chr1	TRUE	TRUE
Zfp853	chr5	FALSE	TRUE
Ccdc85a	chr11	FALSE	TRUE
Ankmy1	chr1	FALSE	TRUE
Pacrg	chr17	FALSE	FALSE
Snap91	chr9	FALSE	TRUE
Eci3	chr13	FALSE	TRUE
Tff3	chr17	TRUE	FALSE
Ell2	chr13	FALSE	TRUE
Cabcoco1	chr10	TRUE	TRUE
Tcf7l2	chr19	FALSE	TRUE
Otog	chr7	FALSE	TRUE
Dhx58	chr11	FALSE	TRUE
Adcy10	chr1	FALSE	FALSE
Ptp4a3	chr15	FALSE	TRUE
Tdrd5	chr1	FALSE	TRUE
P3h2	chr16	FALSE	TRUE
Lrriq1	chr10	FALSE	TRUE
Dnah1	chr14	FALSE	TRUE
Blk	chr14	FALSE	TRUE
Otoa	chr7	FALSE	TRUE
Pcdh10	chr3	FALSE	TRUE
Cpne5	chr17	FALSE	TRUE
Esyt3	chr9	FALSE	TRUE
Lama4	chr10	FALSE	TRUE
Pcolce2	chr9	FALSE	TRUE
Nlgn1	chr3	FALSE	TRUE
Asic4	chr1	FALSE	TRUE
Ngef	chr1	FALSE	TRUE
Adam12	chr7	TRUE	TRUE
Ccdc113	chr8	FALSE	TRUE
Thsd4	chr9	FALSE	TRUE
Arhgap8	chr15	FALSE	TRUE
Gucy1a1	chr3	FALSE	TRUE
C8a	chr4	FALSE	FALSE
Lingo3	chr10	FALSE	TRUE
Itgb7	chr15	FALSE	FALSE
Prdm13	chr4	FALSE	TRUE
Slc16a2	chrX	FALSE	TRUE
C6	chr15	TRUE	FALSE
Npl	chr1	FALSE	TRUE
Adcy6	chr15	FALSE	TRUE
Kcnip3	chr2	FALSE	TRUE
Fubp3	chr2	FALSE	TRUE
Prkcg	chr7	FALSE	TRUE
Bend7	chr2	FALSE	TRUE
Pkdcc	chr17	FALSE	TRUE
Cd302	chr2	FALSE	TRUE
Csf1r	chr18	FALSE	FALSE
Lyl1	chr8	FALSE	TRUE
Nexmif	chrX	FALSE	TRUE
Pak3	chrX	FALSE	TRUE
Insrr	chr3	FALSE	TRUE
Kcnh2	chr5	FALSE	TRUE
Mical3	chr6	FALSE	TRUE
Lypd6b	chr2	FALSE	TRUE
Soat1	chr1	FALSE	TRUE
Gpr176	chr2	FALSE	FALSE
Bcl11a	chr11	TRUE	TRUE
Adgra3	chr5	FALSE	TRUE
Rims3	chr4	TRUE	FALSE
Mgat4c	chr10	FALSE	TRUE
Glis3	chr19	FALSE	TRUE
Prlr	chr15	FALSE	TRUE
Pde2a	chr7	FALSE	TRUE
Col26a1	chr5	FALSE	TRUE
4933428G20Rik	chr11	FALSE	TRUE
Jakmip1	chr5	FALSE	TRUE
1110002E22Rik	chr3	TRUE	FALSE
Gabrr3	chr16	FALSE	TRUE
Ccn5	chr2	FALSE	FALSE
Bmper	chr9	TRUE	TRUE
Npy2r	chr3	FALSE	TRUE
Arhgef40	chr14	FALSE	TRUE
Pls3	chrX	FALSE	TRUE
Kcnt2	chr1	FALSE	TRUE
Xkr4	chr1	FALSE	TRUE
Myh15	chr16	FALSE	TRUE
Dsp	chr13	FALSE	TRUE
Psd	chr19	FALSE	TRUE
Psd4	chr2	FALSE	TRUE
Parvg	chr15	FALSE	TRUE
Muc15	chr2	TRUE	FALSE
Pir	chrX	FALSE	TRUE
Mga	chr2	FALSE	TRUE
Plaat1	chr16	TRUE	TRUE
Slc43a2	chr11	FALSE	FALSE
Myom2	chr8	FALSE	TRUE
Fbln5	chr12	FALSE	FALSE
Rorb	chr19	FALSE	TRUE
Cyp7b1	chr3	FALSE	TRUE
Rusc2	chr4	FALSE	TRUE
Phf24	chr4	FALSE	TRUE
Crlf1	chr8	FALSE	TRUE
Gad1	chr2	FALSE	TRUE
Sh3bgrl	chrX	FALSE	TRUE
Impg2	chr16	FALSE	FALSE
Sim1	chr10	FALSE	TRUE
Dgkk	chrX	FALSE	TRUE
Mei1	chr15	FALSE	TRUE
Septin11	chr5	FALSE	TRUE
Sugct	chr13	TRUE	TRUE
Crybg3	chr16	FALSE	TRUE
Abcd2	chr15	FALSE	TRUE
Slc38a1	chr15	FALSE	TRUE
Nmnat3	chr9	TRUE	TRUE
Tom1l2	chr11	FALSE	FALSE
P2ry2	chr7	FALSE	TRUE
Nkd2	chr13	FALSE	TRUE
