gene_name	chr	mch_gain	mecp2_gain
Inf2	chr12	FALSE	FALSE
Trim71	chr9	FALSE	FALSE
Foxo6	chr4	FALSE	FALSE
Dock5	chr14	FALSE	FALSE
Sec16b	chr1	FALSE	FALSE
Ptgis	chr2	FALSE	FALSE
Cbs	chr17	FALSE	TRUE
Ccdc60	chr5	FALSE	FALSE
Ccdc88a	chr11	FALSE	TRUE
Zeb2	chr2	FALSE	FALSE
Fbxl7	chr15	TRUE	FALSE
Eya1	chr1	TRUE	TRUE
Bnc2	chr4	FALSE	FALSE
Edn2	chr4	FALSE	FALSE
Esr1	chr10	FALSE	FALSE
Islr2	chr9	FALSE	FALSE
Ccdc33	chr9	FALSE	FALSE
Vrk1	chr12	FALSE	TRUE
Crim1	chr17	FALSE	FALSE
Shb	chr4	TRUE	TRUE
Mrc2	chr11	FALSE	FALSE
Marchf10	chr11	FALSE	FALSE
D7Ertd443e	chr7	TRUE	TRUE
Hcn4	chr9	FALSE	FALSE
Slit2	chr5	FALSE	FALSE
Ulk4	chr9	FALSE	FALSE
Nckap5	chr1	TRUE	FALSE
Aldh1l1	chr6	FALSE	FALSE
Casz1	chr4	FALSE	FALSE
Vwc2l	chr1	TRUE	TRUE
Chrdl2	chr7	FALSE	FALSE
Gng12	chr6	FALSE	TRUE
Egfr	chr11	FALSE	TRUE
Epha4	chr1	FALSE	FALSE
Septin9	chr11	FALSE	FALSE
Edar	chr10	FALSE	FALSE
Wnt4	chr4	FALSE	FALSE
St6gal1	chr16	FALSE	TRUE
CK137956	chr4	FALSE	FALSE
Fgd5	chr6	FALSE	FALSE
Lrrfip1	chr1	FALSE	FALSE
Adcy7	chr8	FALSE	FALSE
Podn	chr4	FALSE	FALSE
Upp1	chr11	TRUE	FALSE
Nwd2	chr5	FALSE	TRUE
Myo1e	chr9	FALSE	FALSE
Slc9a2	chr1	FALSE	FALSE
Vash2	chr1	FALSE	FALSE
Antxr2	chr5	TRUE	TRUE
Il17rd	chr14	FALSE	TRUE
Spsb1	chr4	FALSE	TRUE
Metap1d	chr2	FALSE	FALSE
Cyth4	chr15	FALSE	FALSE
Sorcs2	chr5	FALSE	FALSE
Tmcc3	chr10	FALSE	FALSE
Pawr	chr10	FALSE	FALSE
Scube1	chr15	FALSE	FALSE
Rerg	chr6	TRUE	TRUE
Disp3	chr4	FALSE	FALSE
Jhy	chr9	FALSE	TRUE
Kcnb1	chr2	FALSE	FALSE
Rab3b	chr4	FALSE	FALSE
Rgs12	chr5	FALSE	FALSE
Camk2a	chr18	FALSE	FALSE
Bfsp2	chr9	FALSE	FALSE
Grip2	chr6	FALSE	TRUE
Ovol2	chr2	FALSE	TRUE
Nxpe4	chr9	FALSE	TRUE
Loxhd1	chr18	FALSE	FALSE
Itga5	chr15	FALSE	FALSE
Ttc23	chr7	FALSE	TRUE
Lmntd1	chr6	FALSE	TRUE
Pax8	chr2	FALSE	FALSE
Usp18	chr6	FALSE	FALSE
Prkg1	chr19	TRUE	TRUE
Lhx3	chr2	FALSE	FALSE
Wwc2	chr8	FALSE	FALSE
Bmp6	chr13	FALSE	FALSE
Fam169a	chr13	TRUE	TRUE
Bmpr1b	chr3	FALSE	FALSE
Pde8a	chr7	FALSE	FALSE
Ppm1e	chr11	FALSE	FALSE
Shroom3	chr5	FALSE	TRUE
Alpl	chr4	FALSE	FALSE
Bnip5	chr17	FALSE	FALSE
Bnc1	chr7	FALSE	FALSE
Eda	chrX	TRUE	FALSE
Kcnk13	chr12	FALSE	FALSE
Mcph1	chr8	FALSE	FALSE
Gsap	chr5	FALSE	FALSE
Paqr5	chr9	FALSE	FALSE
Cachd1	chr4	FALSE	FALSE
Clmn	chr12	FALSE	FALSE
Gsn	chr2	FALSE	TRUE
Vdr	chr15	FALSE	FALSE
Myo1b	chr1	FALSE	FALSE
Mctp2	chr7	FALSE	TRUE
Lgr6	chr1	FALSE	FALSE
Umodl1	chr17	FALSE	TRUE
4930523C07Rik	chr1	TRUE	TRUE
Ccn4	chr15	FALSE	FALSE
Il4ra	chr7	FALSE	FALSE
Chdh	chr14	FALSE	FALSE
Esrrb	chr12	FALSE	FALSE
Prr5	chr15	FALSE	FALSE
Tnfrsf19	chr14	FALSE	FALSE
Scn3a	chr2	FALSE	FALSE
Galnt3	chr2	FALSE	TRUE
Iqsec3	chr6	FALSE	TRUE
Bcat1	chr6	FALSE	TRUE
7530416G11Rik	chr15	FALSE	FALSE
Emid1	chr11	FALSE	TRUE
Pcdh15	chr10	TRUE	FALSE
Sox6	chr7	TRUE	TRUE
Ppfibp2	chr7	FALSE	FALSE
Tmco4	chr4	FALSE	FALSE
Pde7b	chr10	TRUE	FALSE
Vangl1	chr3	FALSE	FALSE
Pld1	chr3	FALSE	FALSE
Ret	chr6	FALSE	FALSE
Ttc29	chr8	FALSE	FALSE
Egflam	chr15	FALSE	FALSE
Trim36	chr18	FALSE	FALSE
Ninj2	chr6	FALSE	FALSE
Tenm3	chr8	TRUE	TRUE
Diaph3	chr14	FALSE	TRUE
Colgalt2	chr1	FALSE	FALSE
Grid2ip	chr5	FALSE	FALSE
Tenm4	chr7	TRUE	TRUE
Kcnma1	chr14	TRUE	FALSE
Vstm2l	chr2	FALSE	FALSE
Th	chr7	FALSE	FALSE
Rhbdl3	chr11	FALSE	TRUE
Abca13	chr11	TRUE	TRUE
Tmtc1	chr6	FALSE	FALSE
Pla2g5	chr4	FALSE	FALSE
Sema3f	chr9	FALSE	FALSE
Dock10	chr1	FALSE	FALSE
Kank1	chr19	FALSE	FALSE
Zfp385c	chr11	FALSE	TRUE
Notch1	chr2	FALSE	FALSE
Greb1l	chr18	TRUE	FALSE
Thbs2	chr17	TRUE	TRUE
Mlph	chr1	FALSE	FALSE
2900026A02Rik	chr5	FALSE	FALSE
Srgap1	chr10	TRUE	TRUE
Clic6	chr16	FALSE	FALSE
Nfam1	chr15	FALSE	FALSE
Hmga2	chr10	FALSE	TRUE
Clip4	chr17	FALSE	FALSE
Slc29a3	chr10	FALSE	FALSE
Epb41l2	chr10	FALSE	TRUE
Kifc3	chr8	FALSE	FALSE
Nedd9	chr13	TRUE	FALSE
Tll2	chr19	FALSE	FALSE
Hhip	chr8	TRUE	TRUE
Lrrc55	chr2	FALSE	TRUE
Pakap	chr4	FALSE	FALSE
Tnfsf11	chr14	FALSE	FALSE
Plekhg1	chr10	FALSE	TRUE
Stra6	chr9	FALSE	FALSE
Grap	chr11	FALSE	FALSE
Chst3	chr10	FALSE	FALSE
Cldn14	chr16	FALSE	FALSE
Pdgfra	chr5	FALSE	FALSE
L3mbtl3	chr10	FALSE	FALSE
Arhgef26	chr3	FALSE	FALSE
Arhgef19	chr4	FALSE	FALSE
Col11a2	chr17	FALSE	FALSE
Atp8b4	chr2	TRUE	TRUE
Glra1	chr11	FALSE	FALSE
Dennd3	chr15	FALSE	FALSE
Ano4	chr10	TRUE	FALSE
Wwc1	chr11	FALSE	FALSE
Gna14	chr19	FALSE	TRUE
Fkbp5	chr17	FALSE	FALSE
Scnn1a	chr6	FALSE	FALSE
Slc45a3	chr1	FALSE	FALSE
Phactr2	chr10	TRUE	FALSE
Ezr	chr17	FALSE	FALSE
Spink13	chr18	FALSE	TRUE
Pard3b	chr1	TRUE	FALSE
Them7	chr2	FALSE	TRUE
Rbms1	chr2	FALSE	TRUE
Tfcp2l1	chr1	FALSE	TRUE
Dmbx1	chr4	TRUE	TRUE
Ror2	chr13	FALSE	FALSE
Tnni1	chr1	FALSE	FALSE
Mertk	chr2	FALSE	FALSE
Erbin	chr13	FALSE	FALSE
Intu	chr3	TRUE	TRUE
Lama1	chr17	FALSE	FALSE
Adra1d	chr2	FALSE	FALSE
Kctd16	chr18	TRUE	TRUE
Dok6	chr18	TRUE	TRUE
Gpc5	chr14	TRUE	FALSE
Cd82	chr2	FALSE	TRUE
Npas3	chr12	TRUE	FALSE
Lrmda	chr14	TRUE	FALSE
Batf	chr12	FALSE	FALSE
Rin3	chr12	FALSE	FALSE
Ptgfrn	chr3	FALSE	FALSE
Zfp217	chr2	FALSE	FALSE
Samd4b	chr7	FALSE	FALSE
Atp8b1	chr18	FALSE	FALSE
Pvalb	chr15	FALSE	FALSE
Col4a1	chr8	FALSE	FALSE
Ddit4l	chr3	FALSE	FALSE
Slc6a13	chr6	FALSE	FALSE
L3mbtl4	chr17	TRUE	FALSE
Prr7	chr13	FALSE	FALSE
Mgat5b	chr11	FALSE	FALSE
Kcnq4	chr4	FALSE	FALSE
Dapk2	chr9	FALSE	FALSE
Rtl9	chrX	FALSE	FALSE
Tekt1	chr11	FALSE	FALSE
Alpk1	chr3	FALSE	FALSE
4932438H23Rik	chr16	FALSE	FALSE
Trank1	chr9	FALSE	FALSE
Syt16	chr12	TRUE	FALSE
Dcc	chr18	TRUE	TRUE
Gfra1	chr19	FALSE	FALSE
Padi1	chr4	FALSE	FALSE
Asic2	chr11	TRUE	FALSE
Slc6a12	chr6	FALSE	FALSE
Hmcn2	chr2	FALSE	FALSE
Fam78a	chr2	FALSE	FALSE
Mast3	chr8	FALSE	FALSE
Fam169b	chr7	FALSE	FALSE
Stat5a	chr11	FALSE	FALSE
Lamc2	chr1	TRUE	FALSE
Angpt4	chr2	FALSE	FALSE
Cryzl2	chr1	FALSE	FALSE
Cdh11	chr8	FALSE	TRUE
Prdm1	chr10	FALSE	FALSE
Pygl	chr12	FALSE	FALSE
Mlxipl	chr5	FALSE	TRUE
Galnt10	chr11	FALSE	FALSE
Ly75	chr2	FALSE	FALSE
Obscn	chr11	FALSE	FALSE
Glb1l2	chr9	FALSE	FALSE
Skap2	chr6	FALSE	TRUE
Dock2	chr11	TRUE	FALSE
Anxa2	chr9	FALSE	FALSE
Gli2	chr1	FALSE	FALSE
Prr5l	chr2	TRUE	FALSE
5730522E02Rik	chr11	TRUE	TRUE
Cracr2a	chr6	FALSE	TRUE
Zc3hav1	chr6	FALSE	TRUE
Chst9	chr18	TRUE	FALSE
Plch1	chr3	FALSE	FALSE
Kl	chr5	FALSE	FALSE
Frmpd1	chr4	FALSE	FALSE
Mob3b	chr4	FALSE	FALSE
Rapgef5	chr12	TRUE	FALSE
Igsf11	chr16	FALSE	FALSE
Adcy2	chr13	TRUE	TRUE
Pax7	chr4	FALSE	FALSE
Dcdc2a	chr13	TRUE	FALSE
Cdc42ep4	chr11	FALSE	TRUE
Rsu1	chr2	FALSE	FALSE
Bdkrb2	chr12	FALSE	FALSE
Zcchc24	chr14	FALSE	FALSE
Ube2u	chr4	FALSE	TRUE
Crb2	chr2	FALSE	TRUE
Fhad1	chr4	FALSE	FALSE
Slc30a3	chr5	FALSE	FALSE
Col22a1	chr15	FALSE	FALSE
Arhgap24	chr5	TRUE	FALSE
Ggta1	chr2	FALSE	TRUE
Hk2	chr6	TRUE	FALSE
Flt1	chr5	FALSE	FALSE
Spsb4	chr9	FALSE	FALSE
Podxl	chr6	FALSE	FALSE
Plcb2	chr2	FALSE	FALSE
0610040J01Rik	chr5	FALSE	FALSE
Fign	chr2	FALSE	FALSE
Gprin2	chr14	FALSE	FALSE
Trib2	chr12	FALSE	FALSE
Ptpn13	chr5	FALSE	FALSE
Kcnk5	chr14	FALSE	FALSE
Papss2	chr19	FALSE	FALSE
Runx3	chr4	FALSE	FALSE
Slc12a3	chr8	FALSE	FALSE
Pear1	chr3	FALSE	TRUE
Col6a3	chr1	FALSE	FALSE
Baz1a	chr12	FALSE	TRUE
Evc	chr5	FALSE	FALSE
Ada	chr2	FALSE	FALSE
Greb1	chr12	FALSE	FALSE
Efs	chr14	FALSE	FALSE
Col4a3	chr1	FALSE	TRUE
C1qtnf7	chr5	FALSE	FALSE
Chrna4	chr2	FALSE	FALSE
Piezo1	chr8	FALSE	FALSE
Fam20a	chr11	FALSE	FALSE
Sh3rf3	chr10	FALSE	FALSE
Jag2	chr12	FALSE	FALSE
Gm27021	chr8	FALSE	FALSE
Mylk	chr16	FALSE	FALSE
Acoxl	chr2	TRUE	TRUE
Pxdn	chr12	FALSE	TRUE
Asap3	chr4	FALSE	TRUE
Kif6	chr17	FALSE	FALSE
Igfbp7	chr5	FALSE	TRUE
Suclg2	chr6	FALSE	TRUE
Khdrbs2	chr1	TRUE	FALSE
Jam2	chr16	FALSE	FALSE
Cacng5	chr11	FALSE	FALSE
Plppr5	chr3	TRUE	TRUE
Itga9	chr9	FALSE	FALSE
Tm6sf1	chr7	FALSE	FALSE
Tmem154	chr3	FALSE	TRUE
Chrm1	chr19	FALSE	FALSE
Gli3	chr13	TRUE	FALSE
Gpr160	chr3	FALSE	FALSE
Scn5a	chr9	FALSE	FALSE
Kcnh3	chr15	FALSE	FALSE
Otop1	chr5	FALSE	TRUE
Tgif1	chr17	FALSE	FALSE
Mbnl3	chrX	TRUE	TRUE
Nfatc1	chr18	FALSE	FALSE
Stab2	chr10	FALSE	FALSE
Drd3	chr16	FALSE	FALSE
Wipf1	chr2	FALSE	FALSE
Scarf2	chr16	FALSE	FALSE
Adgrd1	chr5	FALSE	TRUE
Cd247	chr1	FALSE	FALSE
Rapgef3	chr15	FALSE	FALSE
Ass1	chr2	FALSE	FALSE
Slc35f1	chr10	TRUE	TRUE
Acacb	chr5	FALSE	FALSE
Zap70	chr1	FALSE	TRUE
Hrh1	chr6	FALSE	FALSE
Krt80	chr15	FALSE	FALSE
Acsf2	chr11	FALSE	FALSE
Mrgpre	chr7	FALSE	FALSE
A630023A22Rik	chr14	FALSE	FALSE
Kcnq5	chr1	TRUE	TRUE
Clec18a	chr8	FALSE	FALSE
Loxl1	chr9	FALSE	FALSE
Popdc3	chr10	TRUE	FALSE
Pced1b	chr15	TRUE	FALSE
Tnfsf8	chr4	FALSE	FALSE
Rsph6a	chr7	FALSE	FALSE
Kcnk2	chr1	TRUE	TRUE
Vsig10	chr5	FALSE	TRUE
Fam163a	chr1	FALSE	FALSE
Ripor2	chr13	TRUE	FALSE
Ldb2	chr5	TRUE	FALSE
Kcnip1	chr11	TRUE	TRUE
Il27ra	chr8	FALSE	FALSE
P2ry6	chr7	FALSE	FALSE
F12	chr13	FALSE	FALSE
Ptpn14	chr1	FALSE	FALSE
Sox5	chr6	TRUE	TRUE
Heyl	chr4	FALSE	FALSE
Gata3	chr2	FALSE	FALSE
Trim29	chr9	FALSE	FALSE
A4galt	chr15	FALSE	FALSE
Fam163b	chr2	FALSE	FALSE
Ptprz1	chr6	TRUE	TRUE
Scn4b	chr9	FALSE	TRUE
Alx4	chr2	FALSE	FALSE
Prss12	chr3	FALSE	FALSE
Xylt1	chr7	TRUE	TRUE
Slc44a3	chr3	FALSE	FALSE
Osmr	chr15	FALSE	FALSE
Dgkh	chr14	FALSE	TRUE
Wnt7b	chr15	FALSE	FALSE
Cdh1	chr8	FALSE	TRUE
Col15a1	chr4	TRUE	TRUE
Fgfr4	chr13	FALSE	FALSE
Ppp1r16b	chr2	FALSE	FALSE
Stx2	chr5	FALSE	FALSE
Mthfsd	chr8	FALSE	FALSE
Dapp1	chr3	TRUE	TRUE
Zfp652	chr11	FALSE	FALSE
Ngf	chr3	FALSE	FALSE
Hhipl1	chr12	FALSE	FALSE
Crybg1	chr10	TRUE	FALSE
Adra1b	chr11	TRUE	FALSE
Cabp7	chr11	FALSE	FALSE
Krt5	chr15	FALSE	FALSE
Grin3a	chr4	TRUE	FALSE
Foxj1	chr11	FALSE	FALSE
Papln	chr12	FALSE	FALSE
Slc25a21	chr12	TRUE	FALSE
Ajuba	chr14	FALSE	TRUE
Evc2	chr5	FALSE	TRUE
Kcnh7	chr2	TRUE	FALSE
Fzd6	chr15	FALSE	FALSE
Qrich2	chr11	FALSE	FALSE
Slc28a3	chr13	FALSE	TRUE
Vwa5b1	chr4	FALSE	FALSE
Wnt10a	chr1	FALSE	FALSE
Usp44	chr10	FALSE	TRUE
Tns1	chr1	FALSE	TRUE
Gbp3	chr3	FALSE	FALSE
Rbpms2	chr9	FALSE	FALSE
Fam114a1	chr5	FALSE	FALSE
Nfatc2	chr2	FALSE	FALSE
Ush1g	chr11	FALSE	FALSE
Pnpla1	chr17	FALSE	FALSE
Sh3kbp1	chrX	FALSE	FALSE
Col25a1	chr3	TRUE	FALSE
Jcad	chr18	FALSE	TRUE
Tcf7l1	chr6	TRUE	TRUE
Ebf4	chr2	FALSE	FALSE
Sik1	chr17	FALSE	FALSE
Nxph4	chr10	FALSE	FALSE
Arhgap42	chr9	TRUE	TRUE
Sfrp5	chr19	FALSE	FALSE
Slc22a22	chr15	TRUE	FALSE
Prkcq	chr2	TRUE	FALSE
Nid1	chr13	FALSE	FALSE
Pam	chr1	TRUE	TRUE
Zfp853	chr5	FALSE	FALSE
Pros1	chr16	FALSE	FALSE
Prkcd	chr14	FALSE	FALSE
Ccdc85a	chr11	TRUE	TRUE
Atp6v1c2	chr12	FALSE	FALSE
Tbr1	chr2	FALSE	FALSE
Krt71	chr15	FALSE	FALSE
Dhh	chr15	FALSE	FALSE
Htra1	chr7	FALSE	FALSE
Ankrd63	chr2	FALSE	FALSE
Wdr95	chr5	FALSE	FALSE
Slc2a5	chr4	FALSE	FALSE
Fam107a	chr14	FALSE	FALSE
Kcnc2	chr10	TRUE	FALSE
Fer1l4	chr2	FALSE	TRUE
Piwil1	chr5	FALSE	FALSE
Tcf7l2	chr19	TRUE	TRUE
Prokr2	chr2	FALSE	TRUE
Dnajb8	chr6	FALSE	FALSE
Vsx1	chr2	FALSE	FALSE
Alox5	chr6	FALSE	FALSE
Ptp4a3	chr15	FALSE	FALSE
P3h2	chr16	FALSE	FALSE
Krt19	chr11	FALSE	FALSE
Card10	chr15	FALSE	FALSE
Blk	chr14	FALSE	FALSE
Cpne5	chr17	FALSE	FALSE
Sh3pxd2b	chr11	FALSE	FALSE
Necab1	chr4	TRUE	TRUE
Prnd	chr2	FALSE	FALSE
Tgif2	chr2	FALSE	FALSE
Asic4	chr1	FALSE	FALSE
Llgl2	chr11	FALSE	FALSE
Ngef	chr1	FALSE	FALSE
Adam12	chr7	TRUE	TRUE
Map3k15	chrX	TRUE	FALSE
Strc	chr2	FALSE	FALSE
Pik3r5	chr11	FALSE	FALSE
Cd34	chr1	TRUE	FALSE
Pik3cg	chr12	FALSE	FALSE
Slc4a5	chr6	FALSE	TRUE
Prdm13	chr4	FALSE	FALSE
Lhx6	chr2	FALSE	FALSE
Fscn2	chr11	FALSE	FALSE
Tgfbi	chr13	FALSE	FALSE
Alx3	chr3	FALSE	FALSE
Npl	chr1	FALSE	FALSE
Tmc6	chr11	FALSE	FALSE
Bend7	chr2	FALSE	TRUE
Vav3	chr3	TRUE	FALSE
Sostdc1	chr12	FALSE	FALSE
Glis1	chr4	FALSE	FALSE
Pkdcc	chr17	FALSE	FALSE
Pdzrn4	chr15	TRUE	FALSE
Nfe2l3	chr6	FALSE	TRUE
Basp1	chr15	TRUE	TRUE
Col4a2	chr8	FALSE	FALSE
Nexmif	chrX	FALSE	FALSE
Dock8	chr19	TRUE	FALSE
Gbp5	chr3	FALSE	TRUE
Lims2	chr18	FALSE	TRUE
Insrr	chr3	FALSE	FALSE
Enpep	chr3	FALSE	TRUE
Lypd6b	chr2	FALSE	FALSE
Adgra3	chr5	FALSE	TRUE
Hic1	chr11	FALSE	FALSE
Sptlc3	chr2	TRUE	TRUE
Glis3	chr19	TRUE	TRUE
Pde2a	chr7	FALSE	TRUE
Camk1g	chr1	FALSE	FALSE
Sorcs3	chr19	TRUE	TRUE
Col26a1	chr5	TRUE	FALSE
Npy2r	chr3	FALSE	FALSE
Ttll8	chr15	FALSE	FALSE
Gm12695	chr4	TRUE	TRUE
Corin	chr5	TRUE	FALSE
Bbs9	chr9	TRUE	FALSE
Tram2	chr1	FALSE	FALSE
Dsp	chr13	FALSE	FALSE
Gch1	chr14	FALSE	FALSE
Stx11	chr10	FALSE	FALSE
Dnajc22	chr15	FALSE	FALSE
Trim25	chr11	FALSE	FALSE
Psd4	chr2	FALSE	FALSE
Ankrd35	chr3	FALSE	TRUE
Tmem54	chr4	FALSE	TRUE
Parvg	chr15	FALSE	FALSE
Npr1	chr3	FALSE	FALSE
Synpo2	chr3	TRUE	TRUE
Fbln5	chr12	FALSE	FALSE
Cldn10	chr14	FALSE	FALSE
Trpm1	chr7	TRUE	TRUE
Fnbp1l	chr3	TRUE	TRUE
Spata31d1a	chr13	FALSE	TRUE
Neurl1b	chr17	FALSE	FALSE
Begain	chr12	FALSE	FALSE
Mei1	chr15	FALSE	FALSE
Wnt1	chr15	FALSE	FALSE
Disp1	chr1	TRUE	FALSE
Shisa3	chr5	FALSE	FALSE
Flt4	chr11	FALSE	FALSE
Cxcl3	chr5	FALSE	FALSE
Nmnat3	chr9	TRUE	FALSE
Adora2b	chr11	FALSE	FALSE
Rassf10	chr7	FALSE	FALSE
Anpep	chr7	FALSE	FALSE
Clic5	chr17	TRUE	FALSE
P2ry2	chr7	FALSE	FALSE
Nkd2	chr13	FALSE	FALSE
Pdlim5	chr3	FALSE	FALSE
Pde4c	chr8	FALSE	FALSE
Ak5	chr3	TRUE	FALSE
Kit	chr5	TRUE	TRUE
Filip1	chr9	TRUE	TRUE
Mki67	chr7	FALSE	TRUE
Tnni3k	chr3	TRUE	FALSE
St3gal4	chr9	FALSE	FALSE
Fbln7	chr2	FALSE	FALSE
Lef1	chr3	FALSE	FALSE
Dkk2	chr3	TRUE	TRUE
Zfp618	chr4	FALSE	FALSE
Gpr37	chr6	FALSE	FALSE
Fgf4	chr7	FALSE	FALSE
Nfe2l2	chr2	FALSE	FALSE
Trpc4	chr3	TRUE	FALSE
C130074G19Rik	chr1	FALSE	FALSE
Casp7	chr19	FALSE	FALSE
Wnt3a	chr11	FALSE	FALSE
Susd3	chr13	FALSE	FALSE
Nlrp6	chr7	FALSE	FALSE
Hoxc4	chr15	FALSE	FALSE
Gpr149	chr3	FALSE	FALSE
Dlgap2	chr8	TRUE	FALSE
Adamtsl5	chr10	FALSE	TRUE
Cd2	chr3	FALSE	FALSE
Rhoj	chr12	FALSE	TRUE
St3gal1	chr15	FALSE	FALSE
B3gat1	chr9	FALSE	FALSE
Pdgfd	chr9	TRUE	FALSE
Btg3	chr16	FALSE	FALSE
Chrm3	chr13	TRUE	TRUE
Ryr1	chr7	TRUE	FALSE
Gcnt2	chr13	TRUE	FALSE
Neurog1	chr13	FALSE	TRUE
Eps8l1	chr7	FALSE	FALSE
Aox4	chr1	TRUE	TRUE
Kitl	chr10	TRUE	FALSE
Plcg2	chr8	TRUE	TRUE
Gprc5a	chr6	FALSE	TRUE
Rreb1	chr13	TRUE	FALSE
Ccnd3	chr17	FALSE	FALSE
Ttn	chr2	TRUE	FALSE
Myom3	chr4	FALSE	FALSE
Boll	chr1	TRUE	TRUE
Cfap65	chr1	TRUE	FALSE
Atp8b3	chr10	FALSE	TRUE
Galnt14	chr17	TRUE	FALSE
Plekhg5	chr4	FALSE	FALSE
Crip1	chr12	FALSE	FALSE
Serpine2	chr1	TRUE	FALSE
Gbp7	chr3	FALSE	FALSE
Ntsr1	chr2	FALSE	FALSE
Syt15	chr14	FALSE	FALSE
Sox8	chr17	FALSE	FALSE
Resp18	chr1	FALSE	TRUE
Gdnf	chr15	TRUE	FALSE
Htr6	chr4	FALSE	FALSE
Fignl2	chr15	FALSE	FALSE
Ptpro	chr6	TRUE	FALSE
Hspb7	chr4	FALSE	FALSE
Lrp2	chr2	TRUE	FALSE
Pirt	chr11	FALSE	FALSE
Fcmr	chr1	FALSE	FALSE
Kcng4	chr8	FALSE	FALSE
Htatip2	chr7	TRUE	TRUE
Prtg	chr9	TRUE	FALSE
Lhx2	chr2	FALSE	FALSE
Dbh	chr2	FALSE	FALSE
Tbx21	chr11	FALSE	FALSE
St6galnac2	chr11	FALSE	FALSE
Vsx2	chr12	FALSE	FALSE
Gem	chr4	FALSE	FALSE
Ccdc141	chr2	FALSE	FALSE
Ppara	chr15	TRUE	FALSE
Lrrc32	chr7	FALSE	FALSE
Pak6	chr2	FALSE	FALSE
Sntg2	chr12	TRUE	TRUE
Igfbpl1	chr4	FALSE	FALSE
Ildr1	chr16	FALSE	FALSE
Inava	chr1	FALSE	FALSE
Rasgrp1	chr2	TRUE	FALSE
Ppic	chr18	FALSE	TRUE
Rassf4	chr6	FALSE	FALSE
