Summit_Chr	Summit_Start	Summit_End	seqnames	start	end	width	strand	Conc	Conc_mut	Conc_ctrl	Fold	p.value	FDR
chr1	105184989	105185389	chr1	105183984	105185716	1733	*	6.709526833	6.732393429	6.686291958	0.043262344	0.777267789	0.826713576
chr1	64844502	64844902	chr1	64843272	64845494	2223	*	6.709999781	6.392029792	6.970389404	-0.507807717	0.004316262	0.009366085
chr1	182098830	182099230	chr1	182098687	182099776	1090	*	6.712005229	6.293562208	7.035972785	-0.644130479	0.000115837	0.000353788
chr1	158741119	158741519	chr1	158740901	158742453	1553	*	6.713881213	7.143648755	6.098999617	0.942999714	1.04E-08	6.35E-08
chr1	194736964	194737364	chr1	194736263	194738009	1747	*	6.713894426	6.55143604	6.859896278	-0.236860363	0.120713763	0.176691883
chr1	191985907	191986307	chr1	191985229	191986655	1427	*	6.720119566	7.041668587	6.305713633	0.637875783	0.000124	0.000376214
chr1	134998618	134999018	chr1	134998041	135000030	1990	*	6.720880223	6.451177083	6.948017224	-0.443976088	0.004862053	0.010438935
chr1	135631226	135631626	chr1	135631004	135632063	1060	*	6.724097341	6.499744424	6.918211043	-0.357272761	0.019964189	0.036818706
chr1	152581550	152581950	chr1	152581067	152582884	1818	*	6.725475464	6.309609273	7.047900545	-0.661067147	2.46E-05	8.58E-05
chr1	106538965	106539365	chr1	106538164	106540337	2174	*	6.725503522	6.674975164	6.774321916	-0.086307683	0.584143775	0.661410734
chr1	168355170	168355570	chr1	168354755	168356157	1403	*	6.726734347	6.791649661	6.658759924	0.08031023	0.627533929	0.699995664
chr1	41270474	41270874	chr1	41269211	41271456	2246	*	6.728611463	6.428793708	6.976715116	-0.483948204	0.002533231	0.00581439
chr1	194545708	194546108	chr1	194545389	194547083	1695	*	6.731939711	7.021437928	6.369382831	0.592910172	6.72E-05	0.000214773
chr1	46855675	46856075	chr1	46855556	46857052	1497	*	6.736697217	7.159352083	6.136378252	0.924151775	1.16E-06	5.10E-06
chr1	137650625	137651025	chr1	137649433	137651525	2093	*	6.740004165	7.25274717	5.93721453	1.187526163	2.48E-12	2.48E-11
chr1	162624158	162624558	chr1	162623795	162624858	1064	*	6.743023055	6.819953094	6.661758597	0.120768422	0.446606761	0.531476559
chr1	57997115	57997515	chr1	57996810	57998533	1724	*	6.743044921	7.298017462	5.829446444	1.334901436	6.14E-14	7.52E-13
chr1	61380067	61380467	chr1	61379658	61381386	1729	*	6.744747546	6.65512145	6.829129879	-0.139061875	0.375683753	0.4614202
chr1	73943508	73943908	chr1	73943182	73944723	1542	*	6.745125459	6.626446238	6.854779593	-0.210358504	0.157187395	0.221749279
chr1	180791094	180791494	chr1	180790437	180791491	1055	*	6.745627799	6.871064732	6.608237007	0.158892149	0.488292093	0.5716149
chr1	28220569	28220969	chr1	28220156	28221395	1240	*	6.74624389	7.269623903	5.916633751	1.226791896	4.84E-12	4.63E-11
chr1	92677134	92677534	chr1	92676224	92678715	2492	*	6.746554216	6.435171773	7.002515118	-0.502815584	0.001209159	0.002992775
chr1	107597648	107598048	chr1	107597359	107598594	1236	*	6.748922471	7.38597922	5.580302811	1.687915002	2.91E-21	7.66E-20
chr1	22937050	22937450	chr1	22936743	22938299	1557	*	6.749466286	7.431010808	5.41356353	1.882060794	2.80E-24	1.01E-22
chr1	166138068	166138468	chr1	166137145	166139392	2248	*	6.750454653	6.657824804	6.837494225	-0.127568131	0.452470016	0.537017775
chr1	189366256	189366656	chr1	189366023	189366852	830	*	6.751194192	6.751993309	6.750394632	-0.007736069	0.972714015	0.980127561
chr1	188566382	188566782	chr1	188566145	188567114	970	*	6.751769672	7.027064448	6.41125342	0.491171028	0.006351486	0.01329241
chr1	81073074	81073474	chr1	81072425	81074197	1773	*	6.753092798	7.367484335	5.66102271	1.593937397	1.41E-21	3.85E-20
chr1	13185226	13185626	chr1	13184285	13186478	2194	*	6.754650375	6.57529558	6.914153175	-0.296807654	0.041899677	0.070498923
chr1	160793093	160793493	chr1	160793001	160794240	1240	*	6.756976399	7.234046623	6.039323343	1.093052913	4.58E-11	3.86E-10
chr1	168268620	168269020	chr1	168268100	168269952	1853	*	6.760263153	6.620922459	6.887323225	-0.244192762	0.096301218	0.145566945
chr1	116252959	116253359	chr1	116252451	116254192	1742	*	6.760306069	7.465484456	5.324552552	1.959936286	2.40E-22	7.16E-21
chr1	59548915	59549315	chr1	59548431	59550100	1670	*	6.761301265	6.709236038	6.811552782	-0.089848389	0.559621207	0.639220635
chr1	104479380	104479780	chr1	104478959	104480590	1632	*	6.76184782	7.045912061	6.407788781	0.555611257	0.000298055	0.00083744
chr1	136570413	136570813	chr1	136569657	136571317	1661	*	6.76302822	6.696051979	6.827032588	-0.14054302	0.393898608	0.479959904
chr1	146029330	146029730	chr1	146028810	146030517	1708	*	6.763995926	7.20847845	6.118276739	0.978197503	9.22E-10	6.56E-09
chr1	146515040	146515440	chr1	146514450	146516248	1799	*	6.764061052	7.198554898	6.139380541	0.966541809	1.29E-09	9.02E-09
chr1	158318648	158319048	chr1	158318381	158319270	890	*	6.767090858	6.830496758	6.700769676	0.112042115	0.466645235	0.550918561
chr1	149684885	149685285	chr1	149684342	149685993	1652	*	6.768575611	7.097155822	6.342382635	0.656014876	6.81E-05	0.000217565
chr1	106566284	106566684	chr1	106565237	106567327	2091	*	6.768817945	6.408047264	7.057178322	-0.575056672	0.000337748	0.000938956
chr1	166184652	166185052	chr1	166184076	166186109	2034	*	6.772248799	6.776148012	6.768339019	-0.01430937	0.924687742	0.944839588
chr1	193311488	193311888	chr1	193311118	193312418	1301	*	6.77521002	7.28065875	5.990416879	1.182241348	1.83E-11	1.63E-10
chr1	58044243	58044643	chr1	58043802	58044782	981	*	6.776059894	7.278319562	5.999036639	1.168161809	3.23E-11	2.79E-10
chr1	57870380	57870780	chr1	57869702	57872385	2684	*	6.776542716	6.27034554	7.150523964	-0.781402761	3.06E-06	1.26E-05
chr1	168430122	168430522	chr1	168429447	168430759	1313	*	6.779103055	7.020415849	6.48915621	0.481433801	0.00137925	0.003370422
chr1	88475277	88475677	chr1	88474390	88476872	2483	*	6.779835758	6.531195674	6.991857875	-0.396899298	0.008337921	0.016967373
chr1	173390946	173391346	chr1	173390436	173391647	1212	*	6.780782292	7.1682746	6.249380921	0.817886023	1.24E-06	5.42E-06
chr1	68775271	68775671	chr1	68774791	68775940	1150	*	6.783363588	6.907405988	6.647644218	0.228193305	0.133422643	0.192596448
chr1	52714098	52714498	chr1	52713431	52714818	1388	*	6.785177762	6.813391904	6.756400824	0.051505456	0.745993186	0.801525264
chr1	77140897	77141297	chr1	77140392	77142441	2050	*	6.785509011	6.77209322	6.798801195	-0.052723797	0.743217948	0.79939443
chr1	90955359	90955759	chr1	90954840	90956145	1306	*	6.787088414	6.485467714	7.036423994	-0.488511546	0.002788676	0.006343349
chr1	131254146	131254546	chr1	131253335	131255460	2126	*	6.787100528	6.460979497	7.05292347	-0.519860123	0.00097772	0.002467617
chr1	18462808	18463208	chr1	18461662	18463949	2288	*	6.788226594	7.157370029	6.290891722	0.777387897	5.96E-07	2.75E-06
chr1	190369686	190370086	chr1	190368857	190371559	2703	*	6.792132121	6.426876156	7.083345339	-0.586880153	0.000224554	0.000646553
chr1	140245159	140245559	chr1	140244817	140245862	1046	*	6.792444522	6.953624013	6.610966331	0.264787291	0.118861331	0.174382664
chr1	114864093	114864493	chr1	114863993	114864843	851	*	6.795753552	7.112949974	6.38856785	0.657146489	8.57E-05	0.000268401
chr1	24190850	24191250	chr1	24190316	24192239	1924	*	6.800897268	7.233419695	6.180316041	0.910307355	1.80E-06	7.69E-06
chr1	140246788	140247188	chr1	140246266	140248070	1805	*	6.802690144	7.009035226	6.561826299	0.371651908	0.015900376	0.030080268
chr1	97836889	97837289	chr1	97836036	97837695	1660	*	6.804186017	6.859140435	6.747055124	0.072047955	0.646937117	0.717084211
chr1	75384622	75385022	chr1	75383797	75385681	1885	*	6.804784021	6.723790719	6.881471023	-0.122222867	0.467271599	0.55157936
chr1	137925593	137925993	chr1	137924768	137926378	1611	*	6.804930737	7.378711052	5.837966482	1.446766189	8.04E-19	1.68E-17
chr1	167048597	167048997	chr1	167048024	167049800	1777	*	6.807189831	6.727135893	6.883034205	-0.148661877	0.334410661	0.419493966
chr1	61139969	61140369	chr1	61138492	61140413	1922	*	6.808386693	6.933519198	6.671361077	0.233976653	0.101115722	0.151807484
chr1	149713633	149714033	chr1	149712522	149714650	2129	*	6.810861246	7.223182887	6.231315172	0.86699968	1.03E-06	4.57E-06
chr1	164855686	164856086	chr1	164855453	164856610	1158	*	6.811654322	7.268600537	6.139035278	1.018057928	2.39E-10	1.84E-09
chr1	77473396	77473796	chr1	77472331	77474691	2361	*	6.812562879	6.716089849	6.902987127	-0.165559371	0.273135758	0.354281127
chr1	146491218	146491618	chr1	146490163	146491902	1740	*	6.818230793	7.434014102	5.721609161	1.597152843	3.58E-18	7.05E-17
chr1	61578327	61578727	chr1	61578073	61579576	1504	*	6.819197701	7.409451348	5.803206824	1.493912175	4.87E-19	1.04E-17
chr1	193568002	193568402	chr1	193567822	193569779	1958	*	6.81942105	6.804027797	6.834651792	-0.027889258	0.857447348	0.89126193
chr1	63928262	63928662	chr1	63928039	63928755	717	*	6.820094112	7.361000813	5.944722419	1.284056578	2.44E-12	2.45E-11
chr1	158752313	158752713	chr1	158751990	158753009	1020	*	6.823338001	7.362469272	5.952694192	1.308426197	9.00E-15	1.21E-13
chr1	69686188	69686588	chr1	69685671	69687264	1594	*	6.82610286	7.215611077	6.290882366	0.799283933	1.31E-05	4.78E-05
chr1	132859524	132859924	chr1	132858913	132860525	1613	*	6.828843222	6.737901908	6.914390333	-0.148252759	0.317297109	0.401334872
chr1	193689248	193689648	chr1	193688634	193690097	1464	*	6.829221166	6.954890799	6.691551123	0.235128797	0.127310289	0.184940921
chr1	158769766	158770166	chr1	158769331	158770326	996	*	6.834015458	7.30884718	6.121473316	1.111277218	1.83E-12	1.87E-11
chr1	136213028	136213428	chr1	136212617	136214473	1857	*	6.83544253	6.80932914	6.861091648	-0.026004038	0.858008568	0.891643711
chr1	158497815	158498215	chr1	158497197	158498832	1636	*	6.835504165	7.022672159	6.620382327	0.343803818	0.028730753	0.050686702
chr1	191299519	191299919	chr1	191299230	191300504	1275	*	6.838404443	7.134414113	6.465555685	0.588157856	0.000367943	0.001015666
chr1	73953093	73953493	chr1	73952231	73954271	2041	*	6.841651065	6.455040875	7.146249963	-0.596766153	0.000375756	0.001035575
chr1	24133952	24134352	chr1	24133407	24134707	1301	*	6.8419262	7.279480305	6.210847974	0.968150434	1.52E-09	1.05E-08
chr1	106570248	106570648	chr1	106568839	106570792	1954	*	6.842992879	6.730109653	6.947680943	-0.200630619	0.2239092	0.299537277
chr1	74367956	74368356	chr1	74367505	74368598	1094	*	6.844128813	6.885063842	6.80199829	0.067967578	0.653612359	0.723054516
chr1	134746188	134746588	chr1	134744913	134747606	2694	*	6.846005753	6.323315907	7.228869051	-0.625490931	0.010155688	0.020204447
chr1	48526488	48526888	chr1	48525669	48527396	1728	*	6.846904616	7.473454323	5.714426897	1.661912568	1.46E-23	4.87E-22
chr1	132384211	132384611	chr1	132383982	132385471	1490	*	6.847593056	6.772238343	6.919206457	-0.114348396	0.47168414	0.555852525
chr1	64300730	64301130	chr1	64299994	64301548	1555	*	6.847676806	7.391361	5.964865803	1.282826499	4.78E-13	5.25E-12
chr1	126574480	126574880	chr1	126574066	126575304	1239	*	6.848166782	6.79786763	6.896771189	-0.077216453	0.611774735	0.685917695
chr1	54842131	54842531	chr1	54841576	54843155	1580	*	6.848188128	6.544391371	7.099007131	-0.517066392	0.000649008	0.001699462
chr1	130700001	130700401	chr1	130698922	130700771	1850	*	6.84846702	6.45060351	7.159991726	-0.612353842	0.00074614	0.001928908
chr1	133213719	133214119	chr1	133212718	133214858	2141	*	6.849435497	6.519136284	7.118023785	-0.506652093	0.00093811	0.002377508
chr1	67640111	67640511	chr1	67639326	67640845	1520	*	6.851415605	6.757010419	6.940020818	-0.16155007	0.275009464	0.356316719
chr1	38386348	38386748	chr1	38385470	38387820	2351	*	6.851637462	6.763074579	6.935076733	-0.139356013	0.329218357	0.413996561
chr1	134016915	134017315	chr1	134016567	134018744	2178	*	6.852641805	6.501638953	7.134738876	-0.521390253	0.003471241	0.007709914
chr1	180403468	180403868	chr1	180402365	180404437	2073	*	6.852670312	6.697476221	6.992779413	-0.277700634	0.087452666	0.133959834
chr1	38871972	38872372	chr1	38871439	38872468	1030	*	6.852754804	6.629142947	7.046313782	-0.363498865	0.021342797	0.039022059
chr1	40072149	40072549	chr1	40071806	40074059	2254	*	6.852829689	6.577843525	7.083698865	-0.478443979	0.002836588	0.006435706
