seqnames	start	end	width	strand	Conc	Conc_mut	Conc_ctrl	Fold	p.value	FDR
chr1	180416818	180417218	401	*	3.747281068	3.670835413	3.81987904	-0.052850469	0.800290018	0.886447398
chr1	190590127	190590527	401	*	3.74809244	3.227869844	4.129636922	-0.49597815	0.032959549	0.1084577
chr1	189402676	189403076	401	*	3.749284069	3.743212822	3.755329874	-0.035437174	0.862485606	0.924253354
chr1	51934088	51934488	401	*	3.753929422	3.366036347	4.059322282	-0.383996528	0.081482727	0.205439303
chr1	88839470	88839870	401	*	3.759161882	3.848292589	3.664159896	0.100584245	0.623470037	0.769918358
chr1	189841368	189841768	401	*	3.763226829	3.394950809	4.056352784	-0.39485677	0.078684612	0.200647581
chr1	133214469	133214869	401	*	3.770588211	2.920807496	4.301788421	-0.841666828	0.001169909	0.008668593
chr1	134291578	134291978	401	*	3.770697444	3.66834024	3.866271168	-0.070634481	0.732775301	0.842917077
chr1	48721968	48722368	401	*	3.775891271	4.37560788	2.730701427	1.005671276	0.00031661	0.003102699
chr1	87127186	87127586	401	*	3.782463832	3.518021718	4.005860919	-0.216864933	0.30233157	0.493576988
chr1	192507879	192508279	401	*	3.792653997	3.698442646	3.881088446	-0.093727514	0.647855851	0.787125838
chr1	136213071	136213471	401	*	3.805488014	3.76589733	3.844021199	0.004553752	0.982178193	0.991473793
chr1	125654347	125654747	401	*	3.810787073	3.98646561	3.610710716	0.184729397	0.373989569	0.563052146
chr1	43877501	43877901	401	*	3.816192461	4.373345674	2.896541783	1.050566436	0.000145733	0.001680141
chr1	118837120	118837520	401	*	3.834002707	3.420511098	4.155002472	-0.334558613	0.123750709	0.27398571
chr1	168287223	168287623	401	*	3.835455602	4.223616696	3.302788932	0.525584459	0.022443715	0.081848308
chr1	134746024	134746424	401	*	3.836418413	3.5325509	4.087285587	-0.304152356	0.154880991	0.318602419
chr1	89107099	89107499	401	*	3.837795999	3.425941541	4.157810892	-0.441485837	0.047933114	0.141417704
chr1	13187676	13188076	401	*	3.841362693	3.837905726	3.844811397	0.047621834	0.816335841	0.896883605
chr1	63951485	63951885	401	*	3.851338977	4.400197006	2.954528401	0.930137863	0.000500253	0.004467039
chr1	134212327	134212727	401	*	3.852429368	3.835404303	3.869255863	-0.015467186	0.939837845	0.968575994
chr1	190369602	190370002	401	*	3.858592594	3.692465606	4.007550062	-0.140087436	0.497378317	0.67304447
chr1	72824437	72824837	401	*	3.863571776	3.770195371	3.951270164	-0.038514871	0.85085901	0.917350567
chr1	75771328	75771728	401	*	3.865639939	3.785173298	3.941854643	-0.062947555	0.759511889	0.85958775
chr1	74112000	74112400	401	*	3.869617407	3.971138023	3.760408487	0.068560236	0.736424705	0.844692625
chr1	139210445	139210845	401	*	3.874537966	3.974542628	3.767081432	0.074450301	0.716330224	0.832511243
chr1	92028982	92029382	401	*	3.875476379	3.493798924	4.177011784	-0.414350977	0.067182633	0.179754971
chr1	158784325	158784725	401	*	3.883262849	3.993849136	3.763490861	0.103656468	0.61526595	0.763469764
chr1	165593832	165594232	401	*	3.893245018	3.598434046	4.137913972	-0.28061607	0.186292167	0.360092259
chr1	102776226	102776626	401	*	3.900771333	3.771972237	4.019008192	-0.172043083	0.414575945	0.602602283
chr1	93869246	93869646	401	*	3.900989855	4.215822384	3.497701293	0.40212011	0.069709612	0.184288681
chr1	93006363	93006763	401	*	3.91286213	3.658644212	4.128923909	-0.318787282	0.138334821	0.295669566
chr1	73791639	73792039	401	*	3.913687844	3.867570416	3.958376626	-0.040860066	0.840328852	0.911328459
chr1	36612419	36612819	401	*	3.919367314	3.894838534	3.943486018	-0.010157382	0.96001305	0.979576064
chr1	34501989	34502389	401	*	3.928209915	3.994807302	3.858388862	0.071809049	0.72246667	0.836801963
chr1	161034400	161034800	401	*	3.930738988	3.925588996	3.935870661	-0.004107613	0.98372254	0.992111671
chr1	195034488	195034888	401	*	3.933213065	3.334230304	4.35520993	-0.62719892	0.009018874	0.041813402
chr1	153091634	153092034	401	*	3.933423663	3.650012636	4.1701966	-0.262366004	0.207696477	0.386687127
chr1	89701618	89702018	401	*	3.942233433	3.543608044	4.254223889	-0.447785138	0.041526993	0.127862172
chr1	68297525	68297925	401	*	3.943860189	4.480277212	3.08040331	0.93341167	0.000435126	0.0039977
chr1	153732948	153733348	401	*	3.94454229	3.786635389	4.086858297	-0.175123616	0.401031773	0.58967712
chr1	165788860	165789260	401	*	3.945256623	3.568829152	4.243512779	-0.450497454	0.04349454	0.132076491
chr1	90587881	90588281	401	*	3.947121305	4.20208213	3.637219493	0.311671696	0.144582321	0.30451754
chr1	152612293	152612693	401	*	3.955017669	3.618801854	4.227499213	-0.382620785	0.08585928	0.213287913
chr1	133046262	133046662	401	*	3.957840656	3.415677729	4.350992614	-0.478789093	0.035654262	0.114701052
chr1	24136564	24136964	401	*	3.958084849	4.232678652	3.618642124	0.38400046	0.075947505	0.195629968
chr1	136030374	136030774	401	*	3.960628343	3.83586925	4.075452185	-0.119797298	0.552532447	0.715683325
chr1	193509954	193510354	401	*	3.962796821	3.750782852	4.147608768	-0.224736244	0.273334103	0.462322005
chr1	91619489	91619889	401	*	3.970658971	3.85410397	4.078497349	-0.150482501	0.45586584	0.638602085
chr1	89599208	89599608	401	*	3.973141512	4.204392029	3.697613682	0.277150598	0.185932244	0.359708926
chr1	25105738	25106138	401	*	3.973749888	4.19066222	3.718352803	0.243161181	0.245918399	0.432327134
chr1	132060385	132060785	401	*	3.976045958	3.920487517	4.029543937	-0.044470743	0.829386275	0.904563885
chr1	180509421	180509821	401	*	3.987731683	4.20707295	3.728958082	0.263985931	0.206183682	0.384855793
chr1	51879020	51879420	401	*	3.989668096	3.787752558	4.166762496	-0.292014856	0.172061101	0.341438907
chr1	130812291	130812691	401	*	3.991403311	3.964079867	4.018218876	-0.038312343	0.848562201	0.915799441
chr1	193626862	193627262	401	*	3.995062573	3.969408625	4.020268303	-0.073672689	0.723169262	0.837223357
chr1	131977577	131977977	401	*	3.999614514	3.649833707	4.280923075	-0.351794595	0.097578132	0.232953883
chr1	92677133	92677533	401	*	4.00275455	3.772367418	4.201366721	-0.257810504	0.220615913	0.402740997
chr1	58211234	58211634	401	*	4.003877104	4.363268755	3.524153861	0.563308018	0.014856288	0.06076971
chr1	135848459	135848859	401	*	4.005284255	3.728720024	4.237263737	-0.252611793	0.237184187	0.422699938
chr1	191097945	191098345	401	*	4.005618106	4.125414953	3.874965478	0.104384944	0.605372346	0.75628685
chr1	131843010	131843410	401	*	4.006480184	3.582866261	4.333529767	-0.428820439	0.050075733	0.145888125
chr1	19100271	19100671	401	*	4.009012793	3.665667707	4.286150576	-0.277071302	0.193033807	0.368427973
chr1	187831967	187832367	401	*	4.012793126	4.655808584	2.823146669	1.318364491	5.55E-06	0.000120031
chr1	125840488	125840888	401	*	4.014946209	4.143907469	3.873315436	0.119413414	0.554230615	0.717012696
chr1	138501525	138501925	401	*	4.019386144	3.152722112	4.557016697	-0.972081572	0.000229305	0.002395427
chr1	190392425	190392825	401	*	4.020585226	3.478473658	4.413710326	-0.664673165	0.005272812	0.027835599
chr1	16620043	16620443	401	*	4.022551892	4.645065228	2.903652877	1.243258984	1.12E-05	0.00021182
chr1	181232019	181232419	401	*	4.023976401	4.005523326	4.042196425	-0.055364258	0.785452773	0.876688355
chr1	154178219	154178619	401	*	4.030267035	3.950507627	4.105846995	-0.072345916	0.718985197	0.83434423
chr1	114165307	114165707	401	*	4.036963972	4.548755596	3.236539549	0.868652281	0.000634795	0.005396313
chr1	81095208	81095608	401	*	4.040184554	4.402683776	3.554885261	0.447403198	0.044759565	0.134718473
chr1	59163264	59163664	401	*	4.042898478	3.536225773	4.417138015	-0.564727825	0.012892524	0.054761363
chr1	92063740	92064140	401	*	4.044609988	3.814994682	4.242648597	-0.195777925	0.341866603	0.532626075
chr1	182571527	182571927	401	*	4.050451829	3.895053855	4.190727053	-0.168824819	0.403931786	0.592361667
chr1	152561133	152561533	401	*	4.053534496	3.721737247	4.323111029	-0.414628417	0.059026825	0.16420809
chr1	93144175	93144575	401	*	4.055419716	4.036397277	4.074194598	-0.044486356	0.82515066	0.902306542
chr1	63614335	63614735	401	*	4.060145518	3.222815204	4.586536608	-0.936911039	0.000258043	0.002630844
chr1	24184769	24185169	401	*	4.062988847	4.406811099	3.610706135	0.517822665	0.022450103	0.081862583
chr1	51300585	51300985	401	*	4.063285079	3.937106499	4.179310121	-0.155712467	0.44151397	0.626244541
chr1	132150589	132150989	401	*	4.065285771	3.842228812	4.258429051	-0.223304264	0.278410167	0.467773194
chr1	51968241	51968641	401	*	4.065906902	3.914504587	4.202918694	-0.146681488	0.4686432	0.649620202
chr1	178644044	178644444	401	*	4.068948976	4.35055874	3.71870156	0.411500682	0.056936238	0.160108669
chr1	39339869	39340269	401	*	4.07603566	3.712833262	4.365944518	-0.380281279	0.074410722	0.192916254
chr1	165777419	165777819	401	*	4.077349627	4.252717717	3.877675981	0.1986938	0.329078117	0.520421626
chr1	131296247	131296647	401	*	4.081774556	3.885877406	4.254223889	-0.223164314	0.270302933	0.459141666
chr1	105209433	105209833	401	*	4.085983578	4.384543394	3.709071259	0.444667318	0.044411906	0.134029582
chr1	90258494	90258894	401	*	4.091874013	4.151978257	4.029156496	0.120134704	0.552033997	0.715317749
chr1	38477941	38478341	401	*	4.093960302	3.800689214	4.337568831	-0.317460978	0.126113882	0.277324804
chr1	193867205	193867605	401	*	4.094246302	3.969587274	4.208985385	-0.120994436	0.550027662	0.713953446
chr1	18292105	18292505	401	*	4.094351656	4.624093608	3.248362002	0.959602261	0.00021739	0.002297804
chr1	75426750	75427150	401	*	4.10167684	3.818897313	4.33800928	-0.32110205	0.127904767	0.280145734
chr1	91554914	91555314	401	*	4.10460333	3.865153126	4.309910681	-0.311283602	0.148745758	0.310421034
chr1	75253427	75253827	401	*	4.107872163	4.150742534	4.063688761	0.088922843	0.661837557	0.796719199
chr1	152328468	152328868	401	*	4.110654754	4.369133535	3.795533237	0.320464669	0.12873605	0.281407563
chr1	89082513	89082913	401	*	4.113166544	3.926160254	4.278690534	-0.16878533	0.408273751	0.596639815
chr1	62210209	62210609	401	*	4.119141562	4.282019637	3.935506531	0.212592803	0.294159502	0.484684145
chr1	89616128	89616528	401	*	4.129759747	3.692461739	4.464881122	-0.456384533	0.040330933	0.125287192
chr1	159674639	159675039	401	*	4.136381748	4.400031002	3.813530888	0.33309479	0.114305539	0.259588444
chr1	75375517	75375917	401	*	4.137594838	4.260185396	4.003611812	0.148905721	0.456842798	0.639429164
chr1	134043501	134043901	401	*	4.139573294	4.237379158	4.034651449	0.078655399	0.693496559	0.817622892
chr1	188109772	188110172	401	*	4.142149029	4.104567064	4.178776795	-0.074484802	0.713464728	0.830580494
chr1	34665252	34665652	401	*	4.147553632	3.946345451	4.324103862	-0.213505173	0.298300938	0.489484586
chr1	180423992	180424392	401	*	4.149394268	4.268251523	4.01985856	0.098799082	0.622525201	0.769009923
chr1	109976943	109977343	401	*	4.151387403	4.759427374	3.07985382	1.14005655	2.68E-05	0.000431386
chr1	112378963	112379363	401	*	4.153087097	4.298540022	3.991308204	0.120505354	0.553486624	0.716470439
chr1	88323971	88324371	401	*	4.166776638	4.57641289	3.592556345	0.670882094	0.003931821	0.02217153
chr1	138855561	138855961	401	*	4.168422705	4.521609725	3.699733118	0.520886015	0.0185487	0.071427018
chr1	14016885	14017285	401	*	4.168793345	4.512877045	3.716056541	0.528838661	0.017941934	0.069801382
chr1	159604264	159604664	401	*	4.170005034	3.999621407	4.322374922	-0.161841673	0.41918197	0.606605559
chr1	181067940	181068340	401	*	4.170591678	3.582478657	4.587201862	-0.693722027	0.002990322	0.017990875
chr1	133371862	133372262	401	*	4.171814277	4.114659483	4.226790808	-0.094835682	0.631634074	0.776023062
chr1	132598336	132598736	401	*	4.172891838	3.787865484	4.476508937	-0.407237245	0.059852229	0.165748452
chr1	152176588	152176988	401	*	4.17465061	4.309372897	4.026039539	0.115768992	0.566687722	0.727411213
chr1	193312489	193312889	401	*	4.177174929	4.86103004	2.831879362	1.539885112	1.42E-07	6.16E-06
chr1	168232953	168233353	401	*	4.180350361	4.210355836	4.149707547	-0.021220201	0.91509216	0.95450246
chr1	192190906	192191306	401	*	4.181178959	4.164318163	4.197844977	-0.039947117	0.841234141	0.911774673
chr1	73828404	73828804	401	*	4.181949138	4.652831588	3.478360838	0.859437215	0.000708261	0.005888945
chr1	194452216	194452616	401	*	4.183833842	4.375225955	3.963110349	0.196874503	0.333815023	0.525299785
chr1	129518006	129518406	401	*	4.185665043	4.743991949	3.262742573	1.01262117	0.000131801	0.00156011
chr1	51886846	51887246	401	*	4.185959933	4.068126985	4.294891277	-0.122889438	0.533132237	0.701457424
chr1	51106792	51107192	401	*	4.186065193	4.69485019	3.393079921	0.883420276	0.000616113	0.005279324
chr1	133752548	133752948	401	*	4.186191253	4.434012561	3.886786181	0.327045953	0.121278674	0.270121424
chr1	93168055	93168455	401	*	4.18649413	3.843926081	4.463126262	-0.424711599	0.049063557	0.143647673
chr1	135365479	135365879	401	*	4.193424109	3.90392136	4.434429531	-0.326524238	0.118282117	0.265531637
chr1	158794579	158794979	401	*	4.19353648	4.304330645	4.073520587	0.117759117	0.548954426	0.713282862
chr1	77496447	77496847	401	*	4.194441338	4.186846435	4.201996468	0.041875377	0.832576164	0.906690352
chr1	134106685	134107085	401	*	4.195989008	3.974689887	4.387813567	-0.182197647	0.3788564	0.567778282
chr1	92973843	92974243	401	*	4.199013657	3.907276004	4.441564302	-0.299294339	0.151490685	0.314167732
chr1	153744855	153745255	401	*	4.202727538	3.800158565	4.517122462	-0.460767951	0.03379612	0.110365299
chr1	23845386	23845786	401	*	4.203038266	4.819237027	3.10505433	1.267993182	7.19E-06	0.000147937
chr1	52723970	52724370	401	*	4.204793304	4.233777673	4.175214666	0.064143163	0.752004262	0.854585425
chr1	38575593	38575993	401	*	4.208670057	3.995429483	4.394412949	-0.247326171	0.220740786	0.402894613
chr1	30589425	30589825	401	*	4.209121808	4.893401463	2.862092102	1.600954962	5.09E-08	2.63E-06
chr1	61890773	61891173	401	*	4.209608437	4.64488888	3.583287484	0.680608475	0.004796881	0.025872191
chr1	188261342	188261742	401	*	4.210003302	4.271305234	4.145980533	0.09590505	0.627493748	0.77304052
chr1	85935172	85935572	401	*	4.212990023	3.809927212	4.527685305	-0.493369759	0.022523762	0.082040032
chr1	87142231	87142631	401	*	4.213871839	4.536767454	3.797220363	0.509470092	0.019751381	0.07464029
chr1	63857840	63858240	401	*	4.214508996	4.521377644	3.82422643	0.456393352	0.038050267	0.120039575
chr1	193190834	193191234	401	*	4.21518858	4.393117664	4.012186855	0.233542884	0.255668584	0.442799162
chr1	74286324	74286724	401	*	4.217159243	4.481552078	3.893191104	0.349797094	0.091159015	0.222230999
chr1	167284357	167284757	401	*	4.218809051	4.184655064	4.252173149	0.02232456	0.910531352	0.952499915
chr1	189214142	189214542	401	*	4.218918274	4.076335712	4.348668072	-0.161768611	0.422868693	0.609788638
chr1	157723865	157724265	401	*	4.220221666	4.393236537	4.023594149	0.256919711	0.208338035	0.387510854
chr1	157472592	157472992	401	*	4.220844143	3.524083245	4.688691379	-0.824822292	0.000827882	0.006635086
chr1	76028871	76029271	401	*	4.228164664	3.91151548	4.487669035	-0.328488361	0.113590312	0.258514267
chr1	19218159	19218559	401	*	4.228724936	3.810770857	4.552400152	-0.469271234	0.031305394	0.104564125
chr1	194029680	194030080	401	*	4.229052736	4.352771466	4.093720795	0.181439748	0.375861655	0.564996455
chr1	132374131	132374531	401	*	4.232433834	4.188404907	4.275158761	-0.104625959	0.59656456	0.750132716
chr1	73942666	73943066	401	*	4.233041528	4.038667389	4.404309924	-0.198116797	0.322440084	0.513797746
chr1	59575032	59575432	401	*	4.23609955	4.355090745	4.106404721	0.179811707	0.367220004	0.556609091
chr1	90086676	90087076	401	*	4.238940954	4.285955707	4.190342316	0.035821078	0.856460025	0.920509501
chr1	180988685	180989085	401	*	4.239626646	3.947446687	4.482482623	-0.297865426	0.146822304	0.307612872
chr1	149248057	149248457	401	*	4.239762851	4.727219097	3.498050813	0.832810563	0.000766395	0.006252877
chr1	135901975	135902375	401	*	4.240518317	4.264824974	4.215795112	0.025002422	0.898310544	0.945247892
chr1	158306496	158306896	401	*	4.242058914	4.566801806	3.822317847	0.485113011	0.024987703	0.088473154
chr1	178744888	178745288	401	*	4.245620407	4.59346529	3.786326014	0.477263176	0.029390779	0.099873103
chr1	24218066	24218466	401	*	4.245666896	4.8743956	3.105789411	1.352333305	8.70E-07	2.66E-05
chr1	34178682	34179082	401	*	4.246886092	3.810614359	4.581406312	-0.499976769	0.021559659	0.079482926
chr1	27990370	27990770	401	*	4.247966923	4.868706925	3.13498149	1.34251557	1.34E-06	3.78E-05
chr1	76724447	76724847	401	*	4.248792519	4.339201547	4.152336813	0.134428697	0.494277696	0.670604194
chr1	133246098	133246498	401	*	4.251176147	3.70120469	4.64839464	-0.688031832	0.003265558	0.019203294
chr1	176987780	176988180	401	*	4.252203974	4.08128401	4.405002544	-0.18757487	0.346554656	0.53714754
chr1	136259977	136260377	401	*	4.253557662	4.18872025	4.315606053	-0.06727209	0.74269445	0.848605015
chr1	64192213	64192613	401	*	4.254226855	4.157220335	4.345119607	-0.122688672	0.535922898	0.703869518
chr1	90280465	90280865	401	*	4.254612943	4.391805431	4.102989913	0.153348154	0.439992763	0.625047042
chr1	92130943	92131343	401	*	4.2561268	4.271990054	4.240087179	0.03586696	0.855276912	0.91981261
chr1	106570494	106570894	401	*	4.256676529	4.122215612	4.379666994	-0.145276611	0.470705298	0.651356001
chr1	187808973	187809373	401	*	4.258095602	4.42313592	4.071706626	0.249103533	0.214154595	0.394844397
chr1	131182106	131182506	401	*	4.262673791	4.17184906	4.348117735	-0.120217815	0.540719835	0.706909536
chr1	54556899	54557299	401	*	4.263002001	4.604200684	3.815263568	0.516773752	0.019548227	0.074098711
chr1	132593622	132594022	401	*	4.263265163	4.000553834	4.485426771	-0.317341459	0.12461232	0.27519351
chr1	182839056	182839456	401	*	4.267310741	4.322893301	4.209500651	0.078707571	0.687555792	0.813820465
chr1	153697495	153697895	401	*	4.267376207	4.151104849	4.374971755	-0.089915259	0.647577526	0.786970734
chr1	119525202	119525602	401	*	4.269753701	4.497570003	3.99909144	0.354039672	0.086994509	0.21510306
chr1	175025737	175026137	401	*	4.269937958	4.543515978	3.932048538	0.404162285	0.059501042	0.165062257
chr1	193414534	193414934	401	*	4.270174763	4.053841823	4.458258469	-0.260739824	0.19660951	0.372907701
chr1	191720211	191720611	401	*	4.271950628	4.410118585	4.119135033	0.171767684	0.395248948	0.583977144
chr1	18383515	18383915	401	*	4.272171523	4.755641974	3.539760514	0.803904531	0.000927985	0.007246033
chr1	151944066	151944466	401	*	4.275526163	4.20445923	4.343256087	-0.090976388	0.638873979	0.781242163
chr1	193545020	193545420	401	*	4.276934308	4.091879269	4.440928215	-0.273581359	0.198323912	0.375062781
chr1	173389585	173389985	401	*	4.27754863	4.546657589	3.946460477	0.409942525	0.052546826	0.150855536
chr1	54853926	54854326	401	*	4.278293267	3.748348849	4.665014376	-0.559294319	0.014018847	0.058229698
chr1	83427487	83427887	401	*	4.283094347	4.973292823	2.911614213	1.589970494	4.42E-08	2.32E-06
chr1	77047559	77047959	401	*	4.285551963	4.549399272	3.962403654	0.390453428	0.060476139	0.166955323
chr1	73275522	73275922	401	*	4.287075028	4.483354152	4.059822928	0.25298258	0.216427055	0.397616208
chr1	167761647	167762047	401	*	4.289561616	4.081696826	4.471214155	-0.161663754	0.421650176	0.608746137
chr1	180211325	180211725	401	*	4.293535262	4.534647658	4.003877982	0.367327521	0.07670796	0.196866508
chr1	143739692	143740092	401	*	4.295536093	4.531832072	4.012808815	0.362773341	0.080731555	0.204230215
chr1	159887489	159887889	401	*	4.295778049	4.552800234	3.982821567	0.32617751	0.113436724	0.258378008
chr1	159633425	159633825	401	*	4.297308595	4.510092049	4.047620124	0.273451064	0.185103355	0.358755808
chr1	132862152	132862552	401	*	4.297925398	4.123084669	4.453849049	-0.143362647	0.48715383	0.6648349
chr1	64088373	64088773	401	*	4.298760581	4.614954682	3.893229382	0.4801822	0.027711253	0.095739254
chr1	189727960	189728360	401	*	4.302540053	4.153940314	4.437253029	-0.130302395	0.508093982	0.68090281
chr1	159386424	159386824	401	*	4.305664961	4.758459626	3.64208776	0.844323826	0.000450032	0.004104207
chr1	92715672	92716072	401	*	4.305701435	3.810486609	4.673680733	-0.559392384	0.01163426	0.050705816
chr1	132542388	132542788	401	*	4.306059468	4.011187952	4.550770077	-0.291497999	0.150073952	0.31226833
chr1	177614049	177614449	401	*	4.306181898	4.943988267	3.134938551	1.394937486	5.91E-07	1.96E-05
chr1	59448860	59449260	401	*	4.306710293	4.388941291	4.219507465	0.070234578	0.716854737	0.832856515
chr1	158246686	158247086	401	*	4.306849296	4.364865909	4.24640149	0.083156703	0.679254759	0.808192012
chr1	84397017	84397417	401	*	4.313727671	4.65816557	3.860375322	0.479580293	0.027123901	0.094281342
chr1	39933802	39934202	401	*	4.315566891	4.218999879	4.406073697	-0.108407122	0.581217744	0.738129355
chr1	33499467	33499867	401	*	4.322036347	4.215352215	4.421371728	-0.094942172	0.628186626	0.773577247
chr1	118841338	118841738	401	*	4.327638124	4.423785211	4.224622964	0.119920255	0.538217652	0.705466557
chr1	129865003	129865403	401	*	4.32862866	4.782834389	3.661987511	0.812687666	0.000703224	0.005854418
chr1	133386529	133386929	401	*	4.328650342	4.065544159	4.55109403	-0.276350416	0.169645418	0.338025453
chr1	44213526	44213926	401	*	4.328989065	4.667844994	3.885289503	0.566599494	0.009528573	0.043620215
chr1	190138005	190138405	401	*	4.331562502	3.965891812	4.62303877	-0.478782984	0.026800701	0.093383296
chr1	188186167	188186567	401	*	4.333891676	4.625918383	3.96735254	0.441995999	0.035146846	0.113565608
chr1	19921716	19922116	401	*	4.334536383	4.885653885	3.431553244	1.046146654	4.72E-05	0.000685498
chr1	43549240	43549640	401	*	4.33539835	4.807273101	3.629567818	0.852243022	0.000477714	0.004305284
chr1	51297376	51297776	401	*	4.337802062	4.330247267	4.345317501	-0.057861363	0.768906787	0.865626531
chr1	135953271	135953671	401	*	4.338268115	4.219528236	4.447974026	-0.113830534	0.561025182	0.722619177
chr1	65050513	65050913	401	*	4.339268284	4.29551102	4.381737355	-0.060874057	0.754555336	0.85610534
chr1	68285896	68286296	401	*	4.339826158	4.768476831	3.727245781	0.688130343	0.003254647	0.019145934
chr1	79760369	79760769	401	*	4.341157551	4.836599222	3.580550031	0.875881056	0.000315707	0.003094767
chr1	167237407	167237807	401	*	4.341838226	3.944969378	4.652754278	-0.517171899	0.018209714	0.070470253
chr1	82284828	82285228	401	*	4.34188546	4.561016155	4.083405118	0.261190287	0.211239635	0.391301908
chr1	51627495	51627895	401	*	4.342948408	4.293834143	4.390445558	-0.068793508	0.726360653	0.839126889
chr1	188090927	188091327	401	*	4.343359805	4.572448788	4.070897682	0.319115707	0.11459379	0.260043421
