chr	start	end	mecp2_fold	mecp2_fdr	mecp2_direction	peak_class	distance_to_anchor
chr1	185862775	185864193	-0.020318571	0.948239435	Unchanged	Other genome	510807
chr1	165662684	165664075	0.012422707	0.970993646	Unchanged	Other genome	110925
chr1	172555799	172557204	-0.096022157	0.673435497	Unchanged	Other genome	892796
chr1	161070372	161071704	-0.065315782	0.781631779	Unchanged	Other genome	30371
chr1	91434388	91435711	-0.007644066	0.983983092	Unchanged	Other genome	44289
chr1	61379299	61380723	0.104246891	0.631281853	Unchanged	Gained anchor	0
chr1	133820847	133822172	-0.197041956	0.379783936	Unchanged	Other genome	15846
chr1	79437824	79439762	1.090427615	0.001123428	Gained	Other genome	238
chr1	166251963	166253175	-0.34129499	0.175191111	Unchanged	Other genome	396962
chr1	129272117	129273194	-0.03562709	0.896316792	Unchanged	Other genome	201806
chr1	133086767	133087788	-0.097370711	0.653301903	Unchanged	Other genome	87212
chr1	178967468	178968817	-0.046378835	0.859846208	Unchanged	Other genome	662467
chr1	88780131	88781095	-0.083140692	0.713466108	Unchanged	Other genome	35130
chr1	168318291	168320221	-0.042857532	0.870239887	Unchanged	Other genome	93290
chr1	189769010	189770131	-0.045783041	0.859128285	Unchanged	Other genome	274869
chr1	172147829	172149031	-0.021287809	0.945766058	Unchanged	Other genome	1297828
chr1	133068729	133070151	-0.049523984	0.845574263	Unchanged	Other genome	104849
chr1	89624489	89625448	-0.009242849	0.979497883	Unchanged	Other genome	424488
chr1	195004999	195006678	-0.321680997	0.165695753	Unchanged	Other genome	4204998
chr1	76980614	76982448	0.351171469	0.179286828	Unchanged	Other genome	1192552
chr1	159817954	159819746	0.116834725	0.579801901	Unchanged	Other genome	80254
chr1	135827292	135828337	-0.063257079	0.793811177	Unchanged	Other genome	37291
chr1	185203656	185204667	-0.272345431	0.213993657	Unchanged	Other genome	403655
chr1	28211190	28211584	2.427886762	2.66e-11	Gained	Other genome	118416
chr1	152515244	152516825	-0.023866818	0.937009941	Unchanged	Other genome	583175
chr1	34200291	34201728	-0.016974689	0.958130491	Unchanged	Other genome	450290
chr1	120924141	120926123	-0.089809863	0.696830934	Unchanged	Other genome	349140
chr1	165857411	165858611	-0.081984216	0.720344715	Unchanged	Other genome	2410
chr1	179073268	179074479	0.080502085	0.720952784	Unchanged	Other genome	768267
chr1	138847822	138849069	-0.075531003	0.747973373	Unchanged	Lost anchor	0
chr1	190505306	190507267	-0.006197204	0.987572189	Unchanged	Other genome	42733
chr1	178724007	178725851	0.10117806	0.637311461	Unchanged	Other genome	419006
chr1	121177136	121178702	-0.074081665	0.742846632	Unchanged	Matched background	602135
chr1	155524413	155525224	-0.087795619	0.698227229	Unchanged	Other genome	44776
chr1	193296152	193297337	0.742303065	0.010189181	Gained	Other genome	2496151
chr1	138564422	138565580	-0.100303807	0.668183407	Unchanged	Other genome	259420
chr1	190969780	190970605	-0.083410013	0.714614122	Unchanged	Other genome	169779
chr1	118841427	118842568	0.002847117	0.994228663	Unchanged	Other genome	17432
chr1	189586988	189588442	0.008525171	0.981570549	Unchanged	Other genome	456558
chr1	170666062	170667374	0.033246834	0.906346352	Unchanged	Other genome	26061
chr1	159656579	159658030	-0.092868256	0.676298187	Unchanged	Matched background	241970
chr1	73616080	73617137	1.148151624	0.000716543	Gained	Other genome	282863
chr1	192380538	192381285	0.053250596	0.832424567	Unchanged	Other genome	1580537
chr1	89419126	89420224	-0.082691222	0.714075452	Unchanged	Other genome	219125
chr1	172221001	172221851	0.010728241	0.975448438	Unchanged	Other genome	1228149
chr1	3671775	3672584	0.028740125	0.92178527	Unchanged	Other genome	837416
chr1	54772993	54774899	0.070910682	0.759567016	Unchanged	Other genome	387992
chr1	133303167	133303897	-0.840671324	0.021260194	Lost	Other genome	1103
chr1	126735544	126736736	-0.247052989	0.286045118	Unchanged	Other genome	35543
chr1	157117684	157119382	-0.175736863	0.400152905	Unchanged	Other genome	37683
chr1	182316095	182317479	0.072592469	0.747944997	Unchanged	Other genome	82521
chr1	119506430	119507676	-0.092488155	0.671564721	Unchanged	Other genome	406429
chr1	189687517	189688480	0.009587973	0.978935326	Unchanged	Other genome	356520
chr1	185142744	185144377	-0.141168406	0.503496501	Unchanged	Other genome	342743
chr1	84580853	84582405	-0.112944785	0.600196601	Unchanged	Gained anchor	0
chr1	194958976	194960636	-0.048920448	0.847652641	Unchanged	Other genome	4158975
chr1	178584659	178586450	-0.0167711	0.958918653	Unchanged	Other genome	279658
chr1	51738966	51741183	-0.003119594	0.994036377	Unchanged	Other genome	58965
chr1	154727903	154728856	-0.644666365	0.024204689	Lost	Other genome	271144
chr1	34459414	34460583	-0.070901885	0.760664371	Unchanged	Other genome	709413
chr1	121461527	121463038	0.080162079	0.718586088	Unchanged	Other genome	886526
chr1	137664188	137665131	1.835110383	1.42e-05	Gained	Other genome	4187
chr1	166001084	166002159	-0.065947831	0.779104371	Unchanged	Other genome	146083
chr1	157971777	157972391	-0.325034115	0.212321079	Unchanged	Other genome	221776
chr1	165788702	165789794	-0.050844508	0.839668478	Unchanged	Other genome	8701
chr1	173455213	173456797	-0.097346575	0.651600341	Unchanged	Lost anchor	0
chr1	119408910	119410040	-0.00734834	0.984545383	Unchanged	Other genome	308909
chr1	155449128	155450534	0.094483197	0.660080321	Unchanged	Other genome	119466
chr1	36634163	36635240	-0.061639049	0.797449287	Unchanged	Other genome	2224760
chr1	75357353	75358946	0.157449119	0.440584167	Unchanged	Other genome	902352
chr1	179001578	179002375	1.20649655	0.000359413	Gained	Other genome	696577
chr1	166811517	166812606	0.087051884	0.694835443	Unchanged	Other genome	16516
chr1	36746505	36747857	-0.017187273	0.957256755	Unchanged	Other genome	2112143
chr1	194526860	194528335	0.051124085	0.839919726	Unchanged	Other genome	3726859
chr1	172541317	172542733	-0.05374791	0.829605975	Unchanged	Other genome	907267
chr1	134044087	134044793	0.032345588	0.907133857	Unchanged	Other genome	239086
chr1	36511798	36513178	-0.054633723	0.827457944	Unchanged	Other genome	2346822
chr1	71102140	71103282	-0.015522966	0.962148691	Unchanged	Other genome	396718
chr1	137569564	137571011	1.143026225	0.000589743	Gained	Other genome	3989
chr1	189835751	189836838	-0.024070046	0.936024659	Unchanged	Other genome	208162
chr1	80427498	80427758	-0.133597088	0.568266716	Unchanged	Other genome	537242
chr1	92064335	92065528	-0.021918731	0.943136072	Unchanged	Other genome	304334
chr1	76728350	76729238	1.082094723	0.003436496	Gained	Other genome	1445762
chr1	151929346	151930824	-0.016182941	0.960368716	Unchanged	Other genome	204345
chr1	131216939	131218557	-0.014845947	0.964543124	Unchanged	Other genome	1491938
chr1	56846543	56847700	-0.008155084	0.98262054	Unchanged	Other genome	102300
chr1	135966895	135967661	-0.131532467	0.532460107	Unchanged	Other genome	176894
chr1	38307688	38308834	0.041926477	0.873354	Unchanged	Other genome	551166
chr1	136117553	136118818	0.011133608	0.975225714	Unchanged	Other genome	327552
chr1	43163541	43164762	0.026119007	0.930562127	Unchanged	Other genome	13540
chr1	44551487	44552692	0.06348739	0.790666672	Unchanged	Other genome	1222308
chr1	167769600	167771081	-0.088366008	0.688694073	Unchanged	Other genome	128919
chr1	191280720	191282307	-0.075886267	0.740830807	Unchanged	Other genome	480719
chr1	21210048	21210931	-0.040072971	0.881615117	Unchanged	Other genome	199069
chr1	153328371	153329989	-0.168904899	0.459513215	Unchanged	Other genome	11
chr1	172376264	172377369	-0.045656304	0.862700193	Unchanged	Other genome	1072631
chr1	190463393	190464375	-0.757372437	0.011759758	Lost	Other genome	85625
chr1	133859275	133860651	0.15616109	0.445284806	Unchanged	Other genome	54274
chr1	89496180	89497474	-0.079403777	0.727370882	Unchanged	Other genome	296179
chr1	150540183	150541706	0.067305804	0.775898442	Unchanged	Other genome	238294
chr1	64214818	64216108	1.541748423	2.43e-06	Gained	Other genome	823892
chr1	124047551	124049199	1.285710731	6.14e-05	Gained	Other genome	660801
chr1	157532696	157533260	-0.227356717	0.332542086	Unchanged	Other genome	16740
chr1	80421892	80422076	-0.036528147	0.897672517	Unchanged	Other genome	542924
chr1	191325431	191326682	-0.030905815	0.913818892	Unchanged	Other genome	525430
chr1	75445245	75446152	-0.199462079	0.331466003	Unchanged	Other genome	990244
chr1	133163730	133164847	0.015113909	0.96409672	Unchanged	Other genome	10153
chr1	182020896	182021815	0.048676561	0.849165064	Unchanged	Other genome	130895
chr1	191406534	191407898	-0.025831909	0.931355136	Unchanged	Other genome	606533
chr1	126705772	126707333	-0.062477117	0.792866519	Unchanged	Other genome	5771
chr1	171389024	171390381	0.010009659	0.977605455	Unchanged	Other genome	539023
chr1	59616815	59618083	0.503718122	0.055557757	Unchanged	Other genome	641814
chr1	152644893	152645779	-0.375561909	0.149131054	Unchanged	Other genome	454221
chr1	87187068	87188132	-0.053517616	0.830918469	Unchanged	Gained anchor	0
chr1	132758747	132760103	0.035579311	0.896365097	Unchanged	Other genome	414897
chr1	143738283	143740228	-0.021133891	0.945300221	Unchanged	Other genome	69772
chr1	126317824	126318837	0.183131221	0.491427227	Unchanged	Other genome	81163
chr1	171285353	171286575	0.000855421	0.998158829	Unchanged	Other genome	435352
chr1	37627754	37628890	-0.08590121	0.693752618	Unchanged	Other genome	1231110
chr1	183344896	183346179	0.003304361	0.993626102	Unchanged	Other genome	69895
chr1	132857459	132858698	-0.06037697	0.798321469	Unchanged	Other genome	316302
chr1	133825343	133826842	-0.107593248	0.62032029	Unchanged	Other genome	20342
chr1	165706826	165707912	-0.034984498	0.899413873	Unchanged	Other genome	67088
chr1	4688094	4689474	0.001432387	0.996768717	Unchanged	Other genome	70526
chr1	138535899	138537114	-0.27204018	0.267815016	Unchanged	Other genome	287886
chr1	36030113	36031246	0.017019496	0.957836144	Unchanged	Other genome	2280112
chr1	152229458	152230791	0.080715323	0.716113249	Unchanged	Other genome	504457
chr1	192335459	192336652	-0.097033986	0.646135074	Unchanged	Other genome	1535458
chr1	76866038	76867385	0.028150748	0.92290202	Unchanged	Other genome	1307615
chr1	57969494	57970757	-0.041177447	0.877531399	Unchanged	Matched background	759493
chr1	38987199	38988273	-0.087601797	0.696379854	Unchanged	Other genome	47198
chr1	35682865	35683926	0.1233184	0.567128831	Unchanged	Other genome	1932864
chr1	152170847	152171616	0.030670434	0.914570549	Unchanged	Other genome	445846
chr1	16656446	16657334	-0.067408513	0.771669803	Unchanged	Other genome	1322666
chr1	43785853	43787305	-0.282599106	0.229825537	Unchanged	Other genome	515852
chr1	138962732	138964217	-0.006862873	0.986027684	Unchanged	Other genome	110783
chr1	152350778	152351376	1.798398016	6.6e-08	Gained	Other genome	625777
chr1	137656076	137656937	1.559811608	1.15e-05	Gained	Lost anchor	0
chr1	169487270	169488555	-0.016594192	0.960631306	Unchanged	Other genome	12269
chr1	36270815	36271973	-0.018851898	0.952083428	Unchanged	Other genome	2520814
chr1	135429584	135431021	-0.032605575	0.906668395	Unchanged	Other genome	18979
chr1	170534560	170536421	0.078993405	0.728180528	Unchanged	Other genome	63579
chr1	118658105	118659585	0.025063942	0.93275547	Unchanged	Other genome	33104
chr1	35848044	35848772	0.375701794	0.136574834	Unchanged	Other genome	2098043
chr1	23062896	23064268	0.639401604	0.020819736	Gained	Other genome	1092895
chr1	109982499	109983484	-0.100182114	0.636067233	Unchanged	Lost anchor	0
chr1	64786551	64786934	-0.290673423	0.21419571	Unchanged	Other genome	253066
chr1	134736134	134737744	-0.001413953	0.996768717	Unchanged	Matched background	242256
chr1	187348293	187349165	-0.10595764	0.616695493	Unchanged	Other genome	100835
chr1	65545763	65546293	1.042285011	0.002492065	Gained	Lost anchor	0
chr1	76864528	76865512	0.026278238	0.93134418	Unchanged	Other genome	1309488
chr1	186442023	186443308	-0.002917937	0.994092053	Unchanged	Other genome	42022
chr1	4857501	4858771	0.001523213	0.996685272	Unchanged	Other genome	87500
chr1	104944805	104946136	0.279184459	0.212451033	Unchanged	Gained anchor	0
chr1	120034682	120035520	0.018156737	0.953466685	Unchanged	Other genome	64480
chr1	162739649	162740724	-0.150568267	0.498100866	Unchanged	Other genome	1569276
chr1	182412217	182413366	1.004012337	0.002055936	Gained	Gained anchor	0
chr1	92312854	92314399	-0.054370166	0.826205529	Unchanged	Other genome	552853
chr1	90257840	90259211	0.106690749	0.628645853	Unchanged	Other genome	47839
chr1	133916187	133917222	-0.117842254	0.590778602	Unchanged	Other genome	111186
chr1	66467857	66469504	-0.120191028	0.585940493	Unchanged	Other genome	77856
chr1	75429144	75430465	-0.007831662	0.983475782	Unchanged	Other genome	974143
chr1	155050821	155051095	-0.07951658	0.735041959	Unchanged	Other genome	25820
chr1	154791453	154792606	-0.024219391	0.93552948	Unchanged	Other genome	207394
chr1	87480878	87481430	-0.960156659	0.006106692	Lost	Other genome	290877
chr1	76467638	76469702	0.565771991	0.045437059	Gained	Other genome	1705298
chr1	165681184	165682324	-0.407276626	0.111654585	Unchanged	Other genome	92676
chr1	159163273	159164372	1.180834913	0.000248594	Gained	Other genome	28272
chr1	89619442	89620580	-0.061586347	0.795315361	Unchanged	Other genome	419441
chr1	177259650	177261207	0.243193517	0.270571817	Unchanged	Other genome	883793
chr1	178405678	178406713	-0.024092236	0.936158964	Unchanged	Other genome	100677
chr1	194545345	194546692	0.113592329	0.614423704	Unchanged	Other genome	3745344
chr1	182511125	182512736	0.017245513	0.957128663	Unchanged	Other genome	17264
chr1	135253938	135255243	-0.049308926	0.844348775	Unchanged	Gained anchor	0
chr1	191863985	191865238	-0.034870304	0.898972035	Unchanged	Other genome	1063984
chr1	137898233	137899039	0.075835445	0.740515376	Unchanged	Lost anchor	0
chr1	74042047	74043481	-0.035636256	0.897156219	Unchanged	Other genome	26519
chr1	54829626	54830933	-0.077292206	0.73251713	Unchanged	Other genome	444625
chr1	172066537	172067898	-0.117142943	0.580181803	Unchanged	Other genome	1216536
chr1	135454106	135455663	-0.051489183	0.838871521	Unchanged	Gained anchor	0
chr1	132920338	132921815	-0.197901859	0.339875701	Unchanged	Other genome	253185
chr1	48278739	48279154	0.473007861	0.178723917	Unchanged	Lost anchor	0
chr1	135104102	135105468	-0.007042326	0.985507139	Unchanged	Gained anchor	0
chr1	159585099	159586421	0.11931764	0.575199983	Unchanged	Other genome	313579
chr1	170700622	170701963	-0.005316687	0.989338327	Unchanged	Other genome	60621
chr1	119170768	119171836	-0.204519354	0.351754087	Unchanged	Other genome	70767
chr1	131208736	131209959	-0.5016058	0.05380485	Unchanged	Other genome	1483735
chr1	179167422	179167832	-0.172362258	0.447975378	Unchanged	Other genome	862421
chr1	78817877	78819348	-0.06506593	0.783560014	Unchanged	Other genome	87876
chr1	191976485	191978138	0.095775111	0.668793285	Unchanged	Other genome	1176484
chr1	82584676	82586101	-0.011017127	0.97472709	Unchanged	Other genome	29675
chr1	41130693	41132443	-0.00499326	0.990157062	Unchanged	Other genome	280692
chr1	55130715	55131926	0.0848731	0.707348841	Unchanged	Other genome	745714
chr1	44146620	44148402	-0.008449922	0.981570549	Unchanged	Matched background	876619
chr1	92097987	92098760	0.075205489	0.754283895	Unchanged	Matched background	337986
chr1	84417013	84418023	0.018388185	0.95316171	Unchanged	Other genome	127012
chr1	180255683	180256773	-0.067408229	0.772726745	Unchanged	Other genome	1623227
chr1	180829849	180831709	0.032237572	0.90796516	Unchanged	Other genome	1048291
chr1	157569939	157571082	-0.686626222	0.020544088	Lost	Other genome	9938
chr1	88778679	88779563	0.483929768	0.060245317	Unchanged	Other genome	33678
chr1	189843015	189844096	-0.01314203	0.968934644	Unchanged	Other genome	200904
chr1	129595373	129596180	0.202546249	0.3247088	Unchanged	Other genome	95372
chr1	62740330	62741245	0.020844802	0.951382822	Unchanged	Other genome	15329
chr1	86669543	86670510	-0.100577081	0.652127433	Unchanged	Other genome	419490
chr1	89107044	89108475	-0.029183587	0.918855077	Unchanged	Other genome	27043
chr1	9621778	9622889	-0.087789679	0.688738959	Unchanged	Other genome	3227111
chr1	190772755	190774423	-0.052352259	0.835198576	Unchanged	Other genome	20577
chr1	54931033	54931673	-1.038273925	0.001625838	Lost	Other genome	546032
chr1	157512631	157514117	-0.204723956	0.343460345	Unchanged	Other genome	35883
chr1	82283244	82283721	0.031228358	0.911442993	Unchanged	Other genome	266279
chr1	105064179	105064759	-0.04764176	0.85399104	Unchanged	Other genome	84178
chr1	89535112	89536643	-0.066643884	0.772173078	Unchanged	Other genome	335111
chr1	143641939	143643694	0.012963362	0.971884601	Unchanged	Other genome	166306
chr1	136215634	136216637	-0.009891951	0.977867754	Unchanged	Other genome	425633
chr1	184845351	184846399	-0.014283749	0.965754862	Unchanged	Other genome	45350
chr1	36583250	36584148	-0.172308205	0.429314341	Unchanged	Other genome	2275852
chr1	97974772	97975832	-0.017853515	0.954905598	Unchanged	Other genome	4168
chr1	188058560	188060558	-0.429067842	0.097454336	Unchanged	Other genome	9442
chr1	190466648	190467676	-0.116209753	0.582502978	Unchanged	Other genome	82324
chr1	152365562	152366875	0.06302379	0.797944099	Unchanged	Other genome	640561
chr1	194617491	194618173	0.520889086	0.087636387	Unchanged	Other genome	3817490
chr1	153084266	153085651	-0.015912479	0.96170901	Unchanged	Other genome	14349
chr1	92848663	92849896	0.018945396	0.951514489	Unchanged	Other genome	1060104
chr1	88838054	88839650	0.012811069	0.969482982	Unchanged	Other genome	93053
chr1	122270183	122270607	1.878798759	4.24e-07	Gained	Other genome	1695182
chr1	158488010	158488890	0.032863028	0.906800201	Unchanged	Other genome	161110
chr1	145808042	145810101	0.174678612	0.450001191	Unchanged	Other genome	679899
chr1	23057260	23058128	2.571221081	8.06e-12	Gained	Other genome	1087259
chr1	136039617	136040927	-0.038189626	0.888130172	Unchanged	Other genome	249616
chr1	171616806	171618178	0.014695813	0.964543124	Unchanged	Matched background	766805
chr1	80854158	80855751	0.099296233	0.652378637	Unchanged	Other genome	109249
chr1	24220208	24220739	2.961014799	3.5e-13	Gained	Other genome	449261
chr1	90374515	90375619	-0.021380989	0.945392328	Unchanged	Other genome	164514
chr1	158654349	158655179	-0.41497791	0.140860335	Unchanged	Gained anchor	0
chr1	176926680	176928304	0.840036599	0.004539721	Gained	Other genome	1216696
chr1	39422255	39423954	-0.231554429	0.296798623	Unchanged	Other genome	482254
chr1	159675410	159676012	1.680000374	3.53e-07	Gained	Other genome	223988
chr1	186805484	186807446	-0.248225147	0.241365416	Unchanged	Other genome	17554
chr1	190779579	190782526	-0.046162016	0.861302313	Unchanged	Other genome	12474
chr1	48528850	48529303	2.949187919	3e-07	Gained	Lost anchor	0
chr1	28099934	28101002	2.391360071	1.22e-08	Gained	Other genome	228998
chr1	172009149	172010217	-0.089018251	0.690597454	Unchanged	Other genome	1159148
chr1	169476963	169478721	0.079797198	0.736114088	Unchanged	Other genome	1962
chr1	183134134	183134919	-0.039891091	0.882960762	Unchanged	Other genome	115081
chr1	86581686	86583142	-0.067402014	0.778332985	Unchanged	Matched background	506858
chr1	138573239	138573889	-0.063091437	0.79708526	Unchanged	Other genome	251111
chr1	38337126	38338027	1.131031976	0.002394866	Gained	Other genome	521973
chr1	121607326	121608728	1.081620067	0.000368335	Gained	Other genome	1032325
chr1	38531262	38532076	-0.201045281	0.403931013	Unchanged	Other genome	327924
chr1	118912001	118912724	-0.000910715	0.998075144	Unchanged	Other genome	42000
chr1	36297572	36299304	0.028202099	0.923162057	Unchanged	Other genome	2547571
chr1	194591578	194592430	0.100421431	0.672941767	Unchanged	Other genome	3791577
chr1	135670385	135671025	-0.202607023	0.359192782	Unchanged	Gained anchor	0
chr1	14754978	14756000	-0.032035852	0.909105413	Unchanged	Other genome	4977
chr1	38334277	38335086	0.147282787	0.489321911	Unchanged	Other genome	524914
chr1	111864112	111864979	-0.034162933	0.901985438	Unchanged	Gained anchor	0
chr1	183504137	183505741	0.026423289	0.928323275	Unchanged	Other genome	229136
chr1	156673547	156674893	-0.025575908	0.932516552	Unchanged	Other genome	38546
chr1	153139685	153140954	0.053748952	0.826612137	Unchanged	Other genome	29684
chr1	82244686	82245615	-0.039765757	0.885232336	Unchanged	Other genome	304385
chr1	24231391	24231728	2.218355577	4.95e-10	Gained	Other genome	438272
chr1	136190639	136192515	-0.018564195	0.95257341	Unchanged	Other genome	400638
chr1	178978213	178979527	-0.106379648	0.621254345	Unchanged	Other genome	673212
chr1	152005808	152007075	-0.078794338	0.727501464	Unchanged	Other genome	280807
chr1	74098376	74099608	-0.180403512	0.388200695	Unchanged	Other genome	18375
chr1	179456572	179457886	0.041844827	0.876285848	Unchanged	Other genome	1151571
chr1	89888645	89889493	-0.032144504	0.908112749	Unchanged	Other genome	170507
chr1	183417996	183419433	0.016585262	0.959141475	Unchanged	Matched background	142995
chr1	88385317	88386885	0.001332385	0.997028211	Unchanged	Other genome	38115
chr1	167261472	167262990	-0.069796337	0.760316661	Unchanged	Other genome	137010
chr1	42850823	42852211	-0.156915676	0.469473127	Unchanged	Other genome	57789
chr1	90282570	90283291	0.032962196	0.906654957	Unchanged	Other genome	72569
chr1	93213280	93214473	-0.029773849	0.91694797	Unchanged	Other genome	695527
chr1	59215163	59216182	-0.035800917	0.897156219	Unchanged	Other genome	240162
chr1	190254474	190255219	-0.313875355	0.162202379	Unchanged	Other genome	204473
chr1	58585521	58586711	-0.061705002	0.794382293	Unchanged	Other genome	363289
chr1	133953353	133954006	-0.004382415	0.991329043	Unchanged	Other genome	148352
chr1	139421681	139423089	-0.015693162	0.962782637	Unchanged	Other genome	341680
chr1	165118586	165119890	-0.045265015	0.861937405	Unchanged	Other genome	78585
chr1	92570394	92572017	-0.264646026	0.23061946	Unchanged	Matched background	810393
chr1	148243285	148244484	2.710118356	8.64e-07	Gained	Other genome	1140516
chr1	180507021	180507697	0.209159937	0.375944348	Unchanged	Other genome	1372303
chr1	186676363	186677432	-0.328804334	0.140852627	Unchanged	Other genome	22568
chr1	188575191	188576957	0.007215033	0.985161639	Unchanged	Other genome	473043
chr1	59541641	59542793	1.208838864	0.000628443	Gained	Other genome	566640
chr1	188664661	188665902	0.027117788	0.928320692	Unchanged	Other genome	384098
chr1	193315815	193316681	0.138719309	0.518497447	Unchanged	Other genome	2515814
chr1	77385845	77386461	-0.066088896	0.817233848	Unchanged	Other genome	788539
chr1	172512857	172514383	-0.079947023	0.729163165	Unchanged	Other genome	935617
chr1	75692754	75693889	0.055283269	0.821268086	Unchanged	Other genome	1237753
chr1	59412263	59413368	0.246799728	0.282779705	Unchanged	Other genome	437262
chr1	47278176	47279557	0.069745676	0.766696203	Unchanged	Lost anchor	0
chr1	143194382	143195357	0.072889596	0.751646476	Unchanged	Other genome	614643
chr1	120061379	120063182	-0.039582142	0.884129791	Unchanged	Other genome	36818
chr1	73952726	73953837	0.011246282	0.974293235	Unchanged	Other genome	31163
chr1	106407411	106408898	-0.096778687	0.655527728	Unchanged	Other genome	816102
chr1	177498787	177499670	-0.048599019	0.850212706	Unchanged	Other genome	645330
chr1	81131789	81132807	0.11324244	0.590442009	Unchanged	Other genome	51788
chr1	155172621	155174341	-0.154564403	0.492522609	Unchanged	Other genome	147620
chr1	59309358	59310027	1.731337636	1.34e-07	Gained	Other genome	334357
chr1	73619397	73620537	0.742134497	0.01032583	Gained	Other genome	279463
chr1	84620535	84622329	0.16035611	0.431069459	Unchanged	Other genome	30534
chr1	136861697	136863682	-0.0313633	0.910576306	Unchanged	Other genome	711318
chr1	179802896	179804273	-0.089778681	0.682572626	Unchanged	Other genome	1497895
chr1	194937910	194939651	-0.00187623	0.996021108	Unchanged	Other genome	4137909
chr1	152729135	152730675	0.000303723	0.999328962	Unchanged	Other genome	369325
chr1	59584448	59585733	0.047960905	0.853115986	Unchanged	Other genome	609447
chr1	90998274	90999454	-0.045740507	0.867415989	Unchanged	Gained anchor	0
chr1	6758921	6760787	0.978536961	0.001936634	Gained	Other genome	1988920
chr1	34677614	34679240	-0.010970179	0.975078181	Unchanged	Other genome	927613
chr1	92782172	92783559	0.088174575	0.689834622	Unchanged	Other genome	1022171
