anchor_id	chr	start	end	width	anchor_class	n_loops	n_gained_loops	n_lost_loops	mean_loop_logfc	n_mecp2_peaks	n_mecp2_gained	n_mecp2_lost
chr10:121675001-121700000	chr10	121675001	121700000	25000	Gained anchor	2	2	0	0.349889479310977	0	0	0
chr10:121830001-121840000	chr10	121830001	121840000	10000	Gained anchor	1	1	0	0.518034814074546	0	0	0
chr10:122025001-122050000	chr10	122025001	122050000	25000	Gained anchor	1	1	0	0.365081350306187	0	0	0
chr10:122040001-122050000	chr10	122040001	122050000	10000	Gained anchor	2	2	0	0.4300463555537	0	0	0
chr10:122050001-122075000	chr10	122050001	122075000	25000	Gained anchor	1	1	0	0.334697608315768	0	0	0
chr10:122100001-122110000	chr10	122100001	122110000	10000	Gained anchor	2	2	0	0.439685927118603	0	0	0
chr10:122440001-122450000	chr10	122440001	122450000	10000	Gained anchor	1	1	0	0.439743750280355	1	0	0
chr10:122520001-122530000	chr10	122520001	122530000	10000	Gained anchor	1	1	0	0.439628103956852	0	0	0
chr10:125260001-125270000	chr10	125260001	125270000	10000	Gained anchor	1	1	0	0.338925562950838	0	0	0
chr10:12600001-12625000	chr10	12600001	12625000	25000	Gained anchor	2	2	0	0.348056767712722	2	1	0
chr10:12610001-12620000	chr10	12610001	12620000	10000	Gained anchor	1	1	0	0.308469150801044	2	1	0
chr10:126530001-126540000	chr10	126530001	126540000	10000	Gained anchor	1	1	0	0.338925562950838	3	1	0
chr10:13085001-13090000	chr10	13085001	13090000	5000	Lost anchor	1	0	1	-0.516277471406927	1	0	0
chr10:14390001-14395000	chr10	14390001	14395000	5000	Lost anchor	1	0	1	-0.516277471406927	0	0	0
chr10:14450001-14460000	chr10	14450001	14460000	10000	Lost anchor	1	0	1	-0.411602759147339	0	0	0
chr10:14700001-14710000	chr10	14700001	14710000	10000	Lost anchor	1	0	1	-0.411602759147339	0	0	0
chr10:15300001-15310000	chr10	15300001	15310000	10000	Lost anchor	1	0	1	-0.538124470394699	1	1	0
chr10:15300001-15325000	chr10	15300001	15325000	25000	Lost anchor	3	0	3	-0.462869659475148	1	1	0
chr10:16975001-17000000	chr10	16975001	17000000	25000	Lost anchor	1	0	1	-0.602087166316014	4	4	0
chr10:16990001-17000000	chr10	16990001	17000000	10000	Lost anchor	2	0	2	-0.456974559374439	3	3	0
chr10:17125001-17150000	chr10	17125001	17150000	25000	Lost anchor	2	0	2	-0.377003325391423	3	2	0
chr10:17130001-17140000	chr10	17130001	17140000	10000	Lost anchor	1	0	1	-0.438942905209204	2	2	0
chr10:17325001-17350000	chr10	17325001	17350000	25000	Lost anchor	1	0	1	-0.362882963785247	2	2	0
chr10:17660001-17670000	chr10	17660001	17670000	10000	Lost anchor	1	0	1	-0.375824648354178	0	0	0
chr10:17700001-17725000	chr10	17700001	17725000	25000	Lost anchor	1	0	1	-0.330367802458661	1	0	0
chr10:17720001-17730000	chr10	17720001	17730000	10000	Lost anchor	1	0	1	-0.438942905209204	1	0	0
chr10:19225001-19250000	chr10	19225001	19250000	25000	Lost anchor	2	0	2	-0.31101151839259	1	0	0
chr10:19240001-19250000	chr10	19240001	19250000	10000	Lost anchor	1	0	1	-0.687871705606101	1	0	0
chr10:19295001-19300000	chr10	19295001	19300000	5000	Gained anchor	1	1	0	0.697475642268889	0	0	0
chr10:19520001-19525000	chr10	19520001	19525000	5000	Gained anchor	1	1	0	0.697475642268889	0	0	0
chr10:20100001-20125000	chr10	20100001	20125000	25000	Lost anchor	1	0	1	-0.321195540377131	1	0	0
chr10:20120001-20130000	chr10	20120001	20130000	10000	Lost anchor	1	0	1	-0.687871705606101	1	0	0
chr10:20125001-20150000	chr10	20125001	20150000	25000	Lost anchor	1	0	1	-0.300827496408048	1	0	0
chr10:21080001-21085000	chr10	21080001	21085000	5000	Gained anchor	1	1	0	0.387615581365571	1	1	0
chr10:21185001-21190000	chr10	21185001	21190000	5000	Gained anchor	1	1	0	0.387615581365571	0	0	0
chr10:22125001-22150000	chr10	22125001	22150000	25000	Lost anchor	2	0	2	-0.388851912217812	0	0	0
chr10:22150001-22160000	chr10	22150001	22160000	10000	Lost anchor	1	0	1	-0.906362167886298	0	0	0
chr10:22800001-22825000	chr10	22800001	22825000	25000	Lost anchor	1	0	1	-0.37940197977071	0	0	0
chr10:22810001-22820000	chr10	22810001	22820000	10000	Lost anchor	1	0	1	-0.906362167886298	0	0	0
chr10:22825001-22850000	chr10	22825001	22850000	25000	Lost anchor	1	0	1	-0.398301844664915	0	0	0
chr10:24860001-24870000	chr10	24860001	24870000	10000	Lost anchor	1	0	1	-0.450452189460404	1	0	0
chr10:25015001-25020000	chr10	25015001	25020000	5000	Lost anchor	1	0	1	-0.303262695074357	0	0	0
chr10:25080001-25085000	chr10	25080001	25085000	5000	Lost anchor	1	0	1	-0.303262695074357	1	1	0
chr10:25480001-25490000	chr10	25480001	25490000	10000	Lost anchor	1	0	1	-0.450452189460404	1	0	0
chr10:25680001-25685000	chr10	25680001	25685000	5000	Gained anchor	1	1	0	0.696331654050082	0	0	0
chr10:26135001-26140000	chr10	26135001	26140000	5000	Gained anchor	1	1	0	0.696331654050082	0	0	0
chr10:29525001-29550000	chr10	29525001	29550000	25000	Lost anchor	1	0	1	-0.306188383743301	0	0	0
chr10:29530001-29540000	chr10	29530001	29540000	10000	Gained anchor	1	1	0	0.346170752568611	0	0	0
chr10:29800001-29810000	chr10	29800001	29810000	10000	Gained anchor	1	1	0	0.346170752568611	0	0	0
chr10:31300001-31325000	chr10	31300001	31325000	25000	Lost anchor	1	0	1	-0.306188383743301	0	0	0
chr10:38870001-38880000	chr10	38870001	38880000	10000	Gained anchor	2	2	0	0.377079017875112	0	0	0
chr10:39030001-39040000	chr10	39030001	39040000	10000	Gained anchor	1	1	0	0.436892897486566	0	0	0
chr10:39060001-39070000	chr10	39060001	39070000	10000	Gained anchor	1	1	0	0.317265138263658	0	0	0
chr10:42575001-42600000	chr10	42575001	42600000	25000	Lost anchor	2	0	2	-1.25899162462817	0	0	0
chr10:42625001-42650000	chr10	42625001	42650000	25000	Lost anchor	1	0	1	-1.14345020096791	0	0	0
chr10:42950001-42960000	chr10	42950001	42960000	10000	Gained anchor	1	1	0	0.304986428886419	0	0	0
chr10:43370001-43380000	chr10	43370001	43380000	10000	Gained anchor	1	1	0	0.304986428886419	2	0	0
chr10:43570001-43580000	chr10	43570001	43580000	10000	Gained anchor	1	1	0	0.323430919107131	1	0	0
chr10:43910001-43920000	chr10	43910001	43920000	10000	Gained anchor	1	1	0	0.323430919107131	0	0	0
chr10:44325001-44330000	chr10	44325001	44330000	5000	Gained anchor	1	1	0	0.55594291395587	0	0	0
chr10:44330001-44340000	chr10	44330001	44340000	10000	Gained anchor	1	1	0	0.307201785703483	0	0	0
chr10:44450001-44460000	chr10	44450001	44460000	10000	Gained anchor	1	1	0	0.307201785703483	1	0	0
chr10:45000001-45005000	chr10	45000001	45005000	5000	Gained anchor	1	1	0	0.55594291395587	1	0	0
chr10:45470001-45480000	chr10	45470001	45480000	10000	Lost anchor	1	0	1	-0.699474034887849	0	0	0
chr10:4650001-4675000	chr10	4650001	4675000	25000	Gained anchor	1	1	0	0.391014643715101	0	0	0
chr10:4675001-4700000	chr10	4675001	4700000	25000	Gained anchor	2	2	0	0.378010371968134	0	0	0
chr10:49780001-49790000	chr10	49780001	49790000	10000	Lost anchor	2	0	2	-0.371706887137557	1	1	0
chr10:5000001-5025000	chr10	5000001	5025000	25000	Gained anchor	2	2	0	0.378237300090655	0	0	0
chr10:50060001-50070000	chr10	50060001	50070000	10000	Lost anchor	1	0	1	-0.398729172980647	1	1	0
chr10:50130001-50140000	chr10	50130001	50140000	10000	Lost anchor	1	0	1	-0.344684601294466	2	2	0
chr10:5025001-5050000	chr10	5025001	5050000	25000	Gained anchor	1	1	0	0.390560787470059	1	0	0
chr10:50875001-50900000	chr10	50875001	50900000	25000	Lost anchor	1	0	1	-1.25092399640745	0	0	0
chr10:50890001-50900000	chr10	50890001	50900000	10000	Lost anchor	1	0	1	-0.699474034887849	0	0	0
chr10:50900001-50925000	chr10	50900001	50925000	25000	Lost anchor	3	0	3	-1.04134927093049	0	0	0
chr10:51790001-51800000	chr10	51790001	51800000	10000	Gained anchor	1	1	0	0.369139686489351	0	0	0
chr10:52070001-52080000	chr10	52070001	52080000	10000	Gained anchor	1	1	0	0.369139686489351	0	0	0
chr10:52525001-52550000	chr10	52525001	52550000	25000	Gained anchor	2	2	0	0.418878294485259	0	0	0
chr10:52750001-52775000	chr10	52750001	52775000	25000	Gained anchor	1	1	0	0.355905913113888	0	0	0
chr10:53110001-53120000	chr10	53110001	53120000	10000	Lost anchor	1	0	1	-0.412805032075719	0	0	0
chr10:53300001-53325000	chr10	53300001	53325000	25000	Gained anchor	2	2	0	0.397505879043122	0	0	0
chr10:53325001-53350000	chr10	53325001	53350000	25000	Gained anchor	1	1	0	0.398650743998163	0	0	0
chr10:53330001-53340000	chr10	53330001	53340000	10000	Lost anchor	1	0	1	-0.412805032075719	0	0	0
chr10:56350001-56375000	chr10	56350001	56375000	25000	Gained anchor	1	1	0	0.477999024470088	0	0	0
chr10:56370001-56380000	chr10	56370001	56380000	10000	Gained anchor	1	1	0	0.502505584063632	0	0	0
chr10:56575001-56600000	chr10	56575001	56600000	25000	Gained anchor	1	1	0	0.346959005438965	2	2	0
chr10:56825001-56850000	chr10	56825001	56850000	25000	Gained anchor	1	1	0	0.500066892653682	2	2	0
chr10:57000001-57010000	chr10	57000001	57010000	10000	Gained anchor	1	1	0	0.720238993903621	0	0	0
chr10:57300001-57325000	chr10	57300001	57325000	25000	Gained anchor	4	4	0	0.434050875596986	1	1	0
chr10:57310001-57320000	chr10	57310001	57320000	10000	Gained anchor	2	2	0	0.611372288983626	1	1	0
chr10:57600001-57625000	chr10	57600001	57625000	25000	Gained anchor	1	1	0	0.411178579825209	0	0	0
chr10:5845001-5850000	chr10	5845001	5850000	5000	Gained anchor	1	1	0	0.363290558885698	0	0	0
chr10:58810001-58820000	chr10	58810001	58820000	10000	Gained anchor	1	1	0	0.462805419870667	1	0	0
chr10:5900001-5905000	chr10	5900001	5905000	5000	Gained anchor	1	1	0	0.363290558885698	0	0	0
chr10:59140001-59150000	chr10	59140001	59150000	10000	Gained anchor	1	1	0	0.462805419870667	0	0	0
chr10:59490001-59495000	chr10	59490001	59495000	5000	Lost anchor	1	0	1	-0.349972299241119	0	0	0
chr10:59610001-59615000	chr10	59610001	59615000	5000	Lost anchor	1	0	1	-0.349972299241119	0	0	0
chr10:59620001-59625000	chr10	59620001	59625000	5000	Lost anchor	1	0	1	-0.378789667339191	0	0	0
chr10:59815001-59820000	chr10	59815001	59820000	5000	Lost anchor	1	0	1	-0.378789667339191	1	0	0
chr10:60410001-60420000	chr10	60410001	60420000	10000	Gained anchor	1	1	0	0.335344223856396	2	0	0
chr10:60530001-60540000	chr10	60530001	60540000	10000	Gained anchor	2	2	0	0.395250384704569	1	0	0
chr10:60680001-60690000	chr10	60680001	60690000	10000	Gained anchor	1	1	0	0.455156545552741	1	0	0
chr10:60830001-60840000	chr10	60830001	60840000	10000	Gained anchor	1	1	0	0.323900807478822	2	0	0
chr10:61050001-61060000	chr10	61050001	61060000	10000	Gained anchor	1	1	0	0.323900807478822	1	0	0
chr10:61835001-61840000	chr10	61835001	61840000	5000	Gained anchor	1	1	0	0.391996300925839	1	0	0
chr10:62180001-62185000	chr10	62180001	62185000	5000	Gained anchor	1	1	0	0.391996300925839	1	0	0
chr10:63480001-63490000	chr10	63480001	63490000	10000	Gained anchor	1	1	0	0.374058631263755	0	0	0
chr10:63575001-63600000	chr10	63575001	63600000	25000	Gained anchor	1	1	0	0.396638900476857	2	0	0
chr10:63650001-63660000	chr10	63650001	63660000	10000	Gained anchor	1	1	0	0.436674300503133	1	1	0
chr10:63650001-63675000	chr10	63650001	63675000	25000	Gained anchor	1	1	0	0.557068062742277	1	1	0
chr10:63920001-63930000	chr10	63920001	63930000	10000	Gained anchor	1	1	0	0.436674300503133	0	0	0
chr10:64075001-64100000	chr10	64075001	64100000	25000	Gained anchor	2	2	0	0.476853481609567	1	1	0
chr10:64080001-64090000	chr10	64080001	64090000	10000	Gained anchor	1	1	0	0.374058631263755	0	0	0
chr10:64085001-64090000	chr10	64085001	64090000	5000	Lost anchor	1	0	1	-0.372156783496988	0	0	0
chr10:64130001-64135000	chr10	64130001	64135000	5000	Lost anchor	1	0	1	-0.372156783496988	2	1	0
chr10:66180001-66185000	chr10	66180001	66185000	5000	Lost anchor	1	0	1	-0.361941200644724	0	0	0
chr10:66180001-66190000	chr10	66180001	66190000	10000	Lost anchor	1	0	1	-0.447777073265948	1	1	0
chr10:66225001-66230000	chr10	66225001	66230000	5000	Lost anchor	1	0	1	-0.361941200644724	1	1	0
chr10:66360001-66370000	chr10	66360001	66370000	10000	Lost anchor	1	0	1	-0.369935844714978	2	2	0
chr10:66780001-66790000	chr10	66780001	66790000	10000	Lost anchor	2	0	2	-0.408856458990463	1	1	0
chr10:67870001-67875000	chr10	67870001	67875000	5000	Gained anchor	1	1	0	0.352314747195974	0	0	0
chr10:67995001-68000000	chr10	67995001	68000000	5000	Gained anchor	1	1	0	0.352314747195974	0	0	0
chr10:70990001-71000000	chr10	70990001	71000000	10000	Gained anchor	1	1	0	0.316009017324046	0	0	0
chr10:71210001-71220000	chr10	71210001	71220000	10000	Gained anchor	1	1	0	0.316009017324046	0	0	0
chr10:71400001-71425000	chr10	71400001	71425000	25000	Lost anchor	1	0	1	-0.336676716238254	0	0	0
chr10:71425001-71450000	chr10	71425001	71450000	25000	Lost anchor	1	0	1	-0.359229895804715	0	0	0
chr10:71470001-71480000	chr10	71470001	71480000	10000	Lost anchor	1	0	1	-0.44064976975495	1	0	0
chr10:71475001-71500000	chr10	71475001	71500000	25000	Lost anchor	1	0	1	-0.380859037307735	0	0	0
chr10:73550001-73560000	chr10	73550001	73560000	10000	Gained anchor	1	1	0	0.399393024892349	0	0	0
chr10:74200001-74210000	chr10	74200001	74210000	10000	Mixed anchor	2	1	1	-0.0206283724313005	0	0	0
chr10:74450001-74475000	chr10	74450001	74475000	25000	Lost anchor	3	0	3	-0.358921883116901	0	0	0
chr10:75315001-75320000	chr10	75315001	75320000	5000	Gained anchor	1	1	0	0.379547031293998	1	0	0
chr10:75435001-75440000	chr10	75435001	75440000	5000	Gained anchor	1	1	0	0.379547031293998	1	0	0
chr10:75725001-75750000	chr10	75725001	75750000	25000	Gained anchor	1	1	0	0.394369181425064	0	0	0
chr10:75740001-75750000	chr10	75740001	75750000	10000	Gained anchor	1	1	0	0.564411714926181	0	0	0
chr10:75890001-75900000	chr10	75890001	75900000	10000	Gained anchor	1	1	0	0.328274886622751	1	0	0
chr10:76060001-76070000	chr10	76060001	76070000	10000	Gained anchor	1	1	0	0.365554924227638	0	0	0
chr10:76200001-76210000	chr10	76200001	76210000	10000	Gained anchor	3	3	0	0.419413841925523	1	0	0
chr10:76200001-76225000	chr10	76200001	76225000	25000	Gained anchor	1	1	0	0.394369181425064	2	0	0
chr10:76530001-76540000	chr10	76530001	76540000	10000	Gained anchor	1	1	0	0.420524060927903	1	0	0
chr10:76730001-76740000	chr10	76730001	76740000	10000	Gained anchor	1	1	0	0.420524060927903	0	0	0
chr10:77080001-77085000	chr10	77080001	77085000	5000	Gained anchor	1	1	0	0.472249378548824	1	0	0
chr10:77080001-77090000	chr10	77080001	77090000	10000	Gained anchor	1	1	0	0.330722671738754	3	0	0
chr10:77130001-77135000	chr10	77130001	77135000	5000	Gained anchor	1	1	0	0.472249378548824	1	0	0
chr10:77250001-77260000	chr10	77250001	77260000	10000	Gained anchor	1	1	0	0.330722671738754	2	0	0
chr10:81500001-81510000	chr10	81500001	81510000	10000	Lost anchor	1	0	1	-0.575257302595857	0	0	0
chr10:81500001-81525000	chr10	81500001	81525000	25000	Lost anchor	1	0	1	-0.369654261258687	0	0	0
chr10:81625001-81630000	chr10	81625001	81630000	5000	Lost anchor	1	0	1	-0.408779181980828	0	0	0
chr10:82150001-82175000	chr10	82150001	82175000	25000	Lost anchor	1	0	1	-0.369654261258687	0	0	0
chr10:82170001-82180000	chr10	82170001	82180000	10000	Lost anchor	1	0	1	-0.575257302595857	0	0	0
chr10:82175001-82180000	chr10	82175001	82180000	5000	Lost anchor	1	0	1	-0.408779181980828	0	0	0
chr10:82275001-82300000	chr10	82275001	82300000	25000	Lost anchor	1	0	1	-0.326476281282087	0	0	0
chr10:83425001-83450000	chr10	83425001	83450000	25000	Lost anchor	1	0	1	-0.326476281282087	0	0	0
chr10:84700001-84710000	chr10	84700001	84710000	10000	Gained anchor	1	1	0	0.372959003129434	0	0	0
chr10:85040001-85050000	chr10	85040001	85050000	10000	Gained anchor	1	1	0	0.372959003129434	0	0	0
chr10:87020001-87030000	chr10	87020001	87030000	10000	Mixed anchor	2	1	1	0.0160375778849745	0	0	0
chr10:87500001-87510000	chr10	87500001	87510000	10000	Gained anchor	1	1	0	0.337860986464634	0	0	0
chr10:8790001-8800000	chr10	8790001	8800000	10000	Gained anchor	1	1	0	0.340938824636882	1	0	0
chr10:88320001-88330000	chr10	88320001	88330000	10000	Lost anchor	1	0	1	-0.305785830694685	0	0	0
chr10:9070001-9080000	chr10	9070001	9080000	10000	Gained anchor	1	1	0	0.340938824636882	0	0	0
chr10:90730001-90735000	chr10	90730001	90735000	5000	Gained anchor	1	1	0	0.321695892468236	0	0	0
chr10:90830001-90835000	chr10	90830001	90835000	5000	Gained anchor	1	1	0	0.321695892468236	1	0	0
chr10:91275001-91300000	chr10	91275001	91300000	25000	Gained anchor	1	1	0	0.356740611835573	0	0	0
chr10:91525001-91550000	chr10	91525001	91550000	25000	Gained anchor	1	1	0	0.356740611835573	1	0	0
chr10:91540001-91550000	chr10	91540001	91550000	10000	Gained anchor	1	1	0	0.44612136643836	1	0	0
chr10:92305001-92310000	chr10	92305001	92310000	5000	Gained anchor	1	1	0	0.31865973557229	0	0	0
chr10:92650001-92660000	chr10	92650001	92660000	10000	Gained anchor	1	1	0	0.44612136643836	0	0	0
chr10:93010001-93015000	chr10	93010001	93015000	5000	Gained anchor	1	1	0	0.31865973557229	0	0	0
chr10:93290001-93300000	chr10	93290001	93300000	10000	Gained anchor	1	1	0	0.445073593169091	1	0	0
chr10:93420001-93430000	chr10	93420001	93430000	10000	Gained anchor	1	1	0	0.445073593169091	1	0	0
chr10:95500001-95525000	chr10	95500001	95525000	25000	Lost anchor	1	0	1	-0.409308319238839	1	0	0
chr10:95550001-95555000	chr10	95550001	95555000	5000	Gained anchor	1	1	0	0.349593193599967	0	0	0
chr10:9570001-9580000	chr10	9570001	9580000	10000	Gained anchor	1	1	0	0.327455340625568	0	0	0
chr10:95855001-95860000	chr10	95855001	95860000	5000	Gained anchor	1	1	0	0.349593193599967	0	0	0
chr10:96500001-96510000	chr10	96500001	96510000	10000	Lost anchor	1	0	1	-0.386065427480871	2	1	0
chr10:96600001-96625000	chr10	96600001	96625000	25000	Lost anchor	1	0	1	-0.344558668101276	1	0	0
chr10:96625001-96650000	chr10	96625001	96650000	25000	Lost anchor	1	0	1	-0.336556120211805	0	0	0
chr10:9670001-9680000	chr10	9670001	9680000	10000	Gained anchor	1	1	0	0.327455340625568	1	0	0
chr10:96840001-96850000	chr10	96840001	96850000	10000	Lost anchor	2	0	2	-0.388388113977483	1	1	0
chr10:97080001-97090000	chr10	97080001	97090000	10000	Lost anchor	1	0	1	-0.359649050004829	1	1	0
chr10:97310001-97320000	chr10	97310001	97320000	10000	Lost anchor	2	0	2	-0.401596302715504	2	2	0
chr10:97575001-97600000	chr10	97575001	97600000	25000	Lost anchor	2	0	2	-0.340557394156541	4	4	0
chr10:99250001-99275000	chr10	99250001	99275000	25000	Lost anchor	1	0	1	-0.409308319238839	2	0	0
chr11:100000001-100010000	chr11	100000001	100010000	10000	Gained anchor	1	1	0	0.331987484200238	1	0	0
chr11:100170001-100180000	chr11	100170001	100180000	10000	Gained anchor	1	1	0	0.322393290337938	0	0	0
chr11:101650001-101675000	chr11	101650001	101675000	25000	Lost anchor	1	0	1	-0.517707948482917	0	0	0
chr11:102485001-102490000	chr11	102485001	102490000	5000	Gained anchor	1	1	0	0.372675871964474	0	0	0
chr11:102570001-102575000	chr11	102570001	102575000	5000	Gained anchor	1	1	0	0.304553820285778	0	0	0
chr11:102650001-102655000	chr11	102650001	102655000	5000	Gained anchor	2	2	0	0.338614846125126	0	0	0
chr11:103635001-103640000	chr11	103635001	103640000	5000	Gained anchor	1	1	0	0.366957801985663	0	0	0
chr11:103675001-103680000	chr11	103675001	103680000	5000	Gained anchor	1	1	0	0.366957801985663	0	0	0
chr11:105925001-105950000	chr11	105925001	105950000	25000	Lost anchor	2	0	2	-0.388379241298389	1	0	0
chr11:106325001-106350000	chr11	106325001	106350000	25000	Lost anchor	1	0	1	-0.397547168738214	0	0	0
chr11:106375001-106400000	chr11	106375001	106400000	25000	Lost anchor	1	0	1	-0.379211313858564	0	0	0
chr11:109870001-109875000	chr11	109870001	109875000	5000	Lost anchor	1	0	1	-0.37548786251209	0	0	0
chr11:110110001-110115000	chr11	110110001	110115000	5000	Lost anchor	1	0	1	-0.37548786251209	0	0	0
chr11:112780001-112790000	chr11	112780001	112790000	10000	Gained anchor	1	1	0	0.325518648213142	0	0	0
chr11:113160001-113170000	chr11	113160001	113170000	10000	Gained anchor	1	1	0	0.325518648213142	2	0	0
chr11:114065001-114070000	chr11	114065001	114070000	5000	Gained anchor	2	2	0	0.387808860892577	1	0	0
chr11:114175001-114180000	chr11	114175001	114180000	5000	Gained anchor	1	1	0	0.309121321867469	3	1	0
chr11:114655001-114660000	chr11	114655001	114660000	5000	Gained anchor	1	1	0	0.466496399917686	1	0	0
chr11:12025001-12030000	chr11	12025001	12030000	5000	Gained anchor	1	1	0	0.374168388217956	1	0	0
chr11:12285001-12290000	chr11	12285001	12290000	5000	Gained anchor	1	1	0	0.374168388217956	0	0	0
chr11:12310001-12320000	chr11	12310001	12320000	10000	Gained anchor	1	1	0	0.57968924723187	0	0	0
chr11:12350001-12375000	chr11	12350001	12375000	25000	Gained anchor	1	1	0	0.54076066063567	1	0	0
chr11:12370001-12380000	chr11	12370001	12380000	10000	Gained anchor	1	1	0	0.806071166067635	1	0	0
chr11:12375001-12400000	chr11	12375001	12400000	25000	Gained anchor	1	1	0	0.45233598678541	3	2	0
