method	method_key	anchor_id	loop_id	anchor_chr	anchor_start	anchor_end	anchor_type	loop_class	loop_logFC	gene_name
GREAT domain	great	loop_1054_A1	loop_1054	chr8	21990000	21995000	Other	Lost	-0.435500809394855	Ccdc70
GREAT domain	great	loop_1054_A1	loop_1054	chr8	21990000	21995000	Other	Lost	-0.435500809394855	Atp7b
GREAT domain	great	loop_8008_A1	loop_8008	chr8	95970000	95980000	Other	Lost	-0.907281814173301	Got2
GREAT domain	great	loop_1100_A1	loop_1100	chr9	120495000	120500000	Poised_Enhancer	Gained	0.316430794939712	Eif1b
GREAT domain	great	loop_1100_A1	loop_1100	chr9	120495000	120500000	Poised_Enhancer	Gained	0.316430794939712	Entpd3
GREAT domain	great	loop_1350_A1	loop_1350	chr9	94530000	94540000	Active_Promoter	Lost	-0.693425681985245	Dipk2a
GREAT domain	great	loop_1127_A1	loop_1127	chr9	99845000	99850000	Polycomb	Gained	0.512268586533115	Sox14
GREAT domain	great	loop_1133_A1	loop_1133	chr9	106900000	106905000	CTCF_Site	Lost	-0.413238809337614	Manf
GREAT domain	great	loop_1164_A1	loop_1164	chr11	85835000	85840000	Polycomb	Lost	-0.443512061434171	Tbx2
GREAT domain	great	loop_1164_A1	loop_1164	chr11	85835000	85840000	Polycomb	Lost	-0.443512061434171	Tbx4
GREAT domain	great	loop_1231_A1	loop_1231	chr12	100685000	100690000	Poised_Enhancer	Lost	-0.334345538443171	Rps6ka5
GREAT domain	great	loop_1262_A1	loop_1262	chr15	57690000	57695000	Active_Promoter	Lost	-0.497796548329216	Zhx2
GREAT domain	great	loop_1280_A1	loop_1280	chr15	73830000	73835000	Polycomb	Gained	0.445075926971527	Ndufb4c
GREAT domain	great	loop_1280_A1	loop_1280	chr15	73830000	73835000	Polycomb	Gained	0.445075926971527	Mroh5
GREAT domain	great	loop_11108_A1	loop_11108	chr16	72200000	72225000	Poised_Enhancer	Gained	0.528857142465129	8030451O07Rik
GREAT domain	great	loop_1327_A1	loop_1327	chr16	30600000	30605000	Active_Promoter	Lost	-0.606689936726529	Fam43a
GREAT domain	great	loop_1403_A1	loop_1403	chr1	91570000	91575000	CTCF_Site	Gained	0.336947069739314	Asb1
GREAT domain	great	loop_1475_A1	loop_1475	chr2	57905000	57910000	Active_Enhancer	Lost	-0.445495426881342	Galnt5
GREAT domain	great	loop_13840_A1	loop_13840	chr2	73920000	73930000	Poised_Enhancer	Lost	-0.365749360104936	Atp5mc3
GREAT domain	great	loop_1566_A1	loop_1566	chr4	3675000	3680000	Active_Promoter	Lost	-0.395993412485924	Lyn
GREAT domain	great	loop_1591_A1	loop_1591	chr4	82535000	82540000	Active_Enhancer	Lost	-0.956922657768539	Gm11266
GREAT domain	great	loop_1662_A1	loop_1662	chr6	140625000	140630000	Active_Enhancer	Lost	-0.402242657976892	Aebp2
GREAT domain	great	loop_1715_A1	loop_1715	chr7	84590000	84595000	Other	Lost	-0.326783252490957	Ctxnd1
GREAT domain	great	loop_1715_A1	loop_1715	chr7	84590000	84595000	Other	Lost	-0.326783252490957	Fah
GREAT domain	great	loop_1720_A1	loop_1720	chr7	90280000	90285000	CTCF_Site	Lost	-0.571639821742711	Ccdc83
GREAT domain	great	loop_1720_A1	loop_1720	chr7	90280000	90285000	CTCF_Site	Lost	-0.571639821742711	Sytl2
GREAT domain	great	loop_7955_A1	loop_7955	chr8	57540000	57550000	Active_Enhancer	Lost	-0.676079610913446	Hmgb2
GREAT domain	great	loop_1882_A1	loop_1882	chr8	19705000	19710000	CTCF_Site	Gained	0.409196285067122	Potefam3e
GREAT domain	great	loop_1955_A1	loop_1955	chr9	91405000	91410000	Active_Enhancer	Lost	-0.412725005993494	Zic1
GREAT domain	great	loop_2010_A1	loop_2010	chr9	88480000	88485000	Active_Promoter	Lost	-0.381392022376958	Snx14
GREAT domain	great	loop_2010_A1	loop_2010	chr9	88480000	88485000	Active_Promoter	Lost	-0.381392022376958	Syncrip
GREAT domain	great	loop_2084_A1	loop_2084	chr11	26385000	26390000	Other	Lost	-0.484434612867771	Fancl
GREAT domain	great	loop_2134_A1	loop_2134	chr11	30090000	30095000	Other	Lost	-0.440902541707972	Eml6
GREAT domain	great	loop_2207_A1	loop_2207	chr13	98260000	98265000	Active_Promoter	Lost	-0.35344100089504	Arhgef28
GREAT domain	great	loop_2207_A1	loop_2207	chr13	98260000	98265000	Active_Promoter	Lost	-0.35344100089504	Btf3
GREAT domain	great	loop_10324_A1	loop_10324	chr13	83520000	83530000	Active_Enhancer	Lost	-0.454853910788424	Mef2c
GREAT domain	great	loop_10216_A1	loop_10216	chr13	83520000	83530000	Active_Enhancer	Lost	-0.51177362507795	Mef2c
GREAT domain	great	loop_2243_A1	loop_2243	chr13	9680000	9685000	Active_Enhancer	Gained	0.603657576505031	Zmynd11
GREAT domain	great	loop_2308_A1	loop_2308	chr12	31710000	31715000	Active_Promoter	Lost	-0.479423629127426	Cog5
GREAT domain	great	loop_2308_A1	loop_2308	chr12	31710000	31715000	Active_Promoter	Lost	-0.479423629127426	Gpr22
GREAT domain	great	loop_11180_A1	loop_11180	chr15	44830000	44840000	Poised_Enhancer	Lost	-0.527071564812169	Sybu
GREAT domain	great	loop_11180_A1	loop_11180	chr15	44830000	44840000	Poised_Enhancer	Lost	-0.527071564812169	A930017M01Rik
GREAT domain	great	loop_2432_A1	loop_2432	chr16	67610000	67615000	Active_Enhancer	Lost	-0.426407329428652	Cadm2
GREAT domain	great	loop_2833_A1	loop_2833	chr17	42310000	42320000	Active_Promoter	Lost	-0.429871889624772	Ptchd4
GREAT domain	great	loop_2490_A1	loop_2490	chr17	5440000	5445000	Other	Lost	-0.688339953467639	Tmem242
GREAT domain	great	loop_2524_A1	loop_2524	chr1	135750000	135755000	CTCF_Site	Gained	0.382641463407192	Csrp1
GREAT domain	great	loop_2524_A1	loop_2524	chr1	135750000	135755000	CTCF_Site	Gained	0.382641463407192	Phlda3
GREAT domain	great	loop_22500_A1	loop_22500	chr1	182550000	182560000	CTCF_Site	Gained	0.333895372721255	Capn2
GREAT domain	great	loop_22500_A1	loop_22500	chr1	182550000	182560000	CTCF_Site	Gained	0.333895372721255	Capn8
GREAT domain	great	loop_12404_A1	loop_12404	chr18	57400000	57425000	CTCF_Site	Lost	-0.302946727000836	Prrc1
GREAT domain	great	loop_12404_A1	loop_12404	chr18	57400000	57425000	CTCF_Site	Lost	-0.302946727000836	Gm19500
GREAT domain	great	loop_12404_A1	loop_12404	chr18	57400000	57425000	CTCF_Site	Lost	-0.302946727000836	Ctxn3
GREAT domain	great	loop_13250_A1	loop_13250	chr18	77790000	77800000	Repressed_Promoter	Lost	-0.303911684470155	Pstpip2
GREAT domain	great	loop_13250_A1	loop_13250	chr18	77790000	77800000	Repressed_Promoter	Lost	-0.303911684470155	F830208F22Rik
GREAT domain	great	loop_2742_A1	loop_2742	chr2	58135000	58140000	Active_Enhancer	Lost	-0.302543432546916	Ermn
GREAT domain	great	loop_2742_A1	loop_2742	chr2	58135000	58140000	Active_Enhancer	Lost	-0.302543432546916	Gm13546
GREAT domain	great	loop_19717_A1	loop_19717	chr2	138790000	138800000	Active_Enhancer	Lost	-0.453986813969425	Mir1952
GREAT domain	great	loop_14358_A1	loop_14358	chr2	165390000	165400000	CTCF_Site	Gained	0.352591526415697	Zfp334
GREAT domain	great	loop_14358_A1	loop_14358	chr2	165390000	165400000	CTCF_Site	Gained	0.352591526415697	Ocstamp
GREAT domain	great	loop_2816_A1	loop_2816	chr2	118260000	118265000	CTCF_Site	Lost	-0.302499319263223	Fsip1
GREAT domain	great	loop_22112_A1	loop_22112	chr2	73960000	73970000	CTCF_Site	Gained	0.398883149355024	Atp5mc3
GREAT domain	great	loop_2926_A1	loop_2926	chr3	123690000	123695000	Active_Promoter	Lost	-0.363489173848245	Ndst3
GREAT domain	great	loop_3005_A1	loop_3005	chr4	144890000	144895000	Repressed_Promoter	Gained	0.3588138934346	Dhrs3
GREAT domain	great	loop_3034_A1	loop_3034	chr4	33395000	33400000	Poised_Enhancer	Lost	-0.468349214128843	Rngtt
GREAT domain	great	loop_3034_A1	loop_3034	chr4	33395000	33400000	Poised_Enhancer	Lost	-0.468349214128843	Mir8118
GREAT domain	great	loop_3050_A1	loop_3050	chr4	117705000	117710000	Other	Lost	-0.637165764659236	Dmap1
GREAT domain	great	loop_3050_A1	loop_3050	chr4	117705000	117710000	Other	Lost	-0.637165764659236	Klf17
GREAT domain	great	loop_3162_A1	loop_3162	chr5	86165000	86170000	Poised_Enhancer	Lost	-0.49179923556903	Stap1
GREAT domain	great	loop_3162_A1	loop_3162	chr5	86165000	86170000	Poised_Enhancer	Lost	-0.49179923556903	Uba6
GREAT domain	great	loop_14988_A1	loop_14988	chr5	41875000	41900000	CTCF_Site	Lost	-0.364018910309957	Bod1l
GREAT domain	great	loop_14988_A1	loop_14988	chr5	41875000	41900000	CTCF_Site	Lost	-0.364018910309957	Mir6414
GREAT domain	great	loop_17280_A1	loop_17280	chr6	51170000	51180000	Polycomb	Lost	-0.866346995338293	Mir148a
GREAT domain	great	loop_3243_A1	loop_3243	chr6	19580000	19585000	Active_Enhancer	Lost	-0.593720340707453	Mir6370
GREAT domain	great	loop_3244_A1	loop_3244	chr6	106800000	106805000	Active_Promoter	Lost	-0.441273377578629	Crbn
GREAT domain	great	loop_3247_A1	loop_3247	chr6	19580000	19585000	Active_Enhancer	Lost	-0.518124344638804	Mir6370
GREAT domain	great	loop_17332_A1	loop_17332	chr6	42610000	42620000	Other	Lost	-0.384812844216208	Tcaf3
GREAT domain	great	loop_17332_A1	loop_17332	chr6	42610000	42620000	Other	Lost	-0.384812844216208	Tcaf2
GREAT domain	great	loop_3263_A1	loop_3263	chr7	38180000	38185000	Active_Promoter	Lost	-0.365227924008328	1600014C10Rik
GREAT domain	great	loop_3263_A1	loop_3263	chr7	38180000	38185000	Active_Promoter	Lost	-0.365227924008328	Plekhf1
GREAT domain	great	loop_3768_A1	loop_3768	chr7	111040000	111050000	Other	Lost	-0.453466896818812	Ctr9
GREAT domain	great	loop_3768_A1	loop_3768	chr7	111040000	111050000	Other	Lost	-0.453466896818812	Eif4g2
GREAT domain	great	loop_3357_A1	loop_3357	chr10	59620000	59625000	Poised_Enhancer	Lost	-0.378789667339191	Mcu
GREAT domain	great	loop_3357_A1	loop_3357	chr10	59620000	59625000	Poised_Enhancer	Lost	-0.378789667339191	Micu1
GREAT domain	great	loop_3398_A1	loop_3398	chr10	13085000	13090000	Active_Enhancer	Lost	-0.516277471406927	Plagl1
GREAT domain	great	loop_3398_A1	loop_3398	chr10	13085000	13090000	Active_Enhancer	Lost	-0.516277471406927	Zc2hc1b
GREAT domain	great	loop_3456_A1	loop_3456	chr14	70780000	70785000	Polycomb	Gained	0.689208253393807	Dok2
GREAT domain	great	loop_3456_A1	loop_3456	chr14	70780000	70785000	Polycomb	Gained	0.689208253393807	2410012E07Rik
GREAT domain	great	loop_21700_A1	loop_21700	chr14	24060000	24070000	Polycomb	Gained	0.356141088902321	Kcnma1
GREAT domain	great	loop_21700_A1	loop_21700	chr14	24060000	24070000	Polycomb	Gained	0.356141088902321	Mir7210
GREAT domain	great	loop_3462_A1	loop_3462	chr9	63995000	6.4e+07	Poised_Enhancer	Gained	0.343872786343041	Smad6
GREAT domain	great	loop_183_A1	loop_183	chr9	104575000	104600000	Polycomb	Gained	0.419793779939131	Cpne4
GREAT domain	great	loop_10314_A1	loop_10314	chr13	29850000	29860000	Active_Promoter	Lost	-0.455944243282767	Cdkal1
GREAT domain	great	loop_18627_A1	loop_18627	chr13	53450000	53475000	Repressed_Promoter	Gained	0.338132400885666	Gm2762
GREAT domain	great	loop_18627_A1	loop_18627	chr13	53450000	53475000	Repressed_Promoter	Gained	0.338132400885666	Msx2
GREAT domain	great	loop_3590_A1	loop_3590	chr12	116480000	116485000	Other	Lost	-0.335760400317859	Ncapg2
GREAT domain	great	loop_3590_A1	loop_3590	chr12	116480000	116485000	Other	Lost	-0.335760400317859	Ptprn2
GREAT domain	great	loop_21870_A1	loop_21870	chr12	117590000	117600000	Other	Gained	0.435920573711936	Rapgef5
GREAT domain	great	loop_3611_A1	loop_3611	chr12	27345000	27350000	Polycomb	Gained	0.531906894289216	Sox11
GREAT domain	great	loop_3634_A1	loop_3634	chr15	61985000	61990000	Repressed_Promoter	Gained	0.473893658439265	Myc
GREAT domain	great	loop_3634_A1	loop_3634	chr15	61985000	61990000	Repressed_Promoter	Gained	0.473893658439265	Pvt1
GREAT domain	great	loop_3645_A1	loop_3645	chr16	91160000	91165000	Polycomb	Gained	0.445710499556838	4932438H23Rik
GREAT domain	great	loop_3645_A1	loop_3645	chr16	91160000	91165000	Polycomb	Gained	0.445710499556838	Olig2
GREAT domain	great	loop_3692_A1	loop_3692	chr17	33225000	33230000	Other	Gained	0.433987010267071	Or10h5
GREAT domain	great	loop_3692_A1	loop_3692	chr17	33225000	33230000	Other	Gained	0.433987010267071	Zfp955a
GREAT domain	great	loop_3694_A1	loop_3694	chr17	84110000	84115000	Poised_Enhancer	Gained	0.414596283857196	4933433H22Rik
GREAT domain	great	loop_3694_A1	loop_3694	chr17	84110000	84115000	Poised_Enhancer	Gained	0.414596283857196	Zfp36l2
GREAT domain	great	loop_21983_A1	loop_21983	chr1	87090000	87100000	Repressed_Promoter	Gained	0.354092045085057	Alppl2
GREAT domain	great	loop_21983_A1	loop_21983	chr1	87090000	87100000	Repressed_Promoter	Gained	0.354092045085057	Alpi
GREAT domain	great	loop_22011_A1	loop_22011	chr1	115680000	115690000	Repressed_Promoter	Gained	1.13005308385977	Cntnap5a
GREAT domain	great	loop_3749_A1	loop_3749	chr1	169670000	169675000	CTCF_Site	Gained	0.477060791282449	Rgs5
GREAT domain	great	loop_3749_A1	loop_3749	chr1	169670000	169675000	CTCF_Site	Gained	0.477060791282449	Rgs4
GREAT domain	great	loop_3757_A1	loop_3757	chr1	84125000	84130000	Other	Gained	0.414459405101291	Mir6353
GREAT domain	great	loop_3779_A1	loop_3779	chr18	64340000	64345000	Repressed_Promoter	Gained	0.454929935851277	Onecut2
GREAT domain	great	loop_19616_A1	loop_19616	chr19	17850000	17860000	Other	Gained	0.511848226313354	Pcsk5
GREAT domain	great	loop_3830_A1	loop_3830	chr2	102685000	102690000	Poised_Enhancer	Gained	0.395738228011634	Slc1a2
GREAT domain	great	loop_3830_A1	loop_3830	chr2	102685000	102690000	Poised_Enhancer	Gained	0.395738228011634	Gm13872
GREAT domain	great	loop_3836_A1	loop_3836	chr2	118305000	118310000	Other	Lost	-0.358579913610825	1700054M17Rik
GREAT domain	great	loop_3836_A1	loop_3836	chr2	118305000	118310000	Other	Lost	-0.358579913610825	Gpr176
GREAT domain	great	loop_3839_A1	loop_3839	chr2	179440000	179445000	Active_Promoter	Gained	0.408011135604309	Cdh4
GREAT domain	great	loop_3859_A1	loop_3859	chr2	65020000	65025000	Repressed_Promoter	Gained	0.337202889649143	Grb14
GREAT domain	great	loop_19749_A1	loop_19749	chr2	27550000	27560000	CTCF_Site	Gained	0.347469078358575	Wdr5
GREAT domain	great	loop_19791_A1	loop_19791	chrX	103690000	103700000	Polycomb	Gained	0.529829340122908	Zcchc13
GREAT domain	great	loop_21245_A1	loop_21245	chrX	50670000	50680000	CTCF_Site	Gained	0.514598594701197	Firre
GREAT domain	great	loop_3915_A1	loop_3915	chr3	127620000	127625000	Polycomb	Gained	0.788418215597205	Zgrf1
GREAT domain	great	loop_3915_A1	loop_3915	chr3	127620000	127625000	Polycomb	Gained	0.788418215597205	Neurog2
GREAT domain	great	loop_22154_A1	loop_22154	chr3	59320000	59330000	Poised_Enhancer	Gained	0.56601532766971	P2ry12
GREAT domain	great	loop_22154_A1	loop_22154	chr3	59320000	59330000	Poised_Enhancer	Gained	0.56601532766971	Igsf10
GREAT domain	great	loop_3933_A1	loop_3933	chr4	96715000	96720000	Poised_Enhancer	Gained	0.442672974226696	Cyp2j5
GREAT domain	great	loop_3933_A1	loop_3933	chr4	96715000	96720000	Poised_Enhancer	Gained	0.442672974226696	Gm12695
GREAT domain	great	loop_22176_A1	loop_22176	chr4	125110000	125120000	Poised_Enhancer	Gained	0.445423850224702	Meaf6
GREAT domain	great	loop_22176_A1	loop_22176	chr4	125110000	125120000	Poised_Enhancer	Gained	0.445423850224702	Zc3h12a
GREAT domain	great	loop_3994_A1	loop_3994	chr5	64505000	64510000	Poised_Enhancer	Gained	0.456078932023803	C030018K13Rik
GREAT domain	great	loop_22237_A1	loop_22237	chr5	76650000	76660000	Repressed_Promoter	Gained	0.42310142438222	Cep135
GREAT domain	great	loop_22237_A1	loop_22237	chr5	76650000	76660000	Repressed_Promoter	Gained	0.42310142438222	Cracd
GREAT domain	great	loop_22214_A1	loop_22214	chr5	3340000	3350000	Repressed_Promoter	Gained	0.817891350203598	Cdk6
GREAT domain	great	loop_22596_A1	loop_22596	chr5	36830000	36840000	CTCF_Site	Gained	0.384428814055033	Man2b2
GREAT domain	great	loop_22596_A1	loop_22596	chr5	36830000	36840000	CTCF_Site	Gained	0.384428814055033	Ppp2r2c
GREAT domain	great	loop_22261_A1	loop_22261	chr6	83690000	83700000	Polycomb	Gained	0.322017476859886	Cd207
GREAT domain	great	loop_22261_A1	loop_22261	chr6	83690000	83700000	Polycomb	Gained	0.322017476859886	Vax2
GREAT domain	great	loop_4054_A1	loop_4054	chr6	72280000	72285000	CTCF_Site	Lost	-0.395120920622544	Atoh8
GREAT domain	great	loop_4054_A1	loop_4054	chr6	72280000	72285000	CTCF_Site	Lost	-0.395120920622544	Sftpb
GREAT domain	great	loop_22271_A1	loop_22271	chr6	1.48e+08	148010000	CTCF_Site	Gained	0.429181619951826	Far2
GREAT domain	great	loop_4829_A1	loop_4829	chr7	131540000	131550000	Repressed_Promoter	Gained	0.491491828237413	Hmx3
GREAT domain	great	loop_4829_A1	loop_4829	chr7	131540000	131550000	Repressed_Promoter	Gained	0.491491828237413	Hmx2
GREAT domain	great	loop_4829_A1	loop_4829	chr7	131540000	131550000	Repressed_Promoter	Gained	0.491491828237413	Bub3
GREAT domain	great	loop_4131_A1	loop_4131	chr10	21080000	21085000	Active_Enhancer	Gained	0.387615581365571	Myb
GREAT domain	great	loop_4162_A1	loop_4162	chr8	121125000	121130000	Repressed_Promoter	Gained	0.549519963760996	Foxl1
GREAT domain	great	loop_4165_A1	loop_4165	chr8	94700000	94705000	Poised_Enhancer	Gained	0.372548002764556	Pllp
GREAT domain	great	loop_4165_A1	loop_4165	chr8	94700000	94705000	Poised_Enhancer	Gained	0.372548002764556	Ccl22
GREAT domain	great	loop_4167_A1	loop_4167	chr8	122160000	122165000	Poised_Enhancer	Gained	0.345273315784937	Zfp469
GREAT domain	great	loop_4191_A1	loop_4191	chr8	69395000	69400000	Active_Promoter	Lost	-0.56956372737743	Gm10033
GREAT domain	great	loop_5042_A1	loop_5042	chr9	41370000	41380000	Polycomb	Gained	0.585609104566488	Mir100hg
GREAT domain	great	loop_4308_A1	loop_4308	chr9	122615000	122620000	Polycomb	Gained	0.561136519631846	9530059O14Rik
GREAT domain	great	loop_4308_A1	loop_4308	chr9	122615000	122620000	Polycomb	Gained	0.561136519631846	Mir138-1
GREAT domain	great	loop_4348_A1	loop_4348	chr11	114065000	114070000	Repressed_Promoter	Gained	0.309121321867469	Sdk2
GREAT domain	great	loop_9751_A1	loop_9751	chr11	87210000	87220000	CTCF_Site	Gained	0.47125787660616	Trim37
GREAT domain	great	loop_4374_A1	loop_4374	chr11	96145000	96150000	Polycomb	Gained	0.550485846554248	Ttll6
GREAT domain	great	loop_4374_A1	loop_4374	chr11	96145000	96150000	Polycomb	Gained	0.550485846554248	Hoxb13
GREAT domain	great	loop_10686_A1	loop_10686	chr12	105490000	105500000	CTCF_Site	Gained	0.596388724442939	D430019H16Rik
GREAT domain	great	loop_10686_A1	loop_10686	chr12	105490000	105500000	CTCF_Site	Gained	0.596388724442939	AU015791
GREAT domain	great	loop_21843_A1	loop_21843	chr12	75300000	75310000	Repressed_Promoter	Gained	0.324243640472188	Rhoj
GREAT domain	great	loop_5292_A1	loop_5292	chr12	104770000	104780000	Polycomb	Gained	0.374772635830487	Dicer1
GREAT domain	great	loop_5292_A1	loop_5292	chr12	104770000	104780000	Polycomb	Gained	0.374772635830487	Clmn
GREAT domain	great	loop_4507_A1	loop_4507	chr15	78255000	78260000	Polycomb	Gained	0.414462305190045	Ncf4
GREAT domain	great	loop_4507_A1	loop_4507	chr15	78255000	78260000	Polycomb	Gained	0.414462305190045	Csf2rb2
GREAT domain	great	loop_4514_A1	loop_4514	chr15	61985000	61990000	Repressed_Promoter	Gained	0.337180376629489	Myc
GREAT domain	great	loop_4514_A1	loop_4514	chr15	61985000	61990000	Repressed_Promoter	Gained	0.337180376629489	Pvt1
GREAT domain	great	loop_4527_A1	loop_4527	chr15	84260000	84265000	Poised_Enhancer	Gained	0.61216815327462	Parvb
GREAT domain	great	loop_4527_A1	loop_4527	chr15	84260000	84265000	Poised_Enhancer	Gained	0.61216815327462	Parvg
GREAT domain	great	loop_4528_A1	loop_4528	chr15	38695000	38700000	CTCF_Site	Gained	0.677749675768965	Atp6v1c1
GREAT domain	great	loop_4528_A1	loop_4528	chr15	38695000	38700000	CTCF_Site	Gained	0.677749675768965	Gm45924
GREAT domain	great	loop_19312_A1	loop_19312	chr16	58450000	58460000	Poised_Enhancer	Gained	0.436907970772748	Dcbld2
GREAT domain	great	loop_19312_A1	loop_19312	chr16	58450000	58460000	Poised_Enhancer	Gained	0.436907970772748	St3gal6
GREAT domain	great	loop_4613_A1	loop_4613	chr17	15375000	15380000	Repressed_Promoter	Gained	0.449490280780529	Dll1
GREAT domain	great	loop_4647_A1	loop_4647	chr1	153330000	153335000	Active_Promoter	Gained	0.324541248365324	Lamc1
GREAT domain	great	loop_22503_A1	loop_22503	chr1	25830000	25840000	Active_Promoter	Gained	0.478048011136119	Adgrb3
GREAT domain	great	loop_4716_A1	loop_4716	chr18	34660000	34665000	CTCF_Site	Gained	0.411143232430558	Cdc23
GREAT domain	great	loop_4716_A1	loop_4716	chr18	34660000	34665000	CTCF_Site	Gained	0.411143232430558	Gfra3
GREAT domain	great	loop_19558_A1	loop_19558	chr18	10290000	10300000	CTCF_Site	Gained	0.539333485710682	Greb1l
GREAT domain	great	loop_12384_A1	loop_12384	chr18	80800000	80825000	Poised_Enhancer	Gained	0.487184305252261	Nfatc1
GREAT domain	great	loop_22053_A1	loop_22053	chr19	42660000	42670000	Polycomb	Gained	0.361678011312932	Loxl4
GREAT domain	great	loop_22053_A1	loop_22053	chr19	42660000	42670000	Polycomb	Gained	0.361678011312932	Pyroxd2
GREAT domain	great	loop_4785_A1	loop_4785	chr2	166005000	166010000	Poised_Enhancer	Gained	0.31233062045872	Ncoa3
GREAT domain	great	loop_5694_A1	loop_5694	chr2	28750000	28760000	Polycomb	Gained	0.311991636207353	Mir3088
GREAT domain	great	loop_5694_A1	loop_5694	chr2	28750000	28760000	Polycomb	Gained	0.311991636207353	Gtf3c4
GREAT domain	great	loop_4810_A1	loop_4810	chr2	138280000	138285000	Active_Enhancer	Lost	-0.398170855659383	Btbd3
GREAT domain	great	loop_4824_A1	loop_4824	chr2	5085000	5090000	Other	Gained	0.52582754582689	Optn
