alist_set	blist_set	permutation	permuted_overlaps	test_id
mCH Hyper gene bodies	ATAC Up	62	349	mCH Hyper gene bodies x ATAC Up
mCH Hyper gene bodies	ATAC Up	63	312	mCH Hyper gene bodies x ATAC Up
mCH Hyper gene bodies	ATAC Up	64	353	mCH Hyper gene bodies x ATAC Up
mCH Hyper gene bodies	ATAC Up	65	393	mCH Hyper gene bodies x ATAC Up
mCH Hyper gene bodies	ATAC Up	66	315	mCH Hyper gene bodies x ATAC Up
mCH Hyper gene bodies	ATAC Up	67	334	mCH Hyper gene bodies x ATAC Up
mCH Hyper gene bodies	ATAC Up	68	385	mCH Hyper gene bodies x ATAC Up
mCH Hyper gene bodies	ATAC Up	69	316	mCH Hyper gene bodies x ATAC Up
mCH Hyper gene bodies	ATAC Up	70	366	mCH Hyper gene bodies x ATAC Up
mCH Hyper gene bodies	ATAC Up	71	325	mCH Hyper gene bodies x ATAC Up
mCH Hyper gene bodies	ATAC Up	72	354	mCH Hyper gene bodies x ATAC Up
mCH Hyper gene bodies	ATAC Up	73	335	mCH Hyper gene bodies x ATAC Up
mCH Hyper gene bodies	ATAC Up	74	300	mCH Hyper gene bodies x ATAC Up
mCH Hyper gene bodies	ATAC Up	75	350	mCH Hyper gene bodies x ATAC Up
mCH Hyper gene bodies	ATAC Up	76	394	mCH Hyper gene bodies x ATAC Up
mCH Hyper gene bodies	ATAC Up	77	265	mCH Hyper gene bodies x ATAC Up
mCH Hyper gene bodies	ATAC Up	78	339	mCH Hyper gene bodies x ATAC Up
mCH Hyper gene bodies	ATAC Up	79	296	mCH Hyper gene bodies x ATAC Up
mCH Hyper gene bodies	ATAC Up	80	350	mCH Hyper gene bodies x ATAC Up
mCH Hyper gene bodies	ATAC Up	81	354	mCH Hyper gene bodies x ATAC Up
mCH Hyper gene bodies	ATAC Up	82	334	mCH Hyper gene bodies x ATAC Up
mCH Hyper gene bodies	ATAC Up	83	354	mCH Hyper gene bodies x ATAC Up
mCH Hyper gene bodies	ATAC Up	84	349	mCH Hyper gene bodies x ATAC Up
mCH Hyper gene bodies	ATAC Up	85	329	mCH Hyper gene bodies x ATAC Up
mCH Hyper gene bodies	ATAC Up	86	332	mCH Hyper gene bodies x ATAC Up
mCH Hyper gene bodies	ATAC Up	87	327	mCH Hyper gene bodies x ATAC Up
mCH Hyper gene bodies	ATAC Up	88	382	mCH Hyper gene bodies x ATAC Up
mCH Hyper gene bodies	ATAC Up	89	353	mCH Hyper gene bodies x ATAC Up
mCH Hyper gene bodies	ATAC Up	90	300	mCH Hyper gene bodies x ATAC Up
mCH Hyper gene bodies	ATAC Up	91	295	mCH Hyper gene bodies x ATAC Up
mCH Hyper gene bodies	ATAC Up	92	367	mCH Hyper gene bodies x ATAC Up
mCH Hyper gene bodies	ATAC Up	93	343	mCH Hyper gene bodies x ATAC Up
mCH Hyper gene bodies	ATAC Up	94	336	mCH Hyper gene bodies x ATAC Up
mCH Hyper gene bodies	ATAC Up	95	352	mCH Hyper gene bodies x ATAC Up
mCH Hyper gene bodies	ATAC Up	96	345	mCH Hyper gene bodies x ATAC Up
mCH Hyper gene bodies	ATAC Up	97	347	mCH Hyper gene bodies x ATAC Up
mCH Hyper gene bodies	ATAC Up	98	313	mCH Hyper gene bodies x ATAC Up
mCH Hyper gene bodies	ATAC Up	99	281	mCH Hyper gene bodies x ATAC Up
mCH Hyper gene bodies	ATAC Up	100	349	mCH Hyper gene bodies x ATAC Up
mCH Hyper gene bodies	ATAC Up	101	295	mCH Hyper gene bodies x ATAC Up
mCH Hyper gene bodies	ATAC Up	102	351	mCH Hyper gene bodies x ATAC Up
mCH Hyper gene bodies	ATAC Up	103	326	mCH Hyper gene bodies x ATAC Up
mCH Hyper gene bodies	ATAC Up	104	352	mCH Hyper gene bodies x ATAC Up
mCH Hyper gene bodies	ATAC Up	105	312	mCH Hyper gene bodies x ATAC Up
mCH Hyper gene bodies	ATAC Up	106	272	mCH Hyper gene bodies x ATAC Up
mCH Hyper gene bodies	ATAC Up	107	320	mCH Hyper gene bodies x ATAC Up
mCH Hyper gene bodies	ATAC Up	108	289	mCH Hyper gene bodies x ATAC Up
mCH Hyper gene bodies	ATAC Up	109	275	mCH Hyper gene bodies x ATAC Up
mCH Hyper gene bodies	ATAC Up	110	292	mCH Hyper gene bodies x ATAC Up
mCH Hyper gene bodies	ATAC Up	111	321	mCH Hyper gene bodies x ATAC Up
mCH Hyper gene bodies	ATAC Up	112	332	mCH Hyper gene bodies x ATAC Up
mCH Hyper gene bodies	ATAC Up	113	321	mCH Hyper gene bodies x ATAC Up
mCH Hyper gene bodies	ATAC Up	114	370	mCH Hyper gene bodies x ATAC Up
mCH Hyper gene bodies	ATAC Up	115	345	mCH Hyper gene bodies x ATAC Up
mCH Hyper gene bodies	ATAC Up	116	442	mCH Hyper gene bodies x ATAC Up
mCH Hyper gene bodies	ATAC Up	117	345	mCH Hyper gene bodies x ATAC Up
mCH Hyper gene bodies	ATAC Up	118	322	mCH Hyper gene bodies x ATAC Up
mCH Hyper gene bodies	ATAC Up	119	323	mCH Hyper gene bodies x ATAC Up
mCH Hyper gene bodies	ATAC Up	120	325	mCH Hyper gene bodies x ATAC Up
mCH Hyper gene bodies	ATAC Up	121	365	mCH Hyper gene bodies x ATAC Up
mCH Hyper gene bodies	ATAC Up	122	352	mCH Hyper gene bodies x ATAC Up
mCH Hyper gene bodies	ATAC Up	123	287	mCH Hyper gene bodies x ATAC Up
mCH Hyper gene bodies	ATAC Up	124	349	mCH Hyper gene bodies x ATAC Up
mCH Hyper gene bodies	ATAC Up	125	378	mCH Hyper gene bodies x ATAC Up
mCH Hyper gene bodies	ATAC Up	126	332	mCH Hyper gene bodies x ATAC Up
mCH Hyper gene bodies	ATAC Up	127	363	mCH Hyper gene bodies x ATAC Up
mCH Hyper gene bodies	ATAC Up	128	293	mCH Hyper gene bodies x ATAC Up
mCH Hyper gene bodies	ATAC Up	129	320	mCH Hyper gene bodies x ATAC Up
mCH Hyper gene bodies	ATAC Up	130	316	mCH Hyper gene bodies x ATAC Up
mCH Hyper gene bodies	ATAC Up	131	386	mCH Hyper gene bodies x ATAC Up
mCH Hyper gene bodies	ATAC Up	132	373	mCH Hyper gene bodies x ATAC Up
mCH Hyper gene bodies	ATAC Up	133	300	mCH Hyper gene bodies x ATAC Up
mCH Hyper gene bodies	ATAC Up	134	318	mCH Hyper gene bodies x ATAC Up
mCH Hyper gene bodies	ATAC Up	135	401	mCH Hyper gene bodies x ATAC Up
mCH Hyper gene bodies	ATAC Up	136	284	mCH Hyper gene bodies x ATAC Up
mCH Hyper gene bodies	ATAC Up	137	317	mCH Hyper gene bodies x ATAC Up
mCH Hyper gene bodies	ATAC Up	138	328	mCH Hyper gene bodies x ATAC Up
mCH Hyper gene bodies	ATAC Up	139	375	mCH Hyper gene bodies x ATAC Up
mCH Hyper gene bodies	ATAC Up	140	379	mCH Hyper gene bodies x ATAC Up
mCH Hyper gene bodies	ATAC Up	141	327	mCH Hyper gene bodies x ATAC Up
mCH Hyper gene bodies	ATAC Up	142	313	mCH Hyper gene bodies x ATAC Up
mCH Hyper gene bodies	ATAC Up	143	361	mCH Hyper gene bodies x ATAC Up
mCH Hyper gene bodies	ATAC Up	144	303	mCH Hyper gene bodies x ATAC Up
mCH Hyper gene bodies	ATAC Up	145	334	mCH Hyper gene bodies x ATAC Up
mCH Hyper gene bodies	ATAC Up	146	381	mCH Hyper gene bodies x ATAC Up
mCH Hyper gene bodies	ATAC Up	147	387	mCH Hyper gene bodies x ATAC Up
mCH Hyper gene bodies	ATAC Up	148	335	mCH Hyper gene bodies x ATAC Up
mCH Hyper gene bodies	ATAC Up	149	368	mCH Hyper gene bodies x ATAC Up
mCH Hyper gene bodies	ATAC Up	150	319	mCH Hyper gene bodies x ATAC Up
mCH Hyper gene bodies	ATAC Up	151	357	mCH Hyper gene bodies x ATAC Up
mCH Hyper gene bodies	ATAC Up	152	299	mCH Hyper gene bodies x ATAC Up
mCH Hyper gene bodies	ATAC Up	153	351	mCH Hyper gene bodies x ATAC Up
mCH Hyper gene bodies	ATAC Up	154	341	mCH Hyper gene bodies x ATAC Up
mCH Hyper gene bodies	ATAC Up	155	319	mCH Hyper gene bodies x ATAC Up
mCH Hyper gene bodies	ATAC Up	156	338	mCH Hyper gene bodies x ATAC Up
mCH Hyper gene bodies	ATAC Up	157	335	mCH Hyper gene bodies x ATAC Up
mCH Hyper gene bodies	ATAC Up	158	344	mCH Hyper gene bodies x ATAC Up
mCH Hyper gene bodies	ATAC Up	159	313	mCH Hyper gene bodies x ATAC Up
mCH Hyper gene bodies	ATAC Up	160	335	mCH Hyper gene bodies x ATAC Up
mCH Hyper gene bodies	ATAC Up	161	304	mCH Hyper gene bodies x ATAC Up
mCH Hyper gene bodies	ATAC Up	162	335	mCH Hyper gene bodies x ATAC Up
mCH Hyper gene bodies	ATAC Up	163	345	mCH Hyper gene bodies x ATAC Up
mCH Hyper gene bodies	ATAC Up	164	296	mCH Hyper gene bodies x ATAC Up
mCH Hyper gene bodies	ATAC Up	165	308	mCH Hyper gene bodies x ATAC Up
mCH Hyper gene bodies	ATAC Up	166	345	mCH Hyper gene bodies x ATAC Up
mCH Hyper gene bodies	ATAC Up	167	320	mCH Hyper gene bodies x ATAC Up
mCH Hyper gene bodies	ATAC Up	168	366	mCH Hyper gene bodies x ATAC Up
mCH Hyper gene bodies	ATAC Up	169	369	mCH Hyper gene bodies x ATAC Up
mCH Hyper gene bodies	ATAC Up	170	317	mCH Hyper gene bodies x ATAC Up
mCH Hyper gene bodies	ATAC Up	171	324	mCH Hyper gene bodies x ATAC Up
mCH Hyper gene bodies	ATAC Up	172	303	mCH Hyper gene bodies x ATAC Up
mCH Hyper gene bodies	ATAC Up	173	301	mCH Hyper gene bodies x ATAC Up
mCH Hyper gene bodies	ATAC Up	174	305	mCH Hyper gene bodies x ATAC Up
mCH Hyper gene bodies	ATAC Up	175	365	mCH Hyper gene bodies x ATAC Up
mCH Hyper gene bodies	ATAC Up	176	326	mCH Hyper gene bodies x ATAC Up
mCH Hyper gene bodies	ATAC Up	177	361	mCH Hyper gene bodies x ATAC Up
mCH Hyper gene bodies	ATAC Up	178	381	mCH Hyper gene bodies x ATAC Up
mCH Hyper gene bodies	ATAC Up	179	336	mCH Hyper gene bodies x ATAC Up
mCH Hyper gene bodies	ATAC Up	180	375	mCH Hyper gene bodies x ATAC Up
mCH Hyper gene bodies	ATAC Up	181	359	mCH Hyper gene bodies x ATAC Up
mCH Hyper gene bodies	ATAC Up	182	312	mCH Hyper gene bodies x ATAC Up
mCH Hyper gene bodies	ATAC Up	183	298	mCH Hyper gene bodies x ATAC Up
mCH Hyper gene bodies	ATAC Up	184	289	mCH Hyper gene bodies x ATAC Up
mCH Hyper gene bodies	ATAC Up	185	298	mCH Hyper gene bodies x ATAC Up
mCH Hyper gene bodies	ATAC Up	186	313	mCH Hyper gene bodies x ATAC Up
mCH Hyper gene bodies	ATAC Up	187	350	mCH Hyper gene bodies x ATAC Up
mCH Hyper gene bodies	ATAC Up	188	313	mCH Hyper gene bodies x ATAC Up
mCH Hyper gene bodies	ATAC Up	189	271	mCH Hyper gene bodies x ATAC Up
mCH Hyper gene bodies	ATAC Up	190	324	mCH Hyper gene bodies x ATAC Up
mCH Hyper gene bodies	ATAC Up	191	329	mCH Hyper gene bodies x ATAC Up
mCH Hyper gene bodies	ATAC Up	192	329	mCH Hyper gene bodies x ATAC Up
mCH Hyper gene bodies	ATAC Up	193	339	mCH Hyper gene bodies x ATAC Up
mCH Hyper gene bodies	ATAC Up	194	335	mCH Hyper gene bodies x ATAC Up
mCH Hyper gene bodies	ATAC Up	195	303	mCH Hyper gene bodies x ATAC Up
mCH Hyper gene bodies	ATAC Up	196	330	mCH Hyper gene bodies x ATAC Up
mCH Hyper gene bodies	ATAC Up	197	373	mCH Hyper gene bodies x ATAC Up
mCH Hyper gene bodies	ATAC Up	198	340	mCH Hyper gene bodies x ATAC Up
mCH Hyper gene bodies	ATAC Up	199	345	mCH Hyper gene bodies x ATAC Up
mCH Hyper gene bodies	ATAC Up	200	343	mCH Hyper gene bodies x ATAC Up
mCH Hyper gene bodies	ATAC Up	201	347	mCH Hyper gene bodies x ATAC Up
mCH Hyper gene bodies	ATAC Up	202	309	mCH Hyper gene bodies x ATAC Up
mCH Hyper gene bodies	ATAC Up	203	325	mCH Hyper gene bodies x ATAC Up
mCH Hyper gene bodies	ATAC Up	204	353	mCH Hyper gene bodies x ATAC Up
mCH Hyper gene bodies	ATAC Up	205	313	mCH Hyper gene bodies x ATAC Up
mCH Hyper gene bodies	ATAC Up	206	334	mCH Hyper gene bodies x ATAC Up
mCH Hyper gene bodies	ATAC Up	207	338	mCH Hyper gene bodies x ATAC Up
mCH Hyper gene bodies	ATAC Up	208	314	mCH Hyper gene bodies x ATAC Up
mCH Hyper gene bodies	ATAC Up	209	352	mCH Hyper gene bodies x ATAC Up
mCH Hyper gene bodies	ATAC Up	210	317	mCH Hyper gene bodies x ATAC Up
mCH Hyper gene bodies	ATAC Up	211	351	mCH Hyper gene bodies x ATAC Up
mCH Hyper gene bodies	ATAC Up	212	363	mCH Hyper gene bodies x ATAC Up
mCH Hyper gene bodies	ATAC Up	213	351	mCH Hyper gene bodies x ATAC Up
mCH Hyper gene bodies	ATAC Up	214	269	mCH Hyper gene bodies x ATAC Up
mCH Hyper gene bodies	ATAC Up	215	370	mCH Hyper gene bodies x ATAC Up
mCH Hyper gene bodies	ATAC Up	216	323	mCH Hyper gene bodies x ATAC Up
mCH Hyper gene bodies	ATAC Up	217	294	mCH Hyper gene bodies x ATAC Up
mCH Hyper gene bodies	ATAC Up	218	376	mCH Hyper gene bodies x ATAC Up
mCH Hyper gene bodies	ATAC Up	219	359	mCH Hyper gene bodies x ATAC Up
mCH Hyper gene bodies	ATAC Up	220	320	mCH Hyper gene bodies x ATAC Up
mCH Hyper gene bodies	ATAC Up	221	299	mCH Hyper gene bodies x ATAC Up
mCH Hyper gene bodies	ATAC Up	222	322	mCH Hyper gene bodies x ATAC Up
mCH Hyper gene bodies	ATAC Up	223	321	mCH Hyper gene bodies x ATAC Up
mCH Hyper gene bodies	ATAC Up	224	348	mCH Hyper gene bodies x ATAC Up
mCH Hyper gene bodies	ATAC Up	225	356	mCH Hyper gene bodies x ATAC Up
mCH Hyper gene bodies	ATAC Up	226	326	mCH Hyper gene bodies x ATAC Up
mCH Hyper gene bodies	ATAC Up	227	273	mCH Hyper gene bodies x ATAC Up
mCH Hyper gene bodies	ATAC Up	228	370	mCH Hyper gene bodies x ATAC Up
mCH Hyper gene bodies	ATAC Up	229	320	mCH Hyper gene bodies x ATAC Up
mCH Hyper gene bodies	ATAC Up	230	311	mCH Hyper gene bodies x ATAC Up
mCH Hyper gene bodies	ATAC Up	231	348	mCH Hyper gene bodies x ATAC Up
mCH Hyper gene bodies	ATAC Up	232	349	mCH Hyper gene bodies x ATAC Up
mCH Hyper gene bodies	ATAC Up	233	326	mCH Hyper gene bodies x ATAC Up
mCH Hyper gene bodies	ATAC Up	234	269	mCH Hyper gene bodies x ATAC Up
mCH Hyper gene bodies	ATAC Up	235	422	mCH Hyper gene bodies x ATAC Up
mCH Hyper gene bodies	ATAC Up	236	293	mCH Hyper gene bodies x ATAC Up
mCH Hyper gene bodies	ATAC Up	237	368	mCH Hyper gene bodies x ATAC Up
mCH Hyper gene bodies	ATAC Up	238	328	mCH Hyper gene bodies x ATAC Up
mCH Hyper gene bodies	ATAC Up	239	345	mCH Hyper gene bodies x ATAC Up
mCH Hyper gene bodies	ATAC Up	240	282	mCH Hyper gene bodies x ATAC Up
mCH Hyper gene bodies	ATAC Up	241	332	mCH Hyper gene bodies x ATAC Up
mCH Hyper gene bodies	ATAC Up	242	353	mCH Hyper gene bodies x ATAC Up
mCH Hyper gene bodies	ATAC Up	243	328	mCH Hyper gene bodies x ATAC Up
mCH Hyper gene bodies	ATAC Up	244	328	mCH Hyper gene bodies x ATAC Up
mCH Hyper gene bodies	ATAC Up	245	355	mCH Hyper gene bodies x ATAC Up
mCH Hyper gene bodies	ATAC Up	246	340	mCH Hyper gene bodies x ATAC Up
mCH Hyper gene bodies	ATAC Up	247	387	mCH Hyper gene bodies x ATAC Up
mCH Hyper gene bodies	ATAC Up	248	272	mCH Hyper gene bodies x ATAC Up
mCH Hyper gene bodies	ATAC Up	249	316	mCH Hyper gene bodies x ATAC Up
mCH Hyper gene bodies	ATAC Up	250	315	mCH Hyper gene bodies x ATAC Up
mCH Hyper gene bodies	ATAC Up	251	295	mCH Hyper gene bodies x ATAC Up
mCH Hyper gene bodies	ATAC Up	252	300	mCH Hyper gene bodies x ATAC Up
mCH Hyper gene bodies	ATAC Up	253	324	mCH Hyper gene bodies x ATAC Up
mCH Hyper gene bodies	ATAC Up	254	334	mCH Hyper gene bodies x ATAC Up
mCH Hyper gene bodies	ATAC Up	255	318	mCH Hyper gene bodies x ATAC Up
mCH Hyper gene bodies	ATAC Up	256	339	mCH Hyper gene bodies x ATAC Up
mCH Hyper gene bodies	ATAC Up	257	338	mCH Hyper gene bodies x ATAC Up
mCH Hyper gene bodies	ATAC Up	258	289	mCH Hyper gene bodies x ATAC Up
mCH Hyper gene bodies	ATAC Up	259	332	mCH Hyper gene bodies x ATAC Up
mCH Hyper gene bodies	ATAC Up	260	337	mCH Hyper gene bodies x ATAC Up
mCH Hyper gene bodies	ATAC Up	261	298	mCH Hyper gene bodies x ATAC Up
mCH Hyper gene bodies	ATAC Up	262	313	mCH Hyper gene bodies x ATAC Up
mCH Hyper gene bodies	ATAC Up	263	347	mCH Hyper gene bodies x ATAC Up
mCH Hyper gene bodies	ATAC Up	264	383	mCH Hyper gene bodies x ATAC Up
mCH Hyper gene bodies	ATAC Up	265	341	mCH Hyper gene bodies x ATAC Up
mCH Hyper gene bodies	ATAC Up	266	354	mCH Hyper gene bodies x ATAC Up
mCH Hyper gene bodies	ATAC Up	267	309	mCH Hyper gene bodies x ATAC Up
mCH Hyper gene bodies	ATAC Up	268	279	mCH Hyper gene bodies x ATAC Up
mCH Hyper gene bodies	ATAC Up	269	338	mCH Hyper gene bodies x ATAC Up
mCH Hyper gene bodies	ATAC Up	270	334	mCH Hyper gene bodies x ATAC Up
mCH Hyper gene bodies	ATAC Up	271	332	mCH Hyper gene bodies x ATAC Up
mCH Hyper gene bodies	ATAC Up	272	329	mCH Hyper gene bodies x ATAC Up
mCH Hyper gene bodies	ATAC Up	273	330	mCH Hyper gene bodies x ATAC Up
mCH Hyper gene bodies	ATAC Up	274	326	mCH Hyper gene bodies x ATAC Up
mCH Hyper gene bodies	ATAC Up	275	382	mCH Hyper gene bodies x ATAC Up
mCH Hyper gene bodies	ATAC Up	276	339	mCH Hyper gene bodies x ATAC Up
mCH Hyper gene bodies	ATAC Up	277	409	mCH Hyper gene bodies x ATAC Up
mCH Hyper gene bodies	ATAC Up	278	432	mCH Hyper gene bodies x ATAC Up
mCH Hyper gene bodies	ATAC Up	279	300	mCH Hyper gene bodies x ATAC Up
mCH Hyper gene bodies	ATAC Up	280	348	mCH Hyper gene bodies x ATAC Up
mCH Hyper gene bodies	ATAC Up	281	373	mCH Hyper gene bodies x ATAC Up
mCH Hyper gene bodies	ATAC Up	282	321	mCH Hyper gene bodies x ATAC Up
mCH Hyper gene bodies	ATAC Up	283	387	mCH Hyper gene bodies x ATAC Up
mCH Hyper gene bodies	ATAC Up	284	333	mCH Hyper gene bodies x ATAC Up
mCH Hyper gene bodies	ATAC Up	285	316	mCH Hyper gene bodies x ATAC Up
mCH Hyper gene bodies	ATAC Up	286	325	mCH Hyper gene bodies x ATAC Up
mCH Hyper gene bodies	ATAC Up	287	326	mCH Hyper gene bodies x ATAC Up
mCH Hyper gene bodies	ATAC Up	288	348	mCH Hyper gene bodies x ATAC Up
mCH Hyper gene bodies	ATAC Up	289	345	mCH Hyper gene bodies x ATAC Up
mCH Hyper gene bodies	ATAC Up	290	300	mCH Hyper gene bodies x ATAC Up
mCH Hyper gene bodies	ATAC Up	291	289	mCH Hyper gene bodies x ATAC Up
mCH Hyper gene bodies	ATAC Up	292	320	mCH Hyper gene bodies x ATAC Up
mCH Hyper gene bodies	ATAC Up	293	325	mCH Hyper gene bodies x ATAC Up
mCH Hyper gene bodies	ATAC Up	294	308	mCH Hyper gene bodies x ATAC Up
mCH Hyper gene bodies	ATAC Up	295	306	mCH Hyper gene bodies x ATAC Up
mCH Hyper gene bodies	ATAC Up	296	310	mCH Hyper gene bodies x ATAC Up
mCH Hyper gene bodies	ATAC Up	297	321	mCH Hyper gene bodies x ATAC Up
mCH Hyper gene bodies	ATAC Up	298	394	mCH Hyper gene bodies x ATAC Up
mCH Hyper gene bodies	ATAC Up	299	306	mCH Hyper gene bodies x ATAC Up
mCH Hyper gene bodies	ATAC Up	300	327	mCH Hyper gene bodies x ATAC Up
mCH Hyper gene bodies	ATAC Up	301	330	mCH Hyper gene bodies x ATAC Up
mCH Hyper gene bodies	ATAC Up	302	330	mCH Hyper gene bodies x ATAC Up
mCH Hyper gene bodies	ATAC Up	303	306	mCH Hyper gene bodies x ATAC Up
mCH Hyper gene bodies	ATAC Up	304	356	mCH Hyper gene bodies x ATAC Up
mCH Hyper gene bodies	ATAC Up	305	344	mCH Hyper gene bodies x ATAC Up
mCH Hyper gene bodies	ATAC Up	306	334	mCH Hyper gene bodies x ATAC Up
mCH Hyper gene bodies	ATAC Up	307	296	mCH Hyper gene bodies x ATAC Up
mCH Hyper gene bodies	ATAC Up	308	338	mCH Hyper gene bodies x ATAC Up
mCH Hyper gene bodies	ATAC Up	309	324	mCH Hyper gene bodies x ATAC Up
mCH Hyper gene bodies	ATAC Up	310	310	mCH Hyper gene bodies x ATAC Up
mCH Hyper gene bodies	ATAC Up	311	299	mCH Hyper gene bodies x ATAC Up
mCH Hyper gene bodies	ATAC Up	312	323	mCH Hyper gene bodies x ATAC Up
mCH Hyper gene bodies	ATAC Up	313	310	mCH Hyper gene bodies x ATAC Up
mCH Hyper gene bodies	ATAC Up	314	267	mCH Hyper gene bodies x ATAC Up
mCH Hyper gene bodies	ATAC Up	315	334	mCH Hyper gene bodies x ATAC Up
mCH Hyper gene bodies	ATAC Up	316	325	mCH Hyper gene bodies x ATAC Up
