section	test_id	description	alist_set	blist_set	universe	row_var	col_var	n_genes	n_row_true	n_col_true	n_both_true	pct_overlap_in_row	pct_overlap_out_row	odds_ratio	ci_lower	ci_upper	p_value	q_value	sig_label
40_01	hyper_vs_hypo_x_k119ub_lost	Among mCH-significant genes, do hypermethylated bodies overlap K119ub Lost peaks more than hypomethylated bodies?	Significant genes	K119ub Lost	mCH-significant genes	mch_hyper	ov_k119ub_lost	5551	641	1239	45	7.02028081123245	24.3177189409369	0.235000437041666	0.168367351401248	0.321024062280632	6.60391551698758e-28	1.05662648271801e-27	***
40_01	hyper_x_k27ac_gained	Do mCH hypermethylated gene bodies overlap K27ac Gained peaks more than other tested genes?	mCH Hyper gene bodies	K27ac Gained	All tested genes	mch_hyper	ov_k27ac_gained	21072	641	1768	52	8.11232449297972	8.39900151730214	0.962854612882557	0.707635828990418	1.28601723541097	0.884870005360314	0.884870005360314	ns
40_01	hypo_x_k27ac_gained	Do mCH hypomethylated gene bodies overlap K27ac Gained peaks more than other tested genes?	mCH Hypo gene bodies	K27ac Gained	All tested genes	mch_hypo	ov_k27ac_gained	21072	4910	1768	1018	20.7331975560081	4.64051478777379	5.37437241914	4.85419633670936	5.95221390232653	2.88362529896487e-233	1.73017517937892e-232	***
40_01	hyper_vs_hypo_x_k27ac_gained	Among mCH-significant genes, do hypermethylated bodies overlap K27ac Gained peaks more than hypomethylated bodies?	Significant genes	K27ac Gained	mCH-significant genes	mch_hyper	ov_k27ac_gained	5551	641	1070	52	8.11232449297972	20.7331975560081	0.337607775807901	0.247101147115153	0.452947180060139	1.66392007259327e-16	2.34906363189638e-16	***
40_01	hyper_x_k27ac_lost	Do mCH hypermethylated gene bodies overlap K27ac Lost peaks more than other tested genes?	mCH Hyper gene bodies	K27ac Lost	All tested genes	mch_hyper	ov_k27ac_lost	21072	641	1961	360	56.1622464898596	7.83613136899809	15.0597422482324	12.7415751813553	17.8183899944826	2.02273621386792e-206	8.09094485547168e-206	***
40_01	hypo_x_k27ac_lost	Do mCH hypomethylated gene bodies overlap K27ac Lost peaks more than other tested genes?	mCH Hypo gene bodies	K27ac Lost	All tested genes	mch_hypo	ov_k27ac_lost	21072	4910	1961	568	11.5682281059063	8.61898279915852	1.38691920791232	1.24850693918828	1.53918236267906	1.09106687929203e-09	1.45475583905604e-09	***
40_01	hyper_vs_hypo_x_k27ac_lost	Among mCH-significant genes, do hypermethylated bodies overlap K27ac Lost peaks more than hypomethylated bodies?	Significant genes	K27ac Lost	mCH-significant genes	mch_hyper	ov_k27ac_lost	5551	641	928	360	56.1622464898596	11.5682281059063	9.78933551827298	8.1539643130636	11.759084679515	1.57212666852299e-135	3.77310400445517e-135	***
40_01	hyper_x_mecp2_up	Do mCH hypermethylated gene bodies overlap MeCP2 Up peaks more than other tested genes?	mCH Hyper gene bodies	MeCP2 Up	All tested genes	mch_hyper	ov_mecp2_up	21072	641	848	398	62.0904836193448	2.20253536292888	72.5489967736366	60.2387608344925	87.9257983530455	0	0	***
40_01	hypo_x_mecp2_up	Do mCH hypomethylated gene bodies overlap MeCP2 Up peaks more than other tested genes?	mCH Hypo gene bodies	MeCP2 Up	All tested genes	mch_hypo	ov_mecp2_up	21072	4910	848	145	2.95315682281059	4.34970919440663	0.6691928522279	0.554070009562362	0.80373428723549	8.71615677039603e-06	1.04593881244752e-05	***
40_01	hyper_vs_hypo_x_mecp2_up	Among mCH-significant genes, do hypermethylated bodies overlap MeCP2 Up peaks more than hypomethylated bodies?	Significant genes	MeCP2 Up	mCH-significant genes	mch_hyper	ov_mecp2_up	5551	641	543	398	62.0904836193448	2.95315682281059	53.6516588846728	42.531893354812	68.2390239784399	1.91864351683908e-305	2.30237222020689e-304	***
40_01	hyper_x_mecp2_down	Do mCH hypermethylated gene bodies overlap MeCP2 Down peaks more than other tested genes?	mCH Hyper gene bodies	MeCP2 Down	All tested genes	mch_hyper	ov_mecp2_down	21072	641	450	16	2.49609984399376	2.12422299446919	1.17953519847575	0.663970253510076	1.95313268736229	0.487097410414861	0.508275558693768	ns
40_01	hypo_x_mecp2_down	Do mCH hypomethylated gene bodies overlap MeCP2 Down peaks more than other tested genes?	mCH Hypo gene bodies	MeCP2 Down	All tested genes	mch_hypo	ov_mecp2_down	21072	4910	450	357	7.27087576374745	0.57542383368395	13.5446701313426	10.7255869768067	17.2565180991173	8.55884928761052e-143	2.28235981002947e-142	***
40_01	hyper_vs_hypo_x_mecp2_down	Among mCH-significant genes, do hypermethylated bodies overlap MeCP2 Down peaks more than hypomethylated bodies?	Significant genes	MeCP2 Down	mCH-significant genes	mch_hyper	ov_mecp2_down	5551	641	373	16	2.49609984399376	7.27087576374745	0.326533121188089	0.183339973357492	0.542397170273819	5.78873157547494e-07	7.31208199007361e-07	***
