"peak_id","h2a_Fold","h2a_FDR","SYMBOL"
"h2a_peak_174",-0.122222867,0.55157936,"Speg"
"h2a_peak_176",-0.148661877,0.419493966,"Fam78b"
"h2a_peak_180",-0.165559371,0.354281127,"Epha4"
"h2a_peak_185",1.308426197,1.21e-13,"Pappa2"
"h2a_peak_186",0.799283933,4.78e-05,"Ikzf2"
"h2a_peak_189",1.111277218,1.87e-11,"Pappa2"
"h2a_peak_190",-0.026004038,0.891643711,"Mroh3"
"h2a_peak_190",-0.026004038,0.891643711,"Inava"
"h2a_peak_191",0.343803818,0.050686702,"Astn1"
"h2a_peak_193",-0.596766153,0.001035575,"Tns1"
"h2a_peak_195",-0.200630619,0.299537277,"Bcl2"
"h2a_peak_196",0.067967578,0.723054516,"Catip"
"h2a_peak_197",-0.625490931,0.020204447,"Syt2"
"h2a_peak_199",-0.114348396,0.555852525,"Tmcc2"
"h2a_peak_201",-0.077216453,0.685917695,"Nckap5"
"h2a_peak_202",-0.517066392,0.001699462,"Ankrd44"
"h2a_peak_203",-0.612353842,0.001928908,"Gm29427"
"h2a_peak_203",-0.612353842,0.001928908,"Pfkfb2"
"h2a_peak_204",-0.506652093,0.002377508,"Plekha6"
"h2a_peak_206",-0.139356013,0.413996561,"Aff3"
"h2a_peak_208",-0.277700634,0.133959834,"Itpkb"
"h2a_peak_209",-0.363498865,0.039022059,"Chst10"
"h2a_peak_212",0.308528391,0.082845981,"Chst10"
"h2a_peak_220",-0.15235336,0.363474476,"Nfasc"
"h2a_peak_221",-0.62391753,0.000225589,"Rab17"
"h2a_peak_223",-0.556283854,0.001165561,"Hdac4"
"h2a_peak_224",0.730086768,1.13e-05,"Ogfrl1"
"h2a_peak_225",0.129439982,0.514838546,"Tnr"
"h2a_peak_226",-0.309611207,0.053287325,"Pkp1"
"h2a_peak_228",-0.005504902,0.979689346,"Sox13"
"h2a_peak_231",-0.162997885,0.337008461,"Lhx4"
"h2a_peak_234",-0.05024841,0.800657032,"Pkp1"
"h2a_peak_235",-0.319488777,0.079863432,"Igfbp2"
"h2a_peak_238",0.015689051,0.938393932,"Ino80d"
"h2a_peak_240",-0.517911452,0.001955877,"Ankrd44"
"h2a_peak_243",-0.221996405,0.190789139,"Pbx1"
"h2a_peak_244",0.302929135,0.066881288,"Rasal2"
"h2a_peak_245",-0.152419991,0.362912854,"Mfsd4a"
"h2a_peak_246",0.390437676,0.01950031,"Cntnap5b"
"h2a_peak_249",0.560729179,0.000529233,"Smyd3"
"h2a_peak_252",-0.491577649,0.009200738,"Lmod1"
"h2a_peak_256",0.139186217,0.452004747,"Tnr"
"h2a_peak_257",0.028642139,0.893967498,"Smyd3"
"h2a_peak_263",0.754026458,6.22e-06,"Rhbdd1"
"h2a_peak_264",-0.716953479,8.71e-05,"Plekha6"
"h2a_peak_268",-0.234339497,0.165341992,"Rcsd1"
"h2a_peak_269",-0.133919864,0.477959089,"Tnr"
"h2a_peak_271",0.769128312,6.11e-06,"Dnm3"
"h2a_peak_272",-0.540954072,0.000726246,"Plekha6"
"h2a_peak_274",-0.459239773,0.006341665,"Speg"
"h2a_peak_275",-0.206714776,0.262842732,"Cacna1e"
"h2a_peak_276",-0.094206481,0.740051803,"Adam23"
"h2a_peak_278",-0.645391124,0.000144451,"Mpp4"
"h2a_peak_278",-0.645391124,0.000144451,"Als2"
"h2a_peak_279",1.517296977,2.24e-19,"Pam"
"h2a_peak_281",-0.093292755,0.57407965,"1700025G04Rik"
"h2a_peak_283",-0.131442661,0.505366804,"Tram2"
"h2a_peak_285",-0.106489388,0.552700474,"Aff3"
"h2a_peak_286",0.220777633,0.228912557,"Catspere2"
"h2a_peak_287",0.860326542,3.68e-07,"Erbb4"
"h2a_peak_288",0.006783089,0.971287047,"Fam129a"
"h2a_peak_289",0.453720138,0.010313229,"Erbb4"
"h2a_peak_290",1.260957655,5.98e-16,"Ankrd45"
"h2a_peak_294",1.497346589,5.04e-18,"Esrrg"
"h2a_peak_295",0.595393521,0.001001898,"Pappa2"
"h2a_peak_297",1.317355691,5.06e-14,"Pappa2"
"h2a_peak_298",-0.155059986,0.336928046,"Rab7b"
"h2a_peak_300",-0.734165368,0.000106459,"Plekha6"
"h2a_peak_302",-0.694685283,3.4e-05,"Syt2"
"h2a_peak_304",-0.141422606,0.425745089,"Ngef"
"h2a_peak_304",-0.141422606,0.425745089,"Neu2"
"h2a_peak_307",0.010819213,0.957628691,"Dis3l2"
"h2a_peak_308",-0.279547809,0.090439808,"Ankrd44"
"h2a_peak_309",0.26041123,0.150948427,"Lmx1a"
"h2a_peak_310",1.424063351,2.53e-17,"Esrrg"
"h2a_peak_312",0.358009592,0.031955849,"Khdrbs2"
"h2a_peak_313",-0.154451009,0.363737293,"Tnr"
"h2a_peak_314",0.29442458,0.062787218,"Atf3"
"h2a_peak_316",-0.181277012,0.355744916,"Dis3l2"
"h2a_peak_319",-0.230199093,0.155507173,"Igsf8"
"h2a_peak_321",-0.257838925,0.15716271,"Tagln2"
"h2a_peak_324",-0.358413916,0.024404504,"Nyap2"
"h2a_peak_325",0.343597205,0.021152896,"Scg2"
"h2a_peak_327",0.076451964,0.673484577,"Ildr2"
"h2a_peak_328",0.758885546,4.22e-06,"Dnm3"
"h2a_peak_329",-0.252755303,0.119119717,"Iqca"
"h2a_peak_330",0.534824146,0.00094075,"Erbb4"
"h2a_peak_331",0.3998395,0.007393487,"Col19a1"
"h2a_peak_334",0.590255979,0.000225424,"Pid1"
"h2a_peak_337",0.10062784,0.557358344,"Cfap45"
"h2a_peak_338",-0.005446325,0.977155543,"Coq8a"
"h2a_peak_339",0.675542394,9.36e-05,"Erbb4"
"h2a_peak_340",0.445323236,0.006644506,"Phlpp1"
"h2a_peak_341",0.01119991,0.956191212,"Adora1"
"h2a_peak_343",-0.280862182,0.109665881,"Itpkb"
"h2a_peak_346",-0.150709914,0.363699696,"Pappa2"
"h2a_peak_351",0.390446511,0.016583276,"Esrrg"
"h2a_peak_352",-0.092841955,0.625004161,"Cd247"
"h2a_peak_354",0.956808419,1.38e-07,"Fam174a"
"h2a_peak_355",0.004916133,0.980928574,"Gli2"
"h2a_peak_359",-0.33306775,0.050324265,"Agxt"
"h2a_peak_360",0.19025765,0.237099845,"Olfml2b"
"h2a_peak_363",0.342348669,0.037648881,"Cd28"
"h2a_peak_364",0.330946013,0.029212389,"Cdh20"
"h2a_peak_365",0.591366446,0.000712704,"Tbx19"
"h2a_peak_366",0.14543557,0.416502274,"Tns1"
"h2a_peak_367",-0.488958554,0.002307007,"Colgalt2"
"h2a_peak_368",-0.243286368,0.151983453,"Agap1"
"h2a_peak_372",0.04503628,0.815715715,"Cps1"
"h2a_peak_378",-0.649161599,0.000122633,"Asb1"
"h2a_peak_379",0.53632813,0.001208069,"Nme7"
"h2a_peak_381",0.904187548,5.18e-07,"Col9a1"
"h2a_peak_386",-0.699575282,8.72e-06,"Plekha6"
"h2a_peak_387",0.063921652,0.831596363,"Zfp142"
"h2a_peak_387",0.063921652,0.831596363,"Bcs1l"
"h2a_peak_388",-0.237550701,0.1352643,"Agap1"
"h2a_peak_389",-0.622822999,5.57e-05,"Atp6v1g3"
"h2a_peak_391",0.319766008,0.034267851,"Kcnb2"
"h2a_peak_392",-0.187632866,0.230666761,"Susd4"
"h2a_peak_393",0.412931609,0.011317696,"Pth2r"
"h2a_peak_394",-0.414645301,0.031570426,"Fn1"
"h2a_peak_397",0.886341865,1.03e-07,"Pard3b"
"h2a_peak_399",-0.278117407,0.085383008,"Elk4"
"h2a_peak_399",-0.278117407,0.085383008,"Mfsd4a"
"h2a_peak_400",-0.25055304,0.147352822,"Zdbf2"
"h2a_peak_401",0.213793328,0.263081958,"Rabgap1l"
"h2a_peak_402",-0.198429152,0.241508595,"Nos1ap"
"h2a_peak_402",-0.198429152,0.241508595,"Spata46"
"h2a_peak_404",-0.130988578,0.419497794,"Vash2"
"h2a_peak_408",-0.37466625,0.017575312,"Asb18"
"h2a_peak_410",1.440516722,6.08e-19,"Lamb3"
"h2a_peak_411",-0.450350497,0.005424685,"Nfasc"
"h2a_peak_412",-0.027329858,0.883427269,"Rasal2"
"h2a_peak_414",-0.068827162,0.689317481,"Plxna2"
"h2a_peak_415",0.87578783,6.45e-08,"Erbb4"
"h2a_peak_416",1.77346252,3.96e-25,"Col9a1"
"h2a_peak_417",1.154125931,1.06e-11,"Nckap5"
"h2a_peak_419",-0.650777742,0.00019821,"Lonrf2"
"h2a_peak_421",-0.117524865,0.495571114,"Slc45a3"
"h2a_peak_423",0.316374347,0.04273031,"Esrrg"
"h2a_peak_427",-0.457398262,0.008345873,"Hdac4"
"h2a_peak_431",0.720887637,4.47e-06,"St18"
"h2a_peak_432",0.533030075,0.00105915,"Cdh20"
"h2a_peak_433",0.509660686,0.001745064,"Dnm3"
"h2a_peak_435",0.61584539,9.39e-05,"Aox1"
"h2a_peak_436",0.027984525,0.900593536,"Dnah14"
"h2a_peak_437",-0.458982231,0.004299644,"Kcnq5"
"h2a_peak_440",-0.442769384,0.003239529,"Nmnat2"
"h2a_peak_444",0.115319107,0.510503256,"Slc26a9"
"h2a_peak_445",-0.347527822,0.032299398,"Lefty2"
"h2a_peak_446",0.216994156,0.185537205,"Stx6"
"h2a_peak_451",0.741862475,7.85e-05,"Pappa2"
"h2a_peak_452",-0.286741324,0.079189934,"Rassf5"
"h2a_peak_457",-0.424876938,0.008587118,"Zap70"
"h2a_peak_460",-0.041080839,0.825139345,"Cd55b"
"h2a_peak_462",0.048574503,0.789584738,"Brinp2"
"h2a_peak_463",0.596623553,0.000571911,"Dner"
"h2a_peak_466",-0.398760813,0.019322913,"Pbx1"
"h2a_peak_468",-0.164028769,0.28454337,"Capn8"
"h2a_peak_469",-0.364285623,0.015775513,"Pnkd"
"h2a_peak_469",-0.364285623,0.015775513,"Tmbim1"
"h2a_peak_472",-0.20071864,0.224213222,"Plxna2"
"h2a_peak_473",0.817882625,6.88e-08,"Ogfrl1"
"h2a_peak_475",1.404448469,2.54e-13,"Tmeff2"
"h2a_peak_477",0.009687861,0.96336343,"Asic4"
"h2a_peak_479",0.448112455,0.007085876,"Gpatch2"
"h2a_peak_480",0.16359312,0.314334159,"Erbb4"
"h2a_peak_482",-0.112842956,0.484415297,"4933424G06Rik"
"h2a_peak_483",-0.187312124,0.320367297,"Tns1"
"h2a_peak_484",0.271909484,0.089651436,"Hdlbp"
"h2a_peak_484",0.271909484,0.089651436,"Septin2"
"h2a_peak_484",0.271909484,0.089651436,"Septin2"
"h2a_peak_486",0.472589103,0.007878396,"Tpp2"
"h2a_peak_487",-0.313843119,0.044910912,"Rgl1"
"h2a_peak_488",-0.485976447,0.005411172,"Myo1b"
"h2a_peak_489",-0.40201302,0.018888796,"Slc45a3"
"h2a_peak_491",0.694601742,7.77e-06,"Dnm3"
"h2a_peak_492",-0.227103752,0.169866403,"Hs6st1"
"h2a_peak_494",-0.302666907,0.043466674,"Plxna2"
"h2a_peak_495",-0.254268279,0.09388237,"Pacc1"
"h2a_peak_496",0.080329547,0.640402165,"Sec16b"
"h2a_peak_498",-0.183641102,0.236254919,"Kcnh1"
"h2a_peak_499",1.020002373,2.84e-09,"Fam78b"
"h2a_peak_501",-0.387248607,0.018177115,"Gpc1"
"h2a_peak_503",1.047645455,1.65e-09,"Erbb4"
"h2a_peak_505",0.335532273,0.046100824,"Cyb5r1"
"h2a_peak_506",-0.087551331,0.614647798,"Etnk2"
"h2a_peak_508",-0.005757998,0.977125994,"Uck2"
"h2a_peak_510",1.016974814,6.27e-09,"Cntnap5a"
"h2a_peak_511",-0.133815686,0.472272226,"Tns1"
"h2a_peak_512",-0.003908802,0.98252803,"Pbx1"
"h2a_peak_513",-0.346898217,0.035178783,"2810459M11Rik"
"h2a_peak_516",-0.370975717,0.021994107,"Cacna1e"
"h2a_peak_519",0.818473752,1.14e-06,"Thsd7b"
"h2a_peak_520",-0.048663076,0.767041983,"Rasal2"
"h2a_peak_521",0.389413857,0.010918568,"F5"
"h2a_peak_522",0.664535231,1.36e-05,"Erbb4"
"h2a_peak_523",0.42493628,0.005340002,"St18"
"h2a_peak_524",0.823900424,8.08e-08,"Cdh20"
"h2a_peak_525",0.242126487,0.21161889,"Rpl31"
"h2a_peak_527",0.053371313,0.749124691,"Kcne4"
"h2a_peak_528",-0.676643927,4.96e-05,"Uxs1"
"h2a_peak_531",0.008121614,0.964357583,"Gm973"
"h2a_peak_531",0.008121614,0.964357583,"Sumo1"
"h2a_peak_533",0.418001458,0.008343413,"Esrrg"
"h2a_peak_534",-0.253016819,0.095819228,"Espnl"
"h2a_peak_537",-0.10554451,0.57809777,"Susd4"
"h2a_peak_539",-0.360464584,0.02695003,"Sh3bp4"
"h2a_peak_545",0.191254572,0.274998734,"Lmx1a"
"h2a_peak_548",0.429860326,0.006858304,"Trpm8"
"h2a_peak_549",0.760795536,4.14e-07,"Ccdc190"
"h2a_peak_550",0.715446376,0.010071295,"Gm37988"
"h2a_peak_550",0.715446376,0.010071295,"Tcea1"
"h2a_peak_551",-0.292543477,0.076297259,"Tnnt2"
"h2a_peak_552",0.71369021,0.000102779,"Brinp3"
"h2a_peak_553",0.033516363,0.85798327,"Epha4"
"h2a_peak_554",-0.415610651,0.00376125,"Slc45a3"
"h2a_peak_555",-0.44344975,0.00465999,"Zbtb18"
"h2a_peak_556",0.823880717,4.97e-08,"Aox4"
"h2a_peak_557",-0.301147403,0.068198866,"Marchf4"
"h2a_peak_560",-0.258447419,0.099019317,"Etnk2"
"h2a_peak_561",0.550860878,0.000149771,"Pnkd"
"h2a_peak_564",-0.621160912,3.66e-05,"Dst"
"h2a_peak_565",-0.459910072,0.00406545,"Angel2"
"h2a_peak_567",-0.147752322,0.337828454,"Lgr6"
"h2a_peak_569",0.962830757,8.26e-09,"1700025G04Rik"
"h2a_peak_571",0.151666647,0.355049636,"Cnih3"
"h2a_peak_575",-0.071286661,0.695129305,"Kif26b"
"h2a_peak_577",-0.140972857,0.402081679,"Aox2"
"h2a_peak_579",0.442693798,0.007905306,"Eya1"
"h2a_peak_580",-0.553417085,0.000525811,"Mlph"
"h2a_peak_581",-0.334324522,0.025696413,"Prkag3"
"h2a_peak_582",-0.373907283,0.009823548,"Cd247"
"h2a_peak_584",1.988614831,2.21e-31,"Lamb3"
"h2a_peak_586",0.614534888,0.000144641,"Tgfbrap1"
"h2a_peak_587",-0.011183989,0.953868622,"Rgl1"
"h2a_peak_588",-0.747430276,2.89e-06,"Colgalt2"
"h2a_peak_591",0.909227212,1.65e-08,"Mtarc2"
"h2a_peak_593",0.681052811,3.09e-05,"Col19a1"
"h2a_peak_594",0.053732707,0.786623551,"Lgr6"
"h2a_peak_595",-0.051501797,0.796267792,"Prim2"
"h2a_peak_596",1.396425411,5.18e-15,"Col19a1"
"h2a_peak_597",0.990719208,6.99e-11,"Sdccag8"
"h2a_peak_599",0.011485785,0.948025797,"Mr1"
"h2a_peak_601",0.521259669,0.000610027,"Rabgap1l"
"h2a_peak_603",0.300144841,0.044016996,"Dennd1b"
"h2a_peak_604",-0.111580298,0.47228008,"Nck2"
"h2a_peak_605",1.95123527,6.21e-32,"Cntnap5a"
"h2a_peak_606",1.81812194,5.32e-24,"Cntnap5a"
"h2a_peak_607",0.447096943,0.018514754,"Ccdc115"
"h2a_peak_607",0.447096943,0.018514754,"Imp4"
"h2a_peak_610",-0.544388841,0.000218768,"Ren1"
"h2a_peak_614",-0.062724211,0.699819071,"Rps6kc1"
"h2a_peak_616",-0.116255981,0.528421021,"Mpz"
"h2a_peak_617",0.167729474,0.364252973,"Dnm3"
"h2a_peak_618",0.112814763,0.505701846,"Kcnb2"
"h2a_peak_620",0.037830012,0.819472749,"Dis3l2"
"h2a_peak_621",0.174449459,0.312548256,"Nckap5"
"h2a_peak_622",0.216042009,0.16676942,"Acadl"
"h2a_peak_626",-0.066734982,0.699052008,"Fmod"
"h2a_peak_628",0.315213219,0.05700096,"Hecw2"
"h2a_peak_630",-0.204231454,0.194009163,"Nuak2"
"h2a_peak_632",0.244478985,0.204948962,"Odr4"
"h2a_peak_632",0.244478985,0.204948962,"Tpr"
"h2a_peak_633",-0.127686628,0.501643341,"Serpine2"
"h2a_peak_634",0.193677793,0.234891505,"Ncoa2"
"h2a_peak_636",-0.10390517,0.504848472,"Cnst"
"h2a_peak_637",-0.330492541,0.022784303,"Tnr"
"h2a_peak_638",0.765096101,1.37e-05,"Tmem131"
"h2a_peak_640",0.816479999,2.2e-06,"Armc9"
"h2a_peak_642",0.173371211,0.298122898,"Nfasc"
"h2a_peak_644",-0.478989987,0.003868608,"Colgalt2"
"h2a_peak_645",0.86109143,8.4e-08,"Pappa2"
"h2a_peak_648",0.187914851,0.267479407,"Kcnk2"
"h2a_peak_650",0.281370573,0.116848284,"Inpp4a"
"h2a_peak_652",-0.176830874,0.316774931,"Cnih3"
"h2a_peak_654",-0.030669298,0.858313068,"Optc"
"h2a_peak_655",0.422261266,0.012796451,"Tnfsf18"
"h2a_peak_657",1.632337825,6.36e-24,"Pms1"
"h2a_peak_658",0.489749651,0.001573912,"Aff3"
"h2a_peak_659",0.865031011,1.03e-07,"Nckap5"
"h2a_peak_660",0.621939903,0.000170801,"Pappa2"
"h2a_peak_662",-0.352191407,0.023591648,"Stat4"
"h2a_peak_663",-0.18528118,0.2689126,"Rnf152"
"h2a_peak_666",-0.048576926,0.791619116,"Gli2"
"h2a_peak_667",0.701416955,3.87e-06,"4931428L18Rik"
"h2a_peak_667",0.701416955,3.87e-06,"Lgsn"
"h2a_peak_670",0.413237105,0.011729822,"Gm973"
"h2a_peak_670",0.413237105,0.011729822,"Sumo1"
"h2a_peak_673",0.959437364,4.98e-10,"Erbb4"
"h2a_peak_676",-0.359101828,0.030772001,"Susd4"
"h2a_peak_678",-0.16091581,0.339315065,"Mgat4a"
"h2a_peak_680",-0.196582776,0.266763642,"Ankrd44"
"h2a_peak_681",0.427276629,0.004577894,"Nos1ap"
"h2a_peak_688",0.080012049,0.625576481,"Igsf8"
"h2a_peak_689",-0.08749802,0.58514648,"Astn1"
"h2a_peak_690",1.399153928,1.15e-18,"Tgfbrap1"
"h2a_peak_690",1.399153928,1.15e-18,"AI597479"
"h2a_peak_691",-0.039002554,0.822284992,"Nav1"
"h2a_peak_693",-0.420012449,0.002982822,"Adora1"
"h2a_peak_695",0.03381529,0.853148562,"Als2"
"h2a_peak_696",0.424431086,0.008343413,"Kcnh1"
"h2a_peak_699",-0.407932649,0.021204044,"Per2"
"h2a_peak_702",1.920316072,1.21e-36,"Col9a1"
"h2a_peak_703",0.760517751,9.12e-07,"Gorab"
"h2a_peak_705",0.517163533,0.000922677,"Nyap2"
"h2a_peak_706",0.018867779,0.917302828,"Dst"
"h2a_peak_707",-0.330663018,0.075524772,"Lmx1a"
"h2a_peak_708",-0.050004292,0.786359625,"Myocos"
"h2a_peak_710",-0.152380073,0.345568364,"Gm7694"
"h2a_peak_711",-0.16698189,0.282744782,"Fcamr"
"h2a_peak_714",0.095462938,0.595991153,"Cnih3"
"h2a_peak_719",-0.618533604,0.001295898,"Tfap2b"
"h2a_peak_720",-0.465887657,0.008336155,"Myo1b"
"h2a_peak_722",0.085317676,0.63125331,"Aff3"
"h2a_peak_726",0.018554855,0.920712829,"Dnah7a"
"h2a_peak_728",0.20613187,0.214166516,"Pbx1"
"h2a_peak_734",0.112458349,0.505241002,"Uck2"
"h2a_peak_735",0.044627069,0.792805904,"Ush2a"
"h2a_peak_736",1.592592653,1.85e-22,"Col19a1"
"h2a_peak_739",0.129163101,0.403674648,"Lgr6"
"h2a_peak_740",0.702230481,2.86e-06,"Col9a1"
"h2a_peak_743",-0.513485985,0.001036686,"Efhd1"
"h2a_peak_744",-0.113909207,0.476332136,"C130074G19Rik"
"h2a_peak_748",-0.201587759,0.210065079,"Gpr55"
"h2a_peak_752",0.37661822,0.010980766,"Nenf"
"h2a_peak_753",-0.03827793,0.82095378,"Plxna2"
"h2a_peak_758",0.705083776,9.39e-06,"St18"
"h2a_peak_760",0.121199637,0.423712991,"Lct"
"h2a_peak_762",-0.025430717,0.887575006,"Agap1"
"h2a_peak_763",-0.00655982,0.97137093,"Slamf8"
"h2a_peak_769",0.124869382,0.423811208,"Erbb4"
"h2a_peak_770",-0.028601143,0.858483085,"Phlda3"
"h2a_peak_773",-0.120753858,0.409033192,"Fmn2"
"h2a_peak_774",0.410950926,0.01784794,"Rps6kc1"
"h2a_peak_780",-0.590913237,5.24e-05,"Rgs16"
"h2a_peak_781",0.01827302,0.925157842,"Slc26a9"
"h2a_peak_786",0.49245903,0.00112016,"B3gat2"
"h2a_peak_789",0.186300617,0.290188913,"Smyd3"
"h2a_peak_791",0.214059302,0.213348381,"Esrrg"
"h2a_peak_792",-0.550934461,0.00016802,"Tmem9"
"h2a_peak_794",-0.172775644,0.268763474,"Neu4"
"h2a_peak_797",0.4084284,0.012518397,"Bend6"
"h2a_peak_798",0.257300981,0.148276361,"Map2"
"h2a_peak_799",0.050782522,0.754772148,"Cnnm4"
"h2a_peak_801",-0.337768471,0.01713371,"Cd247"
"h2a_peak_802",0.56116717,0.000498097,"Pard3b"
"h2a_peak_803",-0.125227516,0.414414511,"Xpr1"
"h2a_peak_804",0.036485308,0.841606482,"Slc16a14"
"h2a_peak_806",-0.25523666,0.082903662,"Kif1a"
