"SYMBOL","mecp2_Fold","mecp2_FDR","mecp2_sig","n_mecp2_peaks","n_mecp2_sig_peaks","h2a_Fold","h2a_FDR","h2a_sig","n_h2a_peaks","n_h2a_sig_peaks","sig","quadrant"
"1600027J07Rik",-0.0281888341090503,0.917771412,FALSE,2,0,-0.167256947,0.188381909,FALSE,1,0,"Not significant","Q3 (MeCP2 down / H2A down)"
"1700001G11Rik",0.021581212,0.944371381,FALSE,1,0,0.592943703,0.000130593,TRUE,1,1,"Not significant","Q1 (MeCP2 up / H2A up)"
"1700001K23Rik",-0.029960206,0.915840416,FALSE,1,0,0.567994375,4.72e-08,TRUE,1,1,"Not significant","Q2 (MeCP2 down / H2A up)"
"1700001O22Rik",0.030010231,0.91578628,FALSE,1,0,-0.328679277734441,0.002380442,TRUE,3,1,"Not significant","Q4 (MeCP2 up / H2A down)"
"1700003F12Rik",0.052794805,0.835675728,FALSE,1,0,0.133189468,0.307004406,FALSE,1,0,"Not significant","Q1 (MeCP2 up / H2A up)"
"1700003M07Rik",0.0561316721922221,0.801935969,FALSE,3,0,-0.0532061570253339,0.025063466,TRUE,3,1,"Not significant","Q4 (MeCP2 up / H2A down)"
"1700006F04Rik",0.0301076103244614,0.702216996,FALSE,4,0,0.611427221417332,8.01e-10,TRUE,7,1,"Not significant","Q1 (MeCP2 up / H2A up)"
"1700006H21Rik",-0.236347874817291,0.206754402,FALSE,8,0,-0.181743430691009,0.000189722,TRUE,11,1,"Not significant","Q3 (MeCP2 down / H2A down)"
"1700008C04Rik",-0.0847295887978655,0.629614631,FALSE,3,0,0.370441346555379,0.000168639,TRUE,5,1,"Not significant","Q2 (MeCP2 down / H2A up)"
"1700008K24Rik",-0.679171238804502,0.005495347,TRUE,25,1,-0.412590246161986,6.07e-06,TRUE,20,1,"Significant","Q3 (MeCP2 down / H2A down)"
"1700009N14Rik",2.72138832539562,1.07e-20,TRUE,4,1,1.72715252522095,3.67e-27,TRUE,6,1,"Significant","Q1 (MeCP2 up / H2A up)"
"1700010I02Rik",1.33417598431047,9.53e-07,TRUE,3,1,0.656141014,2.38e-05,TRUE,1,1,"Significant","Q1 (MeCP2 up / H2A up)"
"1700010I14Rik",1.15262929813454,2.24e-06,TRUE,8,1,1.00225370209317,4.93e-18,TRUE,6,1,"Significant","Q1 (MeCP2 up / H2A up)"
"1700010K23Rik",1.67082271204772,2.26e-07,TRUE,2,1,0.709246718708306,9.19e-15,TRUE,2,1,"Significant","Q1 (MeCP2 up / H2A up)"
"1700011B04Rik",0.00491788683443376,0.682308614,FALSE,3,0,0.362512311162116,0.00491176,TRUE,4,1,"Not significant","Q1 (MeCP2 up / H2A up)"
"1700011L22Rik",2.2061473270988,1.53e-17,TRUE,2,1,1.071475122,7.14e-30,TRUE,1,1,"Significant","Q1 (MeCP2 up / H2A up)"
"1700012A03Rik",0.988334800457919,1.95e-05,TRUE,10,1,0.778892030058661,7.16e-26,TRUE,21,1,"Significant","Q1 (MeCP2 up / H2A up)"
"1700012C14Rik",0.99823508667015,2.37e-05,TRUE,3,1,0.952172152284321,3.99e-13,TRUE,3,1,"Significant","Q1 (MeCP2 up / H2A up)"
"1700012D16Rik",0.525466186772672,0.037116726,TRUE,16,1,0.643937629596184,1.82e-09,TRUE,10,1,"Significant","Q1 (MeCP2 up / H2A up)"
"1700016K05Rik",-0.0449245904362397,0.844091468,FALSE,2,0,0.0232231101484908,0.191295715,FALSE,3,0,"Not significant","Q2 (MeCP2 down / H2A up)"
"1700016L21Rik",0.327777596009908,0.158943513,FALSE,6,0,0.290497888809284,0.018523723,TRUE,2,1,"Not significant","Q1 (MeCP2 up / H2A up)"
"1700017B05Rik",0.0836084381155251,0.674032606,FALSE,4,0,-0.116582092140951,0.41762513,FALSE,4,0,"Not significant","Q4 (MeCP2 up / H2A down)"
"1700017G19Rik",0.207317126200366,0.276468407,FALSE,2,0,0.628119097,9.88e-05,TRUE,1,1,"Not significant","Q1 (MeCP2 up / H2A up)"
"1700017J07Rik",0.009240604,0.979460271,FALSE,1,0,-0.232043677,0.126787713,FALSE,1,0,"Not significant","Q4 (MeCP2 up / H2A down)"
"1700017L05Rik",1.69133957049171,3.89e-07,TRUE,3,1,0.950816024337903,3.43e-19,TRUE,6,1,"Significant","Q1 (MeCP2 up / H2A up)"
"1700017N19Rik",1.620847188,5.26e-11,TRUE,1,1,1.55176359124868,1.69e-22,TRUE,2,1,"Significant","Q1 (MeCP2 up / H2A up)"
"1700018B08Rik",-0.957199373612847,0.001409849,TRUE,11,1,-0.532254452763057,1.77e-05,TRUE,21,1,"Significant","Q3 (MeCP2 down / H2A down)"
"1700019A02Rik",1.17973055,0.00041711,TRUE,1,1,1.632337825,6.36e-24,TRUE,1,1,"Significant","Q1 (MeCP2 up / H2A up)"
"1700019C18Rik",0.265372089850613,0.127439799,FALSE,13,0,0.701445513561174,1.08e-11,TRUE,13,1,"Not significant","Q1 (MeCP2 up / H2A up)"
"1700019D03Rik",1.36255742,1.48e-05,TRUE,1,1,1.57531658808998,8.06e-25,TRUE,2,1,"Significant","Q1 (MeCP2 up / H2A up)"
"1700019E08Rik",1.81365992981221,2.21e-08,TRUE,2,1,1.70974650731143,4.52e-50,TRUE,11,1,"Significant","Q1 (MeCP2 up / H2A up)"
"1700019G24Rik",0.369798394,0.093050057,FALSE,1,0,1.084085018,2.5e-06,TRUE,1,1,"Not significant","Q1 (MeCP2 up / H2A up)"
"1700020L24Rik",-0.13536429669844,0.522085048,FALSE,2,0,-0.0608277362837274,0.499574471,FALSE,2,0,"Not significant","Q3 (MeCP2 down / H2A down)"
"1700020M21Rik",0.0919474259061557,0.093427986,FALSE,14,0,0.0907619300461327,0.020515164,TRUE,7,1,"Not significant","Q1 (MeCP2 up / H2A up)"
"1700021F02Rik",0.085582538,0.71281736,FALSE,1,0,0.375268335,0.003868608,TRUE,1,1,"Not significant","Q1 (MeCP2 up / H2A up)"
"1700023F02Rik",2.57830967723962,2.22e-17,TRUE,18,1,1.10043437767306,4.82e-36,TRUE,11,1,"Significant","Q1 (MeCP2 up / H2A up)"
"1700024G13Rik",0.434363659133279,0.066389479,FALSE,4,0,0.249919979430004,0.002054019,TRUE,2,1,"Not significant","Q1 (MeCP2 up / H2A up)"
"1700025C18Rik",-0.111166506317149,0.531798559,FALSE,4,0,-0.253673485163091,0.004972654,TRUE,3,1,"Not significant","Q3 (MeCP2 down / H2A down)"
"1700025G04Rik",1.01892289715941,0.001259477,TRUE,12,1,0.718021855579325,1.33e-12,TRUE,16,1,"Significant","Q1 (MeCP2 up / H2A up)"
"1700025N23Rik",-0.270857677310292,0.107493578,FALSE,8,0,0.51928373911897,4.29e-05,TRUE,3,1,"Not significant","Q2 (MeCP2 down / H2A up)"
"1700026J14Rik",-0.053997105,0.828881523,FALSE,1,0,-0.405353608,0.023981443,TRUE,1,1,"Not significant","Q3 (MeCP2 down / H2A down)"
"1700028D13Rik",-0.171613449595338,0.36970839,FALSE,3,0,-0.495669786471045,0.000116663,TRUE,4,1,"Not significant","Q3 (MeCP2 down / H2A down)"
"1700028M03Rik",-0.063171829,0.788799299,FALSE,1,0,-0.183608036,0.31053985,FALSE,1,0,"Not significant","Q3 (MeCP2 down / H2A down)"
"1700028P15Rik",0.0632802381819923,0.761204559,FALSE,3,0,-0.32259892554133,0.048677152,TRUE,2,1,"Not significant","Q4 (MeCP2 up / H2A down)"
"1700029H14Rik",-0.133014618259894,0.427285859,FALSE,3,0,-0.516404118923152,0.000148078,TRUE,3,1,"Not significant","Q3 (MeCP2 down / H2A down)"
"1700029J03Rik",-0.046533772,0.856761233,FALSE,1,0,-0.272906188835548,0.033716299,TRUE,3,1,"Not significant","Q3 (MeCP2 down / H2A down)"
"1700029N11Rik",2.4603742218914,5.47e-18,TRUE,28,1,0.951322936553579,1.35e-16,TRUE,15,1,"Significant","Q1 (MeCP2 up / H2A up)"
"1700030O20Rik",-0.21290651,0.344742485,FALSE,1,0,0.028216002,0.850219222,FALSE,1,0,"Not significant","Q2 (MeCP2 down / H2A up)"
"1700034G24Rik",3.54852692275412,3.31e-16,TRUE,9,1,-0.236177440526768,0.017349619,TRUE,2,1,"Significant","Q4 (MeCP2 up / H2A down)"
"1700034H15Rik",0.321625734600036,0.134748581,FALSE,2,0,0.0386948272275956,0.593302528,FALSE,2,0,"Not significant","Q1 (MeCP2 up / H2A up)"
"1700036G14Rik",1.88810973857012,2.93e-12,TRUE,10,1,0.59770660947201,3.63e-13,TRUE,10,1,"Significant","Q1 (MeCP2 up / H2A up)"
"1700039E22Rik",-0.07456065193978,0.736343093,FALSE,2,0,-0.343981734559895,7.61e-05,TRUE,3,1,"Not significant","Q3 (MeCP2 down / H2A down)"
"1700044C05Rik",-0.0725781528330133,0.701246244,FALSE,2,0,-0.56869162213662,8.51e-06,TRUE,4,1,"Not significant","Q3 (MeCP2 down / H2A down)"
"1700044K03Rik",1.63094300675722,1.2e-10,TRUE,5,1,0.868710260431436,6.61e-16,TRUE,18,1,"Significant","Q1 (MeCP2 up / H2A up)"
"1700049E15Rik",1.140494537,0.000414448,TRUE,1,1,0.681730200429609,1.6e-08,TRUE,3,1,"Significant","Q1 (MeCP2 up / H2A up)"
"1700049E22Rik",-0.0988764341632044,0.144687807,FALSE,22,0,0.634359902423094,1.52e-12,TRUE,20,1,"Not significant","Q2 (MeCP2 down / H2A up)"
"1700049L16Rik",0.035941799493608,0.895317656,FALSE,2,0,0.151885464336688,0.272266429,FALSE,2,0,"Not significant","Q1 (MeCP2 up / H2A up)"
"1700052I22Rik",-0.064089838,0.779102951,FALSE,1,0,-0.529510293,4.69e-06,TRUE,1,1,"Not significant","Q3 (MeCP2 down / H2A down)"
"1700054A03Rik",2.33403560939659,1.92e-23,TRUE,4,1,1.00781451803009,1.41e-13,TRUE,4,1,"Significant","Q1 (MeCP2 up / H2A up)"
"1700054K19Rik",1.41591025818863,1.54e-06,TRUE,7,1,0.811594121449195,3.65e-14,TRUE,12,1,"Significant","Q1 (MeCP2 up / H2A up)"
"1700054M17Rik",0.083599177,0.699054257,FALSE,1,0,0.844935353,7.08e-08,TRUE,1,1,"Not significant","Q1 (MeCP2 up / H2A up)"
"1700055C04Rik",-0.025271239,0.931660673,FALSE,1,0,-0.445856242,0.002748214,TRUE,1,1,"Not significant","Q3 (MeCP2 down / H2A down)"
"1700057H15Rik",0.124484906588038,0.572339833,FALSE,2,0,-0.349734838951595,0.001995733,TRUE,6,1,"Not significant","Q4 (MeCP2 up / H2A down)"
"1700060C20Rik",-0.0247499390010869,0.428976926,FALSE,4,0,0.0606894275413563,0.125408104,FALSE,2,0,"Not significant","Q2 (MeCP2 down / H2A up)"
"1700063D05Rik",0.607420997058713,0.012392915,TRUE,4,1,0.101963007,0.545759243,FALSE,1,0,"Not significant","Q1 (MeCP2 up / H2A up)"
"1700064M15Rik",0.689669375382056,0.013131104,TRUE,5,1,0.181829860266282,0.176507578,FALSE,3,0,"Not significant","Q1 (MeCP2 up / H2A up)"
"1700065J11Rik",1.15663217014316,3.86e-07,TRUE,2,1,1.04700742940114,1.58e-37,TRUE,4,1,"Significant","Q1 (MeCP2 up / H2A up)"
"1700065L07Rik",0.553570199,0.047000102,TRUE,1,1,0.807260815,1.13e-10,TRUE,1,1,"Significant","Q1 (MeCP2 up / H2A up)"
"1700066B17Rik",2.066430962,3.09e-12,TRUE,1,1,0.968904582064719,3.97e-14,TRUE,2,1,"Significant","Q1 (MeCP2 up / H2A up)"
"1700066C05Rik",2.79553405270266,2.56e-29,TRUE,10,1,1.46475664756059,1.34e-38,TRUE,13,1,"Significant","Q1 (MeCP2 up / H2A up)"
"1700066O22Rik",1.12049964232278,0.00014444,TRUE,2,1,0.721844156616619,2.33e-18,TRUE,4,1,"Significant","Q1 (MeCP2 up / H2A up)"
"1700071K01Rik",0.198118193784155,0.215520619,FALSE,7,0,0.117251825341775,0.029545249,TRUE,5,1,"Not significant","Q1 (MeCP2 up / H2A up)"
"1700072B07Rik",-0.258930380348898,0.137379372,FALSE,7,0,-0.207600691934444,0.066535697,FALSE,4,0,"Not significant","Q3 (MeCP2 down / H2A down)"
"1700072O05Rik",0.032531268,0.906346352,FALSE,1,0,-0.127468726,0.305541205,FALSE,1,0,"Not significant","Q4 (MeCP2 up / H2A down)"
"1700073E17Rik",-0.04177542,0.873829668,FALSE,1,0,0.424795278388974,7.42e-06,TRUE,3,1,"Not significant","Q2 (MeCP2 down / H2A up)"
"1700081H04Rik",-0.000437635,0.998988662,FALSE,1,0,-0.438832655,0.005235061,TRUE,1,1,"Not significant","Q3 (MeCP2 down / H2A down)"
"1700083H02Rik",2.16543401024586,1.6e-16,TRUE,6,1,1.07526951310212,9.5e-23,TRUE,8,1,"Significant","Q1 (MeCP2 up / H2A up)"
"1700084J12Rik",-0.047024709,0.856253345,FALSE,1,0,-0.225984287114315,0.147054567,FALSE,2,0,"Not significant","Q3 (MeCP2 down / H2A down)"
"1700085C21Rik",-0.100315142502205,0.593744196,FALSE,4,0,-0.167466535324601,0.036929519,TRUE,6,1,"Not significant","Q3 (MeCP2 down / H2A down)"
"1700086L19Rik",0.085325507,0.687131637,FALSE,1,0,0.239060691941347,0.006129713,TRUE,3,1,"Not significant","Q1 (MeCP2 up / H2A up)"
"1700092E19Rik",1.44735209346101,1.33e-06,TRUE,2,1,0.892055889,7.95e-23,TRUE,1,1,"Significant","Q1 (MeCP2 up / H2A up)"
"1700092K14Rik",0.637592173634017,0.009168731,TRUE,30,1,-0.55863724341316,2.51e-08,TRUE,25,1,"Significant","Q4 (MeCP2 up / H2A down)"
"1700095B10Rik",-0.0596990410367036,0.559086686,FALSE,3,0,-0.235928382,0.114180936,FALSE,1,0,"Not significant","Q3 (MeCP2 down / H2A down)"
"1700096J18Rik",1.01664953429014,0.000749814,TRUE,2,1,0.455360386,0.006265142,TRUE,1,1,"Significant","Q1 (MeCP2 up / H2A up)"
"1700101O22Rik",1.7969044623682,3.52e-09,TRUE,4,1,1.37348191965573,7.04e-19,TRUE,2,1,"Significant","Q1 (MeCP2 up / H2A up)"
"1700104L18Rik",0.468155366217103,0.025695875,TRUE,3,1,0.624868350602778,8.39e-06,TRUE,6,1,"Significant","Q1 (MeCP2 up / H2A up)"
"1700108F19Rik",-0.185444223803372,0.19512005,FALSE,8,0,0.588373912934888,8.27e-13,TRUE,8,1,"Not significant","Q2 (MeCP2 down / H2A up)"
"1700108J01Rik",2.68614352933348,1.3e-19,TRUE,8,1,1.17048322998643,2.4e-26,TRUE,2,1,"Significant","Q1 (MeCP2 up / H2A up)"
"1700109G14Rik",-0.235829998734769,0.251989936,FALSE,2,0,0.924006595315492,1.98e-11,TRUE,3,1,"Not significant","Q2 (MeCP2 down / H2A up)"
"1700109G15Rik",-0.441568513098701,0.033930152,TRUE,6,1,-0.120292974302096,0.097298233,FALSE,6,0,"Not significant","Q3 (MeCP2 down / H2A down)"
"1700110C19Rik",-0.0535297172933384,0.805827964,FALSE,2,0,0.494772819,4.75e-05,TRUE,1,1,"Not significant","Q2 (MeCP2 down / H2A up)"
"1700112H15Rik",0.057961378570422,0.801565195,FALSE,2,0,0.656863888936937,1.55e-05,TRUE,2,1,"Not significant","Q1 (MeCP2 up / H2A up)"
"1700112J16Rik",0.0224987383998682,0.942016961,FALSE,2,0,-0.243750673976683,0.043466674,TRUE,3,1,"Not significant","Q4 (MeCP2 up / H2A down)"
"1700113H08Rik",-0.053577427,0.823594255,FALSE,1,0,0.150842869321148,0.097124179,FALSE,3,0,"Not significant","Q2 (MeCP2 down / H2A up)"
"1700116B05Rik",-0.241083913,0.242743618,FALSE,1,0,0.0961575771707514,0.080472281,FALSE,5,0,"Not significant","Q2 (MeCP2 down / H2A up)"
"1700120E14Rik",-0.009702678,0.978304717,FALSE,1,0,-0.413017388,0.036001837,TRUE,1,1,"Not significant","Q3 (MeCP2 down / H2A down)"
"1700120G07Rik",0.645470230540481,0.014635108,TRUE,21,1,-0.273751150352412,0.020537421,TRUE,10,1,"Significant","Q4 (MeCP2 up / H2A down)"
"1700121N20Rik",-0.125429382825043,0.315001305,FALSE,12,0,-0.417706006831849,5.22e-06,TRUE,8,1,"Not significant","Q3 (MeCP2 down / H2A down)"
"1700123M08Rik",-0.066378832,0.776524249,FALSE,1,0,1.165484392,1.35e-29,TRUE,1,1,"Not significant","Q2 (MeCP2 down / H2A up)"
"1700123O21Rik",2.65829182008465,6.77e-22,TRUE,9,1,1.070237571,1.64e-18,TRUE,1,1,"Significant","Q1 (MeCP2 up / H2A up)"
"1700125G02Rik",-0.031690149,0.909377067,FALSE,1,0,-0.122212914,0.516563606,FALSE,1,0,"Not significant","Q3 (MeCP2 down / H2A down)"
"1700128A07Rik",2.7772366177105,1.06e-20,TRUE,9,1,1.30462857582279,8.48e-28,TRUE,7,1,"Significant","Q1 (MeCP2 up / H2A up)"
"1700129C05Rik",2.34945512381599,1.39e-17,TRUE,11,1,1.24606357648207,2.64e-46,TRUE,13,1,"Significant","Q1 (MeCP2 up / H2A up)"
"1810034E14Rik",-0.0975528564582204,0.659963161,FALSE,3,0,0.048476795,0.778104575,FALSE,1,0,"Not significant","Q2 (MeCP2 down / H2A up)"
"1810053B23Rik",-0.148866836629973,0.339773286,FALSE,5,0,-0.415786750507769,0.006567503,TRUE,3,1,"Not significant","Q3 (MeCP2 down / H2A down)"
"2010001A14Rik",-0.0565418813258404,0.782536653,FALSE,4,0,-0.381369335901173,0.000345422,TRUE,3,1,"Not significant","Q3 (MeCP2 down / H2A down)"
"2010009K17Rik",-0.00263728823017582,0.718120966,FALSE,2,0,0.2007290694045,0.037377099,TRUE,2,1,"Not significant","Q2 (MeCP2 down / H2A up)"
"2010010A06Rik",-0.019214247,0.950995287,FALSE,1,0,-0.206362700724517,0.113609983,FALSE,2,0,"Not significant","Q3 (MeCP2 down / H2A down)"
"2010106C02Rik",-0.155326197860294,0.330996796,FALSE,12,0,-0.256963869472702,1.63e-06,TRUE,12,1,"Not significant","Q3 (MeCP2 down / H2A down)"
"2210016L21Rik",-0.143212646,0.499293914,FALSE,1,0,-0.31470476,0.049844681,TRUE,1,1,"Not significant","Q3 (MeCP2 down / H2A down)"
"2210406O10Rik",-0.0502488751905047,0.819336261,FALSE,2,0,0.149453027184745,5.3e-11,TRUE,6,1,"Not significant","Q2 (MeCP2 down / H2A up)"
"2210408F21Rik",0.280782824399184,0.163788894,FALSE,5,0,0.850217045465799,1.43e-19,TRUE,7,1,"Not significant","Q1 (MeCP2 up / H2A up)"
"2210409D07Rik",2.36834417341268,1.82e-25,TRUE,10,1,1.14186408520682,6.49e-49,TRUE,9,1,"Significant","Q1 (MeCP2 up / H2A up)"
"2210420H20Rik",-0.129476361,0.528980377,FALSE,1,0,-0.117281583144693,0.144069581,FALSE,2,0,"Not significant","Q3 (MeCP2 down / H2A down)"
"2310005E17Rik",-0.002966871,0.994092053,FALSE,1,0,-0.114885868892251,0.090237669,FALSE,6,0,"Not significant","Q3 (MeCP2 down / H2A down)"
"2310008N11Rik",1.66102560177964,2.48e-16,TRUE,35,1,0.637269864576514,1.18e-11,TRUE,34,1,"Significant","Q1 (MeCP2 up / H2A up)"
"2310010J17Rik",-0.023631802,0.937222806,FALSE,1,0,0.538215945,3.34e-06,TRUE,1,1,"Not significant","Q2 (MeCP2 down / H2A up)"
"2310011J03Rik",-0.100703961017431,0.499113747,FALSE,2,0,-0.555554181,1.18e-08,TRUE,1,1,"Not significant","Q3 (MeCP2 down / H2A down)"
"2310015A10Rik",-0.0885757436484118,0.652877424,FALSE,2,0,0.143139844829844,0.044982704,TRUE,3,1,"Not significant","Q2 (MeCP2 down / H2A up)"
"2310020H05Rik",0.059618834,0.798949287,FALSE,1,0,0.886368265613841,4.75e-23,TRUE,5,1,"Not significant","Q1 (MeCP2 up / H2A up)"
"2310022B05Rik",0.051560817,0.838882094,FALSE,1,0,-0.0365920456852703,0.708709904,FALSE,2,0,"Not significant","Q4 (MeCP2 up / H2A down)"
"2310034O05Rik",0.122011337640173,0.485303208,FALSE,5,0,0.34468696962091,0.011987821,TRUE,3,1,"Not significant","Q1 (MeCP2 up / H2A up)"
"2310043L19Rik",1.72701034050029,4.12e-11,TRUE,7,1,1.12127824577655,4.94e-21,TRUE,8,1,"Significant","Q1 (MeCP2 up / H2A up)"
"2310043O21Rik",-0.0372879535734754,0.887689289,FALSE,2,0,0.080801352,0.601597404,FALSE,1,0,"Not significant","Q2 (MeCP2 down / H2A up)"
"2410004P03Rik",-0.024058715,0.93577808,FALSE,1,0,-0.087574912,0.635255437,FALSE,1,0,"Not significant","Q3 (MeCP2 down / H2A down)"
"2410017I17Rik",-0.143242686818682,0.476242681,FALSE,2,0,-0.781341306,1.96e-06,TRUE,1,1,"Not significant","Q3 (MeCP2 down / H2A down)"
"2510009E07Rik",-0.00411645,0.991656802,FALSE,1,0,0.450931924,0.005023311,TRUE,1,1,"Not significant","Q2 (MeCP2 down / H2A up)"
"2610028E06Rik",-0.268872292965001,0.163638067,FALSE,9,0,-0.2820831781434,0.035791968,TRUE,3,1,"Not significant","Q3 (MeCP2 down / H2A down)"
"2610035D17Rik",-0.763204008654574,0.002914981,TRUE,14,1,-0.405574339860573,0.001456195,TRUE,8,1,"Significant","Q3 (MeCP2 down / H2A down)"
"2610035F20Rik",0.08633888,0.689074769,FALSE,1,0,0.481719097,0.000209587,TRUE,1,1,"Not significant","Q1 (MeCP2 up / H2A up)"
"2610037D02Rik",-0.080081105,0.726237224,FALSE,1,0,0.357812662,0.025433233,TRUE,1,1,"Not significant","Q2 (MeCP2 down / H2A up)"
"2610203C22Rik",-0.543240123056884,0.022917735,TRUE,3,1,0.402825886349047,3.28e-05,TRUE,7,1,"Significant","Q2 (MeCP2 down / H2A up)"
"2610307P16Rik",0.969478183586363,0.00016201,TRUE,7,1,0.849558342749878,1.12e-33,TRUE,8,1,"Significant","Q1 (MeCP2 up / H2A up)"
"2610318M16Rik",0.0303732633141129,0.90796516,FALSE,2,0,0.647003109492692,6.71e-12,TRUE,4,1,"Not significant","Q1 (MeCP2 up / H2A up)"
"2610318N02Rik",0.025475551,0.931504944,FALSE,1,0,0.20732481,0.10404986,FALSE,1,0,"Not significant","Q1 (MeCP2 up / H2A up)"
"2700046A07Rik",0.464700924,0.070804835,FALSE,1,0,0.649524116961717,3.18e-06,TRUE,4,1,"Not significant","Q1 (MeCP2 up / H2A up)"
"2700054A10Rik",0.479400289,0.066562644,FALSE,1,0,0.554166187898597,2.68e-08,TRUE,7,1,"Not significant","Q1 (MeCP2 up / H2A up)"
"2700062C07Rik",-0.0200743,0.949606736,FALSE,1,0,0.544105074848149,1.08e-06,TRUE,2,1,"Not significant","Q2 (MeCP2 down / H2A up)"
"2700070H01Rik",0.083553979,0.692441712,FALSE,1,0,0.720436208260626,3.48e-06,TRUE,2,1,"Not significant","Q1 (MeCP2 up / H2A up)"
"2810032G03Rik",1.9100287770597,5.42e-11,TRUE,18,1,0.975410674222512,1.97e-24,TRUE,22,1,"Significant","Q1 (MeCP2 up / H2A up)"
"2810049E08Rik",2.85280192137189,5.42e-19,TRUE,4,1,1.792296078,4.94e-40,TRUE,1,1,"Significant","Q1 (MeCP2 up / H2A up)"
"2810414N06Rik",-0.103917554471069,0.604730759,FALSE,2,0,0.400789741509734,0.027520982,TRUE,2,1,"Not significant","Q2 (MeCP2 down / H2A up)"
"2810459M11Rik",-0.273988477,0.184882738,FALSE,1,0,-0.307824277872308,0.035178783,TRUE,3,1,"Not significant","Q3 (MeCP2 down / H2A down)"
"2900009J06Rik",-0.091216424,0.666441138,FALSE,1,0,0.462336459,0.009814136,TRUE,1,1,"Not significant","Q2 (MeCP2 down / H2A up)"
"2900026A02Rik",-0.312316661186265,0.136932515,FALSE,6,0,-0.450264608872288,2.22e-05,TRUE,5,1,"Not significant","Q3 (MeCP2 down / H2A down)"
"2900040C04Rik",-0.283469047628857,0.146117735,FALSE,3,0,0.475969964311057,0.000103362,TRUE,4,1,"Not significant","Q2 (MeCP2 down / H2A up)"
"2900041M22Rik",0.213043541768728,0.189415,FALSE,14,0,-0.228816523789334,0.014055244,TRUE,5,1,"Not significant","Q4 (MeCP2 up / H2A down)"
"2900052L18Rik",1.0161308574319,0.00056354,TRUE,3,1,0.0376539244527848,0.129752319,FALSE,2,0,"Not significant","Q1 (MeCP2 up / H2A up)"
"2900052N01Rik",-0.920415391825315,0.004844824,TRUE,10,1,-0.449048381858654,0.000123884,TRUE,8,1,"Significant","Q3 (MeCP2 down / H2A down)"
"2900057B20Rik",-0.647136192585321,0.025161191,TRUE,7,1,-0.311182479297592,0.014179672,TRUE,8,1,"Significant","Q3 (MeCP2 down / H2A down)"
"2900079G21Rik",2.40680789535496,1.58e-16,TRUE,17,1,0.638121196559933,2.92e-08,TRUE,8,1,"Significant","Q1 (MeCP2 up / H2A up)"
"3010003L21Rik",-0.00629273,0.987534098,FALSE,1,0,0.570789512,8.17e-10,TRUE,1,1,"Not significant","Q2 (MeCP2 down / H2A up)"
"3100003L05Rik",1.16494910280043,5.21e-06,TRUE,16,1,0.43730170746109,0.000375325,TRUE,5,1,"Significant","Q1 (MeCP2 up / H2A up)"
"3110009F21Rik",-0.220555576075611,0.22311495,FALSE,6,0,-0.666631673052711,6.05e-08,TRUE,9,1,"Not significant","Q3 (MeCP2 down / H2A down)"
