gene_name	chr	mch_hypo	in_target
1700019A02Rik	chr1	FALSE	TRUE
1700019D03Rik	chr1	FALSE	TRUE
1700019N19Rik	chr19	FALSE	TRUE
1700020A23Rik	chr2	FALSE	TRUE
1700020D05Rik	chr19	FALSE	TRUE
1700020L24Rik	chr11	FALSE	TRUE
1700020N01Rik	chr10	TRUE	TRUE
1700021F07Rik	chr2	FALSE	FALSE
1700022I11Rik	chr4	FALSE	TRUE
1700024B05Rik	chr14	TRUE	FALSE
1700024G13Rik	chr14	FALSE	TRUE
1700025B11Rik	chr15	FALSE	TRUE
1700025C18Rik	chr2	FALSE	TRUE
1700025G04Rik	chr1	FALSE	TRUE
1700028J19Rik	chr7	FALSE	TRUE
1700028K03Rik	chr5	FALSE	TRUE
1700028P14Rik	chr19	FALSE	TRUE
1700029F12Rik	chr13	FALSE	TRUE
1700029H14Rik	chr8	FALSE	TRUE
1700029I15Rik	chr2	FALSE	TRUE
1700029J07Rik	chr8	FALSE	TRUE
1700029P11Rik	chr15	FALSE	TRUE
1700030J22Rik	chr8	FALSE	TRUE
1700030K09Rik	chr8	FALSE	TRUE
1700031F05Rik	chrX	FALSE	TRUE
1700031L13Rik	chr5	FALSE	FALSE
1700034E13Rik	chr18	FALSE	FALSE
1700034I23Rik	chr3	FALSE	TRUE
1700034J05Rik	chr6	FALSE	FALSE
1700037C18Rik	chr16	FALSE	TRUE
1700037H04Rik	chr2	FALSE	TRUE
1700042G07Rik	chr4	FALSE	TRUE
1700056E22Rik	chr1	FALSE	TRUE
1700057G04Rik	chr9	FALSE	FALSE
1700064H15Rik	chr3	FALSE	TRUE
1700066B19Rik	chr18	TRUE	TRUE
1700066M21Rik	chr1	FALSE	TRUE
1700067K01Rik	chr8	FALSE	TRUE
1700067P10Rik	chr17	FALSE	FALSE
1700069L16Rik	chr5	TRUE	TRUE
1700074P13Rik	chr6	FALSE	FALSE
1700080O16Rik	chrX	FALSE	FALSE
1700086D15Rik	chr11	FALSE	TRUE
1700088E04Rik	chr15	FALSE	TRUE
1700092M07Rik	chr19	FALSE	TRUE
1700093K21Rik	chr11	FALSE	TRUE
1700094D03Rik	chr3	FALSE	TRUE
1700102P08Rik	chr9	TRUE	TRUE
1700109H08Rik	chr5	FALSE	TRUE
1700113H08Rik	chr10	FALSE	FALSE
1700122O11Rik	chr17	FALSE	FALSE
1700123K08Rik	chr5	FALSE	TRUE
1700123L14Rik	chr6	FALSE	FALSE
1700123O20Rik	chr14	FALSE	TRUE
1700125H20Rik	chr11	FALSE	TRUE
1700129C05Rik	chr14	FALSE	TRUE
1810009A15Rik	chr19	FALSE	TRUE
1810009J06Rik	chr6	FALSE	FALSE
1810010H24Rik	chr11	FALSE	TRUE
1810013L24Rik	chr16	TRUE	TRUE
1810020O05Rik	chr6	FALSE	TRUE
1810024B03Rik	chr2	TRUE	TRUE
1810030O07Rik	chrX	FALSE	TRUE
1810037I17Rik	chr3	FALSE	TRUE
1810046K07Rik	chr9	TRUE	FALSE
1810055G02Rik	chr19	FALSE	TRUE
1810058I24Rik	chr6	FALSE	TRUE
1810062G17Rik	chr3	FALSE	TRUE
1810065E05Rik	chr11	FALSE	FALSE
2010003K11Rik	chr19	FALSE	TRUE
2010106E10Rik	chrX	FALSE	FALSE
2010109A12Rik	chr5	FALSE	TRUE
2010300C02Rik	chr1	TRUE	TRUE
2010315B03Rik	chr9	FALSE	FALSE
2200002D01Rik	chr7	FALSE	TRUE
2200002J24Rik	chr7	FALSE	TRUE
2210010C04Rik	chr6	FALSE	FALSE
2210016F16Rik	chr13	FALSE	TRUE
2210016L21Rik	chr5	FALSE	TRUE
2210017I01Rik	chr3	FALSE	FALSE
2210407C18Rik	chr11	FALSE	FALSE
2210408I21Rik	chr13	TRUE	TRUE
2300002M23Rik	chr17	FALSE	TRUE
2300003K06Rik	chr11	FALSE	FALSE
2300009A05Rik	chr9	FALSE	TRUE
2310002L09Rik	chr4	FALSE	FALSE
2310003L06Rik	chr5	FALSE	FALSE
2310009B15Rik	chr1	FALSE	TRUE
2310011J03Rik	chr10	FALSE	TRUE
2310022A10Rik	chr7	FALSE	TRUE
2310022B05Rik	chr8	FALSE	TRUE
2310030G06Rik	chr9	FALSE	TRUE
2310033P09Rik	chr11	FALSE	TRUE
2310034C09Rik	chr16	FALSE	FALSE
2310034G01Rik	chr19	FALSE	TRUE
2310039H08Rik	chr17	FALSE	TRUE
2310046K23Rik	chr3	FALSE	FALSE
2310050C09Rik	chr3	FALSE	FALSE
2310057J18Rik	chr10	FALSE	FALSE
2310057M21Rik	chr7	FALSE	TRUE
2310057N15Rik	chr16	TRUE	FALSE
2310061I04Rik	chr17	FALSE	TRUE
2310061N02Rik	chr16	FALSE	FALSE
2310079G19Rik	chr16	FALSE	FALSE
2410002F23Rik	chr7	FALSE	TRUE
2410004B18Rik	chr3	FALSE	TRUE
2410004P03Rik	chr12	FALSE	TRUE
2410131K14Rik	chr5	TRUE	TRUE
2410137M14Rik	chr17	FALSE	TRUE
2410141K09Rik	chr13	FALSE	FALSE
2510002D24Rik	chr16	FALSE	TRUE
2510009E07Rik	chr16	FALSE	TRUE
2510039O18Rik	chr4	FALSE	TRUE
2610001J05Rik	chr6	FALSE	TRUE
2610002M06Rik	chrX	FALSE	TRUE
2610008E11Rik	chr10	FALSE	TRUE
2610021A01Rik	chr7	FALSE	TRUE
2610028H24Rik	chr10	FALSE	TRUE
2610042L04Rik	chr14	FALSE	FALSE
2610044O15Rik8	chr8	FALSE	FALSE
2610301B20Rik	chr4	FALSE	TRUE
2610318N02Rik	chr16	FALSE	TRUE
2610507B11Rik	chr11	FALSE	TRUE
2610528A11Rik	chr14	FALSE	TRUE
2610528J11Rik	chr4	FALSE	FALSE
2700049A03Rik	chr12	TRUE	TRUE
2700062C07Rik	chr18	FALSE	TRUE
2700081O15Rik	chr19	FALSE	TRUE
2700097O09Rik	chr12	FALSE	TRUE
2810004N23Rik	chr8	FALSE	TRUE
2810006K23Rik	chr5	FALSE	TRUE
2810021J22Rik	chr11	FALSE	TRUE
2810408A11Rik	chr11	FALSE	TRUE
2810459M11Rik	chr1	FALSE	TRUE
2900026A02Rik	chr5	TRUE	TRUE
2900092C05Rik	chr7	TRUE	FALSE
3110001I22Rik	chr16	FALSE	TRUE
3110009E18Rik	chr1	TRUE	TRUE
3110021N24Rik	chr4	TRUE	TRUE
3110040N11Rik	chr7	FALSE	TRUE
3110082I17Rik	chr5	TRUE	TRUE
3110082J24Rik	chr5	FALSE	TRUE
3300002I08Rik	chr2	FALSE	FALSE
3425401B19Rik	chr14	FALSE	TRUE
3830403N18Rik	chrX	FALSE	FALSE
3830406C13Rik	chr14	TRUE	TRUE
3830417A13Rik	chrX	FALSE	TRUE
4430402I18Rik	chr19	TRUE	TRUE
4632433K11Rik	chr7	FALSE	TRUE
4833420G17Rik	chr13	FALSE	TRUE
4833427G06Rik	chr9	FALSE	TRUE
4833439L19Rik	chr13	FALSE	TRUE
4921504E06Rik	chr2	FALSE	FALSE
4921507P07Rik	chr6	FALSE	TRUE
4921509C19Rik	chr2	FALSE	TRUE
4921511C20Rik	chrX	FALSE	FALSE
4921517D22Rik	chr13	FALSE	TRUE
4921524J17Rik	chr8	FALSE	TRUE
4921524L21Rik	chr18	TRUE	FALSE
4921536K21Rik	chr11	FALSE	TRUE
4921539E11Rik	chr4	FALSE	TRUE
4930402F06Rik	chr2	FALSE	TRUE
4930402H24Rik	chr2	TRUE	TRUE
4930402K13Rik	chrX	TRUE	TRUE
4930404H24Rik	chr2	FALSE	TRUE
4930404N11Rik	chr10	FALSE	TRUE
4930407I10Rik	chr15	FALSE	TRUE
4930412O13Rik	chr2	FALSE	FALSE
4930415L06Rik	chrX	FALSE	FALSE
4930415O20Rik	chr15	FALSE	TRUE
4930430F08Rik	chr10	TRUE	TRUE
4930432K21Rik	chr8	FALSE	TRUE
4930432M17Rik	chr3	FALSE	TRUE
4930433I11Rik	chr7	FALSE	FALSE
4930438A08Rik	chr11	FALSE	TRUE
4930444G20Rik	chr10	FALSE	FALSE
4930444P10Rik	chr1	TRUE	TRUE
4930447A16Rik	chr15	FALSE	TRUE
4930447C04Rik	chr12	TRUE	TRUE
4930449I24Rik	chr5	FALSE	FALSE
4930451I11Rik	chr7	FALSE	TRUE
4930452B06Rik	chr14	FALSE	FALSE
4930453N24Rik	chr16	FALSE	TRUE
4930455H04Rik	chr3	FALSE	FALSE
4930467E23Rik	chr8	FALSE	FALSE
4930469K13Rik	chr11	FALSE	FALSE
4930470P17Rik	chr2	TRUE	FALSE
4930474N05Rik	chr14	FALSE	FALSE
4930480E11Rik	chrX	FALSE	FALSE
4930486L24Rik	chr13	FALSE	FALSE
4930503B20Rik	chr3	FALSE	TRUE
4930503E14Rik	chr14	FALSE	FALSE
4930503L19Rik	chr18	FALSE	TRUE
4930505A04Rik	chr11	FALSE	TRUE
4930512M02Rik	chr11	FALSE	FALSE
4930513O06Rik	chrX	FALSE	FALSE
4930516K23Rik	chr7	FALSE	FALSE
4930519G04Rik	chr5	FALSE	TRUE
4930522H14Rik	chr4	FALSE	TRUE
4930522L14Rik	chr5	FALSE	FALSE
4930523C07Rik	chr1	FALSE	TRUE
4930524B15Rik	chr11	FALSE	TRUE
4930544D05Rik	chr11	FALSE	TRUE
4930544G11Rik	chr6	FALSE	FALSE
4930548H24Rik	chr5	FALSE	TRUE
4930550C14Rik	chr9	FALSE	TRUE
4930550L24Rik	chrX	FALSE	FALSE
4930555G01Rik	chr14	FALSE	FALSE
4930556J24Rik	chr11	FALSE	TRUE
4930558C23Rik	chr3	FALSE	TRUE
4930558K02Rik	chr1	FALSE	TRUE
4930562C15Rik	chr16	FALSE	TRUE
4930563E22Rik	chr11	FALSE	TRUE
4930563M21Rik	chr9	TRUE	TRUE
4930564D02Rik	chr3	TRUE	TRUE
4930568D16Rik	chr2	TRUE	TRUE
4930572O03Rik	chr5	FALSE	FALSE
4930578G10Rik	chr4	FALSE	TRUE
4930578I06Rik	chr14	FALSE	TRUE
4930579F01Rik	chr3	FALSE	TRUE
4930579G24Rik	chr3	FALSE	TRUE
4930583I09Rik	chr17	FALSE	TRUE
4930590J08Rik	chr6	FALSE	TRUE
4930595D18Rik	chr12	FALSE	TRUE
4930595M18Rik	chrX	FALSE	FALSE
4930596D02Rik	chr14	FALSE	FALSE
4931406B18Rik	chr7	FALSE	TRUE
4931406C07Rik	chr9	FALSE	TRUE
4931406P16Rik	chr7	TRUE	TRUE
4931408C20Rik	chr1	FALSE	FALSE
4931414P19Rik	chr14	FALSE	TRUE
4931417E11Rik	chr6	FALSE	TRUE
4931422A03Rik	chr2	FALSE	TRUE
4931428F04Rik	chr8	FALSE	TRUE
4931428L18Rik	chr1	FALSE	FALSE
4931429L15Rik	chr9	TRUE	TRUE
4932411N23Rik	chrX	FALSE	FALSE
4932414N04Rik	chr2	TRUE	FALSE
4932415D10Rik	chr10	FALSE	FALSE
4932429P05Rik	chrX	FALSE	FALSE
4932438A13Rik	chr3	FALSE	TRUE
4932438H23Rik	chr16	TRUE	TRUE
4933400A11Rik	chrX	FALSE	TRUE
4933402D24Rik	chr1	FALSE	TRUE
4933402E13Rik	chrX	FALSE	TRUE
4933402J07Rik	chr8	FALSE	TRUE
4933402N03Rik	chr7	FALSE	TRUE
4933402N22Rik	chr5	FALSE	FALSE
4933403O08Rik	chrX	FALSE	FALSE
4933405L10Rik	chr8	FALSE	TRUE
4933405O20Rik	chr7	FALSE	FALSE
4933407L21Rik	chr1	FALSE	TRUE
4933409G03Rik	chr2	FALSE	FALSE
4933411K16Rik	chr19	FALSE	TRUE
4933412E24Rik	chr15	FALSE	FALSE
4933414I15Rik	chr11	FALSE	TRUE
4933417A18Rik	chr13	TRUE	TRUE
4933421I07Rik	chr7	FALSE	FALSE
4933424G06Rik	chr1	TRUE	TRUE
4933427D14Rik	chr11	TRUE	TRUE
4933428G20Rik	chr11	TRUE	TRUE
4933428M09Rik	chrX	FALSE	TRUE
4933430I17Rik	chr4	FALSE	TRUE
4933434E20Rik	chr3	FALSE	TRUE
4933436I01Rik	chrX	FALSE	TRUE
5031410I06Rik	chr5	FALSE	TRUE
5031439G07Rik	chr15	TRUE	TRUE
5330417C22Rik	chr3	TRUE	TRUE
5430401F13Rik	chr6	FALSE	FALSE
5430402E10Rik	chrX	FALSE	FALSE
5430403G16Rik	chr5	FALSE	FALSE
5430427O19Rik	chrX	FALSE	FALSE
5530400C23Rik	chr6	FALSE	FALSE
5530401A14Rik	chr11	FALSE	FALSE
5730409E04Rik	chr4	FALSE	TRUE
5730455P16Rik	chr11	FALSE	TRUE
5730480H06Rik	chr5	TRUE	FALSE
5730507C01Rik	chr12	FALSE	FALSE
5730522E02Rik	chr11	TRUE	FALSE
5830411N06Rik	chr7	FALSE	FALSE
6030458C11Rik	chr15	FALSE	TRUE
6030468B19Rik	chr11	FALSE	TRUE
6030498E09Rik	chrX	FALSE	FALSE
6330403K07Rik	chr11	FALSE	TRUE
6330409D20Rik	chr2	FALSE	TRUE
6330411D24Rik	chr4	FALSE	TRUE
6430548M08Rik	chr8	TRUE	TRUE
6430550D23Rik	chr2	TRUE	TRUE
6430571L13Rik	chr9	FALSE	TRUE
6430628N08Rik	chr4	FALSE	TRUE
6720489N17Rik	chr13	FALSE	FALSE
6820408C15Rik	chr2	FALSE	TRUE
7420426K07Rik	chr9	TRUE	FALSE
7530416G11Rik	chr15	TRUE	TRUE
8030462N17Rik	chr18	TRUE	TRUE
8030474K03Rik	chrX	FALSE	TRUE
9030025P20Rik	chr17	FALSE	TRUE
9030624G23Rik	chr12	FALSE	FALSE
9130008F23Rik	chr17	FALSE	FALSE
9130019O22Rik	chr7	FALSE	TRUE
9130023H24Rik	chr7	FALSE	TRUE
9130230L23Rik	chr5	FALSE	FALSE
9130401M01Rik	chr15	FALSE	TRUE
9130409I23Rik	chr1	FALSE	TRUE
9230102O04Rik	chr2	FALSE	FALSE
9230112D13Rik	chr14	FALSE	TRUE
9330159F19Rik	chr10	FALSE	TRUE
9330182L06Rik	chr5	TRUE	FALSE
9330182O14Rik	chr15	FALSE	TRUE
9430015G10Rik	chr4	FALSE	TRUE
9430038I01Rik	chr7	TRUE	TRUE
9430069I07Rik	chr15	FALSE	FALSE
9530002B09Rik	chr4	FALSE	FALSE
9530003J23Rik	chr10	FALSE	TRUE
9530053A07Rik	chr7	TRUE	TRUE
9530068E07Rik	chr11	FALSE	TRUE
9530077C05Rik	chr9	FALSE	TRUE
9630041A04Rik	chr9	FALSE	TRUE
9830107B12Rik	chr17	FALSE	FALSE
9930012K11Rik	chr14	FALSE	TRUE
9930021J03Rik	chr19	TRUE	TRUE
9930022D16Rik	chr11	FALSE	TRUE
9930104L06Rik	chr4	FALSE	TRUE
9930111J21Rik1	chr11	FALSE	FALSE
9930111J21Rik2	chr11	FALSE	FALSE
A030003K21Rik	chr1	FALSE	FALSE
A030005K14Rik	chr1	FALSE	FALSE
A030005L19Rik	chr1	FALSE	TRUE
A030014E15Rik	chr1	FALSE	TRUE
A130010J15Rik	chr1	FALSE	TRUE
A1bg	chr15	FALSE	FALSE
A1cf	chr19	FALSE	FALSE
A230072I06Rik	chr8	FALSE	FALSE
A26c2	chr7	FALSE	FALSE
A26c3	chr2	FALSE	FALSE
A2m	chr6	FALSE	FALSE
A2ml1	chr6	FALSE	FALSE
A330070K13Rik	chr5	FALSE	TRUE
A3galt2	chr4	FALSE	TRUE
A430005L14Rik	chr4	TRUE	TRUE
A430033K04Rik	chr5	FALSE	TRUE
A4galt	chr15	TRUE	TRUE
A4gnt	chr9	FALSE	TRUE
A530016L24Rik	chr12	FALSE	TRUE
A530032D15Rik	chr1	FALSE	FALSE
A530064D06Rik	chr17	FALSE	FALSE
A530084C06Rik	chr13	FALSE	FALSE
A630001G21Rik	chr1	TRUE	TRUE
A630010A05Rik	chr16	TRUE	FALSE
A630023A22Rik	chr14	TRUE	TRUE
A630073D07Rik	chr6	FALSE	FALSE
A630076J17Rik	chr3	FALSE	TRUE
A630089N07Rik	chr16	FALSE	TRUE
A630095N17Rik	chr1	FALSE	TRUE
A730009L09Rik	chr16	FALSE	FALSE
A730046J19Rik	chrX	FALSE	FALSE
A730049H05Rik	chr6	FALSE	FALSE
A730071L15Rik	chr11	FALSE	TRUE
A830005F24Rik	chr13	FALSE	TRUE
A830018L16Rik	chr1	TRUE	FALSE
A830031A19Rik	chr11	TRUE	FALSE
A930003A15Rik	chr16	FALSE	FALSE
A930004D18Rik	chr2	FALSE	TRUE
A930007A09Rik	chr16	FALSE	TRUE
A930009A15Rik	chr10	FALSE	TRUE
A930017K11Rik	chr17	FALSE	TRUE
A930018P22Rik	chr2	FALSE	TRUE
A930033H14Rik	chr10	FALSE	FALSE
AA467197	chr2	FALSE	TRUE
AA792892	chr5	FALSE	FALSE
AA986860	chr1	FALSE	TRUE
AAdacl4fm3	chr4	FALSE	FALSE
AB124611	chr9	FALSE	TRUE
AC124764.1	chr18	FALSE	FALSE
AC147806.1	chr1	FALSE	FALSE
AC147806.2	chr1	TRUE	FALSE
AC151602.1	chr7	FALSE	TRUE
AC159819.1	chr9	FALSE	TRUE
AC160405.1	chr10	FALSE	TRUE
AC166256.1	chr10	FALSE	TRUE
AC167036.1	chr1	FALSE	FALSE
AC167036.2	chr1	FALSE	FALSE
AF067061	chr13	FALSE	FALSE
AF067063	chr13	FALSE	TRUE
AF366264	chr8	FALSE	TRUE
AI182371	chr2	TRUE	TRUE
AI413582	chr17	FALSE	TRUE
AI429214	chr8	FALSE	FALSE
AI467606	chr7	FALSE	TRUE
AI593442	chr9	FALSE	FALSE
AI597479	chr1	FALSE	TRUE
AI661453	chr17	TRUE	TRUE
AI837181	chr19	FALSE	TRUE
AI854703	chr6	FALSE	TRUE
AI987944	chr7	FALSE	FALSE
AK157302	chr13	FALSE	TRUE
AL607142.1	chr4	FALSE	TRUE
AL646049.1	chrX	TRUE	TRUE
AL731706.1	chr2	FALSE	TRUE
AL805980.1	chrX	FALSE	TRUE
AL935121.1	chr2	FALSE	TRUE
AU015836	chrX	FALSE	TRUE
AU018091	chr7	FALSE	FALSE
AU021092	chr16	FALSE	TRUE
AU022252	chr4	FALSE	TRUE
AU022751	chrX	FALSE	TRUE
AU040320	chr4	FALSE	TRUE
AU041133	chr10	FALSE	TRUE
AW146154	chr7	FALSE	FALSE
AW209491	chr13	FALSE	TRUE
AW549877	chr15	FALSE	TRUE
AW551984	chr9	FALSE	FALSE
AW554918	chr18	TRUE	TRUE
AW822073	chr10	FALSE	FALSE
AY074887	chr9	FALSE	TRUE
AY358078	chr14	FALSE	TRUE
AY761185	chr8	FALSE	FALSE
Aaas	chr15	FALSE	TRUE
Aacs	chr5	FALSE	TRUE
Aadac	chr3	FALSE	FALSE
Aadacl2	chr3	FALSE	FALSE
Aadacl2fm1	chr3	FALSE	FALSE
Aadacl2fm2	chr3	FALSE	FALSE
Aadacl2fm3	chr3	FALSE	FALSE
Aadacl3	chr4	FALSE	FALSE
Aadacl4	chr4	FALSE	FALSE
Aadacl4fm1	chr4	FALSE	FALSE
Aadacl4fm2	chr4	FALSE	FALSE
Aadacl4fm4	chr4	FALSE	FALSE
Aadacl4fm5	chr4	FALSE	FALSE
Aadat	chr8	FALSE	FALSE
Aagab	chr9	FALSE	TRUE
Aak1	chr6	TRUE	TRUE
Aamdc	chr7	TRUE	TRUE
Aamp	chr1	FALSE	TRUE
Aanat	chr11	FALSE	TRUE
Aar2	chr2	TRUE	TRUE
Aard	chr15	FALSE	FALSE
Aars	chr8	FALSE	TRUE
Aars2	chr17	FALSE	TRUE
Aarsd1	chr11	FALSE	TRUE
Aasdh	chr5	FALSE	TRUE
Aasdhppt	chr9	FALSE	TRUE
Aass	chr6	TRUE	FALSE
Aatf	chr11	TRUE	TRUE
Aatk	chr11	FALSE	TRUE
Abat	chr16	TRUE	TRUE
Abca1	chr4	FALSE	TRUE
Abca12	chr1	FALSE	FALSE
Abca13	chr11	FALSE	FALSE
Abca14	chr7	FALSE	FALSE
Abca15	chr7	FALSE	FALSE
Abca16	chr7	TRUE	FALSE
Abca17	chr17	FALSE	TRUE
Abca2	chr2	FALSE	TRUE
Abca3	chr17	FALSE	TRUE
Abca4	chr3	FALSE	TRUE
Abca5	chr11	FALSE	TRUE
Abca6	chr11	FALSE	FALSE
Abca7	chr10	FALSE	TRUE
Abca8a	chr11	TRUE	FALSE
Abca8b	chr11	FALSE	TRUE
Abca9	chr11	TRUE	FALSE
Abcb10	chr8	FALSE	TRUE
Abcb11	chr2	TRUE	FALSE
Abcb1a	chr5	FALSE	FALSE
Abcb1b	chr5	TRUE	FALSE
Abcb4	chr5	TRUE	FALSE
Abcb5	chr12	TRUE	FALSE
Abcb6	chr1	FALSE	TRUE
Abcb7	chrX	TRUE	TRUE
Abcb8	chr5	FALSE	TRUE
Abcb9	chr5	TRUE	TRUE
Abcc1	chr16	FALSE	TRUE
Abcc10	chr17	FALSE	TRUE
Abcc12	chr8	FALSE	TRUE
Abcc2	chr19	FALSE	TRUE
Abcc3	chr11	FALSE	TRUE
Abcc4	chr14	TRUE	TRUE
Abcc5	chr16	TRUE	TRUE
Abcc6	chr7	TRUE	TRUE
Abcc8	chr7	TRUE	TRUE
Abcc9	chr6	FALSE	FALSE
Abcd1	chrX	FALSE	TRUE
Abcd2	chr15	TRUE	TRUE
Abcd3	chr3	TRUE	TRUE
Abcd4	chr12	FALSE	TRUE
Abce1	chr8	FALSE	TRUE
Abcf1	chr17	TRUE	TRUE
Abcf2	chr5	FALSE	TRUE
Abcf3	chr16	FALSE	TRUE
Abcg1	chr17	TRUE	TRUE
Abcg2	chr6	TRUE	FALSE
Abcg3	chr5	TRUE	FALSE
Abcg4	chr9	FALSE	TRUE
Abcg5	chr17	FALSE	TRUE
Abcg8	chr17	TRUE	TRUE
Abhd10	chr16	FALSE	TRUE
Abhd11	chr5	FALSE	TRUE
Abhd12	chr2	TRUE	TRUE
Abhd12b	chr12	FALSE	TRUE
Abhd13	chr8	FALSE	TRUE
Abhd14a	chr9	FALSE	TRUE
Abhd14b	chr9	FALSE	TRUE
Abhd15	chr11	TRUE	TRUE
Abhd16a	chr17	FALSE	TRUE
Abhd16b	chr2	FALSE	TRUE
Abhd17a	chr10	FALSE	TRUE
Abhd17b	chr19	FALSE	TRUE
Abhd17c	chr7	TRUE	TRUE
Abhd18	chr3	FALSE	TRUE
Abhd2	chr7	TRUE	TRUE
Abhd3	chr18	TRUE	TRUE
Abhd4	chr14	FALSE	TRUE
Abhd5	chr9	FALSE	TRUE
Abhd6	chr14	TRUE	TRUE
Abhd8	chr8	FALSE	TRUE
Abi1	chr2	TRUE	TRUE
Abi2	chr1	FALSE	TRUE
Abi3	chr11	TRUE	TRUE
Abi3bp	chr16	TRUE	TRUE
Abitram	chr4	FALSE	TRUE
Abl1	chr2	TRUE	TRUE
Abl2	chr1	TRUE	TRUE
Ablim1	chr19	TRUE	TRUE
Ablim2	chr5	TRUE	TRUE
Ablim3	chr18	TRUE	TRUE
Abo	chr2	FALSE	TRUE
Abr	chr11	TRUE	TRUE
Abra	chr15	FALSE	TRUE
Abracl	chr10	FALSE	TRUE
Abraxas1	chr5	FALSE	TRUE
Abraxas2	chr7	FALSE	TRUE
Abt1	chr13	FALSE	TRUE
Abtb1	chr6	FALSE	TRUE
Abtb2	chr2	FALSE	TRUE
Acaa1a	chr9	FALSE	TRUE
Acaa1b	chr9	FALSE	FALSE
Acaa2	chr18	FALSE	TRUE
Acaca	chr11	TRUE	TRUE
Acacb	chr5	TRUE	TRUE
Acad10	chr5	TRUE	TRUE
Acad11	chr9	TRUE	TRUE
Acad12	chr5	FALSE	TRUE
Acad8	chr9	FALSE	TRUE
Acad9	chr3	TRUE	TRUE
Acadl	chr1	FALSE	TRUE
Acadm	chr3	FALSE	TRUE
Acads	chr5	FALSE	TRUE
Acadsb	chr7	FALSE	TRUE
Acadvl	chr11	FALSE	TRUE
Acan	chr7	TRUE	FALSE
Acap1	chr11	FALSE	TRUE
Acap2	chr16	TRUE	TRUE
Acap3	chr4	FALSE	TRUE
Acat1	chr9	TRUE	TRUE
Acat2	chr17	FALSE	TRUE
Acat3	chr17	FALSE	TRUE
Acbd3	chr1	FALSE	TRUE
Acbd4	chr11	FALSE	TRUE
Acbd5	chr2	FALSE	TRUE
Acbd6	chr1	TRUE	TRUE
Acbd7	chr2	FALSE	TRUE
Accs	chr2	FALSE	TRUE
Accsl	chr2	FALSE	TRUE
Acd	chr8	FALSE	TRUE
Ace	chr11	TRUE	TRUE
Ace2	chrX	FALSE	TRUE
Ace3	chr11	FALSE	TRUE
Acer1	chr17	FALSE	TRUE
