gene_name	chr	mch_hyper	in_target
2610042L04Rik	chr14	FALSE	TRUE
2610044O15Rik8	chr8	FALSE	TRUE
2610301B20Rik	chr4	FALSE	FALSE
2610318N02Rik	chr16	FALSE	FALSE
2610507B11Rik	chr11	FALSE	FALSE
2610528A11Rik	chr14	FALSE	FALSE
2610528J11Rik	chr4	FALSE	TRUE
2700049A03Rik	chr12	FALSE	FALSE
2700062C07Rik	chr18	FALSE	FALSE
2700081O15Rik	chr19	FALSE	FALSE
2700097O09Rik	chr12	FALSE	FALSE
2810004N23Rik	chr8	FALSE	FALSE
2810006K23Rik	chr5	FALSE	FALSE
2810021J22Rik	chr11	FALSE	FALSE
2810408A11Rik	chr11	FALSE	FALSE
2810459M11Rik	chr1	FALSE	FALSE
2900026A02Rik	chr5	FALSE	FALSE
2900092C05Rik	chr7	FALSE	TRUE
3110001I22Rik	chr16	FALSE	FALSE
3110009E18Rik	chr1	FALSE	FALSE
3110021N24Rik	chr4	FALSE	FALSE
3110040N11Rik	chr7	FALSE	FALSE
3110082I17Rik	chr5	FALSE	FALSE
3110082J24Rik	chr5	FALSE	FALSE
3300002I08Rik	chr2	FALSE	TRUE
3425401B19Rik	chr14	FALSE	FALSE
3830403N18Rik	chrX	FALSE	TRUE
3830406C13Rik	chr14	FALSE	FALSE
3830417A13Rik	chrX	FALSE	FALSE
4430402I18Rik	chr19	FALSE	FALSE
4632433K11Rik	chr7	FALSE	FALSE
4833420G17Rik	chr13	FALSE	FALSE
4833427G06Rik	chr9	FALSE	FALSE
4833439L19Rik	chr13	FALSE	FALSE
4921504E06Rik	chr2	FALSE	TRUE
4921507P07Rik	chr6	FALSE	FALSE
4921509C19Rik	chr2	FALSE	TRUE
4921511C20Rik	chrX	FALSE	TRUE
4921517D22Rik	chr13	FALSE	FALSE
4921524J17Rik	chr8	FALSE	FALSE
4921524L21Rik	chr18	FALSE	TRUE
4921536K21Rik	chr11	FALSE	FALSE
4921539E11Rik	chr4	FALSE	FALSE
4930402F06Rik	chr2	FALSE	FALSE
4930402H24Rik	chr2	FALSE	FALSE
4930402K13Rik	chrX	FALSE	FALSE
4930404H24Rik	chr2	FALSE	FALSE
4930404N11Rik	chr10	FALSE	FALSE
4930407I10Rik	chr15	FALSE	FALSE
4930412O13Rik	chr2	FALSE	TRUE
4930415L06Rik	chrX	FALSE	TRUE
4930415O20Rik	chr15	FALSE	FALSE
4930430F08Rik	chr10	FALSE	FALSE
4930432K21Rik	chr8	FALSE	FALSE
4930432M17Rik	chr3	FALSE	TRUE
4930433I11Rik	chr7	FALSE	TRUE
4930438A08Rik	chr11	FALSE	TRUE
4930444G20Rik	chr10	FALSE	TRUE
4930444P10Rik	chr1	FALSE	TRUE
4930447A16Rik	chr15	TRUE	FALSE
4930447C04Rik	chr12	FALSE	FALSE
4930449I24Rik	chr5	FALSE	TRUE
4930451I11Rik	chr7	FALSE	FALSE
4930452B06Rik	chr14	FALSE	TRUE
4930453N24Rik	chr16	FALSE	FALSE
4930455H04Rik	chr3	FALSE	TRUE
4930467E23Rik	chr8	FALSE	TRUE
4930469K13Rik	chr11	FALSE	TRUE
4930470P17Rik	chr2	FALSE	TRUE
4930474N05Rik	chr14	FALSE	TRUE
4930480E11Rik	chrX	FALSE	TRUE
4930486L24Rik	chr13	FALSE	TRUE
4930503B20Rik	chr3	FALSE	FALSE
4930503E14Rik	chr14	FALSE	TRUE
4930503L19Rik	chr18	FALSE	FALSE
4930505A04Rik	chr11	TRUE	TRUE
4930512M02Rik	chr11	FALSE	TRUE
4930513O06Rik	chrX	FALSE	TRUE
4930516K23Rik	chr7	FALSE	TRUE
4930519G04Rik	chr5	FALSE	FALSE
4930522H14Rik	chr4	FALSE	TRUE
4930522L14Rik	chr5	FALSE	TRUE
4930523C07Rik	chr1	TRUE	FALSE
4930524B15Rik	chr11	FALSE	TRUE
4930544D05Rik	chr11	FALSE	FALSE
4930544G11Rik	chr6	FALSE	TRUE
4930548H24Rik	chr5	FALSE	FALSE
4930550C14Rik	chr9	FALSE	FALSE
4930550L24Rik	chrX	FALSE	TRUE
4930555G01Rik	chr14	FALSE	TRUE
4930556J24Rik	chr11	FALSE	FALSE
4930558C23Rik	chr3	FALSE	FALSE
4930558K02Rik	chr1	FALSE	FALSE
4930562C15Rik	chr16	FALSE	FALSE
4930563E22Rik	chr11	FALSE	FALSE
4930563M21Rik	chr9	FALSE	TRUE
4930564D02Rik	chr3	FALSE	FALSE
4930568D16Rik	chr2	FALSE	FALSE
4930572O03Rik	chr5	FALSE	TRUE
4930578G10Rik	chr4	FALSE	FALSE
4930578I06Rik	chr14	FALSE	FALSE
4930579F01Rik	chr3	FALSE	FALSE
4930579G24Rik	chr3	FALSE	FALSE
4930583I09Rik	chr17	FALSE	FALSE
4930590J08Rik	chr6	FALSE	FALSE
4930595D18Rik	chr12	FALSE	FALSE
4930595M18Rik	chrX	FALSE	TRUE
4930596D02Rik	chr14	FALSE	TRUE
4931406B18Rik	chr7	FALSE	FALSE
4931406C07Rik	chr9	FALSE	FALSE
4931406P16Rik	chr7	FALSE	FALSE
4931408C20Rik	chr1	FALSE	TRUE
4931414P19Rik	chr14	FALSE	FALSE
4931417E11Rik	chr6	FALSE	FALSE
4931422A03Rik	chr2	FALSE	FALSE
4931428F04Rik	chr8	TRUE	FALSE
4931428L18Rik	chr1	TRUE	TRUE
4931429L15Rik	chr9	FALSE	FALSE
4932411N23Rik	chrX	FALSE	TRUE
4932414N04Rik	chr2	FALSE	TRUE
4932415D10Rik	chr10	FALSE	TRUE
4932429P05Rik	chrX	FALSE	TRUE
4932438A13Rik	chr3	FALSE	FALSE
4932438H23Rik	chr16	FALSE	FALSE
4933400A11Rik	chrX	FALSE	FALSE
4933402D24Rik	chr1	FALSE	FALSE
4933402E13Rik	chrX	FALSE	FALSE
4933402J07Rik	chr8	FALSE	FALSE
4933402N03Rik	chr7	FALSE	FALSE
4933402N22Rik	chr5	FALSE	TRUE
4933403O08Rik	chrX	FALSE	TRUE
4933405L10Rik	chr8	FALSE	FALSE
4933405O20Rik	chr7	FALSE	TRUE
4933407L21Rik	chr1	FALSE	FALSE
4933409G03Rik	chr2	FALSE	TRUE
4933411K16Rik	chr19	FALSE	FALSE
4933412E24Rik	chr15	FALSE	TRUE
4933414I15Rik	chr11	FALSE	FALSE
4933417A18Rik	chr13	FALSE	FALSE
4933421I07Rik	chr7	FALSE	TRUE
4933424G06Rik	chr1	FALSE	FALSE
4933427D14Rik	chr11	FALSE	FALSE
4933428G20Rik	chr11	FALSE	FALSE
4933428M09Rik	chrX	FALSE	FALSE
4933430I17Rik	chr4	FALSE	FALSE
4933434E20Rik	chr3	FALSE	FALSE
4933436I01Rik	chrX	FALSE	FALSE
5031410I06Rik	chr5	FALSE	FALSE
5031439G07Rik	chr15	FALSE	FALSE
5330417C22Rik	chr3	FALSE	FALSE
5430401F13Rik	chr6	FALSE	TRUE
5430402E10Rik	chrX	FALSE	TRUE
5430403G16Rik	chr5	FALSE	TRUE
5430427O19Rik	chrX	FALSE	TRUE
5530400C23Rik	chr6	FALSE	TRUE
5530401A14Rik	chr11	FALSE	TRUE
5730409E04Rik	chr4	FALSE	FALSE
5730455P16Rik	chr11	FALSE	FALSE
5730480H06Rik	chr5	FALSE	TRUE
5730507C01Rik	chr12	FALSE	TRUE
5730522E02Rik	chr11	FALSE	TRUE
5830411N06Rik	chr7	FALSE	TRUE
6030458C11Rik	chr15	FALSE	FALSE
6030468B19Rik	chr11	FALSE	FALSE
6030498E09Rik	chrX	FALSE	TRUE
6330403K07Rik	chr11	FALSE	FALSE
6330409D20Rik	chr2	FALSE	FALSE
6330411D24Rik	chr4	TRUE	FALSE
6430548M08Rik	chr8	FALSE	FALSE
6430550D23Rik	chr2	FALSE	FALSE
6430571L13Rik	chr9	FALSE	FALSE
6430628N08Rik	chr4	FALSE	FALSE
6720489N17Rik	chr13	FALSE	TRUE
6820408C15Rik	chr2	FALSE	FALSE
7420426K07Rik	chr9	FALSE	TRUE
7530416G11Rik	chr15	FALSE	FALSE
8030462N17Rik	chr18	FALSE	FALSE
8030474K03Rik	chrX	FALSE	FALSE
9030025P20Rik	chr17	FALSE	FALSE
9030624G23Rik	chr12	FALSE	TRUE
9130008F23Rik	chr17	FALSE	TRUE
9130019O22Rik	chr7	FALSE	FALSE
9130023H24Rik	chr7	FALSE	FALSE
9130230L23Rik	chr5	FALSE	TRUE
9130401M01Rik	chr15	TRUE	FALSE
9130409I23Rik	chr1	FALSE	FALSE
9230102O04Rik	chr2	FALSE	TRUE
9230112D13Rik	chr14	FALSE	FALSE
9330159F19Rik	chr10	FALSE	TRUE
9330182L06Rik	chr5	FALSE	TRUE
9330182O14Rik	chr15	FALSE	FALSE
9430015G10Rik	chr4	FALSE	FALSE
9430038I01Rik	chr7	FALSE	FALSE
9430069I07Rik	chr15	FALSE	TRUE
9530002B09Rik	chr4	FALSE	TRUE
9530003J23Rik	chr10	FALSE	FALSE
9530053A07Rik	chr7	FALSE	FALSE
9530068E07Rik	chr11	FALSE	FALSE
9530077C05Rik	chr9	FALSE	FALSE
9630041A04Rik	chr9	FALSE	FALSE
9830107B12Rik	chr17	FALSE	TRUE
9930012K11Rik	chr14	FALSE	FALSE
9930021J03Rik	chr19	FALSE	FALSE
9930022D16Rik	chr11	FALSE	FALSE
9930104L06Rik	chr4	FALSE	FALSE
9930111J21Rik1	chr11	FALSE	TRUE
9930111J21Rik2	chr11	FALSE	TRUE
A030003K21Rik	chr1	FALSE	TRUE
A030005K14Rik	chr1	FALSE	TRUE
A030005L19Rik	chr1	FALSE	FALSE
A030014E15Rik	chr1	FALSE	TRUE
A130010J15Rik	chr1	FALSE	FALSE
A1bg	chr15	FALSE	TRUE
A1cf	chr19	FALSE	TRUE
A230072I06Rik	chr8	FALSE	TRUE
A26c2	chr7	FALSE	TRUE
A26c3	chr2	FALSE	TRUE
A2m	chr6	FALSE	TRUE
A2ml1	chr6	FALSE	TRUE
A330070K13Rik	chr5	TRUE	FALSE
A3galt2	chr4	FALSE	FALSE
A430005L14Rik	chr4	FALSE	FALSE
A430033K04Rik	chr5	FALSE	FALSE
A4galt	chr15	FALSE	FALSE
A4gnt	chr9	FALSE	FALSE
A530016L24Rik	chr12	FALSE	FALSE
A530032D15Rik	chr1	FALSE	TRUE
A530064D06Rik	chr17	FALSE	TRUE
A530084C06Rik	chr13	FALSE	TRUE
A630001G21Rik	chr1	FALSE	TRUE
A630010A05Rik	chr16	FALSE	TRUE
A630023A22Rik	chr14	FALSE	FALSE
A630073D07Rik	chr6	FALSE	TRUE
A630076J17Rik	chr3	FALSE	FALSE
A630089N07Rik	chr16	FALSE	TRUE
A630095N17Rik	chr1	FALSE	FALSE
A730009L09Rik	chr16	FALSE	TRUE
A730046J19Rik	chrX	FALSE	TRUE
A730049H05Rik	chr6	FALSE	TRUE
A730071L15Rik	chr11	FALSE	FALSE
A830005F24Rik	chr13	FALSE	FALSE
A830018L16Rik	chr1	FALSE	TRUE
A830031A19Rik	chr11	FALSE	TRUE
A930003A15Rik	chr16	FALSE	TRUE
A930004D18Rik	chr2	TRUE	FALSE
A930007A09Rik	chr16	FALSE	FALSE
A930009A15Rik	chr10	TRUE	FALSE
A930017K11Rik	chr17	FALSE	FALSE
A930018P22Rik	chr2	FALSE	FALSE
A930033H14Rik	chr10	FALSE	TRUE
AA467197	chr2	FALSE	FALSE
AA792892	chr5	FALSE	TRUE
AA986860	chr1	FALSE	FALSE
AAdacl4fm3	chr4	FALSE	TRUE
AB124611	chr9	FALSE	FALSE
AC124764.1	chr18	FALSE	TRUE
AC147806.1	chr1	FALSE	TRUE
AC147806.2	chr1	FALSE	TRUE
AC151602.1	chr7	FALSE	FALSE
AC159819.1	chr9	FALSE	FALSE
AC160405.1	chr10	FALSE	FALSE
AC166256.1	chr10	FALSE	FALSE
AC167036.1	chr1	FALSE	TRUE
AC167036.2	chr1	FALSE	TRUE
AF067061	chr13	FALSE	TRUE
AF067063	chr13	FALSE	FALSE
AF366264	chr8	FALSE	FALSE
AI182371	chr2	FALSE	FALSE
AI413582	chr17	FALSE	FALSE
AI429214	chr8	FALSE	TRUE
AI467606	chr7	FALSE	FALSE
AI593442	chr9	FALSE	TRUE
AI597479	chr1	FALSE	FALSE
AI661453	chr17	FALSE	FALSE
AI837181	chr19	FALSE	FALSE
AI854703	chr6	FALSE	FALSE
AI987944	chr7	FALSE	TRUE
AK157302	chr13	FALSE	FALSE
AL607142.1	chr4	FALSE	FALSE
AL646049.1	chrX	FALSE	FALSE
AL731706.1	chr2	FALSE	FALSE
AL805980.1	chrX	FALSE	FALSE
AL935121.1	chr2	FALSE	FALSE
AU015836	chrX	FALSE	FALSE
AU018091	chr7	FALSE	TRUE
AU021092	chr16	FALSE	FALSE
AU022252	chr4	FALSE	FALSE
AU022751	chrX	FALSE	FALSE
AU040320	chr4	FALSE	FALSE
AU041133	chr10	FALSE	FALSE
AW146154	chr7	FALSE	TRUE
AW209491	chr13	FALSE	FALSE
AW549877	chr15	FALSE	FALSE
AW551984	chr9	FALSE	TRUE
AW554918	chr18	FALSE	FALSE
AW822073	chr10	FALSE	TRUE
AY074887	chr9	FALSE	FALSE
AY358078	chr14	FALSE	TRUE
AY761185	chr8	FALSE	TRUE
Aaas	chr15	FALSE	FALSE
Aacs	chr5	FALSE	FALSE
Aadac	chr3	FALSE	TRUE
Aadacl2	chr3	FALSE	TRUE
Aadacl2fm1	chr3	FALSE	TRUE
Aadacl2fm2	chr3	FALSE	TRUE
Aadacl2fm3	chr3	FALSE	TRUE
Aadacl3	chr4	FALSE	TRUE
Aadacl4	chr4	FALSE	TRUE
Aadacl4fm1	chr4	FALSE	TRUE
Aadacl4fm2	chr4	FALSE	TRUE
Aadacl4fm4	chr4	FALSE	TRUE
Aadacl4fm5	chr4	FALSE	TRUE
Aadat	chr8	FALSE	TRUE
Aagab	chr9	FALSE	FALSE
Aak1	chr6	FALSE	FALSE
Aamdc	chr7	FALSE	FALSE
Aamp	chr1	FALSE	FALSE
Aanat	chr11	FALSE	FALSE
Aar2	chr2	FALSE	FALSE
Aard	chr15	FALSE	TRUE
Aars	chr8	FALSE	FALSE
Aars2	chr17	FALSE	FALSE
Aarsd1	chr11	FALSE	FALSE
Aasdh	chr5	FALSE	TRUE
Aasdhppt	chr9	FALSE	TRUE
Aass	chr6	FALSE	TRUE
Aatf	chr11	FALSE	FALSE
Aatk	chr11	FALSE	FALSE
Abat	chr16	FALSE	FALSE
Abca1	chr4	FALSE	TRUE
Abca12	chr1	FALSE	TRUE
Abca13	chr11	TRUE	TRUE
Abca14	chr7	FALSE	TRUE
Abca15	chr7	FALSE	TRUE
Abca16	chr7	FALSE	TRUE
Abca17	chr17	FALSE	FALSE
Abca2	chr2	FALSE	FALSE
Abca3	chr17	FALSE	FALSE
Abca4	chr3	FALSE	FALSE
Abca5	chr11	FALSE	TRUE
Abca6	chr11	FALSE	TRUE
Abca7	chr10	FALSE	FALSE
Abca8a	chr11	FALSE	TRUE
Abca8b	chr11	FALSE	TRUE
Abca9	chr11	FALSE	TRUE
Abcb10	chr8	FALSE	FALSE
Abcb11	chr2	FALSE	TRUE
Abcb1a	chr5	FALSE	TRUE
Abcb1b	chr5	FALSE	TRUE
Abcb4	chr5	FALSE	TRUE
Abcb5	chr12	FALSE	TRUE
Abcb6	chr1	FALSE	FALSE
Abcb7	chrX	FALSE	FALSE
Abcb8	chr5	FALSE	FALSE
Abcb9	chr5	FALSE	FALSE
Abcc1	chr16	FALSE	TRUE
Abcc10	chr17	FALSE	FALSE
Abcc12	chr8	TRUE	FALSE
Abcc2	chr19	FALSE	FALSE
Abcc3	chr11	FALSE	FALSE
Abcc4	chr14	FALSE	TRUE
Abcc5	chr16	FALSE	FALSE
Abcc6	chr7	FALSE	FALSE
Abcc8	chr7	FALSE	FALSE
Abcc9	chr6	FALSE	TRUE
Abcd1	chrX	FALSE	FALSE
Abcd2	chr15	FALSE	FALSE
Abcd3	chr3	FALSE	FALSE
Abcd4	chr12	FALSE	FALSE
Abce1	chr8	FALSE	FALSE
Abcf1	chr17	FALSE	FALSE
Abcf2	chr5	FALSE	FALSE
Abcf3	chr16	FALSE	FALSE
Abcg1	chr17	FALSE	FALSE
Abcg2	chr6	FALSE	TRUE
Abcg3	chr5	FALSE	TRUE
Abcg4	chr9	FALSE	FALSE
Abcg5	chr17	FALSE	FALSE
Abcg8	chr17	FALSE	FALSE
Abhd10	chr16	FALSE	FALSE
Abhd11	chr5	FALSE	FALSE
Abhd12	chr2	FALSE	FALSE
Abhd12b	chr12	FALSE	FALSE
Abhd13	chr8	FALSE	FALSE
Abhd14a	chr9	FALSE	FALSE
Abhd14b	chr9	FALSE	FALSE
Abhd15	chr11	FALSE	FALSE
Abhd16a	chr17	FALSE	FALSE
Abhd16b	chr2	FALSE	FALSE
Abhd17a	chr10	FALSE	FALSE
Abhd17b	chr19	FALSE	FALSE
Abhd17c	chr7	FALSE	FALSE
Abhd18	chr3	FALSE	FALSE
Abhd2	chr7	FALSE	FALSE
Abhd3	chr18	FALSE	FALSE
Abhd4	chr14	FALSE	FALSE
Abhd5	chr9	FALSE	TRUE
Abhd6	chr14	FALSE	FALSE
Abhd8	chr8	FALSE	FALSE
Abi1	chr2	FALSE	FALSE
Abi2	chr1	FALSE	FALSE
Abi3	chr11	FALSE	FALSE
Abi3bp	chr16	FALSE	TRUE
Abitram	chr4	FALSE	FALSE
Abl1	chr2	FALSE	FALSE
Abl2	chr1	FALSE	FALSE
Ablim1	chr19	FALSE	FALSE
Ablim2	chr5	FALSE	FALSE
Ablim3	chr18	FALSE	FALSE
Abo	chr2	FALSE	FALSE
Abr	chr11	FALSE	FALSE
Abra	chr15	FALSE	FALSE
Abracl	chr10	FALSE	FALSE
Abraxas1	chr5	FALSE	FALSE
Abraxas2	chr7	FALSE	FALSE
Abt1	chr13	FALSE	FALSE
Abtb1	chr6	FALSE	FALSE
Abtb2	chr2	TRUE	FALSE
Acaa1a	chr9	FALSE	FALSE
Acaa1b	chr9	FALSE	TRUE
Acaa2	chr18	FALSE	FALSE
Acaca	chr11	FALSE	FALSE
Acacb	chr5	FALSE	FALSE
Acad10	chr5	FALSE	FALSE
Acad11	chr9	FALSE	FALSE
Acad12	chr5	FALSE	FALSE
Acad8	chr9	FALSE	TRUE
Acad9	chr3	FALSE	FALSE
Acadl	chr1	FALSE	FALSE
Acadm	chr3	FALSE	FALSE
Acads	chr5	FALSE	FALSE
Acadsb	chr7	FALSE	FALSE
Acadvl	chr11	FALSE	FALSE
Acan	chr7	FALSE	TRUE
Acap1	chr11	FALSE	FALSE
Acap2	chr16	FALSE	FALSE
Acap3	chr4	FALSE	FALSE
Acat1	chr9	FALSE	FALSE
Acat2	chr17	FALSE	FALSE
Acat3	chr17	FALSE	FALSE
Acbd3	chr1	FALSE	FALSE
Acbd4	chr11	FALSE	FALSE
Acbd5	chr2	FALSE	FALSE
Acbd6	chr1	FALSE	FALSE
Acbd7	chr2	FALSE	FALSE
Accs	chr2	FALSE	FALSE
Accsl	chr2	FALSE	FALSE
Acd	chr8	FALSE	FALSE
Ace	chr11	FALSE	FALSE
Ace2	chrX	TRUE	FALSE
Ace3	chr11	FALSE	FALSE
Acer1	chr17	FALSE	FALSE
