gene_name	chr	promoter_state_Unmarked_Promoter	mch_hyper
Olfr834	chr9	TRUE	FALSE
Tnfaip8l2	chr3	TRUE	FALSE
Ctag2	chrX	TRUE	FALSE
Krt24	chr11	TRUE	TRUE
Lce3e	chr3	TRUE	FALSE
Chmp1b	chr18	FALSE	FALSE
2300002M23Rik	chr17	FALSE	FALSE
Pdzd11	chrX	TRUE	FALSE
Tas2r126	chr6	TRUE	FALSE
Svs3a	chr2	TRUE	FALSE
Dhps	chr8	TRUE	FALSE
Sap30	chr8	FALSE	TRUE
Spint3	chr2	TRUE	FALSE
Defb12	chr8	TRUE	FALSE
Scgb1b24	chr7	TRUE	FALSE
Ear14	chr14	TRUE	FALSE
AY074887	chr9	TRUE	FALSE
Uchl4	chr9	TRUE	FALSE
Gm3115	chr14	TRUE	FALSE
Gm15294	chrX	TRUE	FALSE
Lce3f	chr3	TRUE	FALSE
Olfr913	chr9	TRUE	FALSE
Prh1	chr6	TRUE	FALSE
Tas2r119	chr15	TRUE	FALSE
Zic4	chr9	FALSE	TRUE
Rasl10a	chr11	FALSE	FALSE
Hmgb4	chr4	TRUE	FALSE
Wfdc18	chr11	TRUE	FALSE
Olfr1158	chr2	TRUE	FALSE
Gm9736	chr10	TRUE	FALSE
Gm9008	chr6	FALSE	FALSE
Gsx1	chr5	FALSE	FALSE
Vmn1r119	chr7	TRUE	FALSE
H4c4	chr13	TRUE	FALSE
Tmem210	chr2	TRUE	FALSE
4930444G20Rik	chr10	TRUE	FALSE
Gm8138	chr14	TRUE	FALSE
Hspb3	chr13	FALSE	FALSE
H2bc3	chr13	FALSE	FALSE
Gm3550	chr18	TRUE	FALSE
Uqcc3	chr19	TRUE	FALSE
Eif4a1	chr11	TRUE	FALSE
Gm6268	chrX	TRUE	FALSE
Defa27	chr8	TRUE	FALSE
Utp3	chr5	FALSE	FALSE
Thap11	chr8	FALSE	FALSE
Fpr-rs4	chr17	TRUE	FALSE
Fam72a	chr1	FALSE	TRUE
Tex13c3	chrX	TRUE	FALSE
Tas2r105	chr6	TRUE	FALSE
Ndufc1	chr3	TRUE	FALSE
Slc35g2	chr9	FALSE	TRUE
Znhit2	chr19	TRUE	FALSE
Gh	chr11	TRUE	FALSE
Slc13a1	chr6	TRUE	TRUE
Lamtor3-ps	chr14	TRUE	FALSE
Gm5797	chr14	TRUE	FALSE
Tcstv3	chr13	TRUE	FALSE
Mrgprb3	chr7	TRUE	FALSE
Gm14548	chr7	TRUE	FALSE
Krtap4-7	chr11	TRUE	FALSE
AY761185	chr8	TRUE	FALSE
Kctd12	chr14	FALSE	TRUE
1700034I23Rik	chr3	TRUE	FALSE
Tas2r135	chr6	TRUE	FALSE
Mt2	chr8	FALSE	FALSE
Scgb1b3	chr7	TRUE	FALSE
Apoa1	chr9	TRUE	FALSE
Scgb2b12	chr7	TRUE	FALSE
Cntf	chr19	TRUE	FALSE
Pcdhb9	chr18	TRUE	FALSE
V1ra8	chr6	TRUE	FALSE
Zfp551	chr7	TRUE	FALSE
Lmf2	chr15	FALSE	FALSE
Hoxd12	chr2	FALSE	FALSE
Prr23a3	chr9	FALSE	FALSE
Gltpd2	chr11	TRUE	FALSE
Scgb1c1	chr7	TRUE	FALSE
Cox5b	chr1	FALSE	FALSE
Dpm2	chr2	TRUE	FALSE
Znrd2	chr19	FALSE	FALSE
AU022751	chrX	TRUE	FALSE
Olfr112	chr17	TRUE	FALSE
Lsm10	chr4	TRUE	TRUE
Dcpp1	chr17	TRUE	FALSE
Tas2r134	chr2	TRUE	FALSE
Emcn	chr3	TRUE	TRUE
Ccl4	chr11	TRUE	FALSE
H2-Aa	chr17	TRUE	FALSE
Gm21750	chr14	TRUE	FALSE
Gm14327	chr2	TRUE	FALSE
Gm14393	chr2	TRUE	FALSE
Olfr478	chr7	TRUE	TRUE
Foxd4	chr19	FALSE	FALSE
Gm3278	chr14	TRUE	FALSE
Txnl4b	chr8	FALSE	FALSE
Bag5	chr12	TRUE	FALSE
Tmem52	chr4	TRUE	FALSE
Scg2	chr1	FALSE	TRUE
Olfr980	chr9	TRUE	FALSE
Gm5617	chr9	FALSE	FALSE
Aldoart2	chr12	FALSE	FALSE
Gm11555	chr11	TRUE	FALSE
Tnfsf13	chr11	TRUE	TRUE
Olfr603	chr7	TRUE	FALSE
Gm17027	chr14	TRUE	FALSE
Ndufa1	chrX	FALSE	FALSE
Ear6	chr14	TRUE	FALSE
Gm44	chrX	TRUE	FALSE
Tas2r136	chr6	TRUE	FALSE
Krtap13	chr16	TRUE	FALSE
Gm4450	chr3	TRUE	FALSE
Rtl9	chrX	FALSE	FALSE
Olfr910	chr9	TRUE	FALSE
2610001J05Rik	chr6	FALSE	TRUE
Jrkl	chr9	FALSE	FALSE
Insl5	chr4	TRUE	FALSE
Lrrc3c	chr11	TRUE	FALSE
Gm8765	chr13	TRUE	FALSE
Mrgpra4	chr7	TRUE	FALSE
H2-M10.1	chr17	TRUE	FALSE
Cops6	chr5	TRUE	FALSE
Olfr1371	chr11	TRUE	FALSE
Chia1	chr3	TRUE	TRUE
Leng9	chr7	FALSE	FALSE
Ifna12	chr4	TRUE	FALSE
Gm3676	chr14	TRUE	FALSE
Gm3127	chr14	TRUE	FALSE
Olfr803	chr10	TRUE	FALSE
Rhox6	chrX	TRUE	FALSE
Brd3os	chr2	TRUE	FALSE
Olfr106-ps	chr17	TRUE	TRUE
Gm48552	chr10	TRUE	FALSE
Gm614	chrX	TRUE	FALSE
Olfr1084	chr2	TRUE	FALSE
Spsb3	chr17	TRUE	FALSE
Ifna4	chr4	TRUE	FALSE
Maf1	chr15	FALSE	FALSE
Olfr591	chr7	TRUE	TRUE
Gm7102	chr19	TRUE	FALSE
Lrrc49	chr9	TRUE	TRUE
Timm8b	chr9	FALSE	FALSE
Rpl36a-ps1	chr14	TRUE	FALSE
Glycam1	chr15	TRUE	FALSE
Mocs3	chr2	FALSE	FALSE
Nog	chr11	FALSE	FALSE
Krtap5-3	chr7	TRUE	FALSE
Ifna14	chr4	TRUE	FALSE
Rpusd3	chr6	FALSE	FALSE
AC167036.2	chr1	TRUE	FALSE
Ier3	chr17	FALSE	FALSE
Gm13199	chr2	TRUE	FALSE
Sat1	chrX	FALSE	FALSE
Strit1	chr3	TRUE	FALSE
Btg1c	chrX	TRUE	FALSE
Creb3	chr4	FALSE	FALSE
Eif5a	chr11	TRUE	FALSE
Rps18-ps6	chr13	FALSE	FALSE
Fbxl8	chr8	FALSE	FALSE
Rpl35a	chr16	FALSE	FALSE
Med11	chr11	TRUE	FALSE
Gm5136	chr10	TRUE	FALSE
Flrt3	chr2	FALSE	TRUE
Scgb2b19	chr7	TRUE	FALSE
H3c2	chr13	TRUE	FALSE
Bloc1s4	chr5	TRUE	FALSE
Olfr1447	chr19	TRUE	FALSE
Gm4985	chrX	TRUE	FALSE
Hoxa6	chr6	FALSE	FALSE
Pou4f2	chr8	FALSE	FALSE
Prl	chr13	TRUE	TRUE
Smim40	chr17	TRUE	FALSE
Cdk5r2	chr1	FALSE	FALSE
Vmn2r41	chr7	TRUE	FALSE
Mup9	chr4	TRUE	FALSE
Gm10220	chr5	TRUE	FALSE
Islr2	chr9	FALSE	FALSE
Psg29	chr7	TRUE	FALSE
5031410I06Rik	chr5	TRUE	FALSE
Cyb5d1	chr11	FALSE	FALSE
Defb9	chr8	TRUE	FALSE
Tmsb15b1	chrX	TRUE	FALSE
Praf2	chrX	TRUE	FALSE
Rpl10l	chr12	TRUE	FALSE
Defb47	chr14	TRUE	FALSE
Hba-x	chr11	FALSE	FALSE
Prp2	chr6	TRUE	FALSE
Pex10	chr4	TRUE	FALSE
Scgb2b20	chr7	TRUE	FALSE
Rnf148	chr6	TRUE	FALSE
Nudt16l2	chr9	TRUE	FALSE
Gm6408	chr5	TRUE	FALSE
Gm10521	chr1	TRUE	FALSE
Mrto4	chr4	FALSE	FALSE
Camk2n2	chr16	FALSE	FALSE
Olfr873	chr9	TRUE	FALSE
Xcr1	chr9	TRUE	FALSE
H2ac7	chr13	FALSE	FALSE
Rag1	chr2	TRUE	TRUE
Tmem176a	chr6	TRUE	FALSE
Olfr561	chr7	TRUE	TRUE
Ddit3	chr10	FALSE	FALSE
Tuba1a	chr15	FALSE	FALSE
Mptx1	chr1	TRUE	FALSE
4930544G11Rik	chr6	TRUE	FALSE
Fzd7	chr1	FALSE	TRUE
S100a5	chr3	TRUE	FALSE
Gm5798	chr14	TRUE	FALSE
Lage3	chrX	TRUE	FALSE
Ceacam13	chr7	TRUE	FALSE
Sycn	chr7	TRUE	FALSE
Kcne1l	chrX	FALSE	FALSE
Pate8	chr9	TRUE	FALSE
Gpr18	chr14	TRUE	FALSE
Defb13	chr8	TRUE	FALSE
Gm11111	chr5	TRUE	FALSE
Kif2b	chr11	TRUE	FALSE
Pcdhb10	chr18	TRUE	FALSE
Spry2	chr14	FALSE	TRUE
Cd209f	chr8	TRUE	FALSE
Pcsk1n	chrX	TRUE	FALSE
Gm12166	chr11	TRUE	FALSE
Pyy	chr11	FALSE	FALSE
Arfgap1	chr2	FALSE	FALSE
Gm20379	chr13	TRUE	FALSE
Olfr846	chr9	TRUE	FALSE
Ensa	chr3	TRUE	FALSE
Olfr774	chr10	TRUE	FALSE
Tbcc	chr17	FALSE	FALSE
Exoc3l	chr8	FALSE	TRUE
Oog1	chr12	TRUE	FALSE
Cldn13	chr5	TRUE	FALSE
Gstm4	chr3	TRUE	FALSE
Olfr611	chr7	TRUE	FALSE
Crygf	chr1	TRUE	FALSE
Lyl1	chr8	TRUE	FALSE
Cxcl3	chr5	FALSE	FALSE
A330070K13Rik	chr5	TRUE	TRUE
Smim22	chr16	TRUE	FALSE
Neurog2	chr3	FALSE	FALSE
Cd300ld3	chr11	TRUE	TRUE
Gm2030	chrX	TRUE	FALSE
Hoxb7	chr11	FALSE	FALSE
Gm11567	chr11	TRUE	FALSE
Olfr514	chr7	TRUE	FALSE
Gml	chr15	TRUE	FALSE
Ranbp1	chr16	FALSE	FALSE
H2-Q10	chr17	FALSE	FALSE
Odf3	chr7	TRUE	FALSE
Tmem158	chr9	TRUE	FALSE
Ppp1r27	chr11	TRUE	FALSE
Commd4	chr9	TRUE	FALSE
Taar7e	chr10	TRUE	FALSE
Zbbx	chr3	TRUE	TRUE
Ear2	chr14	TRUE	FALSE
Fbll1	chr11	TRUE	FALSE
Drap1	chr19	TRUE	FALSE
Olfr631	chr7	TRUE	FALSE
Wnt1	chr15	FALSE	FALSE
Smim15	chr13	FALSE	TRUE
Hbq1a	chr11	TRUE	FALSE
Olfr1023	chr2	TRUE	FALSE
Tmem238	chr7	TRUE	TRUE
2310034C09Rik	chr16	TRUE	FALSE
Gm17545	chr9	TRUE	TRUE
Ly6g6c	chr17	TRUE	TRUE
Olig3	chr10	FALSE	FALSE
Fam240a	chr9	TRUE	FALSE
1700056E22Rik	chr1	FALSE	FALSE
Vmn1r21	chr6	TRUE	FALSE
Fpr-rs7	chr17	TRUE	FALSE
Serpinb8	chr1	TRUE	TRUE
Kazald1	chr19	FALSE	FALSE
Cxcl2	chr5	FALSE	FALSE
Khdc1c	chr1	TRUE	FALSE
Olfr610	chr7	TRUE	TRUE
Tmem185b	chr1	TRUE	FALSE
Olfr484	chr7	TRUE	FALSE
Olfr954	chr9	TRUE	TRUE
Olfr1156	chr2	TRUE	FALSE
Irf7	chr7	TRUE	FALSE
Fgf1	chr18	TRUE	TRUE
Lrfn3	chr7	FALSE	FALSE
Atoh7	chr10	TRUE	FALSE
Mcpt2	chr14	TRUE	FALSE
Zscan4e	chr7	TRUE	FALSE
Anapc15-ps	chr10	TRUE	FALSE
Mrpl24	chr3	TRUE	FALSE
Pax4	chr6	FALSE	FALSE
Ccl8	chr11	TRUE	FALSE
Rgs16	chr1	FALSE	FALSE
E130218I03Rik	chr4	TRUE	FALSE
Pld6	chr11	TRUE	FALSE
Scgb1b27	chr7	TRUE	FALSE
Hps6	chr19	TRUE	FALSE
Ccar2	chr14	TRUE	FALSE
Dpys	chr15	FALSE	TRUE
Ncf1	chr5	TRUE	FALSE
S100a9	chr3	TRUE	FALSE
Tssk6	chr8	FALSE	FALSE
Col9a1	chr1	TRUE	TRUE
Gm10228	chr16	TRUE	FALSE
Mc4r	chr18	FALSE	FALSE
Olfr1145	chr2	TRUE	FALSE
Krtap3-3	chr11	TRUE	FALSE
Krtap4-9	chr11	TRUE	FALSE
Vmn1r15	chr6	TRUE	FALSE
Zfp397	chr18	FALSE	FALSE
Obox7	chr7	TRUE	FALSE
Dkk4	chr8	TRUE	FALSE
Olfr589	chr7	TRUE	FALSE
Ttc30b	chr2	FALSE	FALSE
Lancl3	chrX	TRUE	TRUE
Olfr1406	chr1	TRUE	FALSE
Oprl1	chr2	TRUE	TRUE
1700020D05Rik	chr19	TRUE	FALSE
Il3	chr11	TRUE	FALSE
Treml1	chr17	TRUE	FALSE
Olfr507	chr7	TRUE	FALSE
Lrrc3	chr10	FALSE	FALSE
Mif	chr10	FALSE	FALSE
Zfp781	chr10	TRUE	FALSE
Alkbh6	chr7	TRUE	FALSE
Rpl17	chr18	TRUE	FALSE
Guca2b	chr4	TRUE	FALSE
Vpreb2	chr16	TRUE	FALSE
Cbln3	chr14	FALSE	FALSE
Ly6c2	chr15	TRUE	FALSE
Otud1	chr2	FALSE	TRUE
Gm9745	chr13	TRUE	FALSE
Rhox3e	chrX	TRUE	FALSE
Gm12117	chr11	TRUE	FALSE
Olfr1463	chr19	TRUE	FALSE
Defb4	chr8	TRUE	FALSE
Olfr1474	chr19	TRUE	FALSE
Pcdhb4	chr18	TRUE	FALSE
Dusp21	chrX	TRUE	FALSE
Defb8	chr8	TRUE	FALSE
Naa10	chrX	FALSE	FALSE
Gm36176	chr10	TRUE	FALSE
Cox7c	chr13	FALSE	FALSE
Phox2a	chr7	FALSE	FALSE
Cldn23	chr8	FALSE	FALSE
Olfr625-ps1	chr7	TRUE	FALSE
Cav2	chr6	TRUE	TRUE
Speer4c	chr5	TRUE	FALSE
Gm11116	chr5	TRUE	FALSE
Olfr356	chr2	TRUE	FALSE
Fgf20	chr8	FALSE	TRUE
Gprin3	chr6	FALSE	TRUE
Cytip	chr2	TRUE	TRUE
Prxl2b	chr4	FALSE	FALSE
Gm17482	chr6	TRUE	TRUE
Rprml	chr11	FALSE	FALSE
Lce1k	chr3	TRUE	FALSE
Gm40460	chr7	TRUE	FALSE
Spata45	chr1	TRUE	FALSE
Nsmf	chr2	FALSE	FALSE
Hbq1b	chr11	TRUE	FALSE
Lce1i	chr3	TRUE	FALSE
Rpl13	chr8	FALSE	FALSE
Mup20	chr4	TRUE	FALSE
Olfr223	chr11	TRUE	FALSE
Gm4027	chr12	TRUE	FALSE
2300003K06Rik	chr11	TRUE	FALSE
Sox2	chr3	FALSE	FALSE
9130401M01Rik	chr15	FALSE	TRUE
Dsc2	chr18	TRUE	TRUE
Tmem41a	chr16	FALSE	FALSE
H3c14	chr3	TRUE	FALSE
Wdr74	chr19	TRUE	FALSE
Cd209g	chr8	TRUE	FALSE
Serpinb1b	chr13	TRUE	TRUE
Cnfn	chr7	TRUE	FALSE
Olfr331	chr11	TRUE	FALSE
Bmyc	chr2	FALSE	FALSE
Ccnq	chr11	TRUE	FALSE
Gm3633	chr14	TRUE	FALSE
Tas2r129	chr6	TRUE	FALSE
Pramef17	chr4	TRUE	FALSE
Isx	chr8	TRUE	TRUE
Apol11b	chr15	TRUE	FALSE
Spcs1	chr14	FALSE	FALSE
Pih1d2	chr9	TRUE	FALSE
Tnp2	chr16	TRUE	FALSE
Arl2bp	chr8	FALSE	FALSE
2810408A11Rik	chr11	TRUE	FALSE
Rps4x	chrX	TRUE	FALSE
Gm7980	chr14	TRUE	FALSE
Olfr98	chr17	TRUE	FALSE
Olfr1247	chr2	TRUE	FALSE
Gm8897	chr5	TRUE	FALSE
Spink7	chr18	TRUE	FALSE
Sst	chr16	FALSE	FALSE
Eddm3b	chr14	TRUE	FALSE
Olfr283	chr15	TRUE	FALSE
Gm18596	chr10	TRUE	FALSE
Mab21l2	chr3	FALSE	FALSE
Gtf3c1	chr7	TRUE	FALSE
Pramef6	chr4	TRUE	FALSE
Nkx3-2	chr5	FALSE	FALSE
Gm5751	chrX	TRUE	FALSE
Sprr2a3	chr3	TRUE	FALSE
Trem2	chr17	TRUE	FALSE
Olfr557	chr7	TRUE	TRUE
Psors1c2	chr17	TRUE	FALSE
H1f2	chr13	FALSE	FALSE
Saa3	chr7	TRUE	TRUE
Olfr123	chr17	TRUE	FALSE
Chkb	chr15	FALSE	FALSE
Gm17654	chr14	TRUE	FALSE
Gm14862	chrX	TRUE	TRUE
Nrros	chr16	TRUE	TRUE
Gm8165	chr14	TRUE	FALSE
Ccl26	chr5	TRUE	FALSE
Olfr1495	chr19	TRUE	TRUE
Olfr1199	chr2	TRUE	FALSE
Cst7	chr2	TRUE	FALSE
Ly6g6d	chr17	TRUE	TRUE
Tceal1	chrX	FALSE	FALSE
Gm3298	chr14	TRUE	FALSE
Tmem102	chr11	FALSE	FALSE
Romo1	chr2	FALSE	FALSE
Vmn1r52	chr6	TRUE	FALSE
Ribc1	chrX	TRUE	FALSE
Oas1f	chr5	TRUE	FALSE
Ifna5	chr4	TRUE	FALSE
Mup12	chr4	TRUE	FALSE
Wfdc16	chr2	TRUE	FALSE
Fcor	chr8	FALSE	FALSE
Reg3a	chr6	TRUE	FALSE
Olfr490	chr7	TRUE	FALSE
Gm3182	chr14	TRUE	FALSE
Gpx2	chr12	TRUE	FALSE
Olfr767	chr10	TRUE	FALSE
Tomm6	chr17	FALSE	FALSE
Gmppb	chr9	TRUE	FALSE
Slitrk2	chrX	FALSE	TRUE
Foxg1	chr12	FALSE	FALSE
Eif4a3l1	chr6	TRUE	FALSE
Oxsm	chr14	FALSE	TRUE
Ercc8	chr13	FALSE	TRUE
Gm13271	chr4	TRUE	FALSE
Ssx9	chrX	TRUE	FALSE
Guca2a	chr4	TRUE	FALSE
Pou5f1	chr17	FALSE	FALSE
Olfr568	chr7	TRUE	FALSE
Krtap27-1	chr16	TRUE	FALSE
Olfr1128	chr2	TRUE	FALSE
Olfr632	chr7	TRUE	FALSE
Gm7951	chr14	TRUE	FALSE
Try4	chr6	TRUE	FALSE
Pbdc1	chrX	TRUE	FALSE
Defb29	chr2	TRUE	FALSE
4933405L10Rik	chr8	TRUE	FALSE
Krtap6-3	chr16	TRUE	FALSE
Olfr284	chr15	TRUE	FALSE
Ccer2	chr7	TRUE	FALSE
Gm9611	chr14	TRUE	FALSE
Gm8879	chr5	TRUE	FALSE
Tmem59l	chr8	FALSE	FALSE
Calca	chr7	FALSE	FALSE
Olfr1163	chr2	TRUE	FALSE
Ormdl2	chr10	FALSE	FALSE
Gm8159	chr14	TRUE	FALSE
Rps26	chr10	TRUE	FALSE
Gm29735	chr7	TRUE	FALSE
Foxj1	chr11	FALSE	FALSE
Cbln1	chr8	FALSE	FALSE
Gm10376	chr14	TRUE	FALSE
Bcl2l15	chr3	TRUE	TRUE
Fbxw28	chr9	TRUE	FALSE
Cst8	chr2	TRUE	TRUE
Thap7	chr16	TRUE	FALSE
Mup10	chr4	TRUE	FALSE
1110057P08Rik	chr16	TRUE	FALSE
Scgb2b7	chr7	TRUE	FALSE
Krt25	chr11	TRUE	FALSE
4933412E24Rik	chr15	TRUE	FALSE
Ccr1l1	chr9	TRUE	FALSE
Krtap9-3	chr11	TRUE	FALSE
Calcoco1	chr15	TRUE	FALSE
Sprr2i	chr3	TRUE	FALSE
Teddm3	chr16	TRUE	FALSE
H2bu2	chr11	FALSE	FALSE
Rsrp1	chr4	FALSE	FALSE
Igflr1	chr7	TRUE	FALSE
Olfr1432	chr19	TRUE	FALSE
Sfrp5	chr19	TRUE	FALSE
Gm17190	chr13	TRUE	FALSE
Nmrk2	chr10	TRUE	FALSE
Lce1g	chr3	TRUE	FALSE
Myl6	chr10	FALSE	FALSE
Cnbp	chr6	FALSE	FALSE
Ndufa11	chr17	FALSE	FALSE
Gm30191	chr4	FALSE	FALSE
Gm6882	chr7	TRUE	FALSE
Dctn3	chr4	FALSE	FALSE
Mup16	chr4	TRUE	FALSE
Gm8300	chr12	TRUE	FALSE
Gm14743	chrX	TRUE	FALSE
Tmem82	chr4	TRUE	FALSE
Fbh1	chr2	FALSE	FALSE
Zscan4d	chr7	TRUE	FALSE
Srsf9	chr5	TRUE	FALSE
C1ql2	chr1	FALSE	FALSE
Gjb4	chr4	TRUE	FALSE
Ccno	chr13	FALSE	FALSE
Arhgap26	chr18	FALSE	TRUE
Olfr543	chr7	TRUE	FALSE
Cnpy1	chr5	TRUE	TRUE
Csmd2	chr4	FALSE	FALSE
Tspyl2	chrX	FALSE	FALSE
Tes3-ps	chr13	TRUE	FALSE
Tas2r118	chr6	TRUE	FALSE
Ankrd63	chr2	FALSE	FALSE
Aurkaip1	chr4	TRUE	FALSE
Olfr143	chr9	TRUE	FALSE
Pdlim7	chr13	FALSE	FALSE
Slc35g3	chr11	TRUE	FALSE
Cog5	chr12	FALSE	TRUE
Slamf9	chr1	TRUE	FALSE
Alg8	chr7	TRUE	TRUE
AI837181	chr19	TRUE	FALSE
Tas2r108	chr6	TRUE	FALSE
Slc6a6	chr6	FALSE	FALSE
Zmat2	chr18	TRUE	FALSE
9030025P20Rik	chr17	FALSE	FALSE
Hgd	chr16	TRUE	TRUE
Fndc11	chr2	TRUE	FALSE
Vamp2	chr11	FALSE	FALSE
