gene_name	chr	promoter_state_Bivalent_Promoter	mch_hypo
Olfr248	chr1	FALSE	FALSE
Olfr1133	chr2	FALSE	FALSE
Ciao2b	chr8	FALSE	TRUE
Gm5698	chr1	FALSE	FALSE
Hp	chr8	FALSE	TRUE
Gsx2	chr5	FALSE	FALSE
Hcfc1r1	chr17	FALSE	FALSE
Phxr2	chr10	FALSE	FALSE
Vmn1r19	chr6	FALSE	FALSE
Amd2	chr10	FALSE	FALSE
Llcfc1	chr6	FALSE	FALSE
Olfr930	chr9	FALSE	FALSE
Gm5901	chr7	FALSE	TRUE
Vmn1r216	chr13	FALSE	FALSE
Krtap4-6	chr11	FALSE	FALSE
Ucn2	chr9	FALSE	FALSE
Gpr82	chrX	FALSE	TRUE
Ubb	chr11	FALSE	FALSE
Krtap19-3	chr16	FALSE	FALSE
H4c1	chr13	FALSE	FALSE
Samt1	chrX	FALSE	FALSE
Mrgprb5	chr7	FALSE	FALSE
Olfr574	chr7	FALSE	FALSE
Gm3047	chr14	FALSE	FALSE
Scgb1b29	chr7	FALSE	FALSE
Ifna6	chr4	FALSE	FALSE
Olfr1475	chr19	FALSE	FALSE
Higd2a	chr13	FALSE	FALSE
Rhbdl1	chr17	FALSE	FALSE
Pate10	chr9	FALSE	FALSE
Gm20075	chr13	FALSE	FALSE
Krtap16-3	chr16	FALSE	FALSE
Olfr1230	chr2	FALSE	FALSE
4930415L06Rik	chrX	FALSE	FALSE
Gm15085	chrX	FALSE	FALSE
Rnase2b	chr14	FALSE	FALSE
Mdp1	chr14	FALSE	FALSE
Olfr153	chr2	FALSE	FALSE
Tmem89	chr9	FALSE	FALSE
Prss34	chr17	FALSE	FALSE
4930449I24Rik	chr5	FALSE	FALSE
Etv2	chr7	FALSE	TRUE
Nap1l2	chrX	FALSE	FALSE
Tacstd2	chr6	FALSE	FALSE
Tas2r140	chr6	FALSE	FALSE
Olfr1329	chr4	FALSE	FALSE
Hoxb13	chr11	FALSE	FALSE
Olfr834	chr9	FALSE	FALSE
Tnfaip8l2	chr3	FALSE	TRUE
Ctag2	chrX	FALSE	FALSE
Krt24	chr11	FALSE	FALSE
Lce3e	chr3	FALSE	FALSE
Chmp1b	chr18	FALSE	FALSE
2300002M23Rik	chr17	FALSE	FALSE
Pdzd11	chrX	FALSE	FALSE
Tas2r126	chr6	FALSE	FALSE
Svs3a	chr2	FALSE	FALSE
Dhps	chr8	FALSE	TRUE
Sap30	chr8	FALSE	FALSE
Spint3	chr2	FALSE	TRUE
Defb12	chr8	FALSE	FALSE
Scgb1b24	chr7	FALSE	FALSE
Ear14	chr14	FALSE	FALSE
AY074887	chr9	FALSE	FALSE
Uchl4	chr9	FALSE	FALSE
Gm3115	chr14	FALSE	FALSE
Gm15294	chrX	FALSE	FALSE
Lce3f	chr3	FALSE	FALSE
Olfr913	chr9	FALSE	FALSE
Prh1	chr6	FALSE	TRUE
Tas2r119	chr15	FALSE	FALSE
Zic4	chr9	FALSE	FALSE
Rasl10a	chr11	FALSE	FALSE
Hmgb4	chr4	FALSE	FALSE
Wfdc18	chr11	FALSE	FALSE
Olfr1158	chr2	FALSE	FALSE
Gm9736	chr10	FALSE	FALSE
Gm9008	chr6	FALSE	FALSE
Gsx1	chr5	FALSE	FALSE
Vmn1r119	chr7	FALSE	FALSE
H4c4	chr13	FALSE	FALSE
Tmem210	chr2	FALSE	FALSE
4930444G20Rik	chr10	FALSE	FALSE
Gm8138	chr14	FALSE	FALSE
Hspb3	chr13	FALSE	FALSE
H2bc3	chr13	FALSE	FALSE
Gm3550	chr18	FALSE	FALSE
Uqcc3	chr19	FALSE	FALSE
Eif4a1	chr11	FALSE	TRUE
Gm6268	chrX	FALSE	FALSE
Defa27	chr8	FALSE	FALSE
Utp3	chr5	FALSE	FALSE
Thap11	chr8	FALSE	FALSE
Fpr-rs4	chr17	FALSE	FALSE
Fam72a	chr1	FALSE	FALSE
Tex13c3	chrX	FALSE	FALSE
Tas2r105	chr6	FALSE	FALSE
Ndufc1	chr3	FALSE	TRUE
Slc35g2	chr9	FALSE	FALSE
Znhit2	chr19	FALSE	FALSE
Gh	chr11	FALSE	FALSE
Slc13a1	chr6	FALSE	FALSE
Lamtor3-ps	chr14	FALSE	FALSE
Gm5797	chr14	FALSE	FALSE
Tcstv3	chr13	FALSE	FALSE
Mrgprb3	chr7	FALSE	FALSE
Gm14548	chr7	FALSE	FALSE
Krtap4-7	chr11	FALSE	FALSE
AY761185	chr8	FALSE	FALSE
Kctd12	chr14	FALSE	FALSE
1700034I23Rik	chr3	FALSE	FALSE
Tas2r135	chr6	FALSE	FALSE
Mt2	chr8	FALSE	FALSE
Scgb1b3	chr7	FALSE	FALSE
Apoa1	chr9	FALSE	FALSE
Scgb2b12	chr7	FALSE	FALSE
Cntf	chr19	FALSE	FALSE
Pcdhb9	chr18	FALSE	FALSE
V1ra8	chr6	FALSE	FALSE
Zfp551	chr7	FALSE	TRUE
Lmf2	chr15	FALSE	TRUE
Hoxd12	chr2	FALSE	FALSE
Prr23a3	chr9	FALSE	FALSE
Gltpd2	chr11	FALSE	FALSE
Scgb1c1	chr7	FALSE	FALSE
Cox5b	chr1	FALSE	FALSE
Dpm2	chr2	FALSE	FALSE
Znrd2	chr19	FALSE	FALSE
AU022751	chrX	FALSE	FALSE
Olfr112	chr17	FALSE	TRUE
Lsm10	chr4	FALSE	FALSE
Dcpp1	chr17	FALSE	FALSE
Tas2r134	chr2	FALSE	FALSE
Emcn	chr3	FALSE	FALSE
Ccl4	chr11	FALSE	FALSE
H2-Aa	chr17	FALSE	TRUE
Gm21750	chr14	FALSE	FALSE
Gm14327	chr2	FALSE	TRUE
Gm14393	chr2	FALSE	TRUE
Olfr478	chr7	FALSE	FALSE
Foxd4	chr19	FALSE	FALSE
Gm3278	chr14	FALSE	FALSE
Txnl4b	chr8	FALSE	TRUE
Bag5	chr12	FALSE	TRUE
Tmem52	chr4	FALSE	TRUE
Scg2	chr1	FALSE	FALSE
Olfr980	chr9	FALSE	TRUE
Gm5617	chr9	FALSE	FALSE
Aldoart2	chr12	FALSE	FALSE
Gm11555	chr11	FALSE	FALSE
Tnfsf13	chr11	FALSE	FALSE
Olfr603	chr7	FALSE	FALSE
Gm17027	chr14	FALSE	FALSE
Ndufa1	chrX	FALSE	FALSE
Ear6	chr14	FALSE	FALSE
Gm44	chrX	FALSE	FALSE
Tas2r136	chr6	FALSE	FALSE
Krtap13	chr16	FALSE	FALSE
Gm4450	chr3	FALSE	TRUE
Rtl9	chrX	FALSE	TRUE
Olfr910	chr9	FALSE	FALSE
2610001J05Rik	chr6	FALSE	FALSE
Jrkl	chr9	FALSE	FALSE
Insl5	chr4	FALSE	TRUE
Lrrc3c	chr11	FALSE	FALSE
Gm8765	chr13	FALSE	FALSE
Mrgpra4	chr7	FALSE	FALSE
H2-M10.1	chr17	FALSE	FALSE
Cops6	chr5	FALSE	TRUE
Olfr1371	chr11	FALSE	FALSE
Chia1	chr3	FALSE	FALSE
Leng9	chr7	FALSE	FALSE
Ifna12	chr4	FALSE	FALSE
Gm3676	chr14	FALSE	FALSE
Gm3127	chr14	FALSE	FALSE
Olfr803	chr10	FALSE	FALSE
Rhox6	chrX	FALSE	FALSE
Brd3os	chr2	FALSE	FALSE
Olfr106-ps	chr17	FALSE	FALSE
Gm48552	chr10	FALSE	FALSE
Gm614	chrX	FALSE	FALSE
Olfr1084	chr2	FALSE	FALSE
Spsb3	chr17	FALSE	TRUE
Ifna4	chr4	FALSE	FALSE
Maf1	chr15	FALSE	FALSE
Olfr591	chr7	FALSE	FALSE
Gm7102	chr19	FALSE	FALSE
Lrrc49	chr9	FALSE	FALSE
Timm8b	chr9	FALSE	FALSE
Rpl36a-ps1	chr14	FALSE	FALSE
Glycam1	chr15	FALSE	FALSE
Mocs3	chr2	FALSE	FALSE
Nog	chr11	FALSE	FALSE
Krtap5-3	chr7	FALSE	FALSE
Ifna14	chr4	FALSE	FALSE
Rpusd3	chr6	FALSE	TRUE
AC167036.2	chr1	FALSE	FALSE
Ier3	chr17	FALSE	FALSE
Gm13199	chr2	FALSE	FALSE
Sat1	chrX	FALSE	FALSE
Strit1	chr3	FALSE	FALSE
Btg1c	chrX	FALSE	TRUE
Creb3	chr4	FALSE	TRUE
Eif5a	chr11	FALSE	TRUE
Rps18-ps6	chr13	FALSE	FALSE
Fbxl8	chr8	FALSE	TRUE
Rpl35a	chr16	FALSE	FALSE
Med11	chr11	FALSE	FALSE
Gm5136	chr10	FALSE	FALSE
Flrt3	chr2	FALSE	FALSE
Scgb2b19	chr7	FALSE	FALSE
H3c2	chr13	FALSE	FALSE
Bloc1s4	chr5	FALSE	FALSE
Olfr1447	chr19	FALSE	FALSE
Gm4985	chrX	FALSE	FALSE
Hoxa6	chr6	FALSE	FALSE
Pou4f2	chr8	FALSE	TRUE
Prl	chr13	FALSE	FALSE
Smim40	chr17	FALSE	FALSE
Cdk5r2	chr1	TRUE	FALSE
Vmn2r41	chr7	FALSE	FALSE
Mup9	chr4	FALSE	FALSE
Gm10220	chr5	FALSE	TRUE
Islr2	chr9	FALSE	TRUE
Psg29	chr7	FALSE	TRUE
5031410I06Rik	chr5	FALSE	FALSE
Cyb5d1	chr11	FALSE	FALSE
Defb9	chr8	FALSE	FALSE
Tmsb15b1	chrX	FALSE	FALSE
Praf2	chrX	FALSE	FALSE
Rpl10l	chr12	FALSE	FALSE
Defb47	chr14	FALSE	FALSE
Hba-x	chr11	FALSE	FALSE
Prp2	chr6	FALSE	FALSE
Pex10	chr4	FALSE	TRUE
Scgb2b20	chr7	FALSE	FALSE
Rnf148	chr6	FALSE	FALSE
Nudt16l2	chr9	FALSE	FALSE
Gm6408	chr5	FALSE	FALSE
Gm10521	chr1	FALSE	FALSE
Mrto4	chr4	FALSE	TRUE
Camk2n2	chr16	FALSE	FALSE
Olfr873	chr9	FALSE	FALSE
Xcr1	chr9	FALSE	TRUE
H2ac7	chr13	FALSE	FALSE
Rag1	chr2	FALSE	FALSE
Tmem176a	chr6	FALSE	TRUE
Olfr561	chr7	FALSE	FALSE
Ddit3	chr10	FALSE	TRUE
Tuba1a	chr15	FALSE	FALSE
Mptx1	chr1	FALSE	FALSE
4930544G11Rik	chr6	FALSE	FALSE
Fzd7	chr1	FALSE	FALSE
S100a5	chr3	FALSE	FALSE
Gm5798	chr14	FALSE	FALSE
Lage3	chrX	FALSE	FALSE
Ceacam13	chr7	FALSE	TRUE
Sycn	chr7	FALSE	FALSE
Kcne1l	chrX	FALSE	FALSE
Pate8	chr9	FALSE	FALSE
Gpr18	chr14	FALSE	TRUE
Defb13	chr8	FALSE	FALSE
Gm11111	chr5	FALSE	FALSE
Kif2b	chr11	FALSE	FALSE
Pcdhb10	chr18	FALSE	FALSE
Spry2	chr14	FALSE	FALSE
Cd209f	chr8	FALSE	FALSE
Pcsk1n	chrX	FALSE	FALSE
Gm12166	chr11	FALSE	FALSE
Pyy	chr11	FALSE	FALSE
Arfgap1	chr2	FALSE	TRUE
Gm20379	chr13	FALSE	FALSE
Olfr846	chr9	FALSE	TRUE
Ensa	chr3	FALSE	TRUE
Olfr774	chr10	FALSE	FALSE
Tbcc	chr17	FALSE	FALSE
Exoc3l	chr8	FALSE	FALSE
Oog1	chr12	FALSE	FALSE
Cldn13	chr5	FALSE	FALSE
Gstm4	chr3	FALSE	TRUE
Olfr611	chr7	FALSE	FALSE
Crygf	chr1	FALSE	FALSE
Lyl1	chr8	FALSE	TRUE
Cxcl3	chr5	FALSE	TRUE
A330070K13Rik	chr5	FALSE	FALSE
Smim22	chr16	FALSE	FALSE
Neurog2	chr3	FALSE	FALSE
Cd300ld3	chr11	FALSE	FALSE
Gm2030	chrX	FALSE	TRUE
Hoxb7	chr11	FALSE	TRUE
Gm11567	chr11	FALSE	FALSE
Olfr514	chr7	FALSE	FALSE
Gml	chr15	FALSE	FALSE
Ranbp1	chr16	FALSE	TRUE
H2-Q10	chr17	FALSE	TRUE
Odf3	chr7	FALSE	TRUE
Tmem158	chr9	FALSE	FALSE
Ppp1r27	chr11	FALSE	FALSE
Commd4	chr9	FALSE	FALSE
Taar7e	chr10	FALSE	FALSE
Zbbx	chr3	FALSE	FALSE
Ear2	chr14	FALSE	FALSE
Fbll1	chr11	FALSE	FALSE
Drap1	chr19	FALSE	FALSE
Olfr631	chr7	FALSE	FALSE
Wnt1	chr15	FALSE	TRUE
Smim15	chr13	FALSE	FALSE
Hbq1a	chr11	FALSE	FALSE
Olfr1023	chr2	FALSE	FALSE
Tmem238	chr7	FALSE	FALSE
2310034C09Rik	chr16	FALSE	FALSE
Gm17545	chr9	FALSE	FALSE
Ly6g6c	chr17	FALSE	FALSE
Olig3	chr10	FALSE	FALSE
Fam240a	chr9	FALSE	FALSE
1700056E22Rik	chr1	FALSE	FALSE
Vmn1r21	chr6	FALSE	TRUE
Fpr-rs7	chr17	FALSE	FALSE
Serpinb8	chr1	FALSE	FALSE
Kazald1	chr19	FALSE	TRUE
Cxcl2	chr5	FALSE	FALSE
Khdc1c	chr1	FALSE	FALSE
Olfr610	chr7	FALSE	FALSE
Tmem185b	chr1	FALSE	FALSE
Olfr484	chr7	FALSE	TRUE
Olfr954	chr9	FALSE	FALSE
Olfr1156	chr2	FALSE	TRUE
Irf7	chr7	FALSE	TRUE
Fgf1	chr18	FALSE	FALSE
Lrfn3	chr7	FALSE	TRUE
Atoh7	chr10	FALSE	FALSE
Mcpt2	chr14	FALSE	FALSE
Zscan4e	chr7	FALSE	FALSE
Anapc15-ps	chr10	FALSE	FALSE
Mrpl24	chr3	FALSE	FALSE
Pax4	chr6	FALSE	TRUE
Ccl8	chr11	FALSE	FALSE
Rgs16	chr1	FALSE	TRUE
E130218I03Rik	chr4	FALSE	FALSE
Pld6	chr11	FALSE	FALSE
Scgb1b27	chr7	FALSE	FALSE
Hps6	chr19	FALSE	FALSE
Ccar2	chr14	FALSE	TRUE
Dpys	chr15	FALSE	FALSE
Ncf1	chr5	FALSE	TRUE
S100a9	chr3	FALSE	FALSE
Tssk6	chr8	FALSE	FALSE
Col9a1	chr1	FALSE	FALSE
Gm10228	chr16	FALSE	FALSE
Mc4r	chr18	FALSE	FALSE
Olfr1145	chr2	FALSE	FALSE
Krtap3-3	chr11	FALSE	FALSE
Krtap4-9	chr11	FALSE	FALSE
Vmn1r15	chr6	FALSE	FALSE
Zfp397	chr18	FALSE	TRUE
Obox7	chr7	FALSE	FALSE
Dkk4	chr8	FALSE	FALSE
Olfr589	chr7	FALSE	FALSE
Ttc30b	chr2	FALSE	FALSE
Lancl3	chrX	FALSE	FALSE
Olfr1406	chr1	FALSE	TRUE
Oprl1	chr2	FALSE	FALSE
1700020D05Rik	chr19	FALSE	FALSE
Il3	chr11	FALSE	FALSE
Treml1	chr17	FALSE	TRUE
Olfr507	chr7	FALSE	FALSE
Lrrc3	chr10	FALSE	TRUE
Mif	chr10	FALSE	FALSE
Zfp781	chr10	FALSE	FALSE
Alkbh6	chr7	FALSE	TRUE
Rpl17	chr18	FALSE	TRUE
Guca2b	chr4	FALSE	FALSE
Vpreb2	chr16	FALSE	FALSE
Cbln3	chr14	FALSE	TRUE
Ly6c2	chr15	FALSE	FALSE
Otud1	chr2	FALSE	FALSE
Gm9745	chr13	FALSE	FALSE
Rhox3e	chrX	FALSE	FALSE
Gm12117	chr11	FALSE	FALSE
Olfr1463	chr19	FALSE	FALSE
Defb4	chr8	FALSE	FALSE
Olfr1474	chr19	FALSE	FALSE
Pcdhb4	chr18	FALSE	FALSE
Dusp21	chrX	FALSE	FALSE
Defb8	chr8	FALSE	FALSE
Naa10	chrX	FALSE	FALSE
Gm36176	chr10	FALSE	FALSE
Cox7c	chr13	FALSE	FALSE
Phox2a	chr7	FALSE	TRUE
Cldn23	chr8	TRUE	FALSE
Olfr625-ps1	chr7	FALSE	FALSE
Cav2	chr6	FALSE	FALSE
Speer4c	chr5	FALSE	FALSE
Gm11116	chr5	FALSE	FALSE
Olfr356	chr2	FALSE	FALSE
Fgf20	chr8	FALSE	FALSE
Gprin3	chr6	FALSE	FALSE
Cytip	chr2	FALSE	FALSE
Prxl2b	chr4	FALSE	FALSE
Gm17482	chr6	FALSE	FALSE
Rprml	chr11	FALSE	FALSE
Lce1k	chr3	FALSE	FALSE
Gm40460	chr7	FALSE	FALSE
Spata45	chr1	FALSE	TRUE
Nsmf	chr2	FALSE	TRUE
Hbq1b	chr11	FALSE	FALSE
Lce1i	chr3	FALSE	FALSE
Rpl13	chr8	FALSE	FALSE
Mup20	chr4	FALSE	FALSE
Olfr223	chr11	FALSE	TRUE
Gm4027	chr12	FALSE	FALSE
2300003K06Rik	chr11	FALSE	FALSE
Sox2	chr3	FALSE	FALSE
9130401M01Rik	chr15	FALSE	FALSE
Dsc2	chr18	FALSE	FALSE
Tmem41a	chr16	FALSE	TRUE
H3c14	chr3	FALSE	FALSE
Wdr74	chr19	FALSE	TRUE
Cd209g	chr8	FALSE	FALSE
Serpinb1b	chr13	FALSE	FALSE
Cnfn	chr7	FALSE	FALSE
Olfr331	chr11	FALSE	FALSE
Bmyc	chr2	FALSE	FALSE
Ccnq	chr11	FALSE	FALSE
Gm3633	chr14	FALSE	FALSE
Tas2r129	chr6	FALSE	FALSE
Pramef17	chr4	FALSE	FALSE
Isx	chr8	FALSE	FALSE
Apol11b	chr15	FALSE	TRUE
Spcs1	chr14	FALSE	FALSE
Pih1d2	chr9	FALSE	TRUE
Tnp2	chr16	FALSE	FALSE
Arl2bp	chr8	FALSE	TRUE
2810408A11Rik	chr11	FALSE	FALSE
Rps4x	chrX	FALSE	FALSE
Gm7980	chr14	FALSE	FALSE
Olfr98	chr17	FALSE	FALSE
Olfr1247	chr2	FALSE	TRUE
Gm8897	chr5	FALSE	FALSE
Spink7	chr18	FALSE	FALSE
Sst	chr16	FALSE	FALSE
Eddm3b	chr14	FALSE	FALSE
Olfr283	chr15	FALSE	FALSE
Gm18596	chr10	FALSE	FALSE
Mab21l2	chr3	TRUE	TRUE
Gtf3c1	chr7	FALSE	TRUE
Pramef6	chr4	FALSE	TRUE
Nkx3-2	chr5	FALSE	FALSE
Gm5751	chrX	FALSE	FALSE
Sprr2a3	chr3	FALSE	FALSE
Trem2	chr17	FALSE	TRUE
Olfr557	chr7	FALSE	FALSE
Psors1c2	chr17	FALSE	FALSE
H1f2	chr13	FALSE	FALSE
Saa3	chr7	FALSE	FALSE
Olfr123	chr17	FALSE	FALSE
Chkb	chr15	FALSE	FALSE
Gm17654	chr14	FALSE	FALSE
Gm14862	chrX	FALSE	FALSE
Nrros	chr16	FALSE	FALSE
Gm8165	chr14	FALSE	FALSE
Ccl26	chr5	FALSE	FALSE
Olfr1495	chr19	FALSE	FALSE
Olfr1199	chr2	FALSE	FALSE
Cst7	chr2	FALSE	TRUE
Ly6g6d	chr17	FALSE	FALSE
Tceal1	chrX	FALSE	FALSE
Gm3298	chr14	FALSE	FALSE
Tmem102	chr11	FALSE	FALSE
Romo1	chr2	FALSE	FALSE
Vmn1r52	chr6	FALSE	TRUE
Ribc1	chrX	FALSE	TRUE
Oas1f	chr5	FALSE	TRUE
Ifna5	chr4	FALSE	FALSE
Mup12	chr4	FALSE	FALSE
Wfdc16	chr2	FALSE	FALSE
Fcor	chr8	FALSE	FALSE
Reg3a	chr6	FALSE	FALSE
Olfr490	chr7	FALSE	FALSE
Gm3182	chr14	FALSE	FALSE
Gpx2	chr12	FALSE	TRUE
Olfr767	chr10	FALSE	TRUE
Tomm6	chr17	FALSE	FALSE
Gmppb	chr9	FALSE	FALSE
Slitrk2	chrX	FALSE	FALSE
Foxg1	chr12	FALSE	FALSE
Eif4a3l1	chr6	FALSE	FALSE
Oxsm	chr14	FALSE	FALSE
Ercc8	chr13	FALSE	FALSE
Gm13271	chr4	FALSE	FALSE
Ssx9	chrX	FALSE	FALSE
Guca2a	chr4	FALSE	FALSE
Pou5f1	chr17	FALSE	TRUE
Olfr568	chr7	FALSE	FALSE
Krtap27-1	chr16	FALSE	FALSE
Olfr1128	chr2	FALSE	FALSE
Olfr632	chr7	FALSE	TRUE
Gm7951	chr14	FALSE	FALSE
Try4	chr6	FALSE	FALSE
Pbdc1	chrX	FALSE	TRUE
Defb29	chr2	FALSE	FALSE
4933405L10Rik	chr8	FALSE	FALSE
Krtap6-3	chr16	FALSE	FALSE
Olfr284	chr15	FALSE	FALSE
Ccer2	chr7	FALSE	FALSE
Gm9611	chr14	FALSE	FALSE
Gm8879	chr5	FALSE	FALSE
Tmem59l	chr8	FALSE	FALSE
Calca	chr7	FALSE	TRUE
Olfr1163	chr2	FALSE	FALSE
Ormdl2	chr10	FALSE	FALSE
Gm8159	chr14	FALSE	FALSE
Rps26	chr10	FALSE	FALSE
Gm29735	chr7	FALSE	FALSE
Foxj1	chr11	FALSE	TRUE
Cbln1	chr8	TRUE	FALSE
Gm10376	chr14	FALSE	FALSE
Bcl2l15	chr3	FALSE	FALSE
Fbxw28	chr9	FALSE	TRUE
Cst8	chr2	FALSE	FALSE
Thap7	chr16	FALSE	FALSE
Mup10	chr4	FALSE	FALSE
1110057P08Rik	chr16	FALSE	FALSE
Scgb2b7	chr7	FALSE	FALSE
Krt25	chr11	FALSE	TRUE
4933412E24Rik	chr15	FALSE	FALSE
Ccr1l1	chr9	FALSE	FALSE
Krtap9-3	chr11	FALSE	FALSE
Calcoco1	chr15	FALSE	TRUE
Sprr2i	chr3	FALSE	FALSE
Teddm3	chr16	FALSE	FALSE
H2bu2	chr11	FALSE	FALSE
Rsrp1	chr4	FALSE	FALSE
Igflr1	chr7	FALSE	FALSE
Olfr1432	chr19	FALSE	FALSE
Sfrp5	chr19	FALSE	TRUE
Gm17190	chr13	FALSE	FALSE
Nmrk2	chr10	FALSE	TRUE
Lce1g	chr3	FALSE	FALSE
Myl6	chr10	FALSE	FALSE
Cnbp	chr6	FALSE	TRUE
Ndufa11	chr17	FALSE	FALSE
Gm30191	chr4	FALSE	FALSE
Gm6882	chr7	FALSE	FALSE
Dctn3	chr4	FALSE	TRUE
Mup16	chr4	FALSE	FALSE
Gm8300	chr12	FALSE	FALSE
Gm14743	chrX	FALSE	FALSE
Tmem82	chr4	FALSE	TRUE
Fbh1	chr2	FALSE	TRUE
Zscan4d	chr7	FALSE	FALSE
Srsf9	chr5	FALSE	TRUE
C1ql2	chr1	FALSE	FALSE
Gjb4	chr4	FALSE	FALSE
Ccno	chr13	TRUE	FALSE
Arhgap26	chr18	FALSE	FALSE
Olfr543	chr7	FALSE	TRUE
Cnpy1	chr5	FALSE	FALSE
Csmd2	chr4	FALSE	TRUE
Tspyl2	chrX	FALSE	FALSE
Tes3-ps	chr13	FALSE	FALSE
Tas2r118	chr6	FALSE	FALSE
Ankrd63	chr2	FALSE	TRUE
Aurkaip1	chr4	FALSE	FALSE
Olfr143	chr9	FALSE	FALSE
Pdlim7	chr13	FALSE	TRUE
Slc35g3	chr11	FALSE	FALSE
Cog5	chr12	FALSE	FALSE
Slamf9	chr1	FALSE	FALSE
Alg8	chr7	FALSE	FALSE
AI837181	chr19	FALSE	FALSE
Tas2r108	chr6	FALSE	FALSE
Slc6a6	chr6	FALSE	TRUE
Zmat2	chr18	FALSE	FALSE
9030025P20Rik	chr17	FALSE	FALSE
Hgd	chr16	FALSE	FALSE
Fndc11	chr2	FALSE	FALSE
Vamp2	chr11	FALSE	FALSE
