gene_name	ctrl_aging_fold	ctrl_aging_fdr	ctrl_aging_min_fdr	ctrl_aging_n_peaks	ctrl_aging_n_sig	ctrl_aging_has_sig	ctrl_aging_n_sig_up	ctrl_aging_n_sig_down	ctrl_aging_max_fold	ctrl_aging_min_fold	ctrl_aging_mean_fold	mut_aging_fold	mut_aging_fdr	mut_aging_min_fdr	mut_aging_n_peaks	mut_aging_n_sig	mut_aging_has_sig	mut_aging_n_sig_up	mut_aging_n_sig_down	mut_aging_max_fold	mut_aging_min_fold	mut_aging_mean_fold	has_ctrl_peak	has_mut_peak	in_universe	ctrl_aging_up	mut_aging_up	ctrl_aging_down	mut_aging_down	ctrl_aging_sig	mut_aging_sig	mut_specific_aging_up	shared_aging_up	ctrl_specific_aging_up
1700029J03Rik	-0.13400020218338	0.186559715705077	0.186559715705077	39	0	FALSE	0	0	0.348610986852955	-0.457924107602143	-0.0992396095614934	-0.961292414954831	0.0105380820510863	0.0105380820510863	35	3	TRUE	1	2	1.01537223058642	-1.20394663972947	-0.202853241062608	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE
1700034H15Rik	-0.089190022100769	0.281118267444128	0.281118267444128	18	0	FALSE	0	0	0.232971024100546	-0.374101776962063	-0.0686897866159562	0.867474433069951	0.00136994542643557	0.00136994542643557	24	2	TRUE	2	0	0.940583285319735	-0.644019932217149	-0.160046365658597	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE
1700042G15Rik	-0.105172375437712	0.0986956911983068	0.0986956911983068	15	0	FALSE	0	0	0.56453471971152	-0.476044703694212	-0.036078580385835	0.766373844861423	0.0395377898932164	0.0395377898932164	12	1	TRUE	1	0	0.766373844861423	-0.553400324638061	-0.115711062375525	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE
1700049E15Rik	-0.117600339053769	0.281814557149447	0.281814557149447	63	0	FALSE	0	0	0.271081724799729	-0.378702779690237	-0.0733250493158974	1.14857755908209	0.000298726717774391	0.000298726717774391	58	3	TRUE	2	1	1.98414836783899	-0.761890146084024	-0.115592223870821	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE
1700054A03Rik	0.0902240847917067	0.124755091798332	0.124755091798332	13	0	FALSE	0	0	0.517275641259613	-0.322808171262303	0.0624026940116953	2.66958864238474	1.88003542377698e-23	1.88003542377698e-23	14	5	TRUE	5	0	3.48352526507672	-0.573364670205086	0.852176974958697	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE
1700054M17Rik	-0.225812035418052	0.354843826626164	0.354843826626164	9	0	FALSE	0	0	0.286609299561173	-0.323383322997099	-0.163080297265246	0.0802768128753995	0.0036925824158289	0.0036925824158289	7	2	TRUE	1	1	0.948741839754828	-0.788188214004029	-0.0583760356473405	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE
1700063D05Rik	-0.0943892279064689	0.0783286328243565	0.0783286328243565	22	0	FALSE	0	0	0.548774723975177	-0.547520285919988	-0.112829495422027	1.09718568170228	3.53679527428769e-05	3.53679527428769e-05	29	4	TRUE	4	0	1.83827702639791	-0.633031557640814	0.108374423252049	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE
1700064M15Rik	-0.0394512466702144	0.0999801397598319	0.0999801397598319	32	0	FALSE	0	0	0.536498337834458	-0.337405880314902	-0.0263021526383488	1.66487426611051	2.05525966181958e-11	2.05525966181958e-11	29	5	TRUE	5	0	2.87402549553525	-0.707513002832803	0.229503170463862	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE
1700065J11Rik	-0.106716816297091	0.405777214996747	0.405777214996747	18	0	FALSE	0	0	0.122186125533372	-0.296937232685547	-0.0853561707487297	1.16798748909549	1.35694628970037e-15	1.35694628970037e-15	21	3	TRUE	3	0	2.52231237434664	-0.565559502110643	0.193232626942018	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE
1700065L07Rik	-0.154953869020934	0.407185763901851	0.407185763901851	7	0	FALSE	0	0	0.111296399696651	-0.29366935437728	-0.125496470744319	1.21511064631871	0.00389880928559085	0.00389880928559085	10	1	TRUE	1	0	1.21511064631871	-0.695232604733035	0.0634633975017858	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE
1700066O22Rik	-0.126059027676423	0.092460694217522	0.092460694217522	5	0	FALSE	0	0	0.655392353963977	-0.211871977438192	0.0796107223661592	2.28543104598741	1.56210184831921e-13	1.56210184831921e-13	6	3	TRUE	3	0	3.52882998599647	-0.273925237946175	1.24492365564997	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE
1700080N15Rik	-0.0955903726894379	0.375863507250433	0.375863507250433	17	0	FALSE	0	0	0.311595110775475	-0.302331634624014	-0.0462504628941259	-0.102406733892106	0.0265413866235493	0.0265413866235493	14	2	TRUE	1	1	0.658679679787443	-0.863493147571656	-0.27783016121202	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE
1700086L19Rik	-0.0423158810357169	0.36485040535904	0.36485040535904	14	0	FALSE	0	0	0.175982086912279	-0.319309666858488	-0.0682725903575966	0.057823037396445	0.00377346655600562	0.00377346655600562	16	2	TRUE	1	1	0.925520766653741	-0.809874691860851	-0.195719640581351	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE
1700092E19Rik	-0.178661470746039	0.157694453740567	0.157694453740567	32	0	FALSE	0	0	0.0970950610746652	-0.51011293545917	-0.187006465663342	2.109474495521	3.35953259061039e-11	3.35953259061039e-11	34	3	TRUE	3	0	2.92867669387217	-0.841165348260711	-0.144549977450865	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE
1700096J18Rik	-0.00275189966201669	0.333604692551132	0.333604692551132	9	0	FALSE	0	0	0.165332227796285	-0.3369403835561	-0.0408513418546962	3.87016394361247	6.27936366023572e-13	6.27936366023572e-13	9	1	TRUE	1	0	3.87016394361247	-0.393142320271719	0.310693862904436	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE
1700112H15Rik	-0.0874239113811408	0.0912837612118536	0.0912837612118536	65	0	FALSE	0	0	0.554119956549842	-0.410889486140444	-0.059401151460789	1.09254582420991	0.000146114642304184	0.000146114642304184	76	4	TRUE	3	1	1.90794655806465	-0.972758361639156	-0.200652806582769	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE
1700123O12Rik	-0.102902763765091	0.264468165875175	0.264468165875175	49	0	FALSE	0	0	0.324631141986936	-0.386524711064518	-0.103990809358425	-0.85201902916745	0.00886108907892175	0.00886108907892175	51	5	TRUE	1	4	1.08462883268762	-1.12812325515685	-0.281403679330462	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE
1700129C05Rik	-0.0580515665193108	0.0605324164373957	0.0605324164373957	96	0	FALSE	0	0	0.619597831312246	-0.71401853919759	-0.0928992790822565	1.13253104283708	3.83943854188403e-23	3.83943854188403e-23	103	15	TRUE	13	2	3.17314413409434	-0.949578249002959	0.0661955067622342	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE
2010003K11Rik	-0.00832808656447702	0.754787157098498	0.754787157098498	5	0	FALSE	0	0	0.0204824165203367	-0.128831345562762	-0.0453923611916842	2.74424693877375	4.70867759946358e-17	4.70867759946358e-17	5	3	TRUE	3	0	3.53718949920954	-0.180670953984992	1.35352300132916	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE
2010010A06Rik	-0.0735037955371867	0.0751942019745694	0.0751942019745694	43	0	FALSE	0	0	0.576187990615516	-0.416642584915167	-0.0405980091627318	0.857435706545186	0.0129757072408692	0.0129757072408692	42	1	TRUE	1	0	0.857435706545186	-0.69900452675921	-0.143453704999913	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE
2010109A12Rik	-0.0873581677028608	0.612215831597534	0.612215831597534	5	0	FALSE	0	0	0.0860210720347567	-0.183217915468107	-0.0551833420580693	1.26229208785838	9.5994377362131e-05	9.5994377362131e-05	5	1	TRUE	1	0	1.26229208785838	-0.0525531308063863	0.410078214901039	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE
2210409D07Rik	-0.0211820822237314	0.123080531773985	0.123080531773985	31	0	FALSE	0	0	0.479464611351852	-0.33316042178386	0.0297712947949525	1.95562398586633	1.5896891833325e-17	1.5896891833325e-17	30	10	TRUE	10	0	4.32773896036332	-0.514237828184436	0.78865432262069	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE
2210420H20Rik	-0.134011519206696	0.183762670702524	0.183762670702524	22	0	FALSE	0	0	0.203955940809008	-0.441442378926835	-0.124500290757601	0.111844016303011	0.00156274416588694	0.00156274416588694	19	2	TRUE	1	1	0.985442319561209	-0.761754286955187	-0.254160710564513	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE
2300009A05Rik	-0.0208089777864226	0.271339839873898	0.271339839873898	21	0	FALSE	0	0	0.379065979492318	-0.311432459205004	-0.00928156701810485	-0.176881008114939	0.0253648788609409	0.0253648788609409	23	2	TRUE	1	1	0.768594392494573	-1.12235640872445	-0.185630498403919	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE
2310003N18Rik	-0.129950668372551	0.0500122671897223	0.0500122671897223	71	0	FALSE	0	0	0.338215010904657	-0.710410900020604	-0.137453811775992	-0.885612472300977	4.3869023850839e-05	4.3869023850839e-05	70	4	TRUE	1	3	1.79204386323195	-1.00685473634225	-0.31375392851136	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE
2310010J17Rik	-0.0719395587054891	0.0837109104556283	0.0837109104556283	4	0	FALSE	0	0	0.564926461050381	-0.164878021583371	0.0640423305140079	1.28144066636464	0.00137421966249406	0.00137421966249406	9	2	TRUE	2	0	1.2891030532107	-0.477010122527541	0.185607167155832	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE
2310065F04Rik	0.0106647245527194	0.390950788430717	0.390950788430717	10	0	FALSE	0	0	0.265752284663419	-0.300601179961982	0.00736405804258167	1.02895495872972	0.00870283132810153	0.00870283132810153	7	2	TRUE	2	0	1.29944090326876	-0.634880787274042	0.0976865102041084	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE
2610206C17Rik	-0.119553167075639	0.072941942385155	0.072941942385155	9	0	FALSE	0	0	0.674711189489956	-0.416498515224519	-0.00948970761625483	3.00447577440287	6.9784482709272e-17	6.9784482709272e-17	17	1	TRUE	1	0	3.00447577440287	-0.485037883666903	0.012436113907776	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE
2810049E08Rik	-0.0884093819070391	0.217409824988227	0.217409824988227	18	0	FALSE	0	0	0.133788384634079	-0.421802899704644	-0.106343762348379	1.40865450653835	3.92991351657825e-10	3.92991351657825e-10	15	4	TRUE	3	1	3.2392288022139	-1.9097523580306	0.0270142288397302	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE
3110015C05Rik	-0.0268424038633427	0.201324582250859	0.201324582250859	27	0	FALSE	0	0	0.4240746529824	-0.409252611968357	-0.0190732500782467	2.20313140400414	2.88747199016318e-40	2.88747199016318e-40	32	7	TRUE	7	0	4.76367302696991	-0.953459495561507	0.438852736979775	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE
4732490B19Rik	-0.00989477497963942	0.0663934449035186	0.0663934449035186	70	0	FALSE	0	0	0.645357037400288	-0.514277556129562	0.00854843035605296	1.260769666685	7.69397538498301e-05	7.69397538498301e-05	66	3	TRUE	3	0	1.66219563279027	-0.553478465209101	-0.0302769925380904	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE
4833411C07Rik	-0.0200097748753928	0.0864417130118957	0.0864417130118957	7	0	FALSE	0	0	0.545551284840324	-0.190098426491503	0.0611499173161259	1.39576088422288	3.06700226130701e-05	3.06700226130701e-05	9	1	TRUE	1	0	1.39576088422288	-0.604559916425541	-0.030205100346198	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE
4921529L05Rik	0.0813920765462277	0.149457009339707	0.149457009339707	11	0	FALSE	0	0	0.575698680022298	-0.219018763543719	0.113665100012158	1.76967008717777	5.09539692536794e-08	5.09539692536794e-08	14	4	TRUE	4	0	1.99798161330112	-0.605730503027407	0.468548174654889	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE
4930405L22Rik	-0.162805577394621	0.0840342401036428	0.0840342401036428	92	0	FALSE	0	0	0.248084362247407	-0.710823636636507	-0.172910004622618	-0.186021006451944	0.0226698685373847	0.0226698685373847	87	2	TRUE	1	1	0.814475592663292	-1.18651760556718	-0.29053587776445	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE
4930412B13Rik	-0.104705590981613	0.324969129046557	0.324969129046557	30	0	FALSE	0	0	0.290100615086853	-0.347280125826418	-0.101073901194635	0.00527021240805198	1.76799229555459e-08	1.76799229555459e-08	31	4	TRUE	2	2	2.24370601449296	-0.948555737411932	-0.14414228494533	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE
4930417O22Rik	-0.0470388436185393	0.322635306964829	0.322635306964829	8	0	FALSE	0	0	0.348657353291551	-0.261896440144586	-0.0259668639073472	1.36524989783289	0.00018899971596511	0.00018899971596511	9	1	TRUE	1	0	1.36524989783289	-0.262411391082845	0.383603465483462	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE
4930423M02Rik	-0.175984022124063	0.174727911947053	0.174727911947053	40	0	FALSE	0	0	0.280620334335417	-0.534490815670906	-0.159108747907979	1.63785214236682	7.79880726207707e-19	7.79880726207707e-19	53	6	TRUE	4	2	3.40988061915541	-1.0045676135368	-0.0856367495295456	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE
4930431P22Rik	-0.0727314430986649	0.116683743436998	0.116683743436998	45	0	FALSE	0	0	0.555723780583091	-0.550632440824608	-0.0557189214348083	1.05569695774082	2.29498960306101e-08	2.29498960306101e-08	43	6	TRUE	5	1	2.48730264452755	-0.870744548297257	0.0808873779504615	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE
4930447J18Rik	-0.075251384584993	0.134453830087709	0.134453830087709	45	0	FALSE	0	0	0.472085541445701	-0.502030302077957	-0.0725033539832234	-0.00919346756670603	0.029768048918991	0.029768048918991	51	2	TRUE	1	1	0.732372956581821	-0.750759891715233	-0.186105237683932	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE
4930448I18Rik	-0.172523483814248	0.319569271855247	0.319569271855247	7	0	FALSE	0	0	0.00790014025555331	-0.34995316716261	-0.153955473552848	0.812522576729075	0.0162303109735666	0.0162303109735666	11	1	TRUE	1	0	0.812522576729075	-0.471354631480455	-0.125013327870027	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE
4930452A19Rik	-0.14574003326275	0.0999872664166458	0.0999872664166458	78	0	FALSE	0	0	0.611006818106307	-0.473939598414843	-0.1115991999792	2.25900218965837	1.37872984605484e-08	1.37872984605484e-08	72	1	TRUE	1	0	2.25900218965837	-0.791314102539957	-0.231995754617266	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE
4930467K11Rik	-0.101435660842077	0.0867885806601798	0.0867885806601798	35	0	FALSE	0	0	0.319399620383317	-0.617089460127617	-0.108103909173716	0.809219052831176	2.06999593729514e-15	2.06999593729514e-15	33	6	TRUE	4	2	3.59281780087258	-1.25712411860751	0.00586391007491862	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE
4930470P17Rik	-0.0843896223753701	0.129534161951508	0.129534161951508	22	0	FALSE	0	0	0.492336768750732	-0.391952819484703	-0.0594712912780692	0.712841628792201	0.0423790799697272	0.0423790799697272	22	2	TRUE	2	0	0.730985360682745	-0.523065058176145	-0.113152419696154	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE
4930474N09Rik	-0.0569124519470911	0.15488869717905	0.15488869717905	36	0	FALSE	0	0	0.472630445069328	-0.474488551587471	-0.0650231094079149	1.21693448419279	0.00032816367157173	0.00032816367157173	34	2	TRUE	2	0	1.46857753630177	-0.507925253538022	-0.01480023352955	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE
4930486I03Rik	-0.130496401418735	0.0923884641992559	0.0923884641992559	77	0	FALSE	0	0	0.356485118030416	-0.664133314912782	-0.123190577934926	0.790520706754067	3.58094657808985e-06	3.58094657808985e-06	78	9	TRUE	5	4	1.43422804016233	-0.887068171180161	-0.137187773939627	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE
4930503F20Rik	-0.0712348068837523	0.222744832311384	0.222744832311384	44	0	FALSE	0	0	0.448750292533399	-0.327791995781342	-0.0471827292711268	-0.837445398358647	0.0245276404810508	0.0245276404810508	44	3	TRUE	1	2	0.751144677142015	-0.956820728704334	-0.134970930790063	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE
4930505A04Rik	-0.144895442397	0.171517390358723	0.171517390358723	12	0	FALSE	0	0	0.531914131284103	-0.447755334809619	-0.0526341671151213	2.00234801780739	1.30141845342829e-09	1.30141845342829e-09	13	2	TRUE	2	0	3.10987142759322	-0.733009373269107	0.304365305238299	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE
4930513D17Rik	-0.105688711668333	0.0507476733691299	0.0507476733691299	75	0	FALSE	0	0	0.647616547150292	-0.517107144904655	-0.0791891309752558	2.09956226062747	4.44931407723011e-25	4.44931407723011e-25	86	18	TRUE	18	0	4.07095512082626	-0.767982672194069	0.49926067377825	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE
4930517E11Rik	0.0237848218708729	0.633753959624011	0.633753959624011	3	0	FALSE	0	0	0.18468104048007	-0.0424467605652112	0.0553397005952439	1.10500942506319	0.000707131151791847	0.000707131151791847	8	1	TRUE	1	0	1.10500942506319	-0.380584549624163	0.175157342212596	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE
4930519K11Rik	-0.00769771018774028	0.0617637801156392	0.0617637801156392	33	0	FALSE	0	0	0.620357887656576	-0.318179829261447	-0.00814191625571212	0.853668130865779	0.00581365650127767	0.00581365650127767	39	3	TRUE	2	1	0.952673613172448	-0.905822828982536	-0.103421943861289	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE
4930523C07Rik	-0.0320898785019512	0.0639861300455042	0.0639861300455042	21	0	FALSE	0	0	0.589321967841346	-0.272805527270161	-0.0333705280868873	2.29049853303335	2.98311680784605e-11	2.98311680784605e-11	27	3	TRUE	3	0	2.62694750042134	-0.758845480855233	0.21876839677854	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE
4930524B17Rik	-0.0723374231051449	0.219940021640676	0.219940021640676	22	0	FALSE	0	0	0.434666446855239	-0.366890552238848	-0.0654423659052807	1.89822589082678	2.72554438188288e-25	2.72554438188288e-25	46	20	TRUE	20	0	4.10638922774781	-0.53242016366955	1.06988915379024	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE
