gene_name	mecp2_fold	mecp2_fdr	mecp2_n_peaks	mecp2db_fold	mecp2db_fdr	mecp2db_n_peaks
1700029H14Rik	-0.126601551004379	0.614246911813843	9	0.012970203	0.969160112	3
1700029J03Rik	-0.00516013509047376	0.98165303224225	22	-0.046533772	0.856761233	1
1700029N11Rik	0.624863996113316	0.101418697371791	63	0.258933213	0.273923078	28
1700030C10Rik	0.0246906433660008	0.916502538233469	77	0.034621003	0.901844133	4
1700030F04Rik	-0.00661530586213898	0.978523335557966	22	0.034205039	0.901844133	1
1700030K09Rik	0.167896792790309	0.502339210099898	3	-0.030698533	0.914402817	1
1700030L20Rik	0.436991239452112	0.119847142854027	8	0.533685437	0.039843304	2
1700030M09Rik	-0.0146461384589561	0.957616470541204	1	-0.013837464	0.966689802	1
1700030O20Rik	-0.0182256831663315	0.937587252352723	5	-0.21290651	0.344742485	1
1700031P21Rik	-0.0280674997065309	0.917364116657131	3	-0.013259562	0.968272902	1
1700034G24Rik	0.0250596012769319	0.942624083945172	24	0.118153021	0.565191213	9
1700034H15Rik	-0.0429092757216299	0.830366335497101	14	0.323666549	0.134748581	2
1700036G14Rik	-0.0659302401187964	0.736482393602005	43	0.148069902	0.450822755	10
1700039E22Rik	0.0278881829028466	0.903703411158889	10	-0.081437656	0.736343093	2
1700044C05Rik	0.0575352894627498	0.768894755107231	17	-0.085198937	0.701246244	2
1700044K03Rik	0.0021826727790022	0.994572152267677	39	1.740332261	1.2e-10	5
1700045H11Rik	-0.00303393666834063	0.990698424862957	1	0.028858306	0.921463349	1
1700047E10Rik	-0.0954949520277961	0.652905814308574	10	-0.011881679	0.971920511	1
1700049E15Rik	-0.0946970949770513	1	31	1.140494537	0.000414448	1
1700049E22Rik	0.0251880799062034	0.901052074669674	55	-0.047998587	0.850326785	22
1700049L16Rik	-0.00690958934550422	0.978826372531671	16	0.002586919	0.994860204	2
1700051A21Rik	0.021877114356099	0.927320061366331	4	-0.002457816	0.995128002	1
1700052I22Rik	-0.0355872041066284	0.858334222736879	3	-0.064089838	0.779102951	1
1700054A03Rik	0.00531670563386299	0.985232862433459	11	0.056780212	0.820572449	4
1700054K19Rik	-0.0519538296912888	0.831746760924438	47	0.089807636	0.681318467	7
1700054M17Rik	0.208593821693508	0.372313154895036	6	0.083599177	0.699054257	1
1700055C04Rik	-0.034030436049798	0.893754646349129	6	-0.025271239	0.931660673	1
1700057H15Rik	-0.0647358813231301	0.761601122251733	64	0.002924696	0.994092053	2
1700057H21Rik	-0.0697208902063578	0.756640139356514	9	-0.051975923	0.838882094	1
1700060C16Rik	0.0169897429200161	0.949316013609169	19	-0.031108676	0.91127624	1
1700060C20Rik	0.18409360889792	0.441791914760143	8	0.12740437	0.546079246	4
1700063D05Rik	0.0102037856172387	0.969424633308004	23	0.13437288	0.501193033	4
1700064M15Rik	-0.0276767389779083	0.912806859538706	19	0.075616161	0.740431417	5
1700065J11Rik	0.0268674838917525	0.921499203188506	10	1.226980885	3.86e-07	2
1700065L07Rik	0.457529420624994	0.17637686175642	3	0.553570199	0.047000102	1
1700066B17Rik	-0.0391509510711048	1	9	2.066430962	3.09e-12	1
1700066C05Rik	-0.0378324997401517	1	34	0.361894478	0.147299219	10
1700066O22Rik	1.9432515007931	5.9929059679046e-06	4	1.22577835	0.00014444	2
1700069L16Rik	-0.03515359252495	0.876244000197748	5	-0.066898952	0.777276818	1
1700071K01Rik	0.217361584148392	0.334691918048319	53	0.265490622	0.215520619	7
1700072B07Rik	-0.153043574208829	0.441048303979028	12	-0.267583635	0.204886349	7
1700072O05Rik	0.05194980470661	0.826410400538799	5	0.032531268	0.906346352	1
1700073E17Rik	-0.0520110293481962	1	16	-0.04177542	0.873829668	1
1700080N15Rik	0.0560015505111802	0.819219402032277	7	-0.080717527	0.707240303	1
1700081H04Rik	-0.0523736116812224	0.819171552152022	16	-0.000437635	0.998988662	1
1700083H02Rik	0.039191413323455	0.891403161202867	22	0.077155335	0.737106822	6
1700084J12Rik	0.000441598010506348	0.998688254368578	8	-0.047024709	0.856253345	1
1700085C21Rik	-0.0605361371259316	0.809412915672857	30	-0.066111373	0.780129965	4
1700086L19Rik	-0.0155723579610234	0.951660859212436	10	0.085325507	0.687131637	1
1700092C10Rik	0.00157754639231883	0.997116391361356	1	0.02383164	0.937779745	1
1700092E19Rik	0.0169230125337638	1	7	1.521547424	1.33e-06	2
1700092K14Rik	-0.00180510692252783	0.994795883008174	48	0.079782373	0.725136525	30
1700094J05Rik	-0.00790541368233019	0.975810320675588	4	-0.052923275	0.828184012	1
1700095B10Rik	0.05541052665496	0.8081310149714	13	0.0090659	0.979972813	3
1700095J03Rik	-0.0842946343917883	1	6	1.160326753	0.000905505	1
1700096J18Rik	0.502543119391148	0.10992671714454	6	1.051895879	0.000749814	2
1700096K18Rik	-0.0393277028470124	0.8288102527645	3	-0.128088457	0.540880783	1
1700099I09Rik	0.165963425405139	0.498591354619549	8	-0.034926142	0.899645902	1
1700101O22Rik	-0.0177123197946849	1	31	1.309518748	3.51e-06	4
1700104L18Rik	-0.0292282721048263	1	15	0.514244092	0.025695875	3
1700108F19Rik	0.0230553229237222	0.910454990343165	21	-0.082775912	0.704730463	8
1700108J01Rik	0.0180165591427271	0.941450422105105	10	2.53010041	7.23e-16	8
1700109G14Rik	0.00942379085525092	0.973292933295137	8	-0.23583051	0.251989936	2
1700109G15Rik	-0.0133763435890717	1	32	-0.095369456	0.657012701	6
1700110C19Rik	-0.2192038041231	0.370181589559951	14	-0.058697822	0.805827964	2
1700110K17Rik	-0.0741139036885891	0.67271423791915	5	-0.017862385	0.954858242	1
1700112H15Rik	-0.173674992075246	0.453442575046823	34	0.060915807	0.801565195	2
1700112J16Rik	-0.0215051457821802	0.910815512547245	14	0.022791608	0.942016961	2
1700113A16Rik	-0.012417674356461	0.936413689382121	3	-0.128157117	0.515580753	1
1700113H08Rik	0.547588182274685	1	20	-0.053577427	0.823594255	1
1700116B05Rik	-0.0885106089301253	0.700131736145481	13	-0.241083913	0.242743618	1
1700119H24Rik	0.0766006776083061	0.725806007534547	4	0.028476785	0.921208612	1
1700120E14Rik	0.0410348915186598	0.865647876598352	15	-0.009702678	0.978304717	1
1700120G07Rik	0.153234647597118	1	43	-0.09065006	0.67712913	21
1700120K04Rik	0.0478708416931004	0.836415898906271	2	0.030337255	0.913437095	2
1700121N20Rik	0.0301441212814998	0.896961617780417	63	-0.010161691	0.977492198	12
1700122O11Rik	0.0291392645232555	0.893625817423197	14	-0.021232487	0.9449763	2
1700123K08Rik	-0.0824090453529102	0.780025390103636	6	-0.055142966	0.82639414	1
1700123M08Rik	-0.00812312608381867	1	6	-0.066378832	0.776524249	1
1700123O21Rik	0.00184210660580268	1	37	-0.038733643	0.886575228	9
1700125G02Rik	0.00154938475098318	0.995466087467304	1	-0.031690149	0.909377067	1
1700128A07Rik	-0.0330586475297042	1	39	1.848603149	1.27e-08	9
1700129C05Rik	0.0345667843398597	0.881992795977505	57	-0.114346413	0.593624974	11
1810013A23Rik	-0.00866061497253663	0.969577554829321	5	0.010820163	0.975233877	1
1810034E14Rik	-0.0387542391376294	0.829923247192986	6	-0.104911006	0.659963161	3
1810053B23Rik	-0.0149644252017765	0.95983833425611	37	-0.089265573	0.67495196	5
1810055G02Rik	-0.0301416121266825	0.86989459682571	4	0.010217276	0.977398879	1
1810063I02Rik	-0.00381471120315058	1	5	-0.209145964	0.320961043	1
2010001A14Rik	0.0366162537997256	0.854564917727513	17	-0.065001124	0.782536653	4
2010003K11Rik	0.0107192813474319	0.964886224335588	6	2.517892432	2.25e-15	1
2010009K17Rik	0.07024210877597	0.699379552940519	9	0.078648623	0.727606177	2
2010010A06Rik	0.0599675940500785	1	26	-0.019214247	0.950995287	1
2010106C02Rik	-0.016278759675491	0.942141414730333	42	-0.185451527	0.363021149	12
2210016L21Rik	-0.000650073563808182	0.99838863552979	5	-0.143212646	0.499293914	1
2210406O10Rik	0.000137737027291243	0.999591093384274	8	-0.040147616	0.8806917	2
2210408F21Rik	-0.0496771101632129	0.788134484905233	23	-0.080819819	0.715799006	5
2210409D07Rik	0.053153274890714	0.736843477253432	25	0.159862041	0.440330682	10
2210420H20Rik	-0.00928218138145596	0.973288537935727	14	-0.129476361	0.528980377	1
2300009A05Rik	-0.0553707173369307	0.769390773249502	10	-0.122710244	0.571467736	1
2310002F09Rik	-0.0580117862309459	0.773696986722998	1	-0.098366944	0.661125669	1
2310005E17Rik	0.0100426648338716	0.978930844385212	11	-0.002966871	0.994092053	1
2310008N11Rik	0.990023887914341	0.00373818188178717	100	0.121488334	0.582691333	35
2310010J17Rik	0.976222225063146	0.0390406556937363	3	-0.023631802	0.937222806	1
2310011J03Rik	-0.0107206111738743	0.966883769743795	5	0.066712552	0.77749832	2
2310015A10Rik	-0.218694495723894	0.365579710393673	9	-0.097055311	0.652877424	2
2310020H05Rik	0.0345981518850184	0.887240652372053	14	0.059618834	0.798949287	1
2310022B05Rik	-0.00805186508660037	0.977259782609002	10	0.051560817	0.838882094	1
2310033P09Rik	0.0360645706149529	0.876340667289243	3	0.015013835	0.964185863	1
2310034O05Rik	-0.132520299153031	1	20	-0.016022347	0.960771532	5
2310043L19Rik	0.104060982172389	0.579657297712669	29	0.105898371	0.614629008	7
2310043O21Rik	-0.0761220550935762	1	6	-0.009152407	0.97960187	2
2310065F04Rik	-0.0841189925432223	1	5	-0.034723802	0.898326666	2
2310069B03Rik	0.00312879934176888	0.992648256029289	9	-0.06715017	0.775779913	2
2410003L11Rik	-0.0319929278372635	0.875830627231484	5	-0.038237495	0.887429143	1
2410004P03Rik	-0.0165201751407223	0.946070231166677	17	-0.024058715	0.93577808	1
2410017I17Rik	-0.0805343426953456	1	5	-0.023449736	0.937689159	2
2410018L13Rik	-0.00684276934496219	0.981745459216749	39	-0.133771617	0.561168303	1
2410022M11Rik	-0.0444152684393163	0.842606088316075	1	-0.011179348	0.976816071	1
2510009E07Rik	0.0169866357162752	0.947064106511869	5	-0.00411645	0.991656802	1
2510039O18Rik	-0.0261530338459774	0.901590702613407	4	-0.001821474	0.996128344	2
2610028E06Rik	-0.0117320461638271	0.967632473124912	54	-0.091828535	0.670976317	9
2610035D17Rik	-0.0105844301434618	0.966706383766418	63	0.004729836	0.990660651	14
2610035F20Rik	0.0373019749100085	0.837814669759469	1	0.08633888	0.689074769	1
2610037D02Rik	0.0236692668923775	1	2	-0.080081105	0.726237224	1
2610203C22Rik	-0.660615543807457	0.0381884240366353	8	-0.557944903	0.022917735	3
2610206C17Rik	0.233069799820318	0.367150988528917	4	0.079499765	0.721034578	2
2610307P16Rik	0.73418338305644	0.0662968367216471	31	1.123676585	0.00016201	7
2610318M16Rik	-0.119833064946212	0.590746144317493	7	0.03183833	0.90796516	2
2610318N02Rik	-0.0986645705102582	0.615469330283754	2	0.025475551	0.931504944	1
2700046A07Rik	-0.00490455565579613	0.985394376485737	18	0.464700924	0.070804835	1
2700054A10Rik	-0.0107861690957217	0.967452381358032	14	0.479400289	0.066562644	1
2700062C07Rik	-0.104901482358802	0.635814536176709	5	-0.0200743	0.949606736	1
2700070H01Rik	-0.0218677098258041	0.915342884070004	4	0.083553979	0.692441712	1
2700089I24Rik	0.0702797343017628	0.757517287699147	27	-0.008452665	0.981570549	1
2810013P06Rik	-0.0417593401836095	0.869594461660998	1	-0.065688964	0.785317036	1
2810032G03Rik	0.0107298721213079	0.969829613123011	82	0.080479153	0.723963771	18
2810049E08Rik	-0.0323192753710083	1	7	0.488624233	0.06903792	4
2810414N06Rik	-0.134267791371839	0.483406595658639	4	-0.111889353	0.604730759	2
2810459M11Rik	-0.705394686011839	0.0370518576193516	3	-0.273988477	0.184882738	1
2900009J06Rik	-0.0641811278993391	0.70096194567378	1	-0.091216424	0.666441138	1
2900026A02Rik	-0.285774758989612	0.285463024890445	42	-0.348872952	0.136932515	6
2900040C04Rik	0.161150311492648	0.471807109383477	26	-0.299581809	0.146117735	3
2900041M22Rik	-0.0409886831994746	0.866739334804124	28	0.042033297	0.873764141	14
2900052L18Rik	0.000253229891532595	0.999308244763319	6	1.07763607	0.00056354	3
2900052N01Rik	0.0572020791807873	0.794714718546922	60	-0.126061616	0.542120046	10
2900057B20Rik	-0.100051797046323	0.62665157307826	14	-0.081836088	0.712460634	7
2900079G21Rik	3.21508317360995	3.70838505722565e-12	47	2.706948127	1.02e-12	17
3100003L05Rik	0.0274055550500591	0.890698114603115	62	0.017907573	0.954193439	16
3110009F21Rik	0.00261139958892692	0.993290379152363	39	-0.025599471	0.930816058	6
3110015C05Rik	1.13451551948762	0.00420625589979417	16	1.035951417	8.01e-05	4
3110040N11Rik	0.0199088023646346	0.91137898317025	2	0.003085686	0.994044851	1
3110082I17Rik	-0.0768188989925108	0.703168663175366	6	-0.027060448	0.926381558	2
3300005D01Rik	0.0129770184316948	0.953313521957622	33	-0.005359987	0.98922026	1
3425401B19Rik	-0.00304820765525411	0.988263618984546	16	-0.040424927	0.877331257	4
3830408C21Rik	0.182976860341773	0.461749606376208	18	-0.11578746	0.586349591	11
3930402G23Rik	0.00986734650675317	0.966520881852541	14	1.13346298	1.86e-05	4
4632415L05Rik	-0.0138552891402769	0.949698253584371	3	-0.029132687	0.919428479	1
4632428C04Rik	0.00900934959991605	0.96942968615416	5	-0.139612068	0.472521214	2
4732414G09Rik	-0.0804524708425952	0.717534603988792	2	-0.047216255	0.859128285	1
4732490B19Rik	-0.00629447682958514	0.976170393406049	49	0.136398786	0.543725908	5
4732491K20Rik	-0.000214784922073642	0.999556254946135	3	-0.107967954	0.599259342	1
4833411C07Rik	-0.0707381068745127	0.746037209208434	8	0.039842938	0.882972273	2
4833412C05Rik	-0.0876142475954967	0.663026717199557	14	-0.07167528	0.757376558	2
4833415N18Rik	-0.0783360978877432	0.70442441343716	49	-0.050791925	0.839254277	14
4833417C18Rik	-0.00492282743763059	0.98375906484803	2	-0.070172322	0.75514716	1
4833422C13Rik	0.016606770661479	1	2	-0.022805813	0.940137734	1
4833422M21Rik	0.0337714229601683	0.896036638703893	7	0.414351492	0.098372791	1
4833428L15Rik	0.0247602658292259	0.901123080710319	32	0.021443782	0.94442578	9
4921509O07Rik	0.016138273053445	0.944395119517223	28	0.111788079	0.608828082	6
4921511I17Rik	0.0649608846207846	1	42	0.449823221	0.074402002	5
4921513I03Rik	-0.052201327383916	1	33	-0.293265123	0.215930278	8
4921515E04Rik	-0.465626576271443	0.174755107344861	17	1.254306798	0.01050998	3
4921525O09Rik	-0.506309817278168	0.153375906006775	76	-0.108608945	0.622724586	14
4921529L05Rik	0.166152806147877	0.476445406650186	11	0.085356487	0.699559134	2
4921531C22Rik	-0.0472877321527877	0.815432048451064	7	-0.039689999	0.882988221	1
4921531P14Rik	-0.11278159793722	0.597319298365444	89	-0.037689804	0.888532383	18
4921534H16Rik	-0.00758012734846724	0.982175850248799	51	-0.197193538	0.364386746	11
4930401O10Rik	-0.443150300512766	0.14307694372013	28	-0.511081705	0.05479442	13
4930401O12Rik	0.0250143112956927	1	28	-0.065562887	0.77956932	1
4930404H11Rik	0.295173393775014	0.299409114207595	35	0.052895957	0.829685389	13
4930405A10Rik	0.0815455823491051	0.735601640526759	13	0.729595346	0.006527627	2
4930405L22Rik	-0.0115868187838109	0.969349233511757	12	-0.003508451	0.992885281	1
4930405O22Rik	-0.0450151814604346	0.782831126463773	55	-0.060944955	0.798873814	24
4930406D18Rik	0.028817945940691	1	15	0.072145281	0.750691584	1
4930407I19Rik	0.0587329425106009	0.775254570234434	16	0.0778071	0.750390896	9
4930412B13Rik	0.124550036191438	0.593372617610433	10	0.140139985	0.514291446	1
4930417O22Rik	0.113659216670086	0.562413713064789	6	0.246941393	0.234820973	2
4930423M02Rik	0.0529720031581351	1	13	1.641048564	2.22e-09	1
4930425L21Rik	0.0257036473658324	0.92952744574825	80	1.248066284	0.000175446	26
4930425O10Rik	0.0347186222128753	0.870036371096528	12	-0.064058801	0.784146784	2
4930426D05Rik	-0.0172276896502311	0.947122998698048	10	-0.001014743	0.997897882	1
4930428E07Rik	0.0371193220630559	0.893311893966255	23	1.080118458	0.002178555	11
4930428O21Rik	-0.171491559237312	0.503974031649811	3	-0.024124493	0.937363375	1
4930429H19Rik	-0.170607856532857	0.475622644568665	17	0.062423334	0.801647454	4
4930430F21Rik	-0.026285662056616	0.917154094459134	13	0.197752683	0.388831235	3
4930431P03Rik	-0.00913861286832856	0.970952428147074	5	-0.053155836	0.828902075	1
4930431P22Rik	-0.00754880103730792	0.972919741266465	26	0.013422667	0.967835403	8
4930432J09Rik	0.00558315047859949	0.984501491777286	14	-0.186969315	0.339793468	3
4930433B08Rik	-0.00385897866323824	1	34	0.019756279	0.951057805	15
4930433I11Rik	0.000542826265082944	0.998721605601184	4	-0.053525183	0.829211987	1
4930434J06Rik	0.00490240253028439	0.987829961913488	52	-0.077575362	0.725093895	12
4930438E09Rik	-0.020305703901577	0.931527895243899	17	-0.037710261	0.889461615	6
4930440I19Rik	0.0169417088776962	0.937018059481955	6	0.124839605	0.568345845	3
4930441H08Rik	0.0552051664614665	0.836415898906271	40	1.479736564	1.43e-06	4
4930441J16Rik	-0.0717545402163563	0.761632783526355	23	0.02834206	0.921899118	1
4930445N18Rik	-0.0419038335405993	0.833974943985435	17	0.087838672	0.680958481	3
4930447A16Rik	-0.125822816041928	0.571440279850784	5	-0.158432327	0.457964462	2
4930447F24Rik	-0.0395065244722583	0.853620222884603	10	-0.006523176	0.986727549	2
4930447J18Rik	0.0161294841947772	0.95234496539059	25	0.109586185	0.585755866	2
4930448I06Rik	-0.0504154050034037	1	42	-0.00499326	0.990157062	5
4930448I18Rik	1.27952396901941	0.00609606475030084	3	-0.050138739	0.840176677	1
4930449E01Rik	-0.57789721978998	0.107661969600649	10	-0.650876336	0.008517552	4
4930451I11Rik	-0.0577275173406479	0.802503064433107	2	-0.018173784	0.95348712	1
4930452A19Rik	-0.0250440177796684	0.92133698626839	31	0.072968879	0.750729809	2
4930453L07Rik	-0.00744250392234986	1	15	-0.077269795	0.73412391	1
4930453N24Rik	-0.665022594564644	0.0945389391154625	6	0.111139694	0.607602827	2
4930455B14Rik	0.0540460219119337	1	32	0.891894706	0.001755883	4
4930455G09Rik	-0.0265907947181643	0.89008327281127	6	-0.049457544	0.843078748	1
4930459C07Rik	0.0125969106613154	0.959586244787392	47	0.31737122	0.193688988	12
4930459L07Rik	0.0590247309151222	1	15	0.013370588	0.971217397	3
4930461G14Rik	-0.135321128991484	0.530324432298396	15	-0.272786229	0.267358477	8
4930465M20Rik	0.0130088694301218	0.965415016192819	117	-0.056604676	0.812635526	13
4930467D21Rik	0.0704549614606474	1	5	-0.00319176	0.993802068	3
4930467K11Rik	-0.0823659996359717	1	9	2.604431062	1.57e-13	1
4930469K13Rik	-0.0835355072783808	0.682136666201015	9	1.465830945	3.11e-06	4
4930470P17Rik	-0.0578527887843918	1	11	0.105735792	0.638332146	1
4930471C04Rik	-0.0861997413910056	0.60744108659021	1	-0.114390414	0.578034051	1
4930471G03Rik	-0.0284125478985256	1	13	0.020905056	0.945628798	1
4930471G24Rik	0.0109908997930952	0.969680632557348	15	-0.01487848	0.96373643	1
4930473A02Rik	-0.0384478690654202	0.865932241772828	1	0.013504655	0.967786172	1
4930473O22Rik	1.76839329180441	0.000200186351066941	5	1.871802766	1.15e-07	5
4930474G06Rik	-0.00141693879056901	0.99660331275086	41	2.13548672	9.46e-13	7
4930474H20Rik	-0.08668779343132	1	30	-0.07118418	0.763519797	5
4930474M22Rik	-0.0138367090283603	0.95672256438335	19	-0.080414319	0.717741689	6
4930474N09Rik	-0.0334252803102586	0.878396103860585	24	0.040858139	0.876012753	4
4930478P22Rik	-0.0164026535824154	0.935764453933887	14	0.05121789	0.839108103	6
4930480M12Rik	1.98845052370577	2.97683926834779e-06	4	1.832684301	1.33e-07	4
4930483O08Rik	-0.0322057058882559	0.87984964031128	36	0.155550113	0.443700119	9
4930486F22Rik	0.0141128127248903	0.963845947103485	14	-0.063338059	0.787777273	2
4930486I03Rik	-0.00636015518457125	0.983320184506574	22	1.875386403	7.05e-09	2
4930503F20Rik	0.0184102676983983	0.938281427852398	25	0.058818168	0.807673974	3
4930503O07Rik	-0.0627874973511592	0.788015196171326	48	1.005815519	0.001451942	4
4930504C09Rik	0.00806810822970333	0.977144471087421	16	0.047526361	0.851208809	2
4930505A04Rik	0.129687092724461	1	7	0.470784046	0.152764632	1
4930505K14Rik	0.0489244106519635	0.818432407581183	15	0.00725958	0.985082801	1
4930511A08Rik	-0.0349301336718317	0.891581082540561	38	-0.005935492	0.988089217	7
4930511M06Rik	0.0489513457616334	0.814597230341945	4	0.185875508	0.390826021	2
4930512J16Rik	-0.0219978445133421	0.919762919199991	16	-0.14311092	0.501631662	5
4930513D17Rik	0.00406093689917203	1	45	0.149578176	0.505824786	15
4930517E11Rik	-0.0393375598013582	1	3	0.555013804	0.050777208	1
4930517M08Rik	0.0388027673311061	0.874437960851541	23	0.007415865	0.985011863	2
4930519G04Rik	-0.056289097365335	0.790994044886918	6	-0.010690529	0.975376669	2
4930519L02Rik	-0.0578184579476784	1	7	-0.107462357	0.616716137	1
4930520P13Rik	-0.00630774908576211	0.974844975156602	32	0.033542581	0.905905187	1
4930522O17Rik	-0.231224710581066	0.361587034030295	6	-0.013116134	0.968636793	1
4930523C07Rik	0.0391776846935327	0.79183531874069	11	0.061878909	0.794539204	3
4930524B17Rik	2.78194249302188	2.14877698189127e-08	32	2.873896685	9.02e-13	9
4930524C18Rik	0.0346962073397319	0.893311893966255	40	1.202363762	0.002359625	7
4930524O08Rik	-0.0328501106182411	0.852969076263188	11	-0.059436472	0.802318011	7
4930526H09Rik	0.0314509416033612	0.890402610720044	8	0.035671332	0.897210282	1
4930527F14Rik	0.00736727987365349	1	4	-0.051717448	0.835791795	1
4930527G23Rik	-0.133791614317305	1	16	0.175907969	0.391354717	5
4930528D03Rik	0.0243853199828102	0.91885288460174	6	-0.098167759	0.658458435	1
