gene_name	gene_id	chr	gene_length	promoter_state	body_state	mch_diff	edger_logFC	edger_fdr	mch_sig	mch_group	atac_fold	atac_fdr	atac_concordant	k27ac_fold	k27ac_fdr	k27ac_concordant	k27me3_fold	k27me3_fdr	k27me3_concordant	k119ub_fold	k119ub_fdr	k119ub_concordant	n_marks_tested	n_concordant	mark_combination
Gm20696	ENSMUSG00000030068.4	chr6	409314	Active_Promoter	Active	-0.00499651514703359	-0.356802210192052	5.19081935781682e-12	TRUE	mCH Hypo	NA	NA	FALSE	NA	NA	FALSE	NA	NA	FALSE	NA	NA	FALSE	0	0	none
Ccdc192	ENSMUSG00000058925.11	chr18	197286	Unmarked_Promoter	Active	0.0126019766499644	0.424150311519031	7.0060800467962e-12	TRUE	mCH Hyper	0.0409377824000692	0.846858367714488	FALSE	NA	NA	FALSE	NA	NA	FALSE	0.861810419	5.56e-20	TRUE	2	1	K119ub
Epha3	ENSMUSG00000052504.7	chr16	320642	Active_Promoter	Active	0.0111898424144496	0.361934777032521	7.0060800467962e-12	TRUE	mCH Hyper	-0.284052177119034	0.0963548223757864	FALSE	-0.97153525357061	1.85101864448772e-06	TRUE	2.42343071630689	2.09563153403805e-30	TRUE	0.643198141	9.85e-08	TRUE	4	3	K27ac + K27me3 + K119ub
D430042O09Rik	ENSMUSG00000032743.15	chr7	166906	Unmarked_Promoter	Mixed	-0.0142951558904322	-0.362875613994118	7.0060800467962e-12	TRUE	mCH Hypo	NA	NA	FALSE	NA	NA	FALSE	NA	NA	FALSE	NA	NA	FALSE	0	0	none
Snca	ENSMUSG00000025889.13	chr6	98281	Active_Promoter	Active	0.0157101134359947	0.586118798230916	7.0060800467962e-12	TRUE	mCH Hyper	-0.262838917410768	0.122981944860039	FALSE	-1.00301273502346	6.29706881588024e-08	TRUE	NA	NA	FALSE	0.605637599	1.45e-10	TRUE	3	2	K27ac + K119ub
Cacna2d2	ENSMUSG00000010066.15	chr9	129732	Active_Promoter	Active	-0.0105717035145044	-0.548418662574978	7.36919823913913e-12	TRUE	mCH Hypo	0.218279401559972	0.182875972056168	FALSE	1.00475028243415	1.50735771050504e-12	FALSE	-0.279977854694214	0.179167539315961	FALSE	-0.86560166	3.46e-10	FALSE	4	0	none
Pappa2	ENSMUSG00000073530.11	chr1	268764	Unmarked_Promoter	Mixed	0.0101386474443078	0.43796141023974	1.14335562030728e-11	TRUE	mCH Hyper	0.205108146449236	0.285890907180123	FALSE	-1.45781059374548	3.48547470297543e-11	TRUE	-0.0897064641713346	0.703737505057197	FALSE	0.419889222	6.65e-06	TRUE	4	2	K27ac + K119ub
Arhgef38	ENSMUSG00000040969.14	chr3	122672	Unmarked_Promoter	Enhancer_Marked	0.0137492124772687	0.629380649037586	1.2591207886485e-11	TRUE	mCH Hyper	-0.170964594723443	0.473127774735533	FALSE	-0.719990197928042	0.000814918128515567	TRUE	0.226133243114175	0.319617000886484	FALSE	0.736248308	1.74e-07	TRUE	4	2	K27ac + K119ub
Nos1	ENSMUSG00000029361.18	chr5	177809	Unmarked_Promoter	Active	-0.00744638438490868	-0.460095249479455	1.44746199427635e-11	TRUE	mCH Hypo	0.578798147299029	0.000456492874001462	FALSE	0.80106827793802	1.03239708381344e-07	FALSE	NA	NA	FALSE	-0.339973454	0.09884443	FALSE	3	0	none
Lamb3	ENSMUSG00000026639.18	chr1	136180	Unmarked_Promoter	Active	0.0144302689909102	0.439948159320804	1.69868733830918e-11	TRUE	mCH Hyper	-0.37436494826098	0.0637488892522565	FALSE	-1.65461690939926	2.31010061280625e-20	TRUE	NA	NA	FALSE	1.440516722	6.08e-19	TRUE	3	2	K27ac + K119ub
Fam107b	ENSMUSG00000026655.15	chr2	211655	Unmarked_Promoter	Active	0.0113231238191702	0.383100721599497	1.72457688349489e-11	TRUE	mCH Hyper	-0.0203334115442629	0.928409879175955	FALSE	-0.94575506633713	2.1400937905974e-06	TRUE	0.367109088661516	0.0623898321530925	FALSE	0.645425543	9.76e-09	TRUE	4	2	K27ac + K119ub
Nln	ENSMUSG00000021710.11	chr13	86558	Active_Promoter	Mixed	-0.0141016082596538	-0.462840357126964	1.72457688349489e-11	TRUE	mCH Hypo	0.330147442105106	0.105008833164899	FALSE	0.607493651269798	0.00169767047912602	FALSE	0.0300974753936608	0.896832779209559	FALSE	0.1617804	0.136719696	FALSE	4	0	none
Zic4	ENSMUSG00000036972.14	chr9	26936	Active_Promoter	Active	0.0259572908900246	1.07055550092011	1.8061831816614e-11	TRUE	mCH Hyper	-0.00366663621345625	0.98939702673325	FALSE	-1.10266132529974	5.63354955124263e-09	TRUE	2.31321721431482	1.13351645304931e-17	TRUE	1.011699404	3.01e-18	TRUE	4	3	K27ac + K27me3 + K119ub
Pag1	ENSMUSG00000027508.15	chr3	146201	Active_Promoter	Active	-0.00969877170366765	-0.44643184564619	1.84260509379302e-11	TRUE	mCH Hypo	0.2866744595063	0.109328426812071	FALSE	0.570870919519472	0.000417188244706943	FALSE	-0.0407843673594299	0.859455863869714	FALSE	-0.378890466	0.00021553	FALSE	4	0	none
Fstl4	ENSMUSG00000036264.9	chr11	423905	Bivalent_Promoter	Polycomb	-0.00533845299842072	-0.307902921704225	1.97632496913304e-11	TRUE	mCH Hypo	0.917698317738961	1.55467588167241e-05	FALSE	1.10101575940189	1.05136736706774e-08	FALSE	-0.202358881376188	0.316212438906642	FALSE	-0.299949879	0.006208914	FALSE	4	0	none
Opcml	ENSMUSG00000062257.13	chr9	1134636	Repressed_Promoter	Mixed	0.00721020951831099	0.215772239315337	1.97632496913304e-11	TRUE	mCH Hyper	0.769534042321663	0.0035381480171856	FALSE	-0.713376734280164	1.59503245415344e-07	TRUE	-0.168629282452584	0.391580838858656	FALSE	0.517652028	4.28e-07	TRUE	4	2	K27ac + K119ub
Kcnq1	ENSMUSG00000009545.14	chr7	320681	Repressed_Promoter	Polycomb	-0.00683977244222367	-0.321025294687241	1.99114960892126e-11	TRUE	mCH Hypo	0.314066508702752	0.0816123791159532	FALSE	0.892363175322956	0.000333220484361334	FALSE	-0.13212178801042	0.611052371112534	FALSE	-0.610217122	2.08e-07	FALSE	4	0	none
Heg1	ENSMUSG00000075254.12	chr16	87207	Active_Promoter	Active	0.0148278367470974	0.589056922476944	2.07818578943075e-11	TRUE	mCH Hyper	-0.814053723923416	0.000121727873808516	TRUE	-1.4722801671329	1.63881016572643e-12	TRUE	NA	NA	FALSE	0.470958444	0.001879598	TRUE	3	3	ATAC + K27ac + K119ub
Prkce	ENSMUSG00000045038.14	chr17	490135	Active_Promoter	Active	-0.0037373458698514	-0.326694727729326	2.13735371614806e-11	TRUE	mCH Hypo	0.347471573578905	0.0866958440460161	FALSE	0.248763329231708	0.130528191355229	FALSE	NA	NA	FALSE	-0.087768477	0.470124643	FALSE	3	0	none
