gene_name	chr	is_neuronal_external	ctrl_top_quartile
Zmym6	chr4	FALSE	FALSE
Akna	chr4	TRUE	TRUE
Mup19	chr4	FALSE	FALSE
Krtap10-4	chr10	FALSE	FALSE
BC048559	chr10	FALSE	FALSE
H6pd	chr4	FALSE	FALSE
Tmem64	chr4	FALSE	TRUE
Adprs	chr4	FALSE	FALSE
Gpn2	chr4	FALSE	FALSE
Rusc2	chr4	FALSE	FALSE
Ttll2	chr17	FALSE	TRUE
Snord19	chr14	FALSE	FALSE
Stx12	chr4	TRUE	FALSE
Gon7	chr12	FALSE	FALSE
Spmip2	chr3	FALSE	FALSE
Gm14379	chrX	FALSE	TRUE
Btbd18	chr2	FALSE	FALSE
Scpppq1	chr5	FALSE	TRUE
Uckl1os	chr2	FALSE	TRUE
Gm15881	chr8	FALSE	TRUE
Osbpl9	chr4	FALSE	FALSE
Gm16325	chr3	FALSE	TRUE
Alkal2	chr12	TRUE	TRUE
Defa2	chr8	FALSE	FALSE
Gm11944	chr11	FALSE	FALSE
Gm17455	chr10	FALSE	TRUE
5830417I10Rik	chr3	FALSE	FALSE
Actc1dt	chr2	FALSE	TRUE
D030025P21Rik	chr12	FALSE	TRUE
Dynlt1a	chr17	TRUE	FALSE
Vmn1r2	chr4	FALSE	FALSE
Vmn1r3	chr4	FALSE	FALSE
Vmn1r238	chr18	FALSE	FALSE
Vmn1r196	chr13	FALSE	FALSE
Vmn1r221	chr13	FALSE	FALSE
Pate8	chr9	FALSE	FALSE
Pate1	chr9	FALSE	FALSE
Nkx2-2os	chr2	TRUE	TRUE
Mir1901	chr18	FALSE	TRUE
Mir1949	chr18	FALSE	TRUE
Gm20605	chr5	FALSE	FALSE
AU040320	chr4	TRUE	FALSE
Dthd1	chr5	FALSE	FALSE
Il4i1b	chr7	FALSE	FALSE
Ppp1r8	chr4	FALSE	FALSE
Smpdl3b	chr4	FALSE	FALSE
Tent5b	chr4	FALSE	TRUE
Gm11651	chr11	FALSE	TRUE
Ino80dos	chr1	FALSE	FALSE
AW011738	chr4	FALSE	FALSE
Bsdc1	chr4	FALSE	FALSE
Pcdha4b	chr18	FALSE	FALSE
D230030E09Rik	chr12	FALSE	TRUE
Gm17830	chr17	FALSE	TRUE
Krtap9-20	chr11	FALSE	FALSE
Tomm6os	chr17	FALSE	TRUE
Gm13648	chr4	FALSE	FALSE
Gm11665	chr11	FALSE	FALSE
Gm12505	chr4	FALSE	FALSE
A530072M11Rik	chr4	FALSE	FALSE
Gm15997	chr5	FALSE	TRUE
Zfp572	chr15	FALSE	TRUE
Gm18409	chr10	FALSE	TRUE
AA543401	chr9	FALSE	FALSE
Adh6b	chr3	FALSE	FALSE
Slc44a1	chr4	FALSE	FALSE
Mob3c	chr4	FALSE	FALSE
Lao1	chr4	FALSE	FALSE
BB031773	chr4	FALSE	FALSE
Zfand2a	chr5	FALSE	FALSE
Mir3072	chr12	FALSE	TRUE
Tex50	chr1	FALSE	FALSE
Gm19276	chr15	FALSE	FALSE
Gm19277	chr15	FALSE	FALSE
AW046200	chr8	FALSE	TRUE
Gm13483	chr2	FALSE	FALSE
Gm15545	chr7	FALSE	FALSE
Gm19299	chr9	FALSE	FALSE
Gm19303	chr15	FALSE	FALSE
C130060C02Rik	chr19	FALSE	FALSE
Gm17399	chr9	FALSE	FALSE
Rubcn	chr16	FALSE	FALSE
AV039307	chr2	FALSE	FALSE
Gm16023	chr4	FALSE	FALSE
Gm19345	chr7	FALSE	FALSE
1700007L15Rik	chr16	FALSE	TRUE
2900009J06Rik	chr1	FALSE	FALSE
Gm16617	chr14	FALSE	TRUE
Kifc1	chr17	FALSE	FALSE
Krtap2-20	chr11	FALSE	FALSE
BC065403	chr9	FALSE	FALSE
Gm19395	chr10	FALSE	FALSE
Rpl37rt	chr5	FALSE	FALSE
Gm9899	chr5	FALSE	TRUE
Krtap10-33	chr10	FALSE	TRUE
Gm15972	chr18	FALSE	TRUE
Epg5	chr18	TRUE	FALSE
Gm19410	chr8	FALSE	TRUE
Ccdc13	chr9	FALSE	TRUE
Krtap4-27	chr11	FALSE	FALSE
Gm20597	chr10	FALSE	TRUE
Kcnmb3	chr3	TRUE	FALSE
Or2t49	chr11	TRUE	FALSE
Gm19434	chr6	FALSE	FALSE
Gm12130	chr11	FALSE	FALSE
Gm16998	chr10	FALSE	TRUE
Gm38423	chr4	FALSE	FALSE
Gm13544	chr2	FALSE	TRUE
Gm19461	chr1	FALSE	TRUE
Ube2q2l	chr6	FALSE	FALSE
Pou2af3	chr9	FALSE	TRUE
Gm4814	chr13	FALSE	TRUE
Gm19466	chr18	FALSE	FALSE
Gm16796	chr2	FALSE	TRUE
Gm3336	chr8	FALSE	FALSE
Speer4c1	chr5	FALSE	TRUE
BC037704	chr19	FALSE	TRUE
Gm10814	chr19	FALSE	FALSE
Gm17484	chr8	FALSE	FALSE
Gm19500	chr18	FALSE	FALSE
Gm16551	chr9	FALSE	TRUE
Gm19510	chr15	FALSE	TRUE
Gm19519	chr18	FALSE	FALSE
Ccdc179	chr7	FALSE	FALSE
Gm19522	chr16	FALSE	FALSE
Pdzd7	chr19	TRUE	FALSE
Armcx4	chrX	FALSE	FALSE
A730020M07Rik	chr3	FALSE	TRUE
Smim43	chr3	FALSE	TRUE
Gm16291	chr15	FALSE	TRUE
2610016A17Rik	chr19	FALSE	TRUE
Klhl3	chr13	FALSE	FALSE
Gm19557	chr19	FALSE	FALSE
Gm13944	chr2	FALSE	FALSE
2010010A06Rik	chr18	FALSE	FALSE
A930006K02Rik	chr16	FALSE	FALSE
B230303A05Rik	chr13	FALSE	FALSE
Gm13293	chr2	FALSE	FALSE
Gm15471	chr3	FALSE	FALSE
1700048M11Rik	chr16	FALSE	FALSE
Gm13752	chr2	FALSE	FALSE
Gm19582	chr1	FALSE	TRUE
2810013P06Rik	chr8	FALSE	FALSE
Gm19583	chr5	FALSE	FALSE
Btbd8	chr5	TRUE	FALSE
Gm19585	chr17	FALSE	FALSE
Gm19589	chr1	FALSE	FALSE
5430416N02Rik	chr5	FALSE	FALSE
Trpc5os	chrX	FALSE	FALSE
Gm15179	chr1	FALSE	TRUE
Gm19619	chr5	FALSE	FALSE
Gm11423	chr11	FALSE	FALSE
Gm15408	chr5	FALSE	FALSE
Cimap3	chr3	FALSE	FALSE
Gm9895	chr19	FALSE	FALSE
Zfp648	chr1	FALSE	TRUE
Tmem95	chr11	FALSE	TRUE
Gm15638	chr16	FALSE	FALSE
Snhg4	chr18	FALSE	FALSE
Tpbgl	chr7	FALSE	TRUE
Krtap10-34	chr10	FALSE	TRUE
4833438C02Rik	chr19	FALSE	TRUE
Gm14827	chrX	FALSE	FALSE
Gm10390	chr5	FALSE	FALSE
Gm19689	chr17	FALSE	FALSE
Gm19705	chr1	FALSE	FALSE
Gm14023	chr2	FALSE	FALSE
Gm19710	chr3	FALSE	FALSE
Gm15867	chr1	FALSE	TRUE
Platr22	chr1	FALSE	FALSE
A930016O22Rik	chr7	FALSE	FALSE
Gm45916	chr11	FALSE	FALSE
Gm16675	chr8	FALSE	FALSE
Gm11827	chr4	FALSE	FALSE
Gm11351	chr13	FALSE	FALSE
Gm19757	chr6	FALSE	FALSE
Gm15941	chr15	FALSE	TRUE
Nuggc	chr14	FALSE	FALSE
Speer4e2	chr5	FALSE	TRUE
Gm9926	chr18	FALSE	TRUE
Bbip1	chr19	FALSE	FALSE
Gm19782	chr15	FALSE	FALSE
Gm19784	chr18	FALSE	FALSE
Fsbp	chr4	FALSE	FALSE
A330076C08Rik	chr13	FALSE	TRUE
Gm13003	chr4	FALSE	TRUE
Lnp1	chr16	FALSE	FALSE
5031434C07Rik	chr6	FALSE	FALSE
E330011O21Rik	chr16	FALSE	TRUE
Gm16630	chr6	FALSE	FALSE
1700123M08Rik	chr4	FALSE	FALSE
Gm16845	chr9	FALSE	FALSE
Cbarp	chr10	FALSE	TRUE
Rpl5	chr5	TRUE	FALSE
Gm38426	chr8	FALSE	FALSE
Gm16861	chr16	FALSE	FALSE
1700011B04Rik	chr13	FALSE	TRUE
Gm5084	chr13	FALSE	FALSE
Gm17733	chr6	FALSE	FALSE
Gm9920	chr15	FALSE	FALSE
Gm13056	chr4	FALSE	FALSE
Gm16548	chr1	FALSE	FALSE
Gm16973	chr14	FALSE	FALSE
Gm11762	chr11	FALSE	TRUE
2410022M11Rik	chr14	FALSE	TRUE
Sp3os	chr2	FALSE	FALSE
1110015O18Rik	chr3	FALSE	FALSE
Gm19935	chr8	FALSE	TRUE
Mkln1os	chr6	FALSE	FALSE
Hotair	chr15	FALSE	TRUE
Gm5901	chr7	FALSE	FALSE
Gm17308	chr3	FALSE	FALSE
Ccdc149	chr5	FALSE	FALSE
Pet100	chr8	FALSE	FALSE
Tpsab1	chr17	FALSE	FALSE
Smpd5	chr15	FALSE	TRUE
Fcor	chr8	FALSE	TRUE
Gm19990	chr12	FALSE	FALSE
Gm16701	chr1	FALSE	FALSE
Gm17266	chr18	FALSE	FALSE
Gm12167	chr11	FALSE	FALSE
1810008I18Rik	chr7	FALSE	FALSE
Acp4	chr7	TRUE	FALSE
Altre	chr7	FALSE	FALSE
Gm16740	chr3	FALSE	FALSE
Gm53064	chrX	FALSE	FALSE
Gm15559	chr5	FALSE	FALSE
Gm20036	chr12	FALSE	FALSE
Gm15915	chr10	FALSE	FALSE
Gm20063	chr12	FALSE	FALSE
Gm16062	chr11	FALSE	FALSE
Ccer2	chr7	FALSE	FALSE
Brd3os	chr2	FALSE	TRUE
Med9os	chr11	FALSE	FALSE
Platr30	chr3	FALSE	TRUE
Gm15050	chr6	FALSE	TRUE
Fam181a	chr12	FALSE	TRUE
Prss51	chr14	FALSE	FALSE
Cmtm1	chr8	FALSE	FALSE
4933421O10Rik	chr4	FALSE	FALSE
Gm20098	chr17	FALSE	FALSE
Dhrs13os	chr11	FALSE	TRUE
Krtap16-1	chr11	FALSE	TRUE
Gm16336	chr7	FALSE	FALSE
Gm16576	chr15	FALSE	FALSE
Gm20110	chr10	FALSE	FALSE
Arhgap33os	chr7	FALSE	TRUE
Efcab8	chr2	FALSE	FALSE
Gm15708	chr5	FALSE	FALSE
Mptx2	chr1	FALSE	FALSE
Ccdc170	chr10	FALSE	FALSE
Gm20125	chr10	FALSE	FALSE
Gm15350	chr8	FALSE	FALSE
Gm12159	chr11	FALSE	FALSE
A730020E08Rik	chr6	FALSE	TRUE
2210418O10Rik	chr2	FALSE	FALSE
Gm20139	chr10	FALSE	FALSE
Trp53cor1	chr17	FALSE	FALSE
2310005A03Rik	chr2	FALSE	FALSE
Abhd12b	chr12	FALSE	FALSE
Smim27	chr4	FALSE	TRUE
Gm17597	chr15	FALSE	FALSE
Gm20172	chr1	FALSE	FALSE
Gm16712	chr17	FALSE	FALSE
Gm20187	chr12	FALSE	TRUE
Gm14169	chr2	FALSE	TRUE
D730003I15Rik	chr1	FALSE	TRUE
Gm15880	chr7	FALSE	FALSE
C130021I20Rik	chr2	FALSE	TRUE
Cypt14-ps	chrX	FALSE	FALSE
H2-Ea	chr17	TRUE	FALSE
Kcnmb4os2	chr10	FALSE	TRUE
2900076A07Rik	chr7	FALSE	FALSE
Tincr	chr17	FALSE	TRUE
Spin2d	chrX	FALSE	FALSE
Prr22	chr17	FALSE	FALSE
E230016K23Rik	chr11	FALSE	FALSE
Gm16596	chr12	FALSE	FALSE
Smlr1	chr10	FALSE	FALSE
Gm16677	chr14	FALSE	FALSE
Dcdc2b	chr4	FALSE	FALSE
Gm20257	chr1	FALSE	TRUE
3425401B19Rik	chr14	FALSE	TRUE
Gm20268	chr1	FALSE	FALSE
AI463170	chr12	FALSE	TRUE
9230112J17Rik	chr9	FALSE	FALSE
Gm17634	chr1	FALSE	TRUE
Gm20300	chr10	FALSE	FALSE
A630012P03Rik	chrX	FALSE	FALSE
Eef1akmt3	chr10	FALSE	FALSE
Gm15910	chr10	FALSE	TRUE
Gm16364	chr10	FALSE	FALSE
Gm20319	chr16	FALSE	FALSE
Gm20324	chr15	FALSE	TRUE
