gene_name	chr	is_neuronal_and_mecp2_up	k27ac_remodeled
Rab3c	chr13	FALSE	TRUE
Ambra1	chr2	FALSE	TRUE
Ahcyl2	chr6	FALSE	FALSE
Focad	chr4	FALSE	TRUE
Grin2a	chr16	FALSE	FALSE
Mbd5	chr2	FALSE	FALSE
Zbtb40	chr4	FALSE	TRUE
Samd12	chr15	FALSE	TRUE
Slc24a3	chr2	FALSE	TRUE
Sema5b	chr16	FALSE	FALSE
Cdk15	chr1	FALSE	TRUE
Ryr2	chr13	FALSE	FALSE
Vps13d	chr4	FALSE	FALSE
Fam72a	chr1	FALSE	TRUE
Ercc8	chr13	FALSE	TRUE
Bank1	chr3	FALSE	TRUE
Wipf3	chr6	FALSE	TRUE
Mvb12b	chr2	FALSE	FALSE
Ptprg	chr14	FALSE	FALSE
Optn	chr2	FALSE	FALSE
Rxra	chr2	FALSE	TRUE
Gnaq	chr19	FALSE	FALSE
Cacnb4	chr2	FALSE	FALSE
Adgrb3	chr1	TRUE	FALSE
Tbc1d30	chr10	FALSE	TRUE
Col5a1	chr2	FALSE	FALSE
Syn2	chr6	FALSE	TRUE
Trio	chr15	FALSE	TRUE
Rap1gap2	chr11	FALSE	FALSE
Rgs7	chr1	FALSE	FALSE
Dis3l2	chr1	FALSE	FALSE
Pld5	chr1	FALSE	FALSE
Kcnj6	chr16	FALSE	FALSE
Ablim2	chr5	FALSE	FALSE
Rora	chr9	FALSE	FALSE
Rbfox1	chr16	FALSE	FALSE
Adk	chr14	FALSE	TRUE
Trp73	chr4	FALSE	TRUE
Fgf14	chr14	FALSE	TRUE
Baz2b	chr2	FALSE	FALSE
Dnah11	chr12	FALSE	TRUE
Syt2	chr1	FALSE	FALSE
Tbc1d1	chr5	FALSE	TRUE
Btbd9	chr17	FALSE	FALSE
Syt6	chr3	FALSE	TRUE
Syt1	chr10	FALSE	TRUE
Sema3a	chr5	TRUE	TRUE
Fto	chr8	FALSE	FALSE
Dst	chr1	FALSE	TRUE
Dkk3	chr7	FALSE	TRUE
Zfp423	chr8	FALSE	FALSE
Gse1	chr8	FALSE	FALSE
Robo2	chr16	FALSE	FALSE
Ascc3	chr10	FALSE	FALSE
Gabrb3	chr7	FALSE	FALSE
Bcl2l15	chr3	FALSE	FALSE
Fam20c	chr5	FALSE	FALSE
Snd1	chr6	FALSE	TRUE
Sik3	chr9	FALSE	FALSE
Glt8d2	chr10	FALSE	TRUE
Xkr6	chr14	FALSE	TRUE
Hspg2	chr4	FALSE	FALSE
Pdlim7	chr13	FALSE	FALSE
Supt3	chr17	FALSE	FALSE
Ints9	chr14	FALSE	FALSE
Cenpf	chr1	FALSE	TRUE
Itfg1	chr8	FALSE	FALSE
Dysf	chr6	FALSE	FALSE
Ctnna3	chr10	FALSE	FALSE
Lrrn1	chr6	FALSE	TRUE
Hecw2	chr1	FALSE	FALSE
Ldlrad3	chr2	FALSE	TRUE
Zfand3	chr17	FALSE	FALSE
Nup93	chr8	FALSE	TRUE
Tnrc6b	chr15	FALSE	FALSE
Tmcc1	chr6	FALSE	TRUE
Cpeb3	chr19	FALSE	FALSE
Aff3	chr1	FALSE	TRUE
F830045P16Rik	chr2	FALSE	TRUE
Tcf20	chr15	FALSE	TRUE
Hlf	chr11	FALSE	TRUE
Shld1	chr2	FALSE	FALSE
Cemip	chr7	FALSE	FALSE
Ncor2	chr5	FALSE	TRUE
Cdh4	chr2	FALSE	TRUE
Unc13c	chr9	FALSE	FALSE
Nrp2	chr1	FALSE	FALSE
Brinp3	chr1	TRUE	TRUE
Tenm1	chrX	FALSE	FALSE
Nfasc	chr1	FALSE	TRUE
Gria4	chr9	FALSE	FALSE
Prdm5	chr6	FALSE	FALSE
Ncoa1	chr12	FALSE	TRUE
Rapgef2	chr3	FALSE	FALSE
Gria2	chr3	FALSE	FALSE
Kcnd2	chr6	FALSE	FALSE
Chchd6	chr6	FALSE	TRUE
Eps8	chr6	FALSE	FALSE
Frmd4a	chr2	FALSE	FALSE
Mgll	chr6	FALSE	TRUE
Nsmaf	chr4	FALSE	TRUE
Cacna1g	chr11	FALSE	FALSE
Osbpl6	chr2	FALSE	FALSE
Anks1	chr17	FALSE	TRUE
Ntrk3	chr7	FALSE	TRUE
Cux1	chr5	FALSE	TRUE
Marchf4	chr1	FALSE	FALSE
Kmt2c	chr5	FALSE	FALSE
Sfxn5	chr6	FALSE	FALSE
Hmbox1	chr14	FALSE	FALSE
Pou2f2	chr7	FALSE	TRUE
Cadps2	chr6	FALSE	TRUE
Akt3	chr1	FALSE	FALSE
Mtus2	chr5	FALSE	TRUE
Nf1	chr11	FALSE	FALSE
Prickle1	chr15	FALSE	TRUE
Hspa12a	chr19	FALSE	FALSE
Fmn1	chr2	FALSE	TRUE
Atxn7l1	chr12	FALSE	TRUE
Erc2	chr14	FALSE	FALSE
Ncoa2	chr1	FALSE	TRUE
Wdr7	chr18	FALSE	FALSE
St18	chr1	FALSE	FALSE
Gphn	chr12	FALSE	FALSE
Dennd1a	chr2	FALSE	FALSE
Clvs1	chr4	FALSE	FALSE
Prr16	chr18	FALSE	FALSE
Nav1	chr1	FALSE	TRUE
Itsn1	chr16	FALSE	TRUE
Lrrc28	chr7	FALSE	FALSE
Myt1l	chr12	FALSE	TRUE
Serpinb8	chr1	FALSE	FALSE
Adcy9	chr16	FALSE	FALSE
B3gnt2	chr11	FALSE	TRUE
Megf6	chr4	FALSE	TRUE
Enah	chr1	FALSE	TRUE
Cntnap5a	chr1	FALSE	TRUE
Flrt3	chr2	FALSE	TRUE
Cntn4	chr6	FALSE	TRUE
Lca5l	chr16	FALSE	TRUE
Dock3	chr9	FALSE	FALSE
Osbpl10	chr9	FALSE	FALSE
Fmn2	chr1	FALSE	FALSE
Gdpd5	chr7	FALSE	FALSE
Nrcam	chr12	FALSE	FALSE
Mtor	chr4	FALSE	FALSE
Alg8	chr7	FALSE	FALSE
Med27	chr2	FALSE	FALSE
Tbxas1	chr6	FALSE	FALSE
Camk1d	chr2	FALSE	TRUE
Tmem132c	chr5	FALSE	TRUE
Rere	chr4	FALSE	FALSE
Zfp827	chr8	FALSE	FALSE
Ncam1	chr9	FALSE	FALSE
Adcy5	chr16	FALSE	FALSE
Kif13b	chr14	FALSE	FALSE
Fam120b	chr17	FALSE	FALSE
Zcchc7	chr4	FALSE	FALSE
Lmf1	chr17	FALSE	FALSE
Kif5c	chr2	FALSE	FALSE
Farp1	chr14	FALSE	FALSE
Cd276	chr9	FALSE	TRUE
Dnaja3	chr16	FALSE	FALSE
Slc35f3	chr8	FALSE	FALSE
Cdh20	chr1	FALSE	FALSE
Dpp6	chr5	FALSE	FALSE
Fbln2	chr6	FALSE	TRUE
Rnf150	chr8	FALSE	FALSE
Dgki	chr6	FALSE	TRUE
Mbnl2	chr14	FALSE	FALSE
Agap1	chr1	FALSE	FALSE
Kcnab1	chr3	TRUE	TRUE
Abl1	chr2	FALSE	TRUE
Sez6l	chr5	FALSE	FALSE
Cdc73	chr1	FALSE	FALSE
Galnt13	chr2	FALSE	FALSE
Tnrc18	chr5	FALSE	TRUE
Cep128	chr12	FALSE	TRUE
Chchd3	chr6	FALSE	TRUE
Otc	chrX	FALSE	TRUE
Spock1	chr13	FALSE	FALSE
Reep3	chr10	FALSE	FALSE
Garnl3	chr2	FALSE	FALSE
Zswim6	chr13	FALSE	FALSE
Ttc7b	chr12	FALSE	TRUE
Rapgef1	chr2	FALSE	TRUE
Dipk2b	chrX	FALSE	TRUE
Uvrag	chr7	FALSE	FALSE
Snx29	chr16	FALSE	FALSE
1700019D03Rik	chr1	FALSE	FALSE
Cadm2	chr16	FALSE	FALSE
Sobp	chr10	FALSE	TRUE
Sgip1	chr4	FALSE	FALSE
Coro1c	chr5	FALSE	TRUE
Slc4a4	chr5	FALSE	TRUE
Trak1	chr9	FALSE	FALSE
Dlg5	chr14	FALSE	FALSE
Dym	chr18	FALSE	FALSE
Rfc1	chr5	FALSE	FALSE
Skap1	chr11	FALSE	TRUE
Erc1	chr6	FALSE	FALSE
Cd83	chr13	FALSE	TRUE
Elk3	chr10	FALSE	TRUE
Abat	chr16	FALSE	FALSE
Hs6st3	chr14	FALSE	FALSE
Nr3c2	chr8	FALSE	TRUE
Grk5	chr19	FALSE	FALSE
Dnm3	chr1	FALSE	FALSE
Lhpp	chr7	FALSE	TRUE
Pacs1	chr19	FALSE	FALSE
Ntrk2	chr13	FALSE	FALSE
Tex2	chr11	FALSE	FALSE
Mms22l	chr4	FALSE	FALSE
Uggt2	chr14	FALSE	FALSE
Ldlrad4	chr18	FALSE	FALSE
Pde11a	chr2	FALSE	FALSE
Mtss1	chr15	FALSE	FALSE
Sdccag8	chr1	FALSE	FALSE
Atp2b2	chr6	FALSE	FALSE
Smad3	chr9	FALSE	TRUE
Ank1	chr8	FALSE	TRUE
Neb	chr2	FALSE	FALSE
Fbrsl1	chr5	FALSE	FALSE
Pkig	chr2	FALSE	TRUE
Col16a1	chr4	FALSE	FALSE
Unc79	chr12	FALSE	TRUE
Rag1	chr2	TRUE	TRUE
Stom	chr2	FALSE	TRUE
Fryl	chr5	FALSE	FALSE
Nrros	chr16	FALSE	TRUE
Triqk	chr4	FALSE	TRUE
Rassf5	chr1	FALSE	FALSE
Gabrb2	chr11	TRUE	FALSE
Lipc	chr9	FALSE	TRUE
Zfp536	chr7	FALSE	FALSE
Slc24a2	chr4	FALSE	TRUE
Pcca	chr14	FALSE	TRUE
Mapk10	chr5	FALSE	FALSE
Apba2	chr7	FALSE	FALSE
Atp8a2	chr14	FALSE	FALSE
Fam168a	chr7	FALSE	TRUE
Ap3b1	chr13	FALSE	FALSE
Iqgap2	chr13	FALSE	TRUE
Bcr	chr10	FALSE	TRUE
Nr3c1	chr18	FALSE	TRUE
Nsf	chr11	FALSE	FALSE
Plekhm3	chr1	FALSE	FALSE
Shisal1	chr15	FALSE	TRUE
Orc5	chr5	FALSE	FALSE
Gas2	chr7	FALSE	FALSE
Arnt2	chr7	FALSE	TRUE
Tdo2	chr3	FALSE	TRUE
Zfp462	chr4	FALSE	TRUE
Arhgap23	chr11	FALSE	FALSE
Tmeff2	chr1	FALSE	FALSE
Lrig2	chr3	FALSE	FALSE
Xpo4	chr14	FALSE	FALSE
Eif4g3	chr4	FALSE	TRUE
Chst15	chr7	FALSE	FALSE
Reln	chr5	FALSE	FALSE
Serpinb1b	chr13	FALSE	FALSE
Zfp385b	chr2	FALSE	TRUE
Sdk2	chr11	FALSE	TRUE
Zfp704	chr3	FALSE	FALSE
Rabgap1l	chr1	FALSE	FALSE
Sorbs1	chr19	FALSE	TRUE
Mdga1	chr17	FALSE	TRUE
Efr3b	chr12	FALSE	TRUE
Ttc39b	chr4	FALSE	TRUE
Strbp	chr2	FALSE	FALSE
Zfp516	chr18	FALSE	TRUE
Aatf	chr11	FALSE	FALSE
Arhgef12	chr9	FALSE	FALSE
Syne3	chr12	FALSE	TRUE
Mpped2	chr2	FALSE	FALSE
Gpm6b	chrX	TRUE	FALSE
Slc8a3	chr12	FALSE	TRUE
Cacng2	chr15	FALSE	FALSE
Lrrk1	chr7	FALSE	FALSE
Ppfia2	chr10	FALSE	FALSE
Armh3	chr19	FALSE	FALSE
Tasp1	chr2	FALSE	FALSE
Gpr158	chr2	FALSE	FALSE
Dennd1b	chr1	FALSE	FALSE
Acbd6	chr1	FALSE	FALSE
Polr1d	chr5	FALSE	TRUE
Cuedc1	chr11	FALSE	FALSE
Pde4dip	chr3	FALSE	TRUE
Efcab6	chr15	FALSE	TRUE
Rgs3	chr4	FALSE	FALSE
Col19a1	chr1	FALSE	TRUE
Kif18a	chr2	FALSE	TRUE
Galnt17	chr5	FALSE	FALSE
5031439G07Rik	chr15	FALSE	TRUE
Cacna2d4	chr6	FALSE	FALSE
Pcsk6	chr7	FALSE	TRUE
Tmem131l	chr3	FALSE	FALSE
Abcc4	chr14	FALSE	TRUE
Trp53bp2	chr1	FALSE	TRUE
Mycbp2	chr14	FALSE	FALSE
Cacna1i	chr15	FALSE	TRUE
St3gal3	chr4	FALSE	TRUE
Tln2	chr9	FALSE	TRUE
Mapkap1	chr2	FALSE	FALSE
Tnrc6c	chr11	FALSE	FALSE
Gbf1	chr19	FALSE	FALSE
Tle3	chr9	FALSE	FALSE
Bmpr2	chr1	FALSE	FALSE
Phf21a	chr2	FALSE	FALSE
Adgrb1	chr15	FALSE	FALSE
Olfm3	chr3	FALSE	TRUE
Zfp800	chr6	FALSE	TRUE
Jakmip3	chr7	FALSE	FALSE
Dnmt3a	chr12	FALSE	TRUE
Krt24	chr11	FALSE	TRUE
Nkd1	chr8	FALSE	TRUE
Clstn2	chr9	FALSE	FALSE
Zfpm1	chr8	FALSE	FALSE
Reep1	chr6	FALSE	TRUE
Macf1	chr4	FALSE	TRUE
Arhgef4	chr1	FALSE	FALSE
Cdc42bpa	chr1	FALSE	FALSE
Nlk	chr11	FALSE	FALSE
Tmprss11d	chr5	FALSE	TRUE
Atp8a1	chr5	FALSE	FALSE
Clmp	chr9	FALSE	TRUE
Pum1	chr4	FALSE	TRUE
Dclk1	chr3	FALSE	FALSE
Mrps27	chr13	FALSE	TRUE
Hacd2	chr16	FALSE	FALSE
Lrrtm4	chr6	FALSE	TRUE
Cacna1b	chr2	FALSE	TRUE
Cask	chrX	FALSE	FALSE
Ngly1	chr14	FALSE	TRUE
Aopep	chr13	FALSE	TRUE
Bicral	chr17	FALSE	TRUE
Dyrk1a	chr16	FALSE	TRUE
Stau2	chr1	FALSE	TRUE
Specc1	chr11	FALSE	FALSE
Tshz1	chr18	FALSE	FALSE
Myo9a	chr9	FALSE	FALSE
Myo5a	chr9	FALSE	FALSE
Rad51b	chr12	FALSE	FALSE
Camk4	chr18	FALSE	FALSE
Tnik	chr3	FALSE	TRUE
Pde4d	chr13	FALSE	TRUE
Nrxn3	chr12	FALSE	FALSE
Apbb2	chr5	FALSE	FALSE
Cdkl5	chrX	FALSE	FALSE
Cnnm2	chr19	FALSE	FALSE
Kalrn	chr16	FALSE	FALSE
Mgat5	chr1	FALSE	FALSE
Kif1b	chr4	FALSE	TRUE
Efcab2	chr1	FALSE	FALSE
Arhgef3	chr14	FALSE	TRUE
Usp34	chr11	FALSE	FALSE
Srpk2	chr5	FALSE	FALSE
Rfx7	chr9	FALSE	TRUE
Srgap3	chr6	FALSE	TRUE
Coro7	chr16	FALSE	FALSE
Epas1	chr17	FALSE	TRUE
Zfp407	chr18	FALSE	FALSE
Lrrn2	chr1	FALSE	FALSE
Rasa3	chr8	FALSE	TRUE
Med12l	chr3	FALSE	FALSE
Inf2	chr12	FALSE	TRUE
Scn8a	chr15	FALSE	FALSE
Ube2e1	chr14	FALSE	TRUE
Scn1a	chr2	FALSE	TRUE
Slc22a23	chr13	FALSE	TRUE
Tlcd4	chr3	FALSE	TRUE
Ece1	chr4	FALSE	FALSE
Srgap2	chr1	FALSE	FALSE
Cntnap4	chr8	FALSE	FALSE
Pknox2	chr9	FALSE	TRUE
Cav2	chr6	FALSE	FALSE
Zfp804a	chr2	TRUE	FALSE
Mprip	chr11	FALSE	FALSE
Kcna2	chr3	FALSE	FALSE
Frmd5	chr2	FALSE	FALSE
Lrrc8b	chr5	FALSE	FALSE
Hibadh	chr6	FALSE	TRUE
Rps6ka2	chr17	FALSE	FALSE
Foxo6	chr4	FALSE	FALSE
Nedd4l	chr18	FALSE	TRUE
1700011L22Rik	chr8	FALSE	TRUE
Pde9a	chr17	FALSE	TRUE
Galnt18	chr7	FALSE	TRUE
Sipa1l1	chr12	FALSE	TRUE
Pbx1	chr1	FALSE	FALSE
Vgll4	chr6	FALSE	FALSE
Syn3	chr10	FALSE	FALSE
Slc45a4	chr15	FALSE	FALSE
Nectin1	chr9	FALSE	TRUE
Rims1	chr1	FALSE	FALSE
1700017N19Rik	chr10	FALSE	TRUE
Slc9a9	chr9	FALSE	TRUE
Mindy3	chr2	FALSE	FALSE
Slc10a7	chr8	FALSE	TRUE
Osbpl1a	chr18	FALSE	TRUE
Atg4c	chr4	FALSE	FALSE
Sv2c	chr13	FALSE	TRUE
Sort1	chr3	FALSE	TRUE
Lrp1b	chr2	FALSE	FALSE
Rnf216	chr5	FALSE	TRUE
Limch1	chr5	FALSE	FALSE
Kif16b	chr2	FALSE	TRUE
Armc8	chr9	FALSE	TRUE
Sh3d19	chr3	FALSE	FALSE
Rptor	chr11	FALSE	FALSE
Unc5a	chr13	FALSE	FALSE
Rin2	chr2	FALSE	TRUE
Tbca	chr13	FALSE	FALSE
Capzb	chr4	FALSE	FALSE
Lrrc4	chr6	FALSE	FALSE
Tle1	chr4	FALSE	TRUE
Rbfox2	chr15	FALSE	TRUE
Ccdc88a	chr11	FALSE	TRUE
Zhx3	chr2	FALSE	FALSE
Lrrc8d	chr5	FALSE	FALSE
Erp44	chr4	FALSE	TRUE
Rsf1	chr7	FALSE	FALSE
Cwc27	chr13	FALSE	FALSE
R3hdm2	chr10	FALSE	FALSE
Cers6	chr2	FALSE	FALSE
Pacs2	chr12	FALSE	FALSE
Arhgef10l	chr4	FALSE	FALSE
Mpp7	chr18	FALSE	TRUE
Actr3b	chr5	FALSE	FALSE
Dock9	chr14	FALSE	TRUE
Frmd6	chr12	FALSE	TRUE
Vps41	chr13	FALSE	FALSE
Adgrl2	chr3	FALSE	TRUE
B3galt5	chr16	FALSE	TRUE
Atxn10	chr15	FALSE	FALSE
Chd6	chr2	FALSE	FALSE
Bicdl1	chr5	FALSE	TRUE
Eya1	chr1	FALSE	TRUE
Ntn4	chr10	TRUE	TRUE
Edn2	chr4	FALSE	TRUE
Dusp22	chr13	FALSE	FALSE
Itpr3	chr17	FALSE	TRUE
Slc49a4	chr16	FALSE	FALSE
Galnt16	chr12	FALSE	TRUE
Pan3	chr5	FALSE	TRUE
Stk24	chr14	FALSE	FALSE
Gatad2a	chr8	FALSE	TRUE
Mcc	chr18	FALSE	FALSE
Sfmbt1	chr14	FALSE	FALSE
Ptprs	chr17	FALSE	TRUE
Nphp4	chr4	FALSE	TRUE
Syt7	chr19	FALSE	FALSE
Ppp3ca	chr3	FALSE	FALSE
Kcnip4	chr5	FALSE	TRUE
Ano3	chr2	FALSE	TRUE
Cd47	chr16	FALSE	FALSE
Elovl6	chr3	FALSE	FALSE
Brinp2	chr1	FALSE	FALSE
Islr2	chr9	FALSE	FALSE
Ccdc33	chr9	FALSE	FALSE
Nrg2	chr18	FALSE	FALSE
Vrk1	chr12	FALSE	TRUE
Crim1	chr17	FALSE	FALSE
Shb	chr4	FALSE	TRUE
Mrc2	chr11	FALSE	FALSE
Klhl32	chr4	FALSE	FALSE
Ralgps2	chr1	FALSE	FALSE
Dtd1	chr2	FALSE	FALSE
Rph3a	chr5	FALSE	FALSE
Dok7	chr5	FALSE	TRUE
Rell1	chr5	FALSE	TRUE
D7Ertd443e	chr7	FALSE	TRUE
Zhx2	chr15	TRUE	TRUE
Csnk1g1	chr9	FALSE	TRUE
Spata13	chr14	FALSE	TRUE
Ulk4	chr9	FALSE	FALSE
Ank2	chr3	FALSE	TRUE
Jakmip2	chr18	FALSE	FALSE
Acaca	chr11	FALSE	FALSE
Hs3st5	chr10	FALSE	TRUE
R3hdm1	chr1	FALSE	TRUE
Clasp1	chr1	FALSE	FALSE
Rai1	chr11	FALSE	TRUE
Aldh1l1	chr6	FALSE	FALSE
9130401M01Rik	chr15	FALSE	FALSE
Cnot2	chr10	FALSE	FALSE
Mast2	chr4	FALSE	FALSE
Nars2	chr7	FALSE	FALSE
Smpd3	chr8	FALSE	FALSE
Ndufs4	chr13	FALSE	FALSE
Kdm4c	chr4	FALSE	FALSE
Pitpnm2	chr5	FALSE	FALSE
Dlg2	chr7	FALSE	FALSE
Eva1c	chr16	FALSE	FALSE
Spire1	chr18	FALSE	TRUE
Ankef1	chr2	FALSE	TRUE
Fam81b	chr13	FALSE	TRUE
Tbc1d14	chr5	FALSE	FALSE
Ubac2	chr14	FALSE	FALSE
Sardh	chr2	FALSE	TRUE
Chn1	chr2	FALSE	FALSE
Ppp2r5e	chr12	FALSE	FALSE
Cst8	chr2	FALSE	TRUE
Kansl1	chr11	FALSE	FALSE
Hlcs	chr16	FALSE	FALSE
Caln1	chr5	FALSE	TRUE
Arhgap12	chr18	FALSE	FALSE
Zfp280d	chr9	FALSE	FALSE
Elavl2	chr4	FALSE	FALSE
Pde3b	chr7	FALSE	FALSE
Phactr1	chr13	FALSE	FALSE
Fyn	chr10	FALSE	FALSE
Clasp2	chr9	FALSE	FALSE
Rfx3	chr19	FALSE	FALSE
Nrg4	chr9	FALSE	TRUE
Rbfox3	chr11	FALSE	TRUE
Lgr4	chr2	FALSE	FALSE
Cdh2	chr18	FALSE	FALSE
Upf2	chr2	FALSE	FALSE
Slc1a1	chr19	FALSE	TRUE
Dhx32	chr7	FALSE	TRUE
Fbxl17	chr17	FALSE	FALSE
Tunar	chr12	FALSE	FALSE
Slc44a1	chr4	FALSE	FALSE
Epha4	chr1	FALSE	TRUE
Dscam	chr16	FALSE	TRUE
Tmem108	chr9	FALSE	FALSE
Pola1	chrX	FALSE	FALSE
Invs	chr4	FALSE	FALSE
Ttc3	chr16	FALSE	FALSE
Mta3	chr17	FALSE	FALSE
Lpgat1	chr1	FALSE	TRUE
