gene_name	gene_id	chr	start	end	strand	gene_type	gene_length	n_ch_sites	total_coverage	meth_reads
Lactb2	ENSMUSG00000025937.6	chr1	13623329	13660546	-	protein_coding	37217	15162	279018	3796
Xkr9	ENSMUSG00000067813.3	chr1	13668770	13701723	+	protein_coding	32953	12684	231367	3410
Eya1	ENSMUSG00000025932.14	chr1	14168953	14310235	-	protein_coding	141282	55318	1150457	29913
Msc	ENSMUSG00000025930.6	chr1	14753345	14755992	-	protein_coding	2647	1233	17577	400
Trpa1	ENSMUSG00000032769.5	chr1	14872647	14918862	-	protein_coding	46215	17217	365458	3692
Kcnb2	ENSMUSG00000092083.4	chr1	15287253	15723750	+	protein_coding	436497	167357	3239659	96454
Terf1	ENSMUSG00000025925.14	chr1	15805645	15844052	+	protein_coding	38407	14287	275470	3710
Sbspon	ENSMUSG00000032719.4	chr1	15853861	15892722	-	protein_coding	38861	15400	263514	4274
4930444P10Rik	ENSMUSG00000067795.13	chr1	16065978	16093325	-	protein_coding	27347	10006	167033	2451
Rpl7	ENSMUSG00000043716.13	chr1	16101294	16104662	-	protein_coding	3368	1363	23742	319
Rdh10	ENSMUSG00000025921.7	chr1	16105773	16133734	+	protein_coding	27961	11399	215967	4070
Stau2	ENSMUSG00000025920.19	chr1	16228673	16520112	-	protein_coding	291439	112443	1992448	29309
Ube2w	ENSMUSG00000025939.19	chr1	16540789	16619489	-	protein_coding	78700	30697	552047	7735
Eloc	ENSMUSG00000079658.9	chr1	16641724	16657042	-	protein_coding	15318	6008	122029	1420
Tmem70	ENSMUSG00000025940.6	chr1	16665206	16678275	+	protein_coding	13069	5064	87191	768
Ly96	ENSMUSG00000025779.10	chr1	16688050	16709611	+	protein_coding	21561	8779	147712	1890
Jph1	ENSMUSG00000042686.5	chr1	16964559	17097889	-	protein_coding	133330	51571	869416	15124
Gdap1	ENSMUSG00000025777.8	chr1	17145361	17164271	+	protein_coding	18910	7114	125457	2118
Pi15	ENSMUSG00000067780.3	chr1	17601900	17630939	+	protein_coding	29039	10318	215930	2543
Crispld1	ENSMUSG00000025776.13	chr1	17727044	17766344	+	protein_coding	39300	14229	280733	3251
Crisp4	ENSMUSG00000025774.14	chr1	18115190	18145902	-	protein_coding	30712	10714	216233	2710
Defb18	ENSMUSG00000073735.1	chr1	18236472	18237443	-	protein_coding	971	306	8036	27
Defb41	ENSMUSG00000067773.6	chr1	18250979	18265138	-	protein_coding	14159	4754	82740	773
Tfap2d	ENSMUSG00000042596.7	chr1	19103021	19166346	+	protein_coding	63325	21522	389850	4199
Tfap2b	ENSMUSG00000025927.13	chr1	19208913	19238576	+	protein_coding	29663	11750	168190	2090
Pkhd1	ENSMUSG00000043760.16	chr1	20057778	20618064	-	protein_coding	560286	199965	3734242	44667
Il17a	ENSMUSG00000025929.4	chr1	20730904	20734496	+	protein_coding	3592	1333	27599	284
Il17f	ENSMUSG00000041872.9	chr1	20777145	20790617	-	protein_coding	13472	5411	100724	1304
Mcm3	ENSMUSG00000041859.10	chr1	20802967	20820312	-	protein_coding	17345	7511	139698	1592
Paqr8	ENSMUSG00000025931.15	chr1	20890605	20939650	+	protein_coding	49045	20490	346783	6929
Efhc1	ENSMUSG00000041809.5	chr1	20951625	20990841	+	protein_coding	39216	15653	278937	4483
Tram2	ENSMUSG00000041779.5	chr1	20996298	21079229	-	protein_coding	82931	36665	620455	12586
Tmem14a	ENSMUSG00000025933.15	chr1	21218574	21230167	+	protein_coding	11593	4936	85480	1631
Gsta3	ENSMUSG00000025934.15	chr1	21240588	21265661	+	protein_coding	25073	10277	186798	2663
Khdc1a	ENSMUSG00000067750.3	chr1	21349640	21352200	+	protein_coding	2560	1029	14835	185
Khdc1c	ENSMUSG00000041722.7	chr1	21368330	21370845	+	protein_coding	2515	983	14073	179
Khdc1b	ENSMUSG00000085079.3	chr1	21383555	21386373	+	protein_coding	2818	1214	18738	355
Kcnq5	ENSMUSG00000028033.16	chr1	21398402	21961942	-	protein_coding	563540	208280	4099253	73548
Rims1	ENSMUSG00000041670.17	chr1	22286250	22805994	-	protein_coding	519744	178700	3081092	49101
Ppp1r14bl	ENSMUSG00000073730.2	chr1	23100472	23102253	-	protein_coding	1781	755	14548	426
Ogfrl1	ENSMUSG00000026158.11	chr1	23366423	23397772	-	protein_coding	31349	12407	228273	3148
B3gat2	ENSMUSG00000026156.8	chr1	23761752	23849158	+	protein_coding	87406	34532	561924	11874
Smap1	ENSMUSG00000026155.13	chr1	23844845	23922317	-	protein_coding	77472	27162	479146	6871
Sdhaf4	ENSMUSG00000026154.4	chr1	23995938	24005656	-	protein_coding	9718	4071	72806	926
Fam135a	ENSMUSG00000026153.15	chr1	24011092	24100341	-	protein_coding	89249	30569	567655	8888
Col9a1	ENSMUSG00000026147.16	chr1	24177609	24252684	+	protein_coding	75075	29350	539303	13552
Col19a1	ENSMUSG00000026141.13	chr1	24261889	24587472	-	protein_coding	325583	119504	2203593	54848
Lmbrd1	ENSMUSG00000073725.8	chr1	24678629	24766301	+	protein_coding	87672	32189	569400	6783
Adgrb3	ENSMUSG00000033569.17	chr1	25067475	25829707	-	protein_coding	762232	265401	4745203	85283
4931408C20Rik	ENSMUSG00000073722.3	chr1	26681813	26687460	-	protein_coding	5647	2542	104673	1716
Gm597	ENSMUSG00000048411.4	chr1	28776116	28780252	-	protein_coding	4136	1814	31981	408
Phf3	ENSMUSG00000048874.15	chr1	30802338	30873921	-	protein_coding	71583	24763	457788	5387
Ptp4a1	ENSMUSG00000026064.16	chr1	30940301	30949309	-	protein_coding	9008	3091	58265	454
Ptp4a1	ENSMUSG00000117310.2	chr1	30940301	30949770	-	protein_coding	9469	3308	60126	479
Gm5698	ENSMUSG00000117091.1	chr1	30977242	30977968	-	protein_coding	726	343	5845	81
4931428L18Rik	ENSMUSG00000086727.8	chr1	30997841	31222684	-	protein_coding	224843	84121	1570028	24882
Lgsn	ENSMUSG00000050217.13	chr1	31176400	31204725	+	protein_coding	28325	10534	209872	3801
Pih1d3	ENSMUSG00000026063.4	chr1	31222837	31224288	+	protein_coding	1451	511	10173	58
Khdrbs2	ENSMUSG00000026058.11	chr1	32172713	32658568	+	protein_coding	485855	173552	3440615	64540
Gm5415	ENSMUSG00000091318.2	chr1	32543685	32547294	-	protein_coding	3609	1290	19486	186
Prim2	ENSMUSG00000026134.11	chr1	33453809	33669795	-	protein_coding	215986	86083	1636051	25821
Rab23	ENSMUSG00000004768.14	chr1	33719886	33742564	+	protein_coding	22678	9615	173103	2325
Bag2	ENSMUSG00000042215.8	chr1	33745483	33757795	-	protein_coding	12312	5304	88842	1884
Zfp451	ENSMUSG00000042197.13	chr1	33761544	33814595	-	protein_coding	53051	20859	393535	6097
Bend6	ENSMUSG00000042182.16	chr1	33852051	33907816	-	protein_coding	55765	21904	402225	6460
Dst	ENSMUSG00000026131.20	chr1	33908224	34308661	+	protein_coding	400437	162659	2794322	48189
Ccdc115	ENSMUSG00000042111.9	chr1	34436669	34439672	-	protein_coding	3003	1335	16795	268
Imp4	ENSMUSG00000026127.13	chr1	34439850	34449356	+	protein_coding	9506	4172	74823	1053
Ptpn18	ENSMUSG00000026126.15	chr1	34459761	34475733	+	protein_coding	15972	7179	116107	2418
Prss39	ENSMUSG00000026125.9	chr1	34498409	34503063	+	protein_coding	4654	2330	31546	296
Cfc1	ENSMUSG00000026124.4	chr1	34535647	34544313	+	protein_coding	8666	3920	62384	1976
Prss40	ENSMUSG00000037529.13	chr1	34543967	34560943	-	protein_coding	16976	7795	120760	2608
Amer3	ENSMUSG00000045174.10	chr1	34579656	34590944	+	protein_coding	11288	5361	76114	1099
Arhgef4	ENSMUSG00000037509.21	chr1	34678187	34813309	+	protein_coding	135122	59190	1011670	20859
Arhgef4	ENSMUSG00000118272.1	chr1	34801793	34801964	+	protein_coding	171	87	724	22
Fam168b	ENSMUSG00000037503.12	chr1	34813218	34843065	-	protein_coding	29847	12979	225762	2865
Plekhb2	ENSMUSG00000026123.11	chr1	34849975	34879580	+	protein_coding	29605	13003	214322	3633
Hs6st1	ENSMUSG00000045216.7	chr1	36068399	36106446	+	protein_coding	38047	18359	259079	2951
Uggt1	ENSMUSG00000037470.14	chr1	36140026	36244720	-	protein_coding	104694	43240	768567	9598
Neurl3	ENSMUSG00000047180.8	chr1	36264596	36274679	-	protein_coding	10083	4834	72789	2566
Arid5a	ENSMUSG00000037447.16	chr1	36307732	36324029	+	protein_coding	16297	8215	120048	3009
Kansl3	ENSMUSG00000010453.12	chr1	36335729	36369181	-	protein_coding	33452	14407	249306	2603
Fer1l5	ENSMUSG00000037432.15	chr1	36372290	36422110	+	protein_coding	49820	23242	355541	6166
Lman2l	ENSMUSG00000001143.13	chr1	36419870	36445271	-	protein_coding	25401	11279	202678	2861
Cnnm4	ENSMUSG00000037408.10	chr1	36471619	36508764	+	protein_coding	37145	17146	309003	5696
Cnnm3	ENSMUSG00000001138.13	chr1	36511866	36528237	+	protein_coding	16371	7800	143088	2297
Ankrd23	ENSMUSG00000067653.12	chr1	36530187	36536883	-	protein_coding	6696	3357	59311	1262
Gm42417	ENSMUSG00000109510.1	chr1	36530192	36539429	-	protein_coding	9237	4476	83127	1780
Ankrd39	ENSMUSG00000079610.9	chr1	36537506	36547445	-	protein_coding	9939	4496	87726	1925
Sema4c	ENSMUSG00000026121.13	chr1	36548638	36558349	-	protein_coding	9711	4934	64913	1138
Fam178b	ENSMUSG00000046337.17	chr1	36562691	36683183	-	protein_coding	120492	55875	896046	29802
Cox5b	ENSMUSG00000061518.11	chr1	36691448	36693681	+	protein_coding	2233	966	14848	126
Actr1b	ENSMUSG00000037351.9	chr1	36698113	36714422	-	protein_coding	16309	7609	105334	1334
4933424G06Rik	ENSMUSG00000102416.4	chr1	36710148	36757953	+	protein_coding	47805	20339	326199	5140
Zap70	ENSMUSG00000026117.10	chr1	36761797	36782818	+	protein_coding	21021	10108	146001	2683
Tmem131	ENSMUSG00000026116.11	chr1	36792190	36943666	-	protein_coding	151476	62766	1129752	24290
Vwa3b	ENSMUSG00000050122.19	chr1	37026595	37187613	+	protein_coding	161018	68300	1207740	21329
Cnga3	ENSMUSG00000026114.14	chr1	37214433	37263384	+	protein_coding	48951	21909	348487	6607
Inpp4a	ENSMUSG00000026113.17	chr1	37299864	37410736	+	protein_coding	110872	50638	804170	16596
Coa5	ENSMUSG00000026112.7	chr1	37417083	37430103	-	protein_coding	13020	5412	92553	1423
Unc50	ENSMUSG00000026111.15	chr1	37430138	37439124	+	protein_coding	8986	3692	67380	710
Mgat4a	ENSMUSG00000026110.15	chr1	37439339	37541016	-	protein_coding	101677	42728	748279	15636
2010300C02Rik	ENSMUSG00000026090.16	chr1	37611676	37720085	-	protein_coding	108409	48017	803393	18362
Tsga10	ENSMUSG00000060771.15	chr1	37754775	37866429	-	protein_coding	111654	42069	765770	10136
Lipt1	ENSMUSG00000037216.5	chr1	37871737	37876228	+	protein_coding	4491	1746	36198	380
Mitd1	ENSMUSG00000026088.15	chr1	37874800	37890411	-	protein_coding	15611	6477	130340	1409
Mrpl30	ENSMUSG00000026087.11	chr1	37890476	37898535	+	protein_coding	8059	3288	67383	617
Lyg2	ENSMUSG00000061584.6	chr1	37905922	37916493	-	protein_coding	10571	4389	79625	1055
Lyg1	ENSMUSG00000026085.11	chr1	37946735	37957759	-	protein_coding	11024	4808	88942	681
Txndc9	ENSMUSG00000058407.12	chr1	37985188	37997893	-	protein_coding	12705	5180	93882	1133
Eif5b	ENSMUSG00000026083.12	chr1	37998009	38055579	+	protein_coding	57570	22700	425589	4792
Rev1	ENSMUSG00000026082.11	chr1	38052785	38129801	-	protein_coding	77016	28948	569729	6253
Aff3	ENSMUSG00000037138.18	chr1	38177325	38664955	-	protein_coding	487630	203383	4029083	165763
Lonrf2	ENSMUSG00000048814.11	chr1	38793644	38836711	-	protein_coding	43067	17502	321185	4094
Chst10	ENSMUSG00000026080.13	chr1	38863866	38898161	-	protein_coding	34295	15354	236756	4264
Nms	ENSMUSG00000067604.8	chr1	38939148	38950276	+	protein_coding	11128	4635	82960	1232
Pdcl3	ENSMUSG00000026078.10	chr1	38985607	38997238	+	protein_coding	11631	5009	83620	986
Npas2	ENSMUSG00000026077.15	chr1	39193730	39363236	+	protein_coding	169506	73684	1287830	23716
Rpl31	ENSMUSG00000073702.11	chr1	39367841	39371911	+	protein_coding	4070	1736	28973	424
Tbc1d8	ENSMUSG00000003134.10	chr1	39371491	39478755	-	protein_coding	107264	47752	779705	14414
Cnot11	ENSMUSG00000003135.15	chr1	39534991	39546889	+	protein_coding	11898	4979	80337	847
Rnf149	ENSMUSG00000048234.13	chr1	39551295	39577405	-	protein_coding	26110	10146	185380	2780
Creg2	ENSMUSG00000050967.5	chr1	39618405	39651474	-	protein_coding	33069	14164	260114	5514
Rfx8	ENSMUSG00000057173.8	chr1	39665300	39720997	-	protein_coding	55697	25419	425032	10872
Gm3646	ENSMUSG00000091937.3	chr1	39804147	39805332	-	protein_coding	1185	490	7948	177
Map4k4	ENSMUSG00000026074.15	chr1	39900912	40026310	+	protein_coding	125398	53498	894233	15946
Il1r2	ENSMUSG00000026073.13	chr1	40074078	40125231	+	protein_coding	51153	21967	355500	5549
Il1r1	ENSMUSG00000026072.12	chr1	40225079	40317257	+	protein_coding	92178	37805	674735	12568
Il1rl2	ENSMUSG00000070942.8	chr1	40324609	40367562	+	protein_coding	42953	17434	311563	4012
Il1rl1	ENSMUSG00000026069.15	chr1	40429569	40465415	+	protein_coding	35846	13956	266891	2614
Il18r1	ENSMUSG00000026070.15	chr1	40465551	40500854	+	protein_coding	35303	13639	267146	3234
Il18rap	ENSMUSG00000026068.11	chr1	40515361	40551705	+	protein_coding	36344	14025	261822	3294
Slc9a4	ENSMUSG00000026065.8	chr1	40580080	40630725	+	protein_coding	50645	20532	395478	5517
Slc9a2	ENSMUSG00000026062.12	chr1	40680573	40769273	+	protein_coding	88700	34599	656568	8576
Mfsd9	ENSMUSG00000041945.12	chr1	40772037	40790687	-	protein_coding	18650	7906	147477	1945
Tmem182	ENSMUSG00000079588.3	chr1	40805600	40856887	+	protein_coding	51287	20495	403507	5609
Pou3f3	ENSMUSG00000045515.4	chr1	42694924	42703176	+	protein_coding	8252	3378	45091	2963
Mrps9	ENSMUSG00000060679.14	chr1	42851232	42905683	+	protein_coding	54451	21495	423323	6551
Gpr45	ENSMUSG00000041907.9	chr1	42952871	43035456	+	protein_coding	82585	33879	596786	7957
Tgfbrap1	ENSMUSG00000070939.9	chr1	43047199	43098637	-	protein_coding	51438	21947	397161	6022
AI597479	ENSMUSG00000010290.7	chr1	43098709	43115947	+	protein_coding	17238	6935	117231	1089
Fhl2	ENSMUSG00000008136.14	chr1	43123073	43196984	-	protein_coding	73911	31226	559233	8747
Nck2	ENSMUSG00000066877.11	chr1	43444578	43570515	+	protein_coding	125937	53103	953398	26476
Ecrg4	ENSMUSG00000026051.8	chr1	43730601	43742578	+	protein_coding	11977	5024	92448	1438
Uxs1	ENSMUSG00000057363.12	chr1	43746965	43827800	-	protein_coding	80835	33076	593351	8244
Tpp2	ENSMUSG00000041763.14	chr1	43933646	44003000	+	protein_coding	69354	24593	480043	5400
Mettl21c	ENSMUSG00000047343.4	chr1	44009407	44020034	-	protein_coding	10627	4254	91387	1309
Gm8251	ENSMUSG00000091844.2	chr1	44055871	44079746	-	protein_coding	23875	8702	176715	2107
Tex30	ENSMUSG00000026049.11	chr1	44086612	44102441	-	protein_coding	15829	5907	97903	1349
Poglut2	ENSMUSG00000026047.13	chr1	44106545	44118808	-	protein_coding	12263	4600	96851	664
Bivm	ENSMUSG00000041684.11	chr1	44118956	44144770	+	protein_coding	25814	10010	187701	2427
Ercc5	ENSMUSG00000026048.16	chr1	44147743	44181260	+	protein_coding	33517	12993	233412	3190
Mettl21e	ENSMUSG00000046828.3	chr1	44204069	44218961	-	protein_coding	14892	5518	107049	2151
Gulp1	ENSMUSG00000056870.9	chr1	44551510	44796838	+	protein_coding	245328	83314	1601761	19029
Col3a1	ENSMUSG00000026043.18	chr1	45311537	45349706	+	protein_coding	38169	13190	284821	2953
Col5a2	ENSMUSG00000026042.16	chr1	45374320	45503282	-	protein_coding	128962	45080	919579	10409
Wdr75	ENSMUSG00000025995.16	chr1	45795165	45823619	+	protein_coding	28454	10691	204423	2452
Gm5269	ENSMUSG00000098549.1	chr1	45889524	45890273	-	protein_coding	749	321	6022	33
Slc40a1	ENSMUSG00000025993.10	chr1	45908067	45926523	-	protein_coding	18456	6980	134689	2374
Dnah7b	ENSMUSG00000041144.12	chr1	46066314	46373550	+	protein_coding	307236	113573	2113926	23488
Dnah7c	ENSMUSG00000101337.6	chr1	46425591	46807476	+	protein_coding	381885	134447	2394856	27945
Slc39a10	ENSMUSG00000025986.6	chr1	46807543	46892852	-	protein_coding	85309	31980	621258	9572
Tmeff2	ENSMUSG00000026109.14	chr1	50900646	51187270	+	protein_coding	286624	103866	1975717	47406
Cavin2	ENSMUSG00000045954.7	chr1	51289125	51302960	+	protein_coding	13835	5546	99815	3738
Nabp1	ENSMUSG00000026107.11	chr1	51465861	51478425	-	protein_coding	12564	4644	86980	1673
Myo1b	ENSMUSG00000018417.14	chr1	51749764	51916071	-	protein_coding	166307	67772	1320035	25120
Stat4	ENSMUSG00000062939.11	chr1	51987147	52107189	+	protein_coding	120042	46950	892690	13839
Stat1	ENSMUSG00000026104.14	chr1	52119439	52161865	+	protein_coding	42426	18114	337828	5522
Gls	ENSMUSG00000026103.14	chr1	52163447	52233232	-	protein_coding	69785	24661	493626	6739
Nab1	ENSMUSG00000002881.14	chr1	52457293	52500679	-	protein_coding	43386	16895	320298	4001
Nemp2	ENSMUSG00000043015.15	chr1	52630702	52651919	+	protein_coding	21217	8710	161684	2275
Mfsd6	ENSMUSG00000041439.15	chr1	52656285	52727462	-	protein_coding	71177	28280	507712	8998
Inpp1	ENSMUSG00000026102.9	chr1	52785426	52817688	-	protein_coding	32262	13084	225774	3386
Hibch	ENSMUSG00000041426.12	chr1	52844928	52920986	+	protein_coding	76058	28031	486225	7181
1700019D03Rik	ENSMUSG00000043629.12	chr1	52922323	53020179	-	protein_coding	97856	34585	561527	11172
Mstn	ENSMUSG00000026100.6	chr1	53061639	53068079	+	protein_coding	6440	2279	50646	1256
1700019A02Rik	ENSMUSG00000060715.9	chr1	53158576	53187636	-	protein_coding	29060	10302	160421	2452
Pms1	ENSMUSG00000026098.13	chr1	53189186	53297018	-	protein_coding	107832	40971	698524	10609
Ormdl1	ENSMUSG00000026097.9	chr1	53297094	53310309	+	protein_coding	13215	4888	93963	1457
Gm28778	ENSMUSG00000100679.1	chr1	53297110	53318035	+	protein_coding	20925	7697	151042	2200
Osgepl1	ENSMUSG00000026096.14	chr1	53313623	53326343	+	protein_coding	12720	4559	97328	1435
Gm28551	ENSMUSG00000099913.1	chr1	53325506	53352667	-	protein_coding	27161	10378	195170	2185
Asnsd1	ENSMUSG00000026095.15	chr1	53344616	53352752	-	protein_coding	8136	3005	59955	562
Gm50478	ENSMUSG00000117809.1	chr1	53348478	53352619	-	protein_coding	4141	1532	30476	336
Dnah7a	ENSMUSG00000096141.2	chr1	53397005	53706784	-	protein_coding	309779	117407	2173409	24518
Stk17b	ENSMUSG00000026094.14	chr1	53755505	53785224	-	protein_coding	29719	10521	220396	3389
Hecw2	ENSMUSG00000042807.15	chr1	53806875	54195168	-	protein_coding	388293	150473	2587712	42584
Ccdc150	ENSMUSG00000025983.11	chr1	54250682	54368727	+	protein_coding	118045	44019	797168	10846
Gtf3c3	ENSMUSG00000041303.7	chr1	54396003	54438971	-	protein_coding	42968	15381	282238	3007
Gm34066	ENSMUSG00000109809.1	chr1	54443403	54456763	-	protein_coding	13360	5462	91680	1040
Pgap1	ENSMUSG00000073678.4	chr1	54472993	54557684	-	protein_coding	84691	31508	608153	7452
Ankrd44	ENSMUSG00000052331.14	chr1	54645339	54926387	-	protein_coding	281048	111842	2125327	49007
Sf3b1	ENSMUSG00000025982.13	chr1	54985168	55027481	-	protein_coding	42313	15608	279224	2977
Coq10b	ENSMUSG00000025981.13	chr1	55052769	55072702	+	protein_coding	19933	8126	175943	2029
Hspd1	ENSMUSG00000025980.14	chr1	55077834	55088243	-	protein_coding	10409	4218	87319	800
Hspe1	ENSMUSG00000073676.4	chr1	55088131	55091307	+	protein_coding	3176	1283	22932	278
Mob4	ENSMUSG00000025979.13	chr1	55131230	55154899	+	protein_coding	23669	8849	157811	1944
Rftn2	ENSMUSG00000025978.14	chr1	55170158	55226782	-	protein_coding	56624	23935	429457	6997
Mars2	ENSMUSG00000046994.9	chr1	55237176	55248470	+	protein_coding	11294	4064	79164	1351
Boll	ENSMUSG00000025977.15	chr1	55248657	55363469	-	protein_coding	114812	42760	792895	9712
Plcl1	ENSMUSG00000038349.10	chr1	55405920	55754285	+	protein_coding	348365	133240	2579328	54092
Hsfy2	ENSMUSG00000045336.5	chr1	56636043	56637435	-	protein_coding	1392	547	10834	112
Satb2	ENSMUSG00000038331.15	chr1	56793980	56978650	-	protein_coding	184670	72576	1429040	32322
1700066M21Rik	ENSMUSG00000038323.3	chr1	57377619	57385423	+	protein_coding	7804	2980	59824	821
Tyw5	ENSMUSG00000048495.16	chr1	57388236	57407101	-	protein_coding	18865	7025	138295	1623
Maip1	ENSMUSG00000025971.6	chr1	57406327	57417953	+	protein_coding	11626	4449	87977	907
Spats2l	ENSMUSG00000038305.15	chr1	57774161	57948394	+	protein_coding	174233	71562	1413479	26187
Kctd18	ENSMUSG00000054770.16	chr1	57955100	58018956	-	protein_coding	63856	24627	460984	5100
Sgo2a	ENSMUSG00000026039.9	chr1	57995970	58025899	+	protein_coding	29929	11146	214187	2524
Aox1	ENSMUSG00000063558.4	chr1	58029930	58106413	+	protein_coding	76483	31847	582845	8813
Aox3	ENSMUSG00000064294.12	chr1	58113129	58200698	+	protein_coding	87569	36481	664168	9081
Aox4	ENSMUSG00000038242.12	chr1	58210396	58268597	+	protein_coding	58201	24744	428410	6427
Aox2	ENSMUSG00000079554.2	chr1	58278325	58380259	+	protein_coding	101934	40705	674566	11008
Bzw1	ENSMUSG00000051223.14	chr1	58392897	58407353	+	protein_coding	14456	5700	101412	882
Clk1	ENSMUSG00000026034.17	chr1	58410188	58424066	-	protein_coding	13878	5272	96448	1075
Ppil3	ENSMUSG00000026035.15	chr1	58430993	58445486	-	protein_coding	14493	5987	107132	1484
Nif3l1	ENSMUSG00000026036.17	chr1	58445150	58481816	+	protein_coding	36666	15203	268246	2877
Orc2	ENSMUSG00000026037.14	chr1	58462770	58505109	-	protein_coding	42339	16860	303870	3365
Fam126b	ENSMUSG00000038174.14	chr1	58522805	58586323	-	protein_coding	63518	23269	435961	5093
Ndufb3	ENSMUSG00000026032.8	chr1	58586383	58595964	+	protein_coding	9581	3393	59994	748
Flacc1	ENSMUSG00000047528.13	chr1	58646902	58695989	-	protein_coding	49087	20108	317741	4638
Cflar	ENSMUSG00000026031.15	chr1	58711507	58758884	+	protein_coding	47377	19703	333780	5185
Casp8	ENSMUSG00000026029.14	chr1	58795373	58847503	+	protein_coding	52130	18568	305006	3893
Trak2	ENSMUSG00000026028.12	chr1	58900448	58973430	-	protein_coding	72982	27929	499184	6602
Stradb	ENSMUSG00000026027.13	chr1	58973521	58995715	+	protein_coding	22194	8613	157722	1682
C2cd6	ENSMUSG00000072295.7	chr1	58997115	59094900	-	protein_coding	97785	36742	688266	7200
Tmem237	ENSMUSG00000038079.14	chr1	59100589	59120408	-	protein_coding	19819	7646	142500	1650
Mpp4	ENSMUSG00000079550.9	chr1	59120934	59163389	-	protein_coding	42455	17874	306880	4709
Als2	ENSMUSG00000026024.14	chr1	59162925	59237231	-	protein_coding	74306	30445	503649	7071
Cdk15	ENSMUSG00000026023.16	chr1	59256905	59352993	+	protein_coding	96088	38902	642849	19597
