gene_name	gene_id	chr	start	end	strand	gene_type	gene_length	n_ch_sites	total_coverage	meth_reads
Phf3	ENSMUSG00000048874.15	chr1	30802338	30873921	-	protein_coding	71583	24750	490338	6323
Ptp4a1	ENSMUSG00000026064.16	chr1	30940301	30949309	-	protein_coding	9008	2986	56067	781
Ptp4a1	ENSMUSG00000117310.2	chr1	30940301	30949770	-	protein_coding	9469	3203	57618	798
Gm5698	ENSMUSG00000117091.1	chr1	30977242	30977968	-	protein_coding	726	343	5717	34
4931428L18Rik	ENSMUSG00000086727.8	chr1	30997841	31222684	-	protein_coding	224843	83844	1553150	26815
Lgsn	ENSMUSG00000050217.13	chr1	31176400	31204725	+	protein_coding	28325	10565	200462	4056
Pih1d3	ENSMUSG00000026063.4	chr1	31222837	31224288	+	protein_coding	1451	511	10569	90
Khdrbs2	ENSMUSG00000026058.11	chr1	32172713	32658568	+	protein_coding	485855	173600	3316013	65763
Gm5415	ENSMUSG00000091318.2	chr1	32543685	32547294	-	protein_coding	3609	1297	20744	328
Prim2	ENSMUSG00000026134.11	chr1	33453809	33669795	-	protein_coding	215986	86069	1688474	30192
Rab23	ENSMUSG00000004768.14	chr1	33719886	33742564	+	protein_coding	22678	9613	186360	2326
Bag2	ENSMUSG00000042215.8	chr1	33745483	33757795	-	protein_coding	12312	5303	102762	2099
Zfp451	ENSMUSG00000042197.13	chr1	33761544	33814595	-	protein_coding	53051	20864	431892	6493
Bend6	ENSMUSG00000042182.16	chr1	33852051	33907816	-	protein_coding	55765	21948	431868	7837
Dst	ENSMUSG00000026131.20	chr1	33908224	34308661	+	protein_coding	400437	162711	3190497	57078
Ccdc115	ENSMUSG00000042111.9	chr1	34436669	34439672	-	protein_coding	3003	1332	19754	110
Imp4	ENSMUSG00000026127.13	chr1	34439850	34449356	+	protein_coding	9506	4172	76321	1184
Ptpn18	ENSMUSG00000026126.15	chr1	34459761	34475733	+	protein_coding	15972	7179	119304	2819
Prss39	ENSMUSG00000026125.9	chr1	34498409	34503063	+	protein_coding	4654	2333	32592	442
Cfc1	ENSMUSG00000026124.4	chr1	34535647	34544313	+	protein_coding	8666	3914	68117	2205
Prss40	ENSMUSG00000037529.13	chr1	34543967	34560943	-	protein_coding	16976	7777	133339	2985
Amer3	ENSMUSG00000045174.10	chr1	34579656	34590944	+	protein_coding	11288	5359	83218	1550
Arhgef4	ENSMUSG00000037509.21	chr1	34678187	34813309	+	protein_coding	135122	59361	1075004	23652
Arhgef4	ENSMUSG00000118272.1	chr1	34801793	34801964	+	protein_coding	171	87	680	23
Fam168b	ENSMUSG00000037503.12	chr1	34813218	34843065	-	protein_coding	29847	12990	244365	3153
Plekhb2	ENSMUSG00000026123.11	chr1	34849975	34879580	+	protein_coding	29605	12972	232135	3750
Hs6st1	ENSMUSG00000045216.7	chr1	36068399	36106446	+	protein_coding	38047	18349	300665	4865
Uggt1	ENSMUSG00000037470.14	chr1	36140026	36244720	-	protein_coding	104694	43259	851333	11866
Neurl3	ENSMUSG00000047180.8	chr1	36264596	36274679	-	protein_coding	10083	4833	84557	3216
Arid5a	ENSMUSG00000037447.16	chr1	36307732	36324029	+	protein_coding	16297	8234	134726	3445
Kansl3	ENSMUSG00000010453.12	chr1	36335729	36369181	-	protein_coding	33452	14434	263056	3481
Fer1l5	ENSMUSG00000037432.15	chr1	36372290	36422110	+	protein_coding	49820	23219	378045	6447
Lman2l	ENSMUSG00000001143.13	chr1	36419870	36445271	-	protein_coding	25401	11314	208390	2757
Cnnm4	ENSMUSG00000037408.10	chr1	36471619	36508764	+	protein_coding	37145	17114	296715	5540
Cnnm3	ENSMUSG00000001138.13	chr1	36511866	36528237	+	protein_coding	16371	7804	130722	2124
Ankrd23	ENSMUSG00000067653.12	chr1	36530187	36536883	-	protein_coding	6696	3373	58917	1523
Gm42417	ENSMUSG00000109510.1	chr1	36530192	36539429	-	protein_coding	9237	4492	80365	2038
Ankrd39	ENSMUSG00000079610.9	chr1	36537506	36547445	-	protein_coding	9939	4495	75917	1786
Sema4c	ENSMUSG00000026121.13	chr1	36548638	36558349	-	protein_coding	9711	4927	62327	999
Fam178b	ENSMUSG00000046337.17	chr1	36562691	36683183	-	protein_coding	120492	56145	970900	33463
Cox5b	ENSMUSG00000061518.11	chr1	36691448	36693681	+	protein_coding	2233	966	16837	144
Actr1b	ENSMUSG00000037351.9	chr1	36698113	36714422	-	protein_coding	16309	7644	118199	1475
4933424G06Rik	ENSMUSG00000102416.4	chr1	36710148	36757953	+	protein_coding	47805	20262	357984	6723
Zap70	ENSMUSG00000026117.10	chr1	36761797	36782818	+	protein_coding	21021	10098	168760	3815
Tmem131	ENSMUSG00000026116.11	chr1	36792190	36943666	-	protein_coding	151476	62723	1270043	28588
Vwa3b	ENSMUSG00000050122.19	chr1	37026595	37187613	+	protein_coding	161018	68370	1259055	22613
Cnga3	ENSMUSG00000026114.14	chr1	37214433	37263384	+	protein_coding	48951	21921	389923	7786
Inpp4a	ENSMUSG00000026113.17	chr1	37299864	37410736	+	protein_coding	110872	50685	910436	18011
Coa5	ENSMUSG00000026112.7	chr1	37417083	37430103	-	protein_coding	13020	5412	101850	1386
Unc50	ENSMUSG00000026111.15	chr1	37430138	37439124	+	protein_coding	8986	3687	72736	745
Mgat4a	ENSMUSG00000026110.15	chr1	37439339	37541016	-	protein_coding	101677	42796	795546	18687
2010300C02Rik	ENSMUSG00000026090.16	chr1	37611676	37720085	-	protein_coding	108409	48135	902098	21881
Tsga10	ENSMUSG00000060771.15	chr1	37754775	37866429	-	protein_coding	111654	41939	765485	11061
Lipt1	ENSMUSG00000037216.5	chr1	37871737	37876228	+	protein_coding	4491	1740	33310	476
Mitd1	ENSMUSG00000026088.15	chr1	37874800	37890411	-	protein_coding	15611	6464	130286	1829
Mrpl30	ENSMUSG00000026087.11	chr1	37890476	37898535	+	protein_coding	8059	3288	66965	1009
Lyg2	ENSMUSG00000061584.6	chr1	37905922	37916493	-	protein_coding	10571	4382	82490	1303
Lyg1	ENSMUSG00000026085.11	chr1	37946735	37957759	-	protein_coding	11024	4841	94235	820
Txndc9	ENSMUSG00000058407.12	chr1	37985188	37997893	-	protein_coding	12705	5163	96097	1037
Eif5b	ENSMUSG00000026083.12	chr1	37998009	38055579	+	protein_coding	57570	22714	443476	6066
Rev1	ENSMUSG00000026082.11	chr1	38052785	38129801	-	protein_coding	77016	28991	583650	7718
Aff3	ENSMUSG00000037138.18	chr1	38177325	38664955	-	protein_coding	487630	203656	4179306	173674
Lonrf2	ENSMUSG00000048814.11	chr1	38793644	38836711	-	protein_coding	43067	17617	351786	5214
Chst10	ENSMUSG00000026080.13	chr1	38863866	38898161	-	protein_coding	34295	15343	264295	4804
Nms	ENSMUSG00000067604.8	chr1	38939148	38950276	+	protein_coding	11128	4658	85390	1131
Pdcl3	ENSMUSG00000026078.10	chr1	38985607	38997238	+	protein_coding	11631	5009	93903	1507
Npas2	ENSMUSG00000026077.15	chr1	39193730	39363236	+	protein_coding	169506	73772	1380300	28145
Rpl31	ENSMUSG00000073702.11	chr1	39367841	39371911	+	protein_coding	4070	1736	30445	329
Tbc1d8	ENSMUSG00000003134.10	chr1	39371491	39478755	-	protein_coding	107264	47670	883586	16578
Cnot11	ENSMUSG00000003135.15	chr1	39534991	39546889	+	protein_coding	11898	4979	88125	1647
Rnf149	ENSMUSG00000048234.13	chr1	39551295	39577405	-	protein_coding	26110	10153	199646	2985
Creg2	ENSMUSG00000050967.5	chr1	39618405	39651474	-	protein_coding	33069	14140	270053	5723
Rfx8	ENSMUSG00000057173.8	chr1	39665300	39720997	-	protein_coding	55697	25383	466148	12025
Gm3646	ENSMUSG00000091937.3	chr1	39804147	39805332	-	protein_coding	1185	490	9310	303
Map4k4	ENSMUSG00000026074.15	chr1	39900912	40026310	+	protein_coding	125398	53462	1029739	18133
Il1r2	ENSMUSG00000026073.13	chr1	40074078	40125231	+	protein_coding	51153	22014	394147	7113
Il1r1	ENSMUSG00000026072.12	chr1	40225079	40317257	+	protein_coding	92178	37932	701731	14529
Il1rl2	ENSMUSG00000070942.8	chr1	40324609	40367562	+	protein_coding	42953	17373	322809	4644
Il1rl1	ENSMUSG00000026069.15	chr1	40429569	40465415	+	protein_coding	35846	13938	253763	3007
Il18r1	ENSMUSG00000026070.15	chr1	40465551	40500854	+	protein_coding	35303	13661	265740	3945
Il18rap	ENSMUSG00000026068.11	chr1	40515361	40551705	+	protein_coding	36344	14120	261285	3698
Slc9a4	ENSMUSG00000026065.8	chr1	40580080	40630725	+	protein_coding	50645	20335	386848	4931
Slc9a2	ENSMUSG00000026062.12	chr1	40680573	40769273	+	protein_coding	88700	34353	636353	9033
Mfsd9	ENSMUSG00000041945.12	chr1	40772037	40790687	-	protein_coding	18650	8051	152287	1886
Tmem182	ENSMUSG00000079588.3	chr1	40805600	40856887	+	protein_coding	51287	20467	405197	5663
Pou3f3	ENSMUSG00000045515.4	chr1	42694924	42703176	+	protein_coding	8252	3392	47769	2799
Mrps9	ENSMUSG00000060679.14	chr1	42851232	42905683	+	protein_coding	54451	21507	435959	7426
Gpr45	ENSMUSG00000041907.9	chr1	42952871	43035456	+	protein_coding	82585	33825	632031	9111
Tgfbrap1	ENSMUSG00000070939.9	chr1	43047199	43098637	-	protein_coding	51438	21968	410577	5967
AI597479	ENSMUSG00000010290.7	chr1	43098709	43115947	+	protein_coding	17238	6961	121665	1571
Fhl2	ENSMUSG00000008136.14	chr1	43123073	43196984	-	protein_coding	73911	31241	583524	10368
Nck2	ENSMUSG00000066877.11	chr1	43444578	43570515	+	protein_coding	125937	53183	1045454	27430
Ecrg4	ENSMUSG00000026051.8	chr1	43730601	43742578	+	protein_coding	11977	5024	99366	1613
Uxs1	ENSMUSG00000057363.12	chr1	43746965	43827800	-	protein_coding	80835	33127	621934	10099
Tpp2	ENSMUSG00000041763.14	chr1	43933646	44003000	+	protein_coding	69354	24587	478227	6594
Mettl21c	ENSMUSG00000047343.4	chr1	44009407	44020034	-	protein_coding	10627	4254	90245	1387
Gm8251	ENSMUSG00000091844.2	chr1	44055871	44079746	-	protein_coding	23875	8696	174514	2098
Tex30	ENSMUSG00000026049.11	chr1	44086612	44102441	-	protein_coding	15829	5898	105038	1391
Poglut2	ENSMUSG00000026047.13	chr1	44106545	44118808	-	protein_coding	12263	4600	98777	1257
Bivm	ENSMUSG00000041684.11	chr1	44118956	44144770	+	protein_coding	25814	10079	191895	2276
Ercc5	ENSMUSG00000026048.16	chr1	44147743	44181260	+	protein_coding	33517	12996	246407	3547
Mettl21e	ENSMUSG00000046828.3	chr1	44204069	44218961	-	protein_coding	14892	5480	106368	2367
Gulp1	ENSMUSG00000056870.9	chr1	44551510	44796838	+	protein_coding	245328	82863	1545894	20489
Col3a1	ENSMUSG00000026043.18	chr1	45311537	45349706	+	protein_coding	38169	13238	265120	2882
Col5a2	ENSMUSG00000026042.16	chr1	45374320	45503282	-	protein_coding	128962	45198	863453	10021
Wdr75	ENSMUSG00000025995.16	chr1	45795165	45823619	+	protein_coding	28454	10676	218295	3287
Gm5269	ENSMUSG00000098549.1	chr1	45889524	45890273	-	protein_coding	749	321	6242	66
Slc40a1	ENSMUSG00000025993.10	chr1	45908067	45926523	-	protein_coding	18456	7005	138068	2346
Dnah7b	ENSMUSG00000041144.12	chr1	46066314	46373550	+	protein_coding	307236	112965	2025608	26968
Dnah7c	ENSMUSG00000101337.6	chr1	46425591	46807476	+	protein_coding	381885	133930	2344183	29940
Slc39a10	ENSMUSG00000025986.6	chr1	46807543	46892852	-	protein_coding	85309	31927	629563	10374
Tmeff2	ENSMUSG00000026109.14	chr1	50900646	51187270	+	protein_coding	286624	104016	2101478	55268
Cavin2	ENSMUSG00000045954.7	chr1	51289125	51302960	+	protein_coding	13835	5547	110965	4700
Nabp1	ENSMUSG00000026107.11	chr1	51465861	51478425	-	protein_coding	12564	4644	91345	2039
Myo1b	ENSMUSG00000018417.14	chr1	51749764	51916071	-	protein_coding	166307	67751	1344689	25873
Stat4	ENSMUSG00000062939.11	chr1	51987147	52107189	+	protein_coding	120042	47071	927526	16940
Stat1	ENSMUSG00000026104.14	chr1	52119439	52161865	+	protein_coding	42426	18036	354789	6886
Gls	ENSMUSG00000026103.14	chr1	52163447	52233232	-	protein_coding	69785	24750	492863	6919
Nab1	ENSMUSG00000002881.14	chr1	52457293	52500679	-	protein_coding	43386	16870	334097	5514
Nemp2	ENSMUSG00000043015.15	chr1	52630702	52651919	+	protein_coding	21217	8702	171850	2610
Mfsd6	ENSMUSG00000041439.15	chr1	52656285	52727462	-	protein_coding	71177	28263	560862	11093
Inpp1	ENSMUSG00000026102.9	chr1	52785426	52817688	-	protein_coding	32262	13075	250784	3552
Hibch	ENSMUSG00000041426.12	chr1	52844928	52920986	+	protein_coding	76058	28132	520285	8365
1700019D03Rik	ENSMUSG00000043629.12	chr1	52922323	53020179	-	protein_coding	97856	34422	595560	12137
Mstn	ENSMUSG00000026100.6	chr1	53061639	53068079	+	protein_coding	6440	2279	54494	1472
1700019A02Rik	ENSMUSG00000060715.9	chr1	53158576	53187636	-	protein_coding	29060	10678	178718	2876
Pms1	ENSMUSG00000026098.13	chr1	53189186	53297018	-	protein_coding	107832	41034	741027	11343
Ormdl1	ENSMUSG00000026097.9	chr1	53297094	53310309	+	protein_coding	13215	4890	97401	1592
Gm28778	ENSMUSG00000100679.1	chr1	53297110	53318035	+	protein_coding	20925	7699	156796	2413
Osgepl1	ENSMUSG00000026096.14	chr1	53313623	53326343	+	protein_coding	12720	4559	100429	1172
Gm28551	ENSMUSG00000099913.1	chr1	53325506	53352667	-	protein_coding	27161	10226	198471	3016
Asnsd1	ENSMUSG00000026095.15	chr1	53344616	53352752	-	protein_coding	8136	3005	62492	767
Gm50478	ENSMUSG00000117809.1	chr1	53348478	53352619	-	protein_coding	4141	1532	30178	381
Dnah7a	ENSMUSG00000096141.2	chr1	53397005	53706784	-	protein_coding	309779	117071	2105569	27956
Stk17b	ENSMUSG00000026094.14	chr1	53755505	53785224	-	protein_coding	29719	10522	222237	3809
Hecw2	ENSMUSG00000042807.15	chr1	53806875	54195168	-	protein_coding	388293	150616	2875775	50925
Ccdc150	ENSMUSG00000025983.11	chr1	54250682	54368727	+	protein_coding	118045	44074	824934	11740
Gtf3c3	ENSMUSG00000041303.7	chr1	54396003	54438971	-	protein_coding	42968	15287	300145	3559
Gm34066	ENSMUSG00000109809.1	chr1	54443403	54456763	-	protein_coding	13360	5462	101129	1289
Pgap1	ENSMUSG00000073678.4	chr1	54472993	54557684	-	protein_coding	84691	31542	631266	9339
Ankrd44	ENSMUSG00000052331.14	chr1	54645339	54926387	-	protein_coding	281048	111870	2223277	51936
Sf3b1	ENSMUSG00000025982.13	chr1	54985168	55027481	-	protein_coding	42313	15603	302293	3452
Coq10b	ENSMUSG00000025981.13	chr1	55052769	55072702	+	protein_coding	19933	8114	164975	2232
Hspd1	ENSMUSG00000025980.14	chr1	55077834	55088243	-	protein_coding	10409	4218	82856	966
Hspe1	ENSMUSG00000073676.4	chr1	55088131	55091307	+	protein_coding	3176	1283	23105	371
Mob4	ENSMUSG00000025979.13	chr1	55131230	55154899	+	protein_coding	23669	8901	167176	2380
Rftn2	ENSMUSG00000025978.14	chr1	55170158	55226782	-	protein_coding	56624	24006	450915	7603
Mars2	ENSMUSG00000046994.9	chr1	55237176	55248470	+	protein_coding	11294	4064	81414	1115
Boll	ENSMUSG00000025977.15	chr1	55248657	55363469	-	protein_coding	114812	42793	790533	11317
Plcl1	ENSMUSG00000038349.10	chr1	55405920	55754285	+	protein_coding	348365	133169	2605719	54721
Hsfy2	ENSMUSG00000045336.5	chr1	56636043	56637435	-	protein_coding	1392	547	11292	161
Satb2	ENSMUSG00000038331.15	chr1	56793980	56978650	-	protein_coding	184670	72733	1417087	34063
1700066M21Rik	ENSMUSG00000038323.3	chr1	57377619	57385423	+	protein_coding	7804	2980	60773	638
Tyw5	ENSMUSG00000048495.16	chr1	57388236	57407101	-	protein_coding	18865	7025	139961	2125
Maip1	ENSMUSG00000025971.6	chr1	57406327	57417953	+	protein_coding	11626	4436	87413	1237
Spats2l	ENSMUSG00000038305.15	chr1	57774161	57948394	+	protein_coding	174233	71636	1398879	28541
Kctd18	ENSMUSG00000054770.16	chr1	57955100	58018956	-	protein_coding	63856	24553	458006	5697
Sgo2a	ENSMUSG00000026039.9	chr1	57995970	58025899	+	protein_coding	29929	11151	213276	2549
Aox1	ENSMUSG00000063558.4	chr1	58029930	58106413	+	protein_coding	76483	31734	597309	11787
Aox3	ENSMUSG00000064294.12	chr1	58113129	58200698	+	protein_coding	87569	36425	688579	9319
Aox4	ENSMUSG00000038242.12	chr1	58210396	58268597	+	protein_coding	58201	24573	455718	7316
Aox2	ENSMUSG00000079554.2	chr1	58278325	58380259	+	protein_coding	101934	40539	716074	12018
Bzw1	ENSMUSG00000051223.14	chr1	58392897	58407353	+	protein_coding	14456	5700	112911	1303
Clk1	ENSMUSG00000026034.17	chr1	58410188	58424066	-	protein_coding	13878	5273	105329	988
Ppil3	ENSMUSG00000026035.15	chr1	58430993	58445486	-	protein_coding	14493	6024	119323	1767
Nif3l1	ENSMUSG00000026036.17	chr1	58445150	58481816	+	protein_coding	36666	15240	298832	4700
Orc2	ENSMUSG00000026037.14	chr1	58462770	58505109	-	protein_coding	42339	16898	321921	4615
Fam126b	ENSMUSG00000038174.14	chr1	58522805	58586323	-	protein_coding	63518	23263	457945	5410
Ndufb3	ENSMUSG00000026032.8	chr1	58586383	58595964	+	protein_coding	9581	3452	62167	917
Flacc1	ENSMUSG00000047528.13	chr1	58646902	58695989	-	protein_coding	49087	20054	348616	5382
Cflar	ENSMUSG00000026031.15	chr1	58711507	58758884	+	protein_coding	47377	19782	369324	6321
Casp8	ENSMUSG00000026029.14	chr1	58795373	58847503	+	protein_coding	52130	18473	312923	4561
Trak2	ENSMUSG00000026028.12	chr1	58900448	58973430	-	protein_coding	72982	27829	512191	7320
Stradb	ENSMUSG00000026027.13	chr1	58973521	58995715	+	protein_coding	22194	8597	163699	2464
C2cd6	ENSMUSG00000072295.7	chr1	58997115	59094900	-	protein_coding	97785	36725	703657	10512
Tmem237	ENSMUSG00000038079.14	chr1	59100589	59120408	-	protein_coding	19819	7720	147913	2358
Mpp4	ENSMUSG00000079550.9	chr1	59120934	59163389	-	protein_coding	42455	17846	332348	4854
Als2	ENSMUSG00000026024.14	chr1	59162925	59237231	-	protein_coding	74306	30426	563137	7241
Cdk15	ENSMUSG00000026023.16	chr1	59256905	59352993	+	protein_coding	96088	39114	738505	22914
