gene_name	gene_id	chr	start	end	strand	gene_type	gene_length	n_ch_sites	total_coverage	meth_reads
Zap70	ENSMUSG00000026117.10	chr1	36761797	36782818	+	protein_coding	21021	3446	140617	3174
Tmem131	ENSMUSG00000026116.11	chr1	36792190	36943666	-	protein_coding	151476	23540	1057142	32989
Vwa3b	ENSMUSG00000050122.19	chr1	37026595	37187613	+	protein_coding	161018	25224	1064476	26629
Cnga3	ENSMUSG00000026114.14	chr1	37214433	37263384	+	protein_coding	48951	7881	320265	7770
Inpp4a	ENSMUSG00000026113.17	chr1	37299864	37410736	+	protein_coding	110872	18211	753907	20952
Coa5	ENSMUSG00000026112.7	chr1	37417083	37430103	-	protein_coding	13020	1990	84349	1096
Unc50	ENSMUSG00000026111.15	chr1	37430138	37439124	+	protein_coding	8986	1379	62283	528
Mgat4a	ENSMUSG00000026110.15	chr1	37439339	37541016	-	protein_coding	101677	15604	665703	19524
2010300C02Rik	ENSMUSG00000026090.16	chr1	37611676	37720085	-	protein_coding	108409	17446	742101	24287
Tsga10	ENSMUSG00000060771.15	chr1	37754775	37866429	-	protein_coding	111654	16198	648967	11044
Lipt1	ENSMUSG00000037216.5	chr1	37871737	37876228	+	protein_coding	4491	633	29641	334
Mitd1	ENSMUSG00000026088.15	chr1	37874800	37890411	-	protein_coding	15611	2362	105933	1290
Mrpl30	ENSMUSG00000026087.11	chr1	37890476	37898535	+	protein_coding	8059	1285	58893	574
Lyg2	ENSMUSG00000061584.6	chr1	37905922	37916493	-	protein_coding	10571	1603	65661	965
Lyg1	ENSMUSG00000026085.11	chr1	37946735	37957759	-	protein_coding	11024	1737	77904	920
Txndc9	ENSMUSG00000058407.12	chr1	37985188	37997893	-	protein_coding	12705	1831	81139	877
Eif5b	ENSMUSG00000026083.12	chr1	37998009	38055579	+	protein_coding	57570	8632	369935	4552
Rev1	ENSMUSG00000026082.11	chr1	38052785	38129801	-	protein_coding	77016	11217	479294	6550
Aff3	ENSMUSG00000037138.18	chr1	38177325	38664955	-	protein_coding	487630	75000	3451955	218733
Lonrf2	ENSMUSG00000048814.11	chr1	38793644	38836711	-	protein_coding	43067	6892	306267	4302
Chst10	ENSMUSG00000026080.13	chr1	38863866	38898161	-	protein_coding	34295	5459	222654	5217
Nms	ENSMUSG00000067604.8	chr1	38939148	38950276	+	protein_coding	11128	1697	73061	1230
Pdcl3	ENSMUSG00000026078.10	chr1	38985607	38997238	+	protein_coding	11631	1718	72255	1357
Npas2	ENSMUSG00000026077.15	chr1	39193730	39363236	+	protein_coding	169506	26928	1151581	29958
Rpl31	ENSMUSG00000073702.11	chr1	39367841	39371911	+	protein_coding	4070	596	26652	356
Tbc1d8	ENSMUSG00000003134.10	chr1	39371491	39478755	-	protein_coding	107264	17267	742759	19716
Cnot11	ENSMUSG00000003135.15	chr1	39534991	39546889	+	protein_coding	11898	1761	71403	923
Rnf149	ENSMUSG00000048234.13	chr1	39551295	39577405	-	protein_coding	26110	3763	160966	2627
Creg2	ENSMUSG00000050967.5	chr1	39618405	39651474	-	protein_coding	33069	5318	230297	6979
Rfx8	ENSMUSG00000057173.8	chr1	39665300	39720997	-	protein_coding	55697	9196	397851	14534
Gm3646	ENSMUSG00000091937.3	chr1	39804147	39805332	-	protein_coding	1185	180	7353	326
Map4k4	ENSMUSG00000026074.15	chr1	39900912	40026310	+	protein_coding	125398	19981	874271	21320
Il1r2	ENSMUSG00000026073.13	chr1	40074078	40125231	+	protein_coding	51153	7885	318102	6399
Il1r1	ENSMUSG00000026072.12	chr1	40225079	40317257	+	protein_coding	92178	14088	579721	13163
Il1rl2	ENSMUSG00000070942.8	chr1	40324609	40367562	+	protein_coding	42953	6526	276743	4620
Il1rl1	ENSMUSG00000026069.15	chr1	40429569	40465415	+	protein_coding	35846	5313	219918	2801
Il18r1	ENSMUSG00000026070.15	chr1	40465551	40500854	+	protein_coding	35303	5350	228605	3500
Il18rap	ENSMUSG00000026068.11	chr1	40515361	40551705	+	protein_coding	36344	5332	225217	3164
Slc9a4	ENSMUSG00000026065.8	chr1	40580080	40630725	+	protein_coding	50645	7761	324985	5019
Slc9a2	ENSMUSG00000026062.12	chr1	40680573	40769273	+	protein_coding	88700	13192	544489	7914
Mfsd9	ENSMUSG00000041945.12	chr1	40772037	40790687	-	protein_coding	18650	2901	129939	1935
Tmem182	ENSMUSG00000079588.3	chr1	40805600	40856887	+	protein_coding	51287	7937	351782	5549
Pou3f3	ENSMUSG00000045515.4	chr1	42694924	42703176	+	protein_coding	8252	1048	38625	2633
Mrps9	ENSMUSG00000060679.14	chr1	42851232	42905683	+	protein_coding	54451	8325	370746	6884
Gpr45	ENSMUSG00000041907.9	chr1	42952871	43035456	+	protein_coding	82585	12651	515836	8579
Tgfbrap1	ENSMUSG00000070939.9	chr1	43047199	43098637	-	protein_coding	51438	8172	351931	6833
AI597479	ENSMUSG00000010290.7	chr1	43098709	43115947	+	protein_coding	17238	2570	101527	1256
Fhl2	ENSMUSG00000008136.14	chr1	43123073	43196984	-	protein_coding	73911	11328	493859	12156
Nck2	ENSMUSG00000066877.11	chr1	43444578	43570515	+	protein_coding	125937	19420	876198	42837
Ecrg4	ENSMUSG00000026051.8	chr1	43730601	43742578	+	protein_coding	11977	1863	82099	1715
Uxs1	ENSMUSG00000057363.12	chr1	43746965	43827800	-	protein_coding	80835	12406	534591	9503
Tpp2	ENSMUSG00000041763.14	chr1	43933646	44003000	+	protein_coding	69354	9705	395569	4487
Mettl21c	ENSMUSG00000047343.4	chr1	44009407	44020034	-	protein_coding	10627	1654	76523	901
Gm8251	ENSMUSG00000091844.2	chr1	44055871	44079746	-	protein_coding	23875	3498	158575	2185
Tex30	ENSMUSG00000026049.11	chr1	44086612	44102441	-	protein_coding	15829	2130	83182	1377
Poglut2	ENSMUSG00000026047.13	chr1	44106545	44118808	-	protein_coding	12263	1747	78417	1208
Bivm	ENSMUSG00000041684.11	chr1	44118956	44144770	+	protein_coding	25814	3814	160640	1931
Ercc5	ENSMUSG00000026048.16	chr1	44147743	44181260	+	protein_coding	33517	4936	210330	2610
Mettl21e	ENSMUSG00000046828.3	chr1	44204069	44218961	-	protein_coding	14892	2040	92351	4706
Gulp1	ENSMUSG00000056870.9	chr1	44551510	44796838	+	protein_coding	245328	32491	1304198	20025
Col3a1	ENSMUSG00000026043.18	chr1	45311537	45349706	+	protein_coding	38169	5221	218859	2782
Col5a2	ENSMUSG00000026042.16	chr1	45374320	45503282	-	protein_coding	128962	17901	725946	9507
Wdr75	ENSMUSG00000025995.16	chr1	45795165	45823619	+	protein_coding	28454	4137	180183	2225
Gm5269	ENSMUSG00000098549.1	chr1	45889524	45890273	-	protein_coding	749	127	6046	40
Slc40a1	ENSMUSG00000025993.10	chr1	45908067	45926523	-	protein_coding	18456	2622	109511	1953
Dnah7b	ENSMUSG00000041144.12	chr1	46066314	46373550	+	protein_coding	307236	43330	1718193	23382
Dnah7c	ENSMUSG00000101337.6	chr1	46425591	46807476	+	protein_coding	381885	51272	1992576	25029
Slc39a10	ENSMUSG00000025986.6	chr1	46807543	46892852	-	protein_coding	85309	12349	525225	9514
Tmeff2	ENSMUSG00000026109.14	chr1	50900646	51187270	+	protein_coding	286624	40977	1804890	86939
Cavin2	ENSMUSG00000045954.7	chr1	51289125	51302960	+	protein_coding	13835	2067	89398	5899
Nabp1	ENSMUSG00000026107.11	chr1	51465861	51478425	-	protein_coding	12564	1728	74997	4308
Myo1b	ENSMUSG00000018417.14	chr1	51749764	51916071	-	protein_coding	166307	25505	1131239	27789
Stat4	ENSMUSG00000062939.11	chr1	51987147	52107189	+	protein_coding	120042	18102	784705	16429
Stat1	ENSMUSG00000026104.14	chr1	52119439	52161865	+	protein_coding	42426	6518	303189	10202
Gls	ENSMUSG00000026103.14	chr1	52163447	52233232	-	protein_coding	69785	9617	407541	6073
Nab1	ENSMUSG00000002881.14	chr1	52457293	52500679	-	protein_coding	43386	6412	281513	6041
Nemp2	ENSMUSG00000043015.15	chr1	52630702	52651919	+	protein_coding	21217	3218	141222	2967
Mfsd6	ENSMUSG00000041439.15	chr1	52656285	52727462	-	protein_coding	71177	10846	467753	11710
Inpp1	ENSMUSG00000026102.9	chr1	52785426	52817688	-	protein_coding	32262	4849	203908	3561
Hibch	ENSMUSG00000041426.12	chr1	52844928	52920986	+	protein_coding	76058	10843	449276	9736
1700019D03Rik	ENSMUSG00000043629.12	chr1	52922323	53020179	-	protein_coding	97856	12922	507878	23278
Mstn	ENSMUSG00000026100.6	chr1	53061639	53068079	+	protein_coding	6440	914	45157	2921
1700019A02Rik	ENSMUSG00000060715.9	chr1	53158576	53187636	-	protein_coding	29060	3945	150804	3249
Pms1	ENSMUSG00000026098.13	chr1	53189186	53297018	-	protein_coding	107832	15299	624299	17487
Ormdl1	ENSMUSG00000026097.9	chr1	53297094	53310309	+	protein_coding	13215	1856	82521	2747
Gm28778	ENSMUSG00000100679.1	chr1	53297110	53318035	+	protein_coding	20925	2986	134138	3642
Osgepl1	ENSMUSG00000026096.14	chr1	53313623	53326343	+	protein_coding	12720	1845	87457	1114
Gm28551	ENSMUSG00000099913.1	chr1	53325506	53352667	-	protein_coding	27161	3846	163513	2506
Asnsd1	ENSMUSG00000026095.15	chr1	53344616	53352752	-	protein_coding	8136	1179	51095	983
Gm50478	ENSMUSG00000117809.1	chr1	53348478	53352619	-	protein_coding	4141	617	26760	662
Dnah7a	ENSMUSG00000096141.2	chr1	53397005	53706784	-	protein_coding	309779	44875	1785245	23121
Stk17b	ENSMUSG00000026094.14	chr1	53755505	53785224	-	protein_coding	29719	4055	185666	3451
Hecw2	ENSMUSG00000042807.15	chr1	53806875	54195168	-	protein_coding	388293	56418	2356234	44843
Ccdc150	ENSMUSG00000025983.11	chr1	54250682	54368727	+	protein_coding	118045	16510	679605	10667
Gtf3c3	ENSMUSG00000041303.7	chr1	54396003	54438971	-	protein_coding	42968	5726	244818	2645
Gm34066	ENSMUSG00000109809.1	chr1	54443403	54456763	-	protein_coding	13360	1981	86812	1269
Pgap1	ENSMUSG00000073678.4	chr1	54472993	54557684	-	protein_coding	84691	12353	536680	7751
Ankrd44	ENSMUSG00000052331.14	chr1	54645339	54926387	-	protein_coding	281048	42355	1867313	62760
Sf3b1	ENSMUSG00000025982.13	chr1	54985168	55027481	-	protein_coding	42313	5846	238703	2609
Coq10b	ENSMUSG00000025981.13	chr1	55052769	55072702	+	protein_coding	19933	2939	131127	1588
Hspd1	ENSMUSG00000025980.14	chr1	55077834	55088243	-	protein_coding	10409	1577	68556	765
Hspe1	ENSMUSG00000073676.4	chr1	55088131	55091307	+	protein_coding	3176	440	18298	188
Mob4	ENSMUSG00000025979.13	chr1	55131230	55154899	+	protein_coding	23669	3341	139882	1809
Rftn2	ENSMUSG00000025978.14	chr1	55170158	55226782	-	protein_coding	56624	8835	384057	7735
Mars2	ENSMUSG00000046994.9	chr1	55237176	55248470	+	protein_coding	11294	1532	62207	1039
Boll	ENSMUSG00000025977.15	chr1	55248657	55363469	-	protein_coding	114812	16051	656131	8369
Plcl1	ENSMUSG00000038349.10	chr1	55405920	55754285	+	protein_coding	348365	50688	2181627	59227
Hsfy2	ENSMUSG00000045336.5	chr1	56636043	56637435	-	protein_coding	1392	203	9382	214
Satb2	ENSMUSG00000038331.15	chr1	56793980	56978650	-	protein_coding	184670	27283	1184551	47044
1700066M21Rik	ENSMUSG00000038323.3	chr1	57377619	57385423	+	protein_coding	7804	1132	50841	897
Tyw5	ENSMUSG00000048495.16	chr1	57388236	57407101	-	protein_coding	18865	2649	112825	1475
Maip1	ENSMUSG00000025971.6	chr1	57406327	57417953	+	protein_coding	11626	1660	75279	742
Spats2l	ENSMUSG00000038305.15	chr1	57774161	57948394	+	protein_coding	174233	26534	1174131	36217
Kctd18	ENSMUSG00000054770.16	chr1	57955100	58018956	-	protein_coding	63856	9172	397242	5677
Sgo2a	ENSMUSG00000026039.9	chr1	57995970	58025899	+	protein_coding	29929	4221	185048	3109
Aox1	ENSMUSG00000063558.4	chr1	58029930	58106413	+	protein_coding	76483	11948	528244	19856
Aox3	ENSMUSG00000064294.12	chr1	58113129	58200698	+	protein_coding	87569	13727	576995	10576
Aox4	ENSMUSG00000038242.12	chr1	58210396	58268597	+	protein_coding	58201	9057	386592	11832
Aox2	ENSMUSG00000079554.2	chr1	58278325	58380259	+	protein_coding	101934	14559	586641	12245
Bzw1	ENSMUSG00000051223.14	chr1	58392897	58407353	+	protein_coding	14456	2030	87235	1021
Clk1	ENSMUSG00000026034.17	chr1	58410188	58424066	-	protein_coding	13878	1984	86840	1116
Ppil3	ENSMUSG00000026035.15	chr1	58430993	58445486	-	protein_coding	14493	2212	93430	1289
Nif3l1	ENSMUSG00000026036.17	chr1	58445150	58481816	+	protein_coding	36666	5690	251280	3291
Orc2	ENSMUSG00000026037.14	chr1	58462770	58505109	-	protein_coding	42339	6316	272668	3176
Fam126b	ENSMUSG00000038174.14	chr1	58522805	58586323	-	protein_coding	63518	8913	377651	4175
Ndufb3	ENSMUSG00000026032.8	chr1	58586383	58595964	+	protein_coding	9581	1281	48327	495
Flacc1	ENSMUSG00000047528.13	chr1	58646902	58695989	-	protein_coding	49087	7310	284860	5266
Cflar	ENSMUSG00000026031.15	chr1	58711507	58758884	+	protein_coding	47377	7014	297467	8295
Casp8	ENSMUSG00000026029.14	chr1	58795373	58847503	+	protein_coding	52130	6845	259653	3645
Trak2	ENSMUSG00000026028.12	chr1	58900448	58973430	-	protein_coding	72982	10456	426159	6217
Stradb	ENSMUSG00000026027.13	chr1	58973521	58995715	+	protein_coding	22194	3212	139142	2192
C2cd6	ENSMUSG00000072295.7	chr1	58997115	59094900	-	protein_coding	97785	14040	584702	7900
Tmem237	ENSMUSG00000038079.14	chr1	59100589	59120408	-	protein_coding	19819	2840	120769	1368
Mpp4	ENSMUSG00000079550.9	chr1	59120934	59163389	-	protein_coding	42455	6658	278842	4557
Als2	ENSMUSG00000026024.14	chr1	59162925	59237231	-	protein_coding	74306	11077	465103	6990
Cdk15	ENSMUSG00000026023.16	chr1	59256905	59352993	+	protein_coding	96088	14421	631110	44504
Fzd7	ENSMUSG00000041075.8	chr1	59482423	59486955	+	protein_coding	4532	619	21644	1223
