bin	ew_ctrl	ew_ctrl_se	ew_mut	ew_mut_se	ew_delta	pooled_ctrl	pooled_mut	pooled_delta	mut_shift_pp	ctrl_shift_pp	delta_shift_pp
19	0.0177797118330475	0.000841103005942793	0.0181943180841242	0.00155011309086792	0.000414606251076616	0.020361522546113	0.021266028425304	0.000904505879190956	0.307171034117981	0.258181071306547	0.048989962811434
20	0.0177722402119145	0.000838839243147222	0.0181723633516162	0.00154767614327107	0.000400123139701693	0.0205038012262791	0.02144200301563	0.000938201789350921	0.326963966401382	0.27315610143646	0.0538078649649228
21	0.0177579366407245	0.000831369984602688	0.0181311613235777	0.0015441430437325	0.000373224682853231	0.0205366712363178	0.0214450014591099	0.000908330222792124	0.331384013553224	0.277873459559334	0.0535105539938893
22	0.0177444411110513	0.000833419997058671	0.018082313833915	0.00152975135387355	0.000337872722863723	0.0204867816444137	0.0213285727878264	0.000841791143412728	0.32462589539114	0.274234053336239	0.0503918420549004
23	0.0177370864830601	0.000852157478187956	0.0180251915512831	0.0015332035981957	0.00028810506822298	0.020416131350769	0.0212227871544459	0.000806655803676892	0.319759560316277	0.267904486770886	0.0518550735453913
24	0.017720543886583	0.00084992215963179	0.0179925305822821	0.00153974468043584	0.00027198669569917	0.0204597098876839	0.0212876326520913	0.000827922764407373	0.329510206980912	0.273916600110092	0.0555936068708202
25	0.017704093911506	0.000874031811827398	0.0179700318738479	0.00154827288964983	0.000265937962341849	0.0205489870297942	0.0213726574648909	0.000823670435096732	0.340262559104304	0.284489311828815	0.0557732472754882
26	0.0176648576698293	0.000875842043672461	0.0179693704509801	0.0015472409388515	0.000304512781150779	0.0206296091742526	0.0214723433751564	0.000842734200903791	0.350297292417632	0.296475150442331	0.0538221419753012
27	0.0176314945553822	0.00087748255903672	0.0179362442281216	0.00155308108229626	0.000304749672739413	0.0205097894453226	0.0213286027535303	0.000818813308207704	0.339235852540867	0.287829488994038	0.0514063635468291
28	0.0175659278401716	0.000887483033894428	0.0178745689218986	0.00153670548909453	0.000308641081726933	0.0204794788169104	0.0212974428650139	0.000817964048103491	0.342287394311537	0.291355097673881	0.0509322966376558
29	0.0175304384350859	0.000864517665500443	0.0178130047793137	0.00153636704455358	0.000282566344227818	0.0204086266046233	0.0212644579058714	0.000855831301248118	0.34514531265577	0.28781881695374	0.05732649570203
30	0.0174705572034162	0.000863384652429074	0.0177543429283252	0.00154065650660319	0.000283785724908989	0.0203514920611095	0.0211195287097411	0.000768036648631679	0.336518578141597	0.288093485769328	0.0484250923722691
31	0.0174370159043087	0.000844121077401655	0.0177275343418929	0.001528586219709	0.000290518437584195	0.0203626267806025	0.0211206407952667	0.00075801401466424	0.339310645337386	0.292561087629381	0.0467495577080045
32	0.0174216828412152	0.000840430795793211	0.017707876769569	0.00152623612553828	0.000286193928353856	0.0202626959517387	0.021057424385373	0.000794728433634356	0.3349547615804	0.28410131105235	0.0508534505280499
33	0.0174095065526039	0.000839008337659321	0.0176842864813001	0.00152361794206704	0.00027477992869613	0.0201929562602313	0.0209522491048266	0.000759292844595343	0.326796262352652	0.278344970762731	0.0484512915899214
34	0.0173764495065832	0.00084225508259325	0.0176454273942169	0.00152339972291062	0.000268977887633717	0.0200913712873562	0.0208520582808502	0.000760686993494065	0.32066308866333	0.271492178077296	0.0491709105860348
35	0.017342210939988	0.000843699838097935	0.0176004634638841	0.00152695960922705	0.000258252523896114	0.0199949601581627	0.0207458621447827	0.000750901986620034	0.314539868089859	0.265274921817467	0.0492649462723919
36	0.0173603467896651	0.000831489743116664	0.0176131387428654	0.00153677656247317	0.000252791953200274	0.0200590507640989	0.020854411544275	0.000795360780176155	0.324127280140968	0.26987039744338	0.054256882697588
37	0.017337125522971	0.000828713485615296	0.0175654468689338	0.00153976531717298	0.000228321345962821	0.0199575434144092	0.0207774913179206	0.000819947903511344	0.32120444489868	0.262041789143827	0.0591626557548523
38	0.0173112601277152	0.00083581533317826	0.0175305862740695	0.00152922799563949	0.000219326146354292	0.0199225484022128	0.0206751155178975	0.000752567115684683	0.314452924382793	0.261128827449754	0.0533240969330391
39	0.0173316591742305	0.000844597617431254	0.0175311270984847	0.00151616493048765	0.000199467924254248	0.0198444579284441	0.0206159604117829	0.000771502483338824	0.308483331329823	0.251279875421366	0.0572034559084576
40	0.0172726018069142	0.000841326640239924	0.0174801883843355	0.0015179994009705	0.00020758657742128	0.0197584707233071	0.0204948191003725	0.000736348377065366	0.301463071603696	0.248586891639288	0.0528761799644086
41	0.0172292952780099	0.000852199503493246	0.0174388428901797	0.0015164304852951	0.000209547612169837	0.0196804749914561	0.0203490747380693	0.000668599746613166	0.291023184788955	0.245117971344622	0.0459052134443329
42	0.0171942687417114	0.000855767846615329	0.017417902570946	0.00152354321275926	0.000223633829234689	0.0196714313324687	0.02037250470853	0.000701073376061363	0.2954602137584	0.247716259075732	0.0477439546826674
43	0.0171357814919772	0.000853826033664656	0.0173678181942799	0.00151191958961324	0.000232036702302787	0.0196570233035743	0.0203462550759171	0.000689231772342799	0.297843688163719	0.252124181159718	0.0457195070040013
44	0.0170706906079793	0.000847252068171355	0.0173184284725981	0.00150029932141401	0.000247737864618767	0.0195084801380275	0.020241353381431	0.000732873243403438	0.292292490883285	0.243778953004818	0.0485135378784671
45	0.017033798395482	0.000834435977088528	0.0173251927134716	0.00150741397661121	0.000291394317989604	0.0193985069480622	0.0202389585449199	0.000840451596857673	0.291376583144828	0.236470855258021	0.054905727886807
46	0.0170101860601906	0.000854837130340046	0.0172838740703417	0.00149430323347842	0.000273688010151079	0.0192856450777468	0.0199938307384836	0.000708185660736792	0.270995666814191	0.22754590175562	0.0434497650585713
47	0.0169794201995924	0.000831158115161085	0.0172643752058732	0.00149714888733376	0.000284955006280799	0.0194304475473322	0.0202143686672713	0.000783921119939062	0.294999346139803	0.245102734773977	0.0498966113658263
48	0.0169054381706214	0.00083125556774816	0.0172007687853142	0.00149545314706374	0.000295330614692762	0.0192740409998827	0.0200242401910051	0.000750199191122347	0.282347140569087	0.236860282926129	0.0454868576429585
49	0.0168615505802094	0.000840201017510619	0.0171302823347317	0.00149471445556676	0.000268731754522279	0.0189411745518271	0.0196471185525147	0.00070594400068761	0.251683621778304	0.207962397161771	0.043721224616533
50	0.0166695529990354	0.000825398956088099	0.0169908043417645	0.00148300339978241	0.000321251342729062	0.018438555585265	0.0192553307281043	0.000816775142839305	0.226452638633981	0.176900258622957	0.0495523800110243
